%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1582856503819860140,399,1582856503801400521,,181.480041504,161.655517578,-1.14535343647,381.592895508,240.354934692
1582856503844435867,400,1582856503819204503,,182.373779297,168.570083618,-1.17178916931,382.729919434,240.590759277
1582856503884605923,401,1582856503857034576,,179.015777588,168.660308838,-1.41391932964,382.691375732,240.538192749
1582856503939692178,402,1582856503892489358,,181.970733643,154.13508606,1.49253475666,388.658996582,238.856719971
1582856503984438506,403,1582856503922529960,,173.711410522,163.503738403,-1.28534960747,382.474456787,238.299179077
1582856504018455301,404,1582856503952613343,,172.541625977,162.989746094,-1.29937589169,381.983795166,238.279693604
1582856504056486890,405,1582856503988965088,,177.450408936,161.680938721,-1.20117509365,381.200897217,239.204986572
1582856504076346835,406,1582856504019967184,,176.946975708,161.693206787,-1.14979958534,380.722229004,238.576080322
1582856504116956876,407,1582856504071312316,,175.89175415,162.4584198,-1.19013214111,379.975982666,238.650344849
1582856504140156203,408,1582856504101468509,,171.286590576,162.387573242,-1.02657473087,378.362915039,239.62713623
1582856504162961721,409,1582856504134358355,,167.38999939,159.382415771,-1.24494433403,378.381744385,239.392593384
1582856504179144453,410,1582856504160917838,,167.460601807,161.232635498,-1.08233261108,377.452484131,239.29888916
1582856504219703888,411,1582856504185936793,,163.758224487,158.496337891,-1.37436878681,376.461547852,238.80027771
1582856504241084868,412,1582856504218758825,,162.187271118,158.492630005,-1.03403604031,377.50012207,239.009735107
1582856504288509715,413,1582856504249879025,,160.446502686,159.835510254,-0.253236114979,375.97454834,239.852630615
1582856504327999355,414,1582856504291980652,,172.396835327,152.476715088,-1.43234467506,380.78918457,238.425827026
1582856504373179169,415,1582856504324394036,,165.838775635,160.057113647,-1.51323163509,378.709991455,238.81388855
1582856504389452387,416,1582856504357979165,,166.352279663,160.036743164,-1.42928528786,379.476593018,236.656860352
1582856504431069640,417,1582856504394210492,,170.408599854,159.767379761,-1.1457785368,380.83291626,235.740310669
1582856504468510271,418,1582856504417542973,,172.024719238,161.081893921,-0.983267128468,378.730102539,235.538330078
1582856504494802803,419,1582856504452998877,,173.368865967,159.462768555,-1.09704470634,380.64630127,235.600036621
1582856504524046762,420,1582856504492316440,,172.318054199,161.030914307,-1.14117121696,380.146118164,236.197021484
1582856504567989749,421,1582856504521563519,,170.778640747,157.301712036,-1.36885297298,382.530029297,236.403015137
1582856504590024870,422,1582856504559696803,,171.872283936,136.762786865,1.43160915375,390.70993042,234.255615234
1582856504627658178,423,1582856504590554732,,181.613983154,136.208374023,1.52403819561,390.991729736,236.323242188
