%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1582858335484299912,252,1582858335443591154,,175.005935669,164.671234131,-0.989054620266,379.079772949,237.769668579
1582858335507744608,253,1582858335475215700,,177.286636353,163.20640564,-0.99482935667,378.698425293,237.917617798
1582858335539334365,254,1582858335511027539,,176.110855103,164.320007324,-0.922625660896,379.969940186,237.617874146
1582858335562457188,255,1582858335545165376,,173.566619873,166.899124146,-1.06562376022,382.30569458,237.463439941
1582858335602321692,256,1582858335575598780,,175.900726318,165.997039795,-0.97789645195,382.294311523,237.858352661
1582858335630781799,257,1582858335613370742,,171.246414185,167.268157959,-0.771201014519,382.913452148,237.219848633
1582858335686966166,258,1582858335668189311,,174.087585449,165.308364868,-1.15814387798,383.337585449,238.078277588
1582858335733783689,259,1582858335687185880,,174.837036133,161.554458618,-1.30045104027,384.93371582,238.43182373
1582858335769827911,260,1582858335720224154,,178.171447754,166.822601318,-0.919986307621,382.322570801,238.63331604
1582858335816006669,261,1582858335748671098,,180.021499634,162.68637085,-0.999147772789,381.684387207,238.910400391
1582858335857051961,262,1582858335779463596,,179.905899048,162.249130249,-0.977808356285,381.461181641,238.145507812
1582858335875651858,263,1582858335813567503,,178.926467896,163.659927368,-1.10605275631,381.771270752,239.200256348
1582858335892947677,264,1582858335839749357,,178.985565186,164.037185669,-1.1895865202,381.368408203,239.420898438
1582858335948363030,265,1582858335885541133,,180.221740723,163.599151611,-1.11891520023,381.595703125,239.145584106
1582858335961131149,266,1582858335906313586,,176.663421631,163.786636353,-1.04197144508,381.748962402,238.481872559
1582858336012805673,267,1582858335947300911,,175.438934326,164.051605225,-1.16882097721,381.297210693,238.032073975
1582858336055027925,268,1582858335973220108,,178.803482056,163.931884766,-1.19561493397,380.429168701,239.66229248
1582858336102492202,269,1582858336006118591,,174.998626709,165.61946106,-1.25415611267,381.929626465,239.223999023
1582858336121372417,270,1582858336040964978,,181.347442627,154.239028931,1.55699241161,387.50567627,240.038970947
1582858336144095921,271,1582858336074708196,,178.120925903,167.388168335,-1.43221175671,382.79586792,240.82661438
1582858336178815803,272,1582858336111491867,,175.547637939,169.103530884,-1.20801103115,382.883850098,238.444076538
1582858336217427779,273,1582858336144849824,,176.157455444,166.896499634,-1.25775897503,382.323822021,239.183654785
1582858336251272634,274,1582858336181748912,,183.312484741,160.77104187,-1.35676848888,383.620361328,240.622512817
1582858336308061004,275,1582858336215346966,,183.805450439,166.445068359,-1.31178224087,383.448181152,240.840927124
1582858336327660087,276,1582858336243413938,,179.047836304,164.041412354,-1.24961256981,384.611297607,240.061157227
1582858336356596027,277,1582858336274743581,,178.89692688,158.922653198,-1.51190173626,386.375030518,238.403656006
