%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1569836780060508669,4220,1569836780045329612,,0.0,0.0,0.0,0.0,0.0
1569836780109285420,4221,1569836780092037347,,0.0,0.0,0.0,0.0,0.0
1569836780129625044,4222,1569836780115089243,,0.0,0.0,0.0,0.0,0.0
1569836780159335587,4223,1569836780145316338,,0.0,0.0,0.0,0.0,0.0
1569836780191852157,4224,1569836780177379899,,0.0,0.0,0.0,0.0,0.0
1569836780227972499,4225,1569836780213348262,,0.0,0.0,0.0,0.0,0.0
1569836780259734172,4226,1569836780245334677,,0.0,0.0,0.0,0.0,0.0
1569836780296383407,4227,1569836780281398227,,0.0,0.0,0.0,0.0,0.0
1569836780327697136,4228,1569836780313364111,,0.0,0.0,0.0,0.0,0.0
1569836780359733099,4229,1569836780345372397,,0.0,0.0,0.0,0.0,0.0
1569836780396132273,4230,1569836780381387951,,0.0,0.0,0.0,0.0,0.0
1569836780427866011,4231,1569836780413395701,,0.0,0.0,0.0,0.0,0.0
1569836780461186069,4232,1569836780445748227,,0.0,0.0,0.0,0.0,0.0
1569836780497359929,4233,1569836780481770226,,0.0,0.0,0.0,0.0,0.0
1569836780528723136,4234,1569836780513715915,,159.791900635,159.766387939,0.0,319.997589111,240.0
1569836780561126465,4235,1569836780545702642,,159.791900635,159.766387939,0.0,319.997589111,240.0
1569836780596631640,4236,1569836780581780769,,160.689208984,132.440628052,0.367408782244,323.607177734,228.768386841
1569836780628229556,4237,1569836780613684594,,135.535186768,112.170593262,1.2081669569,325.077850342,222.694793701
1569836780665321724,4238,1569836780645373524,,114.291664124,87.5636672974,1.37580788136,322.827087402,229.596618652
1569836780697390541,4239,1569836780682806610,,107.752235413,82.9578475952,1.41242349148,322.305603027,231.934890747
1569836780728062751,4240,1569836780713345148,,107.358451843,87.5559768677,1.45290911198,326.539398193,231.969650269
1569836780759556045,4241,1569836780745366652,,119.134979248,92.703414917,1.29604065418,327.370452881,228.110290527
1569836780796110713,4242,1569836780781362318,,50.6347045898,45.3946075439,0.638397634029,322.25881958,239.26083374
1569836780827686022,4243,1569836780813323864,,0.0,0.0,0.0,0.0,0.0
1569836780860377424,4244,1569836780845318495,,0.0,0.0,0.0,0.0,0.0
1569836780896032186,4245,1569836780881345388,,0.0,0.0,0.0,0.0,0.0
1569836780928177240,4246,1569836780913306067,,0.0,0.0,0.0,0.0,0.0
1569836780959671712,4247,1569836780945344229,,0.0,0.0,0.0,0.0,0.0
1569836781001377181,4248,1569836780981370293,,0.0,0.0,0.0,0.0,0.0
1569836781037153374,4249,1569836781020928395,,0.0,0.0,0.0,0.0,0.0
1569836781060016684,4250,1569836781045550153,,0.0,0.0,0.0,0.0,0.0
1569836781095419896,4251,1569836781081372003,,0.0,0.0,0.0,0.0,0.0
1569836781127582336,4252,1569836781113302908,,0.0,0.0,0.0,0.0,0.0
1569836781160159774,4253,1569836781145301170,,0.0,0.0,0.0,0.0,0.0
1569836781197508196,4254,1569836781181359013,,0.0,0.0,0.0,0.0,0.0
1569836781239848490,4255,1569836781223703336,,0.0,0.0,0.0,0.0,0.0
1569836781261621857,4256,1569836781246097373,,0.0,0.0,0.0,0.0,0.0
1569836781304838997,4257,1569836781288082269,,0.0,0.0,0.0,0.0,0.0
1569836781328663032,4258,1569836781313432958,,9.68848133087,3.68915843964,-1.05075931549,295.879516602,198.338867188
1569836781359717534,4259,1569836781345333273,,9.08017253876,4.40950059891,-0.87299656868,300.218139648,291.29083252
1569836781395930428,4260,1569836781381392416,,12.6464986801,5.51892900467,-1.55266368389,320.844573975,183.986557007
1569836781427633905,4261,1569836781413172172,,15.9987335205,7.25089550018,-1.26781249046,334.213348389,178.012390137
1569836781464013907,4262,1569836781445232611,,12.7596073151,3.30603313446,-0.91403824091,354.118835449,237.290664673
1569836781501112417,4263,1569836781485635670,,13.7624807358,5.53684425354,-1.29024708271,343.303100586,265.859344482
1569836781527751052,4264,1569836781513345712,,159.791900635,159.766387939,0.0,319.997589111,240.0
1569836781559984041,4265,1569836781545359406,,159.791900635,159.766387939,0.0,319.997589111,240.0
1569836781596474136,4266,1569836781581390324,,160.790863037,131.423873901,0.397477984428,324.262634277,228.58190918
1569836781628404277,4267,1569836781613573369,,130.48789978,95.3669052124,1.09152555466,326.265472412,221.040786743
1569836781660000950,4268,1569836781645369842,,123.770256042,90.5860671997,1.11927568913,327.544250488,224.284225464
1569836781695781561,4269,1569836781681369391,,131.430725098,94.7359237671,1.12400841713,326.836853027,222.542526245
1569836781728076307,4270,1569836781713388052,,138.317382812,119.665916443,0.852598488331,326.193359375,222.836791992
1569836781769359458,4271,1569836781749420921,,158.841598511,135.008300781,0.362365931273,323.486175537,229.641021729
1569836781803795935,4272,1569836781787426795,,135.961898804,104.847373962,1.1747879982,324.809417725,223.949661255
1569836781828079746,4273,1569836781813395687,,0.0,0.0,0.0,0.0,0.0
1569836781864486641,4274,1569836781849400914,,0.0,0.0,0.0,0.0,0.0
1569836781896194227,4275,1569836781881307815,,0.0,0.0,0.0,0.0,0.0
1569836781928573173,4276,1569836781913607741,,0.0,0.0,0.0,0.0,0.0
1569836781964604127,4277,1569836781949758801,,0.0,0.0,0.0,0.0,0.0
1569836781996009595,4278,1569836781981329153,,0.0,0.0,0.0,0.0,0.0
1569836782027587572,4279,1569836782013359276,,0.0,0.0,0.0,0.0,0.0
1569836782067921425,4280,1569836782049373746,,0.0,0.0,0.0,0.0,0.0
1569836782111876487,4281,1569836782094856311,,0.0,0.0,0.0,0.0,0.0
1569836782129876876,4282,1569836782115057464,,0.0,0.0,0.0,0.0,0.0
1569836782163925965,4283,1569836782149348197,,0.0,0.0,0.0,0.0,0.0
1569836782195776217,4284,1569836782181288249,,0.0,0.0,0.0,0.0,0.0
1569836782227733756,4285,1569836782213497428,,0.0,0.0,0.0,0.0,0.0
1569836782263991920,4286,1569836782249366836,,0.0,0.0,0.0,0.0,0.0
1569836782295935857,4287,1569836782281319547,,0.0,0.0,0.0,0.0,0.0
1569836782327651017,4288,1569836782313342446,,0.0,0.0,0.0,0.0,0.0
1569836782368643859,4289,1569836782349365449,,0.0,0.0,0.0,0.0,0.0
1569836782403620312,4290,1569836782387575060,,0.0,0.0,0.0,0.0,0.0
1569836782432666601,4291,1569836782413607560,,0.0,0.0,0.0,0.0,0.0
1569836782466353998,4292,1569836782451136866,,0.0,0.0,0.0,0.0,0.0
1569836782500465738,4293,1569836782481320745,,0.0,0.0,0.0,0.0,0.0
1569836782531433477,4294,1569836782516156737,,0.0,0.0,0.0,0.0,0.0
1569836782564474695,4295,1569836782549328477,,159.791900635,159.766387939,0.0,319.997589111,240.0
1569836782595719424,4296,1569836782581288243,,159.791900635,159.766387939,0.0,319.997589111,240.0
1569836782628565967,4297,1569836782613330705,,141.288314819,120.006912231,0.84453868866,326.400756836,223.806472778
1569836782664581818,4298,1569836782649456690,,126.11403656,99.288192749,1.04235696793,321.981018066,225.81451416
1569836782697702515,4299,1569836782683293242,,109.533866882,86.950378418,1.32798552513,322.298980713,230.03956604
1569836782728256879,4300,1569836782713736640,,88.9405517578,83.7523727417,1.34425747395,322.349731445,236.534606934
1569836782763865542,4301,1569836782749393613,,124.875320435,95.3785095215,1.20012688637,326.970306396,227.767440796
1569836782800394837,4302,1569836782781347846,,128.793914795,100.004089355,1.07823693752,327.341888428,226.176971436
1569836782836354357,4303,1569836782820747323,,39.3048934937,34.9658164978,0.465043067932,324.703887939,237.179275513
1569836782864268864,4304,1569836782849367131,,0.0,0.0,0.0,0.0,0.0
1569836782896370446,4305,1569836782881327282,,0.0,0.0,0.0,0.0,0.0
1569836782927839054,4306,1569836782913302639,,0.0,0.0,0.0,0.0,0.0
1569836782963636901,4307,1569836782949314118,,0.0,0.0,0.0,0.0,0.0
1569836782995665019,4308,1569836782981280099,,0.0,0.0,0.0,0.0,0.0
1569836783027602052,4309,1569836783013287611,,0.0,0.0,0.0,0.0,0.0
1569836783063727971,4310,1569836783049286933,,0.0,0.0,0.0,0.0,0.0
1569836783096358025,4311,1569836783081278217,,0.0,0.0,0.0,0.0,0.0
1569836783131745381,4312,1569836783117390880,,0.0,0.0,0.0,0.0,0.0
1569836783163445417,4313,1569836783149307963,,0.0,0.0,0.0,0.0,0.0
1569836783199878901,4314,1569836783181279623,,0.0,0.0,0.0,0.0,0.0
1569836783236185438,4315,1569836783220978253,,0.0,0.0,0.0,0.0,0.0
1569836783263266575,4316,1569836783249315639,,0.0,0.0,0.0,0.0,0.0
1569836783295601354,4317,1569836783281308668,,0.0,0.0,0.0,0.0,0.0
1569836783331450507,4318,1569836783317357642,,3.98616099358,3.42592191696,0.283829718828,285.925445557,251.55166626
1569836783364047694,4319,1569836783349309222,,7.21041870117,4.88711166382,-1.24485206604,302.210083008,243.015533447
1569836783396214887,4320,1569836783381315705,,11.9959316254,5.61136484146,-1.21916246414,307.530944824,239.567138672
1569836783432684989,4321,1569836783417386080,,6.08191871643,4.08955860138,-1.36975181103,325.421173096,227.36555481
1569836783464122090,4322,1569836783449351699,,9.8524274826,6.18951416016,-1.10791444778,338.940429688,219.427688599
1569836783496527735,4323,1569836783481343498,,6.38888883591,3.39790177345,-0.231823772192,348.0,211.0
1569836783532974409,4324,1569836783517383670,,7.0883140564,5.65046644211,-1.09429883957,345.834228516,309.992004395
1569836783564307955,4325,1569836783549276863,,159.791900635,159.766387939,0.0,319.997589111,240.0
1569836783596858515,4326,1569836783581344549,,159.791900635,159.766387939,0.0,319.997589111,240.0
1569836783631642119,4327,1569836783617405449,,160.625,129.512893677,0.361649274826,324.007659912,227.511566162
1569836783664311519,4328,1569836783649320086,,145.903045654,96.9139938354,0.992261052132,329.370178223,223.895294189
1569836783695857327,4329,1569836783681314811,,120.447647095,87.9926986694,1.10108423233,328.411865234,225.214660645
1569836783732302876,4330,1569836783717384650,,125.973052979,91.8437728882,1.11678349972,327.980438232,224.331085205
1569836783763546685,4331,1569836783749382998,,131.548751831,106.772750854,1.17574489117,325.417633057,221.887588501
1569836783796367247,4332,1569836783781327531,,160.899307251,136.566192627,0.418520569801,323.602722168,230.807128906
1569836783831775212,4333,1569836783817400602,,71.0310897827,64.4092330933,0.0327096097171,324.172271729,238.169464111
1569836783864255554,4334,1569836783849453004,,0.0,0.0,0.0,0.0,0.0
1569836783896339756,4335,1569836783881665396,,0.0,0.0,0.0,0.0,0.0
1569836783932415189,4336,1569836783917719937,,0.0,0.0,0.0,0.0,0.0
1569836783963760141,4337,1569836783949668604,,0.0,0.0,0.0,0.0,0.0
1569836783995934396,4338,1569836783981642047,,0.0,0.0,0.0,0.0,0.0
1569836784031721908,4339,1569836784017395779,,0.0,0.0,0.0,0.0,0.0
1569836784063855748,4340,1569836784049321811,,0.0,0.0,0.0,0.0,0.0
1569836784096047806,4341,1569836784081263797,,0.0,0.0,0.0,0.0,0.0
1569836784131759368,4342,1569836784117382325,,0.0,0.0,0.0,0.0,0.0
1569836784163622980,4343,1569836784149299471,,0.0,0.0,0.0,0.0,0.0
1569836784196131929,4344,1569836784181313112,,0.0,0.0,0.0,0.0,0.0
1569836784231737938,4345,1569836784217371730,,0.0,0.0,0.0,0.0,0.0
1569836784263923500,4346,1569836784249321691,,0.0,0.0,0.0,0.0,0.0
1569836784300202701,4347,1569836784281325039,,0.0,0.0,0.0,0.0,0.0
1569836784334605308,4348,1569836784319840624,,0.0,0.0,0.0,0.0,0.0
1569836784369236460,4349,1569836784349453095,,0.0,0.0,0.0,0.0,0.0
1569836784406937905,4350,1569836784390184103,,0.0,0.0,0.0,0.0,0.0
1569836784432048775,4351,1569836784417470656,,0.0,0.0,0.0,0.0,0.0
1569836784464469360,4352,1569836784449303001,,0.0,0.0,0.0,0.0,0.0
1569836784495906074,4353,1569836784481299124,,0.0,0.0,0.0,0.0,0.0
1569836784531885125,4354,1569836784517319976,,0.0,0.0,0.0,0.0,0.0
1569836784570601393,4355,1569836784549375509,,0.0,0.0,0.0,0.0,0.0
1569836784603834477,4356,1569836784588478966,,159.791900635,159.766387939,0.0,319.997589111,240.0
1569836784632622637,4357,1569836784617259480,,159.791900635,159.766387939,0.0,319.997589111,240.0
1569836784667809925,4358,1569836784649335089,,139.053756714,117.851478577,0.943028509617,325.590057373,223.151184082
1569836784701543846,4359,1569836784686885892,,119.895233154,86.4602813721,1.35548901558,323.854187012,228.218505859
1569836784731784080,4360,1569836784717387680,,113.158882141,87.3165969849,1.41742384434,323.465576172,230.221679688
1569836784770333379,4361,1569836784749321305,,81.2436752319,79.1728515625,1.22433876991,321.277435303,238.549102783
1569836784803391349,4362,1569836784787484183,,119.632362366,93.389793396,1.29193222523,327.36114502,228.64743042
1569836784831620099,4363,1569836784817332696,,132.339477539,101.994567871,1.33744215965,328.075469971,226.609649658
1569836784864357432,4364,1569836784849280977,,19.3437633514,18.7248687744,-0.100593589246,323.082092285,239.02696228
1569836784899442148,4365,1569836784885336936,,0.0,0.0,0.0,0.0,0.0
1569836784932244958,4366,1569836784917265609,,0.0,0.0,0.0,0.0,0.0
1569836784971754123,4367,1569836784949272651,,0.0,0.0,0.0,0.0,0.0
1569836785007213864,4368,1569836784991356066,,0.0,0.0,0.0,0.0,0.0
1569836785033904039,4369,1569836785017395745,,0.0,0.0,0.0,0.0,0.0
1569836785065572430,4370,1569836785049303197,,0.0,0.0,0.0,0.0,0.0
