%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1569836780064189193,4200,1569836780045329612,,0.0,0.0,0.0,0.0,0.0
1569836780114752516,4201,1569836780092037347,,0.0,0.0,0.0,0.0,0.0
1569836780134271385,4202,1569836780115089243,,0.0,0.0,0.0,0.0,0.0
1569836780162546975,4203,1569836780145316338,,0.0,0.0,0.0,0.0,0.0
1569836780195353307,4204,1569836780177379899,,0.0,0.0,0.0,0.0,0.0
1569836780231346470,4205,1569836780213348262,,0.0,0.0,0.0,0.0,0.0
1569836780263130118,4206,1569836780245334677,,0.0,0.0,0.0,0.0,0.0
1569836780299063167,4207,1569836780281398227,,0.0,0.0,0.0,0.0,0.0
1569836780332637877,4208,1569836780313364111,,0.0,0.0,0.0,0.0,0.0
1569836780363987615,4209,1569836780345372397,,0.0,0.0,0.0,0.0,0.0
1569836780400459313,4210,1569836780381387951,,0.0,0.0,0.0,0.0,0.0
1569836780432119562,4211,1569836780413395701,,0.0,0.0,0.0,0.0,0.0
1569836780465451579,4212,1569836780445748227,,72.6060028076,39.1399803162,-0.518535792828,388.454559326,248.545455933
1569836780500804104,4213,1569836780481770226,,94.3409500122,84.5927124023,-0.34833163023,377.230773926,253.769226074
1569836780531714565,4214,1569836780513715915,,160.701065063,160.674560547,0.0,319.997741699,240.0
1569836780564258091,4215,1569836780545702642,,160.701065063,160.674560547,0.0,319.997741699,240.0
1569836780600507361,4216,1569836780581780769,,160.93447876,133.507415771,0.366170912981,323.906555176,228.981719971
1569836780631840475,4217,1569836780613684594,,135.713241577,113.28061676,-0.384896755219,324.635498047,222.834320068
1569836780678374936,4218,1569836780645373524,,115.178268433,88.5971069336,-0.205895572901,322.953125,229.131439209
1569836780702718779,4219,1569836780682806610,,108.286514282,84.6934127808,-0.136700183153,322.533813477,231.706298828
1569836780732153541,4220,1569836780713345148,,106.410606384,88.8232650757,-0.0957258269191,326.85836792,231.913650513
1569836780763611622,4221,1569836780745366652,,120.523391724,93.4748916626,-0.279813319445,327.591339111,228.177856445
1569836780799680428,4222,1569836780781362318,,51.3499450684,46.3008728027,0.679306805134,322.206542969,239.32510376
1569836780830814657,4223,1569836780813323864,,0.0,0.0,0.0,0.0,0.0
1569836780864278215,4224,1569836780845318495,,0.0,0.0,0.0,0.0,0.0
1569836780899724489,4225,1569836780881345388,,0.0,0.0,0.0,0.0,0.0
1569836780931865734,4226,1569836780913306067,,0.0,0.0,0.0,0.0,0.0
1569836780963113908,4227,1569836780945344229,,0.0,0.0,0.0,0.0,0.0
1569836781011259734,4228,1569836780981370293,,0.0,0.0,0.0,0.0,0.0
1569836781040737534,4229,1569836781020928395,,0.0,0.0,0.0,0.0,0.0
1569836781063307154,4230,1569836781045550153,,0.0,0.0,0.0,0.0,0.0
1569836781099461670,4231,1569836781081372003,,0.0,0.0,0.0,0.0,0.0
1569836781132073852,4232,1569836781113302908,,0.0,0.0,0.0,0.0,0.0
1569836781163716139,4233,1569836781145301170,,0.0,0.0,0.0,0.0,0.0
1569836781200096288,4234,1569836781181359013,,0.0,0.0,0.0,0.0,0.0
1569836781244887678,4235,1569836781223703336,,0.0,0.0,0.0,0.0,0.0
1569836781265257795,4236,1569836781246097373,,112.260955811,2.34033203125,-0.017059462145,276.0,281.0
1569836781307925996,4237,1569836781288082269,,151.912384033,9.45788383484,-0.0554665923119,280.440002441,235.800003052
1569836781332264690,4238,1569836781313432958,,170.764389038,24.551027298,0.0450797155499,294.305084229,254.042373657
1569836781363847578,4239,1569836781345333273,,195.348632812,23.3985404968,0.0410480424762,308.552642822,242.149124146
1569836781398927366,4240,1569836781381392416,,194.115478516,30.3004570007,0.0968005135655,316.524810791,242.014190674
1569836781431852636,4241,1569836781413172172,,189.800888062,29.0650196075,0.0980328321457,331.619354248,233.793548584
1569836781476519924,4242,1569836781445232611,,166.469955444,29.9437236786,0.126474171877,346.841278076,244.198410034
1569836781505782883,4243,1569836781485635670,,149.388656616,31.1485233307,0.119388006628,350.156616211,242.331329346
1569836781531997142,4244,1569836781513345712,,160.701065063,160.674560547,0.0,319.997741699,240.0
1569836781563349333,4245,1569836781545359406,,160.701065063,160.674560547,0.0,319.997741699,240.0
1569836781599631533,4246,1569836781581390324,,161.284118652,132.547088623,0.404012233019,324.519836426,228.844116211
1569836781631891995,4247,1569836781613573369,,132.122894287,95.4073257446,-0.474383592606,327.085693359,220.948944092
1569836781663674033,4248,1569836781645369842,,125.729637146,90.3101959229,-0.440130382776,327.975372314,223.871109009
1569836781699883999,4249,1569836781681369391,,132.421966553,94.5609054565,-0.41913741827,327.514465332,222.569381714
1569836781732181598,4250,1569836781713388052,,139.829421997,119.24949646,-0.742822647095,326.165893555,222.669525146
1569836781779556537,4251,1569836781749420921,,159.574157715,135.962127686,0.365501970053,323.644195557,229.780700684
1569836781807488166,4252,1569836781787426795,,135.267562866,105.959594727,-0.425478041172,324.756958008,223.798675537
1569836781832076567,4253,1569836781813395687,,0.0,0.0,0.0,0.0,0.0
1569836781867077383,4254,1569836781849400914,,0.0,0.0,0.0,0.0,0.0
1569836781899664522,4255,1569836781881307815,,0.0,0.0,0.0,0.0,0.0
1569836781932212637,4256,1569836781913607741,,0.0,0.0,0.0,0.0,0.0
