%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1603439977823882743,480,1603439977808658787,,114.348396301,87.1987457275,0.739791810513,371.084594727,225.334350586,86.3984375
1603439977859239080,481,1603439977844672626,,113.708389282,85.0011062622,0.74085277319,371.599182129,225.97883606,86.415763855
1603439977892627687,482,1603439977876633878,,113.498069763,85.6310501099,0.635871231556,370.130096436,227.052124023,86.6298751831
1603439977922731259,483,1603439977908850951,,113.504196167,86.1688156128,0.602168142796,369.898529053,228.002593994,86.7602539062
1603439977959256947,484,1603439977945090340,,114.023773193,86.1912765503,0.50546503067,369.082366943,229.113555908,86.8529663086
1603439977991214367,485,1603439977976519703,,112.48739624,87.3113327026,0.398869752884,368.42590332,230.27166748,86.9471588135
1603439978023424372,486,1603439978008741649,,112.816246033,88.7509918213,0.422817051411,368.211212158,230.39239502,87.1447372437
1603439978052356074,487,1603439978039220380,,113.057319641,87.4339141846,0.337112665176,368.513763428,231.533370972,86.7956314087
1603439978084365090,488,1603439978071359545,,115.355522156,86.200340271,0.250237137079,367.905334473,232.524093628,86.6680526733
1603439978117214502,489,1603439978103562623,,116.513153076,87.3478469849,0.241755113006,367.20715332,232.596191406,86.7235412598
1603439978158459126,490,1603439978144758136,,117.31061554,86.5856018066,0.125725567341,365.194793701,234.816802979,86.6622314453
1603439978191574431,491,1603439978176904340,,118.336364746,84.0527038574,0.0360813066363,365.940765381,236.455154419,86.5673904419
1603439978225175611,492,1603439978208921886,,115.613166809,84.1969146729,0.00971387978643,367.198974609,236.596481323,86.4239730835
1603439978257814326,493,1603439978244290619,,113.903709412,83.8416976929,-0.028375050053,367.437133789,237.828048706,86.1912612915
1603439978295213292,494,1603439978276342393,,112.899993896,85.1496200562,-0.12673650682,367.921630859,239.645324707,86.087097168
1603439978322232035,495,1603439978308226241,,115.622436523,85.0719528198,-0.150733724236,367.437255859,239.990615845,85.8631591797
1603439978359126728,496,1603439978344305265,,115.661628723,86.5117797852,-0.225601166487,366.372192383,241.314788818,85.6392364502
1603439978389817847,497,1603439978376240837,,116.977676392,84.5149078369,-0.232518061996,366.103240967,241.90045166,85.3473358154
1603439978422155532,498,1603439978408249368,,115.583534241,84.9836044312,-0.247317254543,366.534118652,242.280456543,85.2256622314
1603439978458206197,499,1603439978444584001,,114.630386353,86.8081054688,-0.297209978104,367.543945312,242.275695801,85.1716918945
1603439978485243793,500,1603439978471964387,,113.56778717,86.8808135986,-0.408433705568,368.235931396,244.251327515,85.201210022
1603439978516819211,501,1603439978503174854,,113.765937805,86.1629180908,-0.501212835312,368.792327881,245.512817383,85.4122314453
1603439978553775148,502,1603439978539280310,,115.875465393,86.7285995483,-0.578906476498,368.417388916,246.625808716,85.665397644
1603439978590434299,503,1603439978575960798,,115.824501038,86.9476623535,-0.540687561035,369.214080811,246.560455322,85.9759979248
