%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1603439977825671111,480,1603439977808658787,,6.19999980927
1603439977860521725,481,1603439977844672626,,6.19999980927
1603439977894506533,482,1603439977876633878,,6.19999980927
1603439977923845960,483,1603439977908850951,,6.19999980927
1603439977960655389,484,1603439977945090340,,6.19999980927
1603439977992489866,485,1603439977976519703,,6.19999980927
1603439978024956814,486,1603439978008741649,,6.19999980927
1603439978053847413,487,1603439978039220380,,6.19999980927
1603439978086026808,488,1603439978071359545,,6.19999980927
1603439978118944146,489,1603439978103562623,,6.19999980927
1603439978159813932,490,1603439978144758136,,6.19999980927
1603439978192604088,491,1603439978176904340,,6.19999980927
1603439978226502154,492,1603439978208921886,,6.19999980927
1603439978259357175,493,1603439978244290619,,6.19999980927
1603439978296657554,494,1603439978276342393,,6.19999980927
1603439978323805746,495,1603439978308226241,,6.19999980927
1603439978360851442,496,1603439978344305265,,6.19999980927
1603439978391261382,497,1603439978376240837,,6.19999980927
1603439978423930424,498,1603439978408249368,,6.19999980927
1603439978459902322,499,1603439978444584001,,6.19999980927
1603439978487091550,500,1603439978471964387,,6.19999980927
1603439978518577533,501,1603439978503174854,,6.19999980927
1603439978555488928,502,1603439978539280310,,6.19999980927
1603439978591848204,503,1603439978575960798,,6.19999980927
1603439978622667646,504,1603439978608075805,,6.19999980927
1603439978659968403,505,1603439978644227195,,6.19999980927
1603439978690489390,506,1603439978676148873,,6.19999980927
1603439978722399059,507,1603439978708399306,,6.19999980927
1603439978759449546,508,1603439978744078400,,6.19999980927
1603439978792891479,509,1603439978776194410,,6.19999980927
1603439978829495922,510,1603439978808251176,,6.19999980927
1603439978858755568,511,1603439978844221222,,6.19999980927
1603439978892585149,512,1603439978876917886,,6.19999980927
1603439978921085371,513,1603439978903207564,,6.19999980927
1603439978954771597,514,1603439978939492921,,6.19999980927
1603439978987712448,515,1603439978971890286,,6.19999980927
1603439979023583270,516,1603439979007503037,,6.19999980927
1603439979055800976,517,1603439979039532780,,6.19999980927
1603439979087303985,518,1603439979071264710,,6.19999980927
1603439979123196603,519,1603439979107569664,,6.19999980927
1603439979154669897,520,1603439979139550905,,6.19999980927
1603439979191397464,521,1603439979176564428,,6.19999980927
1603439979227923181,522,1603439979212208067,,6.19999980927
1603439979260302602,523,1603439979244853442,,6.19999980927
1603439979293183066,524,1603439979276478201,,6.19999980927
1603439979328880578,525,1603439979312398201,,6.19999980927
1603439979359524138,526,1603439979344492877,,6.19999980927
1603439979392199478,527,1603439979376592682,,6.19999980927
1603439979428263159,528,1603439979412313505,,6.19999980927
1603439979459395996,529,1603439979444284575,,6.19999980927
1603439979492639512,530,1603439979476282956,,6.19999980927
1603439979526836786,531,1603439979512378613,,6.19999980927
1603439979559249488,532,1603439979544273239,,6.19999980927
1603439979592501808,533,1603439979576386779,,6.19999980927
1603439979628276276,534,1603439979612352676,,6.19999980927
1603439979661236302,535,1603439979644305158,,6.19999980927
1603439979691764665,536,1603439979676336818,,6.19999980927
1603439979723395337,537,1603439979707213157,,6.19999980927
1603439979758106298,538,1603439979739680538,,6.19999980927
1603439979788331020,539,1603439979772474481,,6.19999980927
1603439979824881442,540,1603439979809092165,,6.19999980927
1603439979857568445,541,1603439979841433948,,6.19999980927
1603439979887814495,542,1603439979871511661,,6.19999980927
1603439979923241780,543,1603439979907442658,,6.19999980927
1603439979960665596,544,1603439979944799245,,6.19999980927
1603439979991653520,545,1603439979976316744,,6.19999980927
1603439980028359341,546,1603439980012360316,,6.19999980927
1603439980060414467,547,1603439980044295718,,6.19999980927
1603439980091872504,548,1603439980076283163,,6.19999980927
1603439980128455109,549,1603439980112408348,,6.19999980927
1603439980160328143,550,1603439980144371662,,6.19999980927
1603439980192498268,551,1603439980176363798,,6.19999980927
1603439980229417209,552,1603439980213555724,,6.19999980927
1603439980260885784,553,1603439980245353631,,6.19999980927
1603439980293206619,554,1603439980277491602,,6.19999980927
1603439980331863244,555,1603439980313158179,,6.19999980927
1603439980360145236,556,1603439980344589795,,6.19999980927
1603439980390779278,557,1603439980375522076,,6.19999980927
1603439980426866986,558,1603439980412249012,,6.19999980927
1603439980462162717,559,1603439980444390063,,6.19999980927
1603439980495150077,560,1603439980480320569,,6.19999980927
1603439980527670596,561,1603439980512301187,,6.19999980927
1603439980559065762,562,1603439980544482409,,6.19999980927
1603439980595525480,563,1603439980580379387,,6.19999980927
1603439980628557870,564,1603439980612496701,,6.19999980927
1603439980659893095,565,1603439980644498709,,6.19999980927
1603439980696054219,566,1603439980680479724,,6.19999980927
1603439980722498831,567,1603439980707468634,,6.19999980927
1603439980754805604,568,1603439980739886520,,6.19999980927
1603439980791820971,569,1603439980775457869,,6.19999980927
1603439980827356516,570,1603439980812414752,,6.19999980927
1603439980860345634,571,1603439980844566844,,6.19999980927
