%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1603440816419947358,2108,1603440816405194465,,112.017272949,88.5661849976,0.712801456451,369.891571045,225.816665649,87.6105651855
1603440816455631344,2109,1603440816441252963,,112.853378296,84.9374694824,0.723310053349,370.80166626,225.448623657,87.6943511963
1603440816484639315,2110,1603440816467592178,,110.251213074,85.3049545288,0.673634588718,370.987762451,226.939086914,87.4895935059
1603440816517215045,2111,1603440816500412388,,110.967391968,84.5776062012,0.616211771965,370.749176025,227.347900391,87.2408752441
1603440816550739695,2112,1603440816535944659,,109.793785095,85.5331268311,0.556273341179,369.863800049,228.422546387,86.9274597168
1603440816587473183,2113,1603440816573289696,,109.760482788,85.2600402832,0.519647717476,369.371337891,229.21282959,86.5531234741
1603440816619423675,2114,1603440816604787959,,111.086036682,86.4809417725,0.408690690994,368.09777832,230.058349609,86.5993881226
1603440816656616448,2115,1603440816640821232,,110.816505432,85.8708572388,0.414123535156,367.981567383,230.620910645,86.5477905273
1603440816681739310,2116,1603440816667617941,,110.584060669,85.1334762573,0.358520746231,368.150665283,231.763748169,86.2438583374
1603440816714378530,2117,1603440816699588761,,110.358467102,85.7655181885,0.308470606804,367.5262146,232.933654785,85.743019104
1603440816749798046,2118,1603440816735592671,,112.200874329,86.007484436,0.223157584667,366.548461914,233.527008057,85.4871444702
1603440816780692702,2119,1603440816767468328,,113.885047913,85.015296936,0.123615019023,366.30645752,234.981964111,85.494934082
1603440816823452988,2120,1603440816804790126,,115.379394531,83.7382583618,0.0882980376482,365.770812988,235.574295044,85.3382568359
1603440816854690204,2121,1603440816841115905,,113.112701416,89.114151001,-0.157895490527,369.087738037,234.296081543,85.7919158936
1603440816887991779,2122,1603440816873114450,,111.816925049,82.6600418091,0.00713407574221,366.867340088,237.93145752,85.5046081543
1603440816919170216,2123,1603440816905070245,,111.916954041,82.9376983643,-0.0684618800879,366.788024902,239.129455566,85.2723693848
1603440816948929859,2124,1603440816935767901,,112.579223633,83.3306121826,-0.0919870510697,367.380187988,239.60836792,84.9573364258
1603440816985748174,2125,1603440816972818365,,112.260475159,83.5264587402,-0.167924419045,366.636169434,240.948379517,84.7229003906
1603440817016633421,2126,1603440816999613675,,113.486076355,84.3142776489,-0.178032845259,366.312103271,241.207901001,84.6409759521
1603440817054748262,2127,1603440817041163978,,114.655220032,84.024887085,-0.212066590786,366.266082764,241.607223511,84.4669189453
1603440817093011372,2128,1603440817073086358,,111.01096344,84.8272094727,-0.230651587248,367.405731201,241.903564453,84.3488922119
1603440817122555468,2129,1603440817105077667,,108.773979187,84.3476867676,-0.269237726927,368.22869873,242.694549561,84.2821273804
1603440817158165165,2130,1603440817141109162,,107.619338989,86.1581878662,-0.429901838303,369.114624023,245.207839966,84.5241241455
1603440817187671362,2131,1603440817173058203,,108.74118042,85.8677139282,-0.542982518673,369.44442749,246.604827881,84.1994781494
1603440817219058570,2132,1603440817205074155,,109.210662842,86.0500335693,-0.604073047638,369.018585205,247.351928711,84.5384750366
1603440817256170706,2133,1603440817241128440,,108.928749084,85.712348938,-0.564782738686,369.449554443,246.984039307,84.8159408569
1603440817287724120,2134,1603440817273073236,,107.209518433,86.1907653809,-0.598835527897,369.402008057,247.697570801,85.1019592285
1603440817320004742,2135,1603440817305069803,,107.776641846,85.0939407349,-0.674964904785,370.598876953,247.868637085,85.2587051392
1603440817357422125,2136,1603440817341378695,,111.168708801,85.6854629517,-0.687381148338,371.406219482,248.525878906,85.3958206177
1603440817388014741,2137,1603440817373076502,,109.41809845,85.2426528931,-0.735363662243,371.83114624,249.573150635,85.5176010132
1603440817418809146,2138,1603440817405072484,,109.800552368,85.1298294067,-0.774404168129,372.076446533,250.36126709,85.5478591919
1603440817450059109,2139,1603440817435755178,,109.565490723,86.2363891602,-0.840995132923,373.41192627,251.068222046,85.7367324829
1603440817483726886,2140,1603440817469710255,,110.118591309,86.963180542,-0.954462707043,374.250732422,251.568069458,85.8172302246
1603440817514280747,2141,1603440817499652931,,109.964378357,86.8699188232,-0.99480587244,375.609588623,252.262771606,85.9174499512
1603440817550275026,2142,1603440817535826395,,111.254211426,87.7856140137,-1.10987389088,377.088989258,252.832901001,86.0910110474
