%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1603442218487530997,1927,1603442218468183967,,113.407516479,80.5702896118,0.0304930619895,399.557250977,238.716308594,23.5028476715
1603442218521638934,1928,1603442218505618268,,113.973350525,78.2984313965,0.0410603508353,400.46697998,237.956771851,27.4177684784
1603442218555779909,1929,1603442218541792766,,109.29788208,78.3891067505,0.0286765191704,398.782196045,237.128234863,31.3372249603
1603442218589685177,1930,1603442218573710714,,112.623893738,77.5476455688,0.012085291557,399.961883545,236.725997925,35.2146072388
1603442218619600835,1931,1603442218605623734,,110.615882874,78.8006820679,-0.0508012622595,399.816925049,235.479324341,39.1546401978
1603442218682528431,1932,1603442218668614435,,107.269927979,80.2281112671,-0.233815953135,397.906158447,233.138656616,43.1660461426
1603442218718151780,1933,1603442218704171251,,107.083877563,81.665145874,-0.386851578951,397.743682861,231.106658936,47.2493057251
1603442218749830438,1934,1603442218736116108,,110.193901062,82.4753799438,-0.441326141357,398.775878906,229.499420166,51.3730735779
1603442218785298387,1935,1603442218768114057,,109.758979797,82.8673477173,-0.479248821735,398.118530273,228.822372437,55.5164413452
1603442218823312542,1936,1603442218809570749,,109.959632874,81.7495574951,-0.606990754604,396.853912354,227.694992065,59.6039199829
1603442218856958385,1937,1603442218841600260,,107.981681824,80.3325424194,-0.719309806824,394.077362061,226.858306885,63.6205444336
1603442218888346403,1938,1603442218873605764,,106.747459412,81.0829772949,-0.789475381374,393.258544922,226.624008179,67.674697876
1603442218925926044,1939,1603442218909647253,,108.008506775,82.141494751,-0.893518865108,393.012573242,224.977462769,71.7817687988
1603442218956288985,1940,1603442218941596062,,109.218856812,81.8159790039,-0.896727800369,393.003387451,224.794967651,75.8725662231
1603442218988487329,1941,1603442218974498754,,109.312263489,81.3371276855,-0.968387067318,392.143005371,223.311172485,79.9394226074
1603442219024730060,1942,1603442219010557828,,104.706169128,83.4648895264,-1.02051973343,390.480529785,224.72706604,80.9036941528
1603442219055807849,1943,1603442219042309832,,106.677528381,84.9038314819,-1.06571400166,388.89666748,223.077026367,81.1475982666
1603442219090856837,1944,1603442219074071412,,104.911827087,83.9171600342,-1.1533510685,388.249908447,223.274246216,81.2491912842
1603442219126329346,1945,1603442219110279422,,105.751739502,85.028427124,-1.26178693771,387.483428955,222.058914185,81.3866348267
1603442219156444715,1946,1603442219142215405,,105.031135559,83.0839614868,-1.3422601223,386.021942139,223.263671875,81.4850006104
1603442219188630226,1947,1603442219174307840,,105.774971008,82.489364624,-1.42014968395,384.99206543,223.088043213,81.5809555054
1603442219225276017,1948,1603442219210348482,,107.670967102,83.3801956177,-1.50416505337,383.382019043,222.375686646,81.8350448608
1603442219260261095,1949,1603442219241519289,,109.908866882,81.3971405029,1.5486164093,382.937286377,221.99659729,81.9854507446
1603442219287468053,1950,1603442219273633079,,110.315673828,81.6716842651,1.52339422703,382.261413574,222.000213623,82.1916503906
1603442219324348004,1951,1603442219309570142,,109.024185181,83.3049850464,1.44392836094,380.855834961,222.181716919,82.4168624878
1603442219350682089,1952,1603442219336101197,,109.128303528,82.4661712646,1.35548663139,379.914794922,222.410903931,82.5287704468
1603442219388575483,1953,1603442219373847941,,108.118553162,83.5766830444,1.29395806789,378.949188232,222.747421265,82.6243438721
1603442219424664605,1954,1603442219409677924,,109.478691101,83.3330612183,1.28764343262,378.205566406,222.188858032,82.6672286987
1603442219456376566,1955,1603442219441521390,,105.890518188,85.9451141357,1.06791293621,376.263092041,223.379684448,82.8211212158
1603442219488376216,1956,1603442219473555058,,107.3489151,85.4803390503,1.0180580616,375.541137695,223.402252197,83.0076599121
1603442219524137272,1957,1603442219509705547,,106.29322052,86.6083679199,0.878320097923,374.00289917,224.851425171,83.3214492798
1603442219555420342,1958,1603442219541542543,,110.477806091,87.6958465576,0.666516780853,370.195404053,225.203536987,83.65209198
1603442219588576030,1959,1603442219573579136,,112.288230896,86.4253540039,0.664643764496,369.712371826,225.250976562,83.8662872314
1603442219623877232,1960,1603442219609816154,,111.671585083,84.6392822266,0.590717375278,369.04800415,226.651245117,84.0074462891
1603442219655652969,1961,1603442219641613678,,107.274650574,84.3264007568,0.548454046249,368.990112305,227.605926514,84.1569137573
1603442219688597100,1962,1603442219673642683,,106.78477478,84.6750030518,0.50894010067,369.411071777,228.300369263,84.2174224854
1603442219724039122,1963,1603442219709653345,,108.786560059,84.7985534668,0.51196873188,369.75982666,229.038116455,84.2121582031
1603442219756195320,1964,1603442219741633480,,107.956108093,86.1007080078,0.433966219425,368.313598633,229.81350708,84.3213348389
1603442219787532342,1965,1603442219773614099,,109.257003784,86.4448318481,0.327327400446,367.251403809,231.134002686,84.3921508789
1603442219825001302,1966,1603442219809744455,,109.755836487,84.9596405029,0.293495118618,368.036773682,231.313827515,84.4859390259
1603442219855488382,1967,1603442219841589931,,110.787414551,85.9611282349,0.181301608682,366.917053223,232.938873291,84.6595230103
1603442219887538506,1968,1603442219873809164,,111.668571472,86.3538894653,0.130028441548,365.768005371,233.697021484,84.8082122803
1603442219924361118,1969,1603442219909586445,,113.043731689,84.7745513916,0.0607300586998,366.496246338,235.520980835,84.9770812988
1603442219955836563,1970,1603442219941689809,,110.835884094,83.0102462769,0.0621367432177,366.325775146,235.958938599,85.0440063477
1603442219988842402,1971,1603442219973805033,,110.497406006,83.3402328491,0.0443830452859,366.793365479,236.484619141,85.0457687378
1603442220023960253,1972,1603442220009827330,,109.719787598,81.9720840454,-0.016841031611,366.801574707,237.640701294,85.0210647583
1603442220057054650,1973,1603442220042599647,,115.43157196,85.0131988525,-0.289649665356,369.219940186,237.753540039,85.0928955078
1603442220087494146,1974,1603442220073657590,,109.764083862,84.0287857056,-0.145955070853,367.374084473,239.797470093,85.1276779175
1603442220124321233,1975,1603442220109638765,,109.939735413,82.6838607788,-0.128085926175,366.370849609,240.582199097,84.9646148682
1603442220156553475,1976,1603442220141830538,,109.877120972,83.7598571777,-0.211788147688,366.33380127,241.33605957,84.8785934448
