%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1603443510006950020,5692,1603443509991994797,,107.709152222,83.5152587891,0.555979907513,369.441619873,227.265258789,83.8265457153
1603443510044020072,5693,1603443510030026385,,107.179847717,84.638633728,0.543348133564,369.298156738,228.664764404,83.8463287354
1603443510076746539,5694,1603443510062140444,,106.678863525,83.539894104,0.493853271008,369.66506958,229.557723999,83.8655548096
1603443510112809519,5695,1603443510098125221,,107.760253906,85.4773483276,0.467930316925,368.704650879,229.28855896,83.8993682861
1603443510137847922,5696,1603443510124074315,,108.948066711,85.6906738281,0.36836630106,367.743041992,230.318161011,83.9975128174
1603443510170272642,5697,1603443510156114933,,110.938461304,84.6329269409,0.344423830509,367.187683105,232.353118896,84.0489578247
1603443510207274224,5698,1603443510192947595,,109.472930908,85.2617416382,0.249642595649,367.19821167,232.716293335,84.1797637939
1603443510239495812,5699,1603443510224348084,,111.445030212,84.8454437256,0.109663911164,365.339874268,234.77671814,84.3272018433
1603443510272679266,5700,1603443510256411416,,111.608863831,84.4027023315,0.0405555479228,365.10168457,235.812927246,84.4617919922
1603443510315536146,5701,1603443510298038908,,112.694351196,83.7702255249,0.00709386216477,365.30380249,236.45741272,84.510093689
1603443510344608321,5702,1603443510329920465,,111.608482361,83.171546936,-0.0242301058024,366.024047852,237.604110718,84.4273986816
1603443510380102922,5703,1603443510365851966,,110.796783447,83.1185073853,-0.0942652523518,367.499603271,238.954940796,84.4190979004
1603443510415011562,5704,1603443510397255633,,109.129348755,84.2101287842,-0.0853307470679,367.816894531,239.233261108,84.4281921387
1603443510447680162,5705,1603443510429326772,,110.166549683,84.5539627075,-0.185646295547,366.76940918,240.451538086,84.4452209473
1603443510484072676,5706,1603443510465561809,,111.292930603,84.4366989136,-0.166322395205,366.516326904,241.082229614,84.37890625
1603443510513707771,5707,1603443510496979461,,110.129951477,83.7651824951,-0.174216136336,366.295928955,241.220184326,84.3247680664
1603443510543829998,5708,1603443510528889644,,110.028160095,84.0975265503,-0.246012702584,366.549835205,242.165435791,84.259765625
1603443510581043094,5709,1603443510566051450,,109.98576355,85.1656341553,-0.335343241692,367.356567383,242.92640686,84.3042297363
1603443510611966703,5710,1603443510597463486,,109.077545166,84.2235107422,-0.399184137583,368.369445801,244.109664917,84.3805770874
1603443510643447157,5711,1603443510629538124,,109.271682739,84.7053070068,-0.563580214977,367.840576172,246.835739136,84.3611450195
1603443510680829099,5712,1603443510665672034,,111.55884552,85.5238876343,-0.658882915974,368.608306885,248.180435181,84.4615707397
1603443510713656871,5713,1603443510697546935,,110.883087158,83.6824951172,-0.704261958599,369.725891113,248.1484375,84.4137649536
1603443510746322045,5714,1603443510729786092,,110.196228027,84.4565200806,-0.756690204144,371.099182129,248.782394409,84.4595947266
1603443510782289961,5715,1603443510765588205,,109.778831482,84.5766143799,-0.743580102921,370.757537842,249.118270874,84.4145584106
1603443510814114358,5716,1603443510797470508,,108.931358337,83.6996994019,-0.790776431561,371.819580078,249.138641357,84.3150100708
1603443510844450067,5717,1603443510829387409,,109.277259827,84.6947784424,-0.809010028839,372.029571533,249.777053833,84.318107605
1603443510882450434,5718,1603443510865442888,,110.026100159,83.7460479736,-0.83798366785,372.528503418,250.77456665,84.2423248291
1603443510913615771,5719,1603443510897837699,,110.361968994,83.0344924927,-0.889123022556,373.795715332,251.071350098,84.1517715454
1603443510944039595,5720,1603443510930055467,,109.638450623,84.889541626,-1.0408141613,375.157043457,252.499847412,84.1761169434
1603443510984229980,5721,1603443510966264020,,111.366539001,86.4620361328,-1.15749871731,376.992889404,253.263565063,84.3107070923
1603443511006959981,5722,1603443510992033907,,110.075569153,86.9451828003,-1.21443164349,377.75970459,253.40461731,84.4993896484
1603443511041827378,5723,1603443511024390364,,108.963287354,86.0716018677,-1.33234524727,379.933746338,253.089263916,84.6470413208
1603443511081033388,5724,1603443511066127148,,108.242698669,85.799079895,-1.43173527718,380.590026855,253.343566895,84.7264862061
1603443511113469790,5725,1603443511098437987,,109.010658264,88.3622207642,-1.50727891922,381.174743652,253.605072021,84.9169006348
1603443511144473953,5726,1603443511130082726,,109.939086914,86.4191513062,-1.53574204445,382.679626465,253.493988037,85.0160217285
1603443511181745823,5727,1603443511166231700,,110.732528687,84.6584625244,1.52359974384,384.000091553,253.620330811,85.0606918335
1603443511213130074,5728,1603443511198280802,,110.941833496,84.8111953735,1.4698805809,384.851043701,253.763885498,85.0963745117
1603443511238506483,5729,1603443511223900637,,120.434410095,88.751121521,-1.54566586018,386.510620117,249.976867676,85.2756500244
1603443511274834793,5730,1603443511259885844,,110.358337402,88.9909210205,1.41671192646,387.125335693,252.185806274,85.5140151978
1603443511306953061,5731,1603443511292162901,,111.097473145,87.8866195679,1.36442184448,387.863769531,252.649398804,85.6730804443
1603443511340320230,5732,1603443511323744258,,112.409538269,89.6242370605,1.24220776558,389.15411377,253.576248169,85.8780975342
1603443511382832010,5733,1603443511365717243,,114.854309082,88.8000640869,1.18043041229,390.188720703,253.128631592,86.1339797974
1603443511411905294,5734,1603443511397628035,,114.418563843,88.678855896,1.13245999813,391.330810547,252.58895874,86.3450927734
1603443511444666545,5735,1603443511429647890,,115.44078064,92.373916626,0.916734874249,394.494384766,251.472503662,86.7349624634
1603443511479844716,5736,1603443511465620892,,115.109046936,87.2206268311,0.833152353764,394.563232422,250.562850952,86.9110107422
1603443511516098244,5737,1603443511498024526,,116.086708069,90.1438903809,0.756085574627,396.109069824,249.609817505,87.1834640503
1603443511539021358,5738,1603443511524177822,,115.814483643,86.1219177246,0.754166722298,396.019470215,249.746292114,87.3022537231
1603443511575103118,5739,1603443511560221564,,117.810379028,87.1426239014,0.669883310795,397.078704834,248.310302734,87.5076599121
1603443511615046219,5740,1603443511598262134,,117.734428406,90.2978057861,0.592900633812,398.617614746,247.161010742,87.7780761719
1603443511646033954,5741,1603443511630278291,,116.515640259,87.6147232056,0.585890889168,397.960601807,247.253341675,87.8357086182
1603443511683026663,5742,1603443511666033939,,117.018058777,88.5399398804,0.476006746292,398.830688477,246.238418579,87.9154510498
1603443511715091388,5743,1603443511698642410,,117.801895142,88.10181427,0.483509004116,399.053009033,246.282745361,88.016960144
1603443511745259474,5744,1603443511730074073,,119.244865417,88.8656005859,0.394010961056,400.053894043,244.758468628,88.1702880859
1603443511779497489,5745,1603443511765393680,,120.321411133,89.0405807495,0.287207275629,400.84588623,243.507980347,88.2042007446
1603443511811204254,5746,1603443511797044803,,123.952133179,87.6795959473,0.231701672077,399.75402832,242.735748291,88.2672271729
1603443511847744173,5747,1603443511833031328,,132.451828003,91.8530731201,0.0973533168435,400.559570312,239.68107605,88.626953125
1603443511880580301,5748,1603443511865516457,,138.305023193,86.7419586182,0.0861965343356,398.804260254,240.495269775,88.7234954834
1603443511911254671,5749,1603443511896829994,,138.447372437,86.335395813,0.065214022994,400.208404541,239.985610962,88.6027069092
1603443511949095731,5750,1603443511932919423,,142.364837646,84.9072799683,0.0540954582393,403.504425049,239.966705322,88.3985290527
1603443511980001489,5751,1603443511960222671,,145.686645508,84.3759613037,0.0292375143617,406.965209961,238.877548218,88.2229919434
1603443512008717336,5752,1603443511992153668,,149.028259277,84.1770782471,0.0205870345235,409.165771484,238.211853027,87.9506378174
1603443512043005257,5753,1603443512027995908,,154.468551636,83.1323699951,-0.0168544799089,409.650146484,236.669494629,87.6672515869
1603443512073967206,5754,1603443512059816919,,156.399353027,81.57472229,-0.0572098940611,410.687072754,235.158721924,87.3120422363
1603443512105448275,5755,1603443512091916911,,155.469589233,81.2582855225,-0.0822550579906,410.224884033,234.401550293,86.7562637329
1603443512150931011,5756,1603443512135104491,,153.822280884,81.7728347778,-0.122205801308,408.24331665,233.136444092,86.48387146
