%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1603418871073444954,5932,1603418871056100874,,80.3022232056,60.3152084351,0.177105545998,363.107635498,229.304412842,65.2062149048
1603418871101708338,5933,1603418871088251513,,83.3582687378,61.2189254761,0.085056707263,363.500366211,229.517959595,64.9822845459
1603418871138881958,5934,1603418871124415640,,79.8972854614,65.3697509766,-0.0605570860207,365.319488525,229.839736938,64.540725708
1603418871170159457,5935,1603418871156216155,,81.4492492676,61.9096984863,-0.0150448624045,363.68359375,231.483352661,64.0642929077
1603418871196150800,5936,1603418871182567954,,82.9716033936,55.0529022217,0.090491682291,362.820709229,232.183959961,62.5041770935
1603418871231490625,5937,1603418871218588436,,81.7715301514,67.0193862915,0.119968213141,363.7996521,234.928878784,62.7292633057
1603418871264416330,5938,1603418871251089217,,83.5043258667,63.7825775146,0.0745547935367,362.520385742,236.568344116,62.6118927002
1603418871298735482,5939,1603418871284610782,,80.2575759888,68.2179336548,-0.132829815149,362.747558594,235.79234314,62.9313011169
1603418871332831464,5940,1603418871318511544,,84.4351730347,61.8274650574,0.0255528967828,362.459472656,238.390029907,62.6702346802
1603418871365082129,5941,1603418871350799972,,86.6925888062,61.6848602295,0.0902760997415,363.138153076,238.133956909,62.6398696899
1603418871404054187,5942,1603418871386865604,,82.6602020264,60.145072937,-0.0802991017699,361.040557861,238.721588135,62.6228561401
1603418871438665459,5943,1603418871424232086,,85.4772567749,62.5264625549,-0.0545424707234,363.698760986,238.460830688,62.7536125183
1603418871467329272,5944,1603418871450774753,,88.6295013428,62.2464790344,0.0931605696678,365.888977051,240.740402222,62.4412841797
1603418871507776369,5945,1603418871493311570,,82.2579498291,57.2714347839,-0.101468168199,361.154327393,240.160858154,61.9774589539
1603418871543402831,5946,1603418871525250967,,79.4783096313,67.6071166992,-0.37669095397,361.673217773,239.820831299,63.2328796387
1603418871570825245,5947,1603418871556506236,,87.1135482788,58.8211936951,-0.150106146932,362.45892334,240.775360107,62.4130592346
1603418871606136809,5948,1603418871592259335,,84.5070648193,59.0746040344,-0.188406124711,362.342712402,242.850967407,61.9422607422
1603418871635939040,5949,1603418871618738297,,83.9877853394,64.4403457642,-0.0886322632432,362.927185059,243.020751953,61.5645027161
1603418871671552399,5950,1603418871656757679,,86.3419723511,65.4514846802,-0.198887005448,364.246246338,243.32800293,61.9269065857
1603418871707313730,5951,1603418871692713674,,84.5208892822,56.4630661011,-0.327220886946,360.676147461,243.853607178,61.4047241211
1603418871738445747,5952,1603418871723950608,,93.707572937,60.8394584656,-0.638868153095,364.524139404,243.073181152,61.4741630554
1603418871772325823,5953,1603418871756247908,,83.9428787231,60.3807029724,-0.307007223368,363.089111328,246.846664429,61.2595901489
1603418871806771009,5954,1603418871792557796,,82.4250717163,60.8767776489,-0.414440602064,362.381774902,244.493606567,61.1226196289
1603418871839068420,5955,1603418871824216455,,82.2076797485,55.3387794495,-0.304016888142,361.934509277,244.464904785,60.9293518066
1603418871879738921,5956,1603418871856565253,,82.185043335,66.5015945435,-0.251666992903,363.013183594,241.410766602,60.8188018799
1603418871908112932,5957,1603418871892612410,,83.5691680908,63.0655899048,-0.166648641229,362.976379395,246.125915527,61.2432403564
1603418871935576886,5958,1603418871920573415,,86.7594833374,56.4457550049,-0.412603825331,360.933837891,246.717071533,60.9803543091
1603418871966621265,5959,1603418871952790806,,83.3130950928,62.56042099,-0.398188114166,362.473052979,246.886688232,60.7923622131
1603418872001382869,5960,1603418871986689858,,82.2459259033,59.1267852783,-0.348510861397,363.15612793,247.713424683,60.1598930359
1603418872032402301,5961,1603418872018482245,,86.689956665,65.8290481567,-0.602908670902,367.641082764,250.336532593,61.0964927673
1603418872066702687,5962,1603418872052626245,,82.4761886597,71.8316116333,-0.432590037584,367.863861084,251.182418823,62.1957054138
1603418872108090333,5963,1603418872093248246,,92.0914154053,65.7594985962,-0.443969339132,365.904174805,246.196395874,62.7335853577
1603418872140448550,5964,1603418872125146016,,85.4796295166,60.0934104919,-0.836830079556,365.479827881,250.856689453,62.6552505493
1603418872170719381,5965,1603418872156144694,,96.6585159302,58.9200363159,-0.717086195946,367.599182129,249.383331299,63.0133743286
1603418872207636366,5966,1603418872192442361,,83.0840072632,60.3045158386,-0.709471285343,365.435455322,251.439666748,62.3936691284
1603418872238988460,5967,1603418872224284168,,80.9801025391,57.5068626404,-0.67508661747,366.86050415,254.281570435,61.8377952576
1603418872271145706,5968,1603418872256568490,,82.0723953247,57.1434631348,-0.710845351219,367.210083008,253.390380859,61.9075660706
1603418872310203915,5969,1603418872293432960,,85.1225967407,63.0349998474,-0.445404648781,365.577636719,251.883987427,61.9550247192
1603418872339862167,5970,1603418872325329487,,82.3414230347,59.3504447937,-0.436646968126,364.66317749,253.343963623,61.9773902893
1603418872373273646,5971,1603418872357525930,,84.8261566162,62.1245727539,-0.412958532572,365.265594482,251.330810547,61.6069412231
1603418872413422394,5972,1603418872393100233,,78.1638031006,61.3977432251,-0.734211206436,369.011932373,254.19140625,60.5635528564
