%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1603415852161929375,6358,1603415852145289628,,115.978187561,77.6408233643,-0.108703307807,395.854125977,241.379577637,73.2132034302
1603415852190425330,6359,1603415852175684098,,112.411590576,79.4820404053,-0.123577602208,394.718841553,240.297653198,74.6442489624
1603415852227637425,6360,1603415852213807013,,113.249694824,78.2925109863,-0.153458669782,395.012023926,240.300827026,75.7660369873
1603415852258462976,6361,1603415852244792985,,110.916000366,78.2504577637,-0.133614912629,395.270629883,240.360748291,78.0081481934
1603415852289055464,6362,1603415852275592339,,111.606643677,77.6229934692,-0.159270212054,395.118652344,240.356994629,78.120300293
1603415852321313793,6363,1603415852307601557,,111.68812561,76.9706344604,-0.160033747554,395.051208496,240.361663818,77.788444519
1603415852359646801,6364,1603415852345984825,,110.483528137,77.5920181274,-0.15682476759,395.069610596,240.320770264,77.5894622803
1603415852395937658,6365,1603415852381959250,,110.628814697,77.7017440796,-0.097770370543,395.424316406,240.497650146,77.7939453125
1603415852429113597,6366,1603415852414110389,,108.826217651,75.004737854,-0.112401507795,394.195709229,240.62322998,77.7814788818
1603415852460884298,6367,1603415852445900025,,108.36151123,77.2848739624,-0.12639349699,394.668762207,240.768432617,77.5842819214
1603415852496015372,6368,1603415852481941840,,110.08454895,77.2827377319,-0.103678189218,394.202423096,240.643295288,77.5484771729
1603415852530548057,6369,1603415852513944699,,108.498893738,79.3076934814,-0.0612838640809,393.723571777,240.251296997,77.531036377
1603415852560418094,6370,1603415852545884859,,107.811416626,76.5019454956,-0.119877003133,394.251495361,240.624603271,77.3519821167
1603415852596638758,6371,1603415852581806102,,110.576721191,76.7526321411,-0.135064214468,394.076141357,240.52456665,77.2022018433
1603415852627817652,6372,1603415852613946992,,109.49559021,77.73777771,-0.137591287494,395.195770264,240.388504028,77.2136764526
1603415852660007644,6373,1603415852645838314,,108.539894104,77.1403274536,-0.166746512055,393.788787842,241.397567749,77.2306518555
1603415852696301704,6374,1603415852681910568,,108.001953125,75.2959289551,-0.158335715532,394.455871582,241.428115845,77.0010375977
1603415852728019616,6375,1603415852713770690,,107.490470886,75.1464767456,-0.157904148102,394.534393311,241.938232422,76.745513916
1603415852764216277,6376,1603415852749882002,,107.556312561,73.8392944336,-0.221795782447,396.12322998,243.064025879,76.6289672852
1603415852790325298,6377,1603415852775668562,,104.111946106,74.6335830688,-0.161513790488,398.013122559,242.040969849,76.3638381958
1603415852827368309,6378,1603415852813021360,,94.0050888062,72.9844589233,-0.0468760281801,399.83505249,241.678817749,75.9340133667
1603415852866558900,6379,1603415852849131104,,69.1595306396,51.4342193604,-0.0473292991519,395.762817383,243.454498291,73.1466674805
1603415852894665658,6380,1603415852881222295,,0.0,0.0,0.0,0.0,0.0,73.1466674805
1603415852926942491,6381,1603415852913031971,,0.0,0.0,0.0,0.0,0.0,73.1466674805
1603415852962843781,6382,1603415852949013627,,0.0,0.0,0.0,0.0,0.0,73.1466674805
1603415852989517649,6383,1603415852975564111,,0.0,0.0,0.0,0.0,0.0,73.1466674805
1603415853028087708,6384,1603415853013797272,,0.0,0.0,0.0,0.0,0.0,73.1466674805
1603415853063833051,6385,1603415853049878129,,63.2821769714,52.6212844849,0.165595754981,382.351318359,240.252838135,70.7585983276
1603415853095817437,6386,1603415853081874468,,76.717086792,65.4794769287,0.674828231335,382.228881836,241.262512207,69.6312866211
1603415853120863429,6387,1603415853107687676,,82.8519058228,77.2694091797,-0.00920108798891,377.875091553,241.438796997,69.5844421387
1603415853156804463,6388,1603415853143746007,,92.3834381104,79.8795928955,-0.36545547843,371.591186523,243.85458374,69.8583755493
1603415853190778544,6389,1603415853175486188,,96.154838562,78.3798828125,-0.186056017876,368.737365723,245.12789917,70.1667709351
1603415853221543096,6390,1603415853207709973,,103.731872559,73.8748397827,-0.0664128437638,363.139953613,245.479873657,70.039604187
1603415853260761267,6391,1603415853243670139,,106.372718811,73.4689941406,0.00867484789342,363.593719482,243.754196167,70.002571106
1603415853288763631,6392,1603415853275652820,,106.814613342,74.2216262817,0.123003818095,364.239440918,242.603500366,69.9613800049
1603415853326240485,6393,1603415853307564903,,105.331756592,70.7267608643,0.183860242367,366.403442383,243.370391846,69.7356109619
1603415853363500151,6394,1603415853349299637,,102.904212952,75.5733642578,-0.00578305451199,369.517974854,241.52456665,72.149520874
1603415853395667075,6395,1603415853381278813,,104.602233887,72.6782073975,0.151149839163,366.668762207,242.929855347,74.1552124023
1603415853428692131,6396,1603415853413978126,,104.790504456,76.6159667969,0.169205933809,368.006744385,240.888397217,75.2688674927
1603415853468144469,6397,1603415853449997652,,101.903297424,73.6982955933,0.188832104206,367.510925293,242.159454346,74.9117507935
1603415853495302554,6398,1603415853481558676,,100.267982483,73.8113479614,0.160873964429,367.946685791,242.161575317,74.3049316406
1603415853527626960,6399,1603415853513772996,,100.620391846,74.3490066528,0.249798119068,366.937072754,241.754394531,73.90184021
