%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1603415852163738367,6358,1603415852145289628,,6.19999980927
1603415852194134114,6359,1603415852175684098,,6.19999980927
1603415852229266834,6360,1603415852213807013,,6.19999980927
1603415852259734990,6361,1603415852244792985,,6.19999980927
1603415852290719557,6362,1603415852275592339,,6.19999980927
1603415852322867750,6363,1603415852307601557,,6.19999980927
1603415852361145352,6364,1603415852345984825,,6.19999980927
1603415852397408024,6365,1603415852381959250,,6.19999980927
1603415852430553161,6366,1603415852414110389,,6.19999980927
1603415852461941842,6367,1603415852445900025,,6.19999980927
1603415852497607428,6368,1603415852481941840,,6.19999980927
1603415852532126618,6369,1603415852513944699,,6.19999980927
1603415852561504598,6370,1603415852545884859,,6.19999980927
1603415852598083845,6371,1603415852581806102,,6.19999980927
1603415852629341312,6372,1603415852613946992,,6.19999980927
1603415852661347512,6373,1603415852645838314,,6.19999980927
1603415852697896773,6374,1603415852681910568,,6.19999980927
1603415852729694006,6375,1603415852713770690,,6.19999980927
1603415852766271018,6376,1603415852749882002,,6.19999980927
1603415852791940334,6377,1603415852775668562,,6.19999980927
1603415852828722749,6378,1603415852813021360,,6.19999980927
1603415852868258016,6379,1603415852849131104,,6.19999980927
1603415852895780555,6380,1603415852881222295,,6.19999980927
1603415852928145703,6381,1603415852913031971,,6.19999980927
1603415852963841360,6382,1603415852949013627,,6.19999980927
1603415852990701042,6383,1603415852975564111,,6.19999980927
1603415853029641653,6384,1603415853013797272,,6.19999980927
1603415853065481077,6385,1603415853049878129,,6.19999980927
1603415853097330780,6386,1603415853081874468,,6.19999980927
1603415853122393489,6387,1603415853107687676,,6.19999980927
1603415853158371752,6388,1603415853143746007,,6.19999980927
1603415853192303896,6389,1603415853175486188,,6.19999980927
1603415853223295539,6390,1603415853207709973,,6.19999980927
1603415853262458649,6391,1603415853243670139,,6.19999980927
1603415853290310846,6392,1603415853275652820,,6.19999980927
1603415853327383684,6393,1603415853307564903,,6.19999980927
1603415853365297109,6394,1603415853349299637,,6.19999980927
1603415853397321908,6395,1603415853381278813,,6.19999980927
1603415853430633615,6396,1603415853413978126,,6.19999980927
1603415853469899642,6397,1603415853449997652,,6.19999980927
1603415853496789281,6398,1603415853481558676,,6.19999980927
