%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1603417397335680807,2107,1603417397321810446,,97.53150177,72.2611999512,0.134849429131,368.038818359,241.692474365,69.758354187
1603417397376168501,2108,1603417397357556701,,95.28956604,71.5289993286,0.23448933661,368.153289795,242.251220703,70.2610702515
1603417397408366235,2109,1603417397389658689,,91.1029891968,72.1523208618,0.265411019325,366.421844482,243.213928223,70.4402236938
1603417397437108884,2110,1603417397421550544,,86.6155700684,70.869392395,0.107496634126,365.468383789,242.657440186,70.8431396484
1603417397471501063,2111,1603417397457880330,,82.9707336426,65.5095596313,0.0160306319594,364.274597168,241.8306427,70.2496414185
1603417397504307771,2112,1603417397489571749,,79.0139541626,66.444480896,0.172912791371,366.910369873,241.368270874,70.0656204224
1603417397535958818,2113,1603417397521841172,,0.0,0.0,0.0,0.0,0.0,70.0656204224
1603417397570461364,2114,1603417397556752665,,0.0,0.0,0.0,0.0,0.0,70.0656204224
1603417397598696296,2115,1603417397583724932,,0.0,0.0,0.0,0.0,0.0,70.0656204224
1603417397628941279,2116,1603417397615544363,,0.0,0.0,0.0,0.0,0.0,70.0656204224
1603417397664572663,2117,1603417397651633332,,0.0,0.0,0.0,0.0,0.0,70.0656204224
1603417397704705706,2118,1603417397690106086,,42.2091026306,30.5772914886,-0.138154670596,380.815338135,237.245529175,70.0656204224
1603417397737258041,2119,1603417397722197069,,64.1170120239,51.8139419556,0.0316038653255,379.530334473,237.756912231,68.4841156006
1603417397773242450,2120,1603417397758172047,,77.6159667969,71.98777771,0.695764958858,377.0340271,242.55380249,68.9680023193
1603417397804300551,2121,1603417397790051514,,86.5469665527,82.3648452759,0.6266913414,383.303924561,241.308441162,69.8935394287
1603417397835676397,2122,1603417397821910605,,92.0232162476,80.8829650879,0.327291965485,389.402374268,239.87852478,70.5815505981
1603417397872466134,2123,1603417397858030559,,105.104011536,77.8914413452,0.120883010328,396.146911621,241.089569092,71.144569397
1603417397903181016,2124,1603417397889698063,,116.32308197,75.8134536743,0.0197782330215,398.267974854,241.534606934,71.5730209351
1603417397935525024,2125,1603417397921474567,,116.153045654,75.7708969116,-0.035642016679,397.188659668,241.856689453,71.9348754883
1603417397971659691,2126,1603417397957566408,,105.988128662,99.1403198242,-0.437293589115,396.207366943,235.281188965,74.76197052
1603417398003821137,2127,1603417397989599058,,112.650375366,76.0398254395,-0.11830547452,395.662841797,240.986114502,75.814994812
1603417398034824184,2128,1603417398021478107,,111.334495544,76.8084487915,-0.125830233097,394.860198975,241.012527466,76.8513946533
1603417398072906347,2129,1603417398057770561,,111.016387939,77.7909469604,-0.137933641672,394.492553711,240.754318237,79.4490890503
1603417398105358218,2130,1603417398089985664,,110.094535828,77.9844741821,-0.124771893024,394.83001709,241.120986938,80.0487594604
1603417398141681773,2131,1603417398122135785,,111.250061035,77.9589004517,-0.103831455112,394.366851807,240.711639404,79.6081695557
1603417398175019003,2132,1603417398157688141,,111.902236938,76.4376831055,-0.133797213435,394.081176758,240.980545044,79.1636352539
1603417398206425757,2133,1603417398189632384,,111.901908875,77.9195556641,-0.128643989563,395.427398682,240.207565308,79.1664505005
1603417398235126632,2134,1603417398221660389,,111.349441528,76.8499908447,-0.114611931145,394.989654541,240.856216431,79.2701034546
1603417398270529994,2135,1603417398257457564,,110.081008911,78.0438232422,-0.138590097427,394.688476562,241.179504395,79.4973983765
1603417398306061468,2136,1603417398289665935,,110.531280518,77.2465362549,-0.124584540725,393.682922363,241.493362427,77.3080215454
1603417398335547556,2137,1603417398321783410,,107.340576172,78.5856018066,-0.117919050157,393.532531738,240.83694458,77.5625991821
1603417398372829852,2138,1603417398357737457,,106.81943512,79.9276580811,-0.0772278085351,394.069702148,241.342132568,77.8745193481
1603417398403323959,2139,1603417398389427229,,109.148925781,77.8344268799,-0.133172303438,394.400115967,241.063247681,77.878868103
1603417398435931157,2140,1603417398421564423,,108.494773865,78.2290802002,-0.15350061655,394.235809326,240.647613525,77.9033279419
1603417398475007984,2141,1603417398457615474,,108.265052795,77.8845062256,-0.107428722084,393.855255127,240.924179077,77.8958892822
1603417398505274511,2142,1603417398490147823,,107.825134277,78.7183914185,-0.166990980506,394.335174561,240.686599731,78.1239547729
1603417398538474692,2143,1603417398521958360,,107.61580658,77.0277938843,-0.153121635318,393.90447998,241.780273438,78.0347824097
1603417398571652751,2144,1603417398557756118,,106.301971436,77.9467773438,-0.15799869597,393.942474365,241.598007202,78.1444625854
