%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1603417397337566803,2107,1603417397321810446,,6.19999980927
1603417397377730259,2108,1603417397357556701,,6.19999980927
1603417397409962481,2109,1603417397389658689,,6.19999980927
1603417397438307091,2110,1603417397421550544,,6.19999980927
1603417397473825320,2111,1603417397457880330,,6.19999980927
1603417397506067601,2112,1603417397489571749,,6.19999980927
1603417397537331670,2113,1603417397521841172,,6.19999980927
1603417397571852015,2114,1603417397556752665,,6.19999980927
1603417397600306320,2115,1603417397583724932,,6.19999980927
1603417397629976185,2116,1603417397615544363,,6.19999980927
1603417397665748552,2117,1603417397651633332,,6.19999980927
1603417397706642619,2118,1603417397690106086,,6.19999980927
1603417397738596459,2119,1603417397722197069,,6.19999980927
1603417397774616000,2120,1603417397758172047,,6.19999980927
1603417397805651757,2121,1603417397790051514,,6.19999980927
1603417397837540070,2122,1603417397821910605,,6.19999980927
1603417397873651132,2123,1603417397858030559,,6.19999980927
1603417397904392532,2124,1603417397889698063,,6.19999980927
1603417397936655768,2125,1603417397921474567,,6.19999980927
1603417397973061893,2126,1603417397957566408,,6.19999980927
1603417398005199294,2127,1603417397989599058,,6.19999980927
1603417398036216832,2128,1603417398021478107,,6.19999980927
1603417398074125852,2129,1603417398057770561,,6.19999980927
1603417398107517258,2130,1603417398089985664,,6.19999980927
1603417398143036527,2131,1603417398122135785,,6.19999980927
1603417398176861928,2132,1603417398157688141,,6.19999980927
1603417398208250209,2133,1603417398189632384,,6.19999980927
1603417398236810524,2134,1603417398221660389,,6.19999980927
1603417398272443729,2135,1603417398257457564,,6.19999980927
1603417398306084644,2136,1603417398289665935,,6.19999980927
1603417398336820438,2137,1603417398321783410,,6.19999980927
1603417398374256661,2138,1603417398357737457,,6.19999980927
1603417398404998069,2139,1603417398389427229,,6.19999980927
1603417398437771874,2140,1603417398421564423,,6.19999980927
1603417398476786257,2141,1603417398457615474,,6.19999980927
1603417398506864480,2142,1603417398490147823,,6.19999980927
1603417398539937092,2143,1603417398521958360,,6.19999980927
