%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1582860144306925135,182,1582860144274039561,,186.66746521,162.074569702,-1.18201398849,380.595581055,240.480102539
1582860144323618367,183,1582860144306706095,,183.403121948,167.988952637,-1.21216762066,380.893280029,240.925262451
1582860144373810713,184,1582860144340112953,,185.960205078,166.645874023,-1.24890816212,381.490081787,242.359649658
1582860144400792388,185,1582860144375531829,,186.345352173,165.07081604,-1.23940396309,383.363037109,242.200531006
1582860144439985100,186,1582860144411259790,,186.9896698,165.57963562,-1.23254096508,383.251800537,242.971923828
1582860144502069512,187,1582860144450817671,,187.638244629,166.840881348,-1.11867153645,382.926361084,243.289260864
1582860144541211298,188,1582860144497474751,,185.031829834,166.164978027,-1.08861589432,382.467651367,241.931304932
1582860144570978184,189,1582860144513151599,,180.956939697,162.882980347,-1.15140736103,381.694488525,241.58253479
1582860144588861622,190,1582860144545828859,,182.777359009,163.04107666,-1.02127456665,380.538299561,241.347839355
1582860144625894358,191,1582860144576639714,,174.181121826,165.781326294,-1.14161372185,379.762908936,240.80078125
1582860144650451165,192,1582860144603954693,,175.176467896,164.967910767,-1.05106568336,379.070678711,240.750396729
1582860144681145558,193,1582860144636733784,,174.637420654,163.757110596,-1.13464295864,378.939575195,240.079864502
1582860144708539451,194,1582860144668907231,,177.610168457,160.801101685,-1.09210276604,378.902709961,238.885971069
1582860144738202026,195,1582860144705334053,,177.857116699,166.243911743,-1.11173355579,380.970733643,238.347183228
1582860144761109505,196,1582860144737849666,,177.672866821,168.012954712,-1.04808843136,381.041900635,238.567489624
1582860144795804257,197,1582860144769946782,,181.611618042,165.615249634,-1.03269743919,379.180358887,239.410842896
1582860144837728060,198,1582860144805884074,,183.986297607,165.393386841,-1.10750806332,379.025817871,240.653762817
1582860144870784046,199,1582860144835010010,,185.515487671,162.538787842,-1.18731236458,380.003173828,240.805633545
1582860144906157187,200,1582860144874086815,,185.861907959,165.553604126,-0.975299417973,379.671203613,240.574798584
1582860144937090598,201,1582860144908053680,,182.691345215,163.340835571,-1.16251969337,381.960144043,239.903411865
1582860144981552699,202,1582860144936459252,,182.891952515,164.414794922,-1.15566289425,382.447967529,240.156066895
1582860144999960998,203,1582860144970286927,,186.455825806,167.758743286,-1.12692368031,382.838562012,241.920715332
1582860145021222295,204,1582860145004777939,,185.29699707,166.573150635,-1.16497182846,383.84475708,241.913238525
1582860145073414259,205,1582860145036134902,,187.630004883,166.345092773,-1.12036478519,382.402709961,242.7552948
1582860145099494178,206,1582860145068051335,,180.985305786,167.441955566,-0.983064770699,380.795837402,239.592193604
1582860145128894253,207,1582860145104324158,,180.980316162,166.165313721,-1.10501492023,381.007232666,240.70501709
1582860145160638010,208,1582860145136604291,,178.503326416,166.95135498,-1.08905267715,381.034820557,239.875427246
1582860145197845133,209,1582860145167151376,,183.965270996,168.222579956,-1.07608640194,380.33706665,241.056335449
1582860145246395091,210,1582860145204403529,,188.316513062,167.249130249,-1.07018136978,381.919311523,242.133712769
1582860145282210277,211,1582860145236229792,,185.972549438,169.770294189,-0.961171209812,382.079864502,241.860031128
1582860145313187257,212,1582860145271353680,,184.694000244,169.522323608,-0.961023032665,381.487365723,240.731658936
1582860145369651306,213,1582860145307363910,,181.813217163,166.48789978,-1.01125895977,380.637878418,239.894271851
1582860145403082205,214,1582860145339942797,,184.046936035,166.153686523,-1.08953905106,380.066192627,240.428192139
1582860145437282349,215,1582860145373974705,,184.422042847,171.099914551,-1.30482959747,381.779449463,241.53414917
