%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1582710509725842914,1171,1582710509702451489,,213.828811646,144.003204346,-0.255873441696,389.491241455,255.461593628
1582710509770236094,1172,1582710509730809911,,204.549301147,149.077667236,-0.280136853456,386.075653076,260.995269775
1582710509790483983,1173,1582710509766237844,,156.927047729,144.074829102,-0.847347676754,379.096618652,264.150115967
1582710509840313715,1174,1582710509796908405,,127.270576477,115.336685181,1.54968571663,381.206451416,263.133270264
1582710509855302179,1175,1582710509828676028,,146.616653442,130.444915771,-1.23825621605,391.792572021,257.059173584
1582710509910476495,1176,1582710509862591405,,169.759750366,136.608001709,-0.202327668667,405.836486816,255.824707031
1582710509932301547,1177,1582710509897990194,,174.849960327,138.267944336,-0.178820475936,406.981903076,254.141860962
1582710509965464024,1178,1582710509930205962,,194.797271729,137.373001099,-0.0010407633381,404.09942627,253.734527588
1582710510005686457,1179,1582710509961745846,,191.486083984,137.851150513,0.0015949672088,404.540496826,253.892730713
1582710510032416792,1180,1582710509998271546,,194.829833984,136.025680542,0.0219443142414,404.05380249,253.20249939
1582710510064833225,1181,1582710510030380321,,195.388763428,134.755569458,0.0256028324366,404.687896729,253.284240723
1582710510101637352,1182,1582710510061955936,,194.799636841,135.040512085,-0.00447703991085,404.07598877,252.520904541
1582710510134727630,1183,1582710510096453351,,180.969345093,136.644470215,-0.0332608856261,408.061950684,252.98374939
1582710510165304445,1184,1582710510135305081,,197.106964111,134.792984009,0.0899918079376,402.814178467,251.614868164
1582710510201066069,1185,1582710510163062576,,196.446929932,133.279541016,0.0166795104742,404.05770874,252.754730225
1582710510224056077,1186,1582710510196087821,,194.269989014,135.277084351,0.0155753642321,404.309783936,252.57673645
1582710510247379749,1187,1582710510230464209,,195.560745239,137.661529541,0.03334890306,403.748077393,253.079818726
1582710510280882768,1188,1582710510261562017,,194.174850464,137.675720215,0.061838734895,403.611724854,251.974029541
1582710510324902522,1189,1582710510300139723,,194.979675293,136.784194946,0.0543363429606,403.148803711,251.75970459
1582710510348109218,1190,1582710510330357844,,192.762466431,136.285751343,0.038223952055,404.354034424,252.535476685
1582710510392952395,1191,1582710510365836505,,177.173324585,135.822738647,-0.0690768063068,409.558929443,254.295196533
1582710510422749979,1192,1582710510398001044,,178.241333008,135.380630493,-0.050998069346,409.718292236,254.390579224
1582710510462016927,1193,1582710510440049504,,207.148773193,137.183135986,-0.0528785288334,398.582794189,254.201583862
1582710510493372269,1194,1582710510467702680,,173.611328125,136.493057251,-0.100205563009,410.040618896,253.573486328
1582710510553714755,1195,1582710510505410538,,176.758361816,136.092285156,-0.0707629844546,410.7237854,254.254669189
1582710510576322102,1196,1582710510543888812,,180.869857788,135.828460693,-0.026204040274,410.210174561,254.155639648
1582710510610214548,1197,1582710510590740968,,179.082672119,137.986694336,-0.00802663434297,410.171966553,254.425918579
1582710510631630830,1198,1582710510611974218,,178.78843689,137.007781982,-0.00342562422156,410.107727051,253.946029663
1582710510683365890,1199,1582710510655847129,,180.352142334,137.037231445,0.0176129490137,409.043670654,253.47833252
1582710510700172796,1200,1582710510673324717,,191.052932739,135.646697998,0.081556648016,405.074249268,252.312149048
1582710510723210786,1201,1582710510703573017,,178.083999634,137.049377441,0.0144836017862,409.048522949,253.383590698
1582710510760937577,1202,1582710510734495783,,178.233200073,135.722335815,-0.00735631678253,410.252319336,253.737319946
1582710510792941110,1203,1582710510765862311,,181.8487854,134.625946045,-0.0224947892129,408.352020264,253.97102356
1582710510819555917,1204,1582710510797392960,,196.558792114,134.03894043,-0.12216745317,403.218322754,255.314102173
1582710510847345530,1205,1582710510831439237,,189.729522705,134.153015137,0.0485748611391,404.961914062,253.233734131
1582710510893230932,1206,1582710510870371086,,192.398254395,131.54675293,0.0219768043607,405.522491455,253.237701416
1582710510919414188,1207,1582710510896470599,,192.913879395,130.225540161,0.00115261611063,405.581237793,253.449462891
1582710510958828267,1208,1582710510934228067,,178.360031128,134.544113159,-0.0130761209875,410.544433594,254.028152466
1582710510996593175,1209,1582710510964338285,,180.35206604,131.68788147,-0.1000148803,410.445892334,255.579620361
1582710511018914662,1210,1582710510996628660,,177.709869385,133.765899658,-0.0793435573578,410.536376953,255.990402222
1582710511049466711,1211,1582710511031273064,,116.238555908,84.0944595337,-0.102496147156,444.484100342,259.347625732
1582710511099377400,1212,1582710511065818563,,70.6443481445,35.9608535767,-0.068739913404,465.690795898,260.591918945
1582710511115721541,1213,1582710511099603853,,0.0,0.0,0.0,0.0,0.0
1582710511149638352,1214,1582710511134092661,,0.0,0.0,0.0,0.0,0.0
1582710511196904884,1215,1582710511176660481,,0.0,0.0,0.0,0.0,0.0
1582710511229389411,1216,1582710511210957450,,0.0,0.0,0.0,0.0,0.0
1582710511254314383,1217,1582710511236789519,,217.650009155,207.113754272,0.359521150589,390.79574585,253.29045105
1582710511292090353,1218,1582710511268274342,,149.918182373,135.844451904,0.346290707588,386.389373779,257.246307373
1582710511335939195,1219,1582710511302673153,,151.509628296,135.047332764,0.277214825153,384.540039062,258.063110352
1582710511368387994,1220,1582710511333299188,,158.18196106,133.941314697,0.360492289066,381.724731445,259.367614746
1582710511409190079,1221,1582710511368714129,,165.259628296,134.972290039,0.463754892349,379.137054443,260.916168213
1582710511436774732,1222,1582710511406093724,,159.953872681,143.474517822,0.469945788383,376.788391113,262.191772461
1582710511465224981,1223,1582710511430035473,,157.136642456,152.205337524,0.294043749571,373.36605835,260.859222412
1582710511494422574,1224,1582710511463475883,,173.183761597,141.134185791,0.236491367221,365.412963867,256.57699585
1582710511528579835,1225,1582710511496101502,,173.933517456,137.882049561,0.150387376547,364.111602783,256.364074707
1582710511558576296,1226,1582710511533934117,,178.170211792,138.136123657,0.124798260629,364.403808594,255.316390991
1582710511601471538,1227,1582710511563756981,,177.370101929,138.347183228,0.175954923034,366.520629883,253.370620728
1582710511630258251,1228,1582710511606743697,,179.407669067,135.983886719,0.119400031865,365.789978027,252.995071411
1582710511651112388,1229,1582710511634875025,,176.20173645,134.266479492,0.184163182974,365.553588867,252.671417236
1582710511694011579,1230,1582710511663618332,,179.074417114,135.035400391,0.208705544472,366.254516602,253.100067139
1582710511726846843,1231,1582710511697535636,,178.266601562,136.79095459,0.223882228136,367.071563721,252.77381897
1582710511745599977,1232,1582710511729236216,,175.689697266,136.982528687,0.195366442204,366.281555176,252.269790649
1582710511793115353,1233,1582710511768721075,,176.244522095,135.838790894,0.188566848636,365.980194092,251.882080078
1582710511831715383,1234,1582710511801017426,,177.387435913,138.599884033,0.173635303974,366.835968018,250.91973877
1582710511852255644,1235,1582710511830876204,,176.610198975,136.272827148,0.215449735522,366.593963623,251.623260498
1582710511887358763,1236,1582710511864736983,,176.864196777,137.269485474,0.169810608029,367.13583374,251.334686279
