%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1582711325367578344,278,1582711325349727321,,185.481704712,138.380172729,-1.55472826958,387.932403564,282.568511963
1582711325401063203,279,1582711325380809327,,183.339828491,137.789703369,-1.54636347294,388.104949951,284.363037109
1582711325433582428,280,1582711325417741717,,189.767166138,135.602218628,-1.52415657043,388.640899658,282.64956665
1582711325463748720,281,1582711325444923808,,189.862258911,164.091217041,1.43796527386,390.578186035,277.010009766
1582711325502907483,282,1582711325485604787,,185.63482666,141.382324219,1.46260356903,384.683135986,280.72555542
1582711325531206797,283,1582711325511704921,,184.559860229,137.331771851,1.55997276306,386.802398682,283.023162842
1582711325558254424,284,1582711325543815241,,185.81463623,138.26991272,1.5662817955,387.663574219,282.142944336
1582711325595882062,285,1582711325579435614,,184.206161499,136.427352905,-1.56443941593,387.949829102,283.499755859
1582711325630572075,286,1582711325611723829,,184.343048096,135.801040649,-1.54935348034,387.848999023,284.515319824
1582711325665986110,287,1582711325645725267,,184.102432251,136.177719116,-1.53637337685,387.448242188,285.364440918
1582711325695595890,288,1582711325680257498,,181.54675293,138.602401733,-1.56331515312,387.212005615,285.199676514
1582711325727461521,289,1582711325711641864,,181.55128479,137.358596802,-1.53435015678,387.757293701,285.520111084
1582711325766391269,290,1582711325749223656,,184.078933716,139.453369141,-1.52306294441,387.422210693,283.408630371
1582711325803296742,291,1582711325785126560,,182.652954102,139.04536438,-1.54067850113,388.408996582,284.679504395
1582711325827279040,292,1582711325811127040,,181.274261475,142.494003296,-1.55217039585,387.75,285.166534424
1582711325857653801,293,1582711325843162634,,182.937484741,139.89440918,-1.55517590046,388.497283936,285.292266846
1582711325901987448,294,1582711325882065600,,175.561553955,158.850036621,1.38270282745,391.258575439,284.508422852
1582711325932265919,295,1582711325911005726,,186.870422363,138.251831055,1.57063925266,388.082519531,284.210662842
1582711325965865182,296,1582711325948196291,,177.155975342,159.248458862,1.36216080189,390.480987549,283.101013184
1582711326001855735,297,1582711325979268693,,203.753463745,139.422332764,-1.43195009232,390.478790283,276.48916626
1582711326037356959,298,1582711326011040463,,201.32673645,141.955963135,-1.44319272041,390.841796875,276.735076904
1582711326073556892,299,1582711326053217027,,189.59437561,143.206207275,-1.57040739059,386.781921387,280.52545166
1582711326102707877,300,1582711326085888253,,181.449020386,135.889511108,-1.50260055065,386.730529785,283.520050049
1582711326134853555,301,1582711326117691728,,182.212921143,137.622772217,-1.54625308514,387.809692383,284.613037109
1582711326163448839,302,1582711326148001959,,180.971725464,138.61390686,-1.51914072037,387.767700195,284.310424805
1582711326196010753,303,1582711326181368935,,181.936218262,142.540618896,1.51786494255,385.2628479,284.038909912
1582711326228465745,304,1582711326213690936,,184.128387451,136.402160645,-1.54026556015,388.002380371,285.243377686
1582711326264776019,305,1582711326249621587,,186.808349609,140.848358154,-1.53367340565,388.142211914,283.506439209
1582711326296275114,306,1582711326281486019,,179.328201294,161.68711853,1.50636196136,393.315368652,282.231079102
1582711326328191419,307,1582711326313374092,,178.860534668,159.374404907,1.38917350769,392.079589844,282.742767334
1582711326363984201,308,1582711326349655871,,186.989471436,138.900878906,-1.5186098814,388.09387207,281.921875
1582711326398463621,309,1582711326381192947,,181.000640869,136.086547852,-1.51398897171,387.099884033,283.624481201
1582711326430195677,310,1582711326414183670,,180.655548096,137.870178223,-1.55054676533,386.991516113,284.751434326
1582711326466080980,311,1582711326448377607,,194.942169189,140.270080566,-1.50894272327,388.636322021,279.30355835
1582711326497438611,312,1582711326481654931,,186.180938721,137.312667847,1.55067741871,386.56362915,283.063293457
1582711326531944988,313,1582711326513607892,,189.772964478,141.747283936,1.48042786121,384.856506348,279.450592041
1582711326563170649,314,1582711326547051010,,182.097686768,160.125274658,1.14998114109,387.731445312,280.881896973
1582711326604453324,315,1582711326585391047,,184.144851685,139.949874878,1.52634525299,388.474884033,283.660552979
1582711326632831645,316,1582711326617447532,,183.994491577,136.069030762,-1.55246269703,387.190582275,284.051147461
1582711326672320570,317,1582711326653410855,,183.505096436,136.98638916,-1.53813505173,387.256896973,285.011779785
1582711326708696745,318,1582711326681168516,,184.987991333,136.622390747,-1.56465148926,386.93145752,284.516876221
1582711326740464878,319,1582711326713388820,,184.335647583,138.544265747,1.55969834328,387.511291504,284.474151611
1582711326768485023,320,1582711326748986714,,185.08921814,140.582763672,-1.51495218277,388.637817383,283.078552246
1582711326802175283,321,1582711326781662482,,183.394866943,139.177886963,-1.53795146942,388.288604736,283.961151123
1582711326831642841,322,1582711326813461254,,183.924743652,139.500976562,-1.52704226971,388.469238281,284.469299316
1582711326867001250,323,1582711326848219708,,184.086746216,139.756835938,-1.52905976772,388.286010742,284.281555176
1582711326900044402,324,1582711326881191044,,184.170471191,137.20350647,-1.54985320568,387.271942139,283.332061768
1582711326932548968,325,1582711326917429723,,185.148269653,136.0519104,-1.56739139557,388.000061035,283.672119141
1582711326962049360,326,1582711326947466515,,185.651092529,139.165008545,-1.56028163433,387.956054688,282.428100586
1582711326994068394,327,1582711326979771634,,198.633178711,138.409179688,-1.53820121288,388.107452393,278.136566162
1582711327027307341,328,1582711327012382414,,192.204605103,140.771713257,-1.49140238762,388.610870361,279.490966797
1582711327070011777,329,1582711327053291887,,193.550827026,141.864852905,-1.5267816782,388.411071777,279.441345215
1582711327095809226,330,1582711327080641037,,180.743469238,133.272750854,-1.51687455177,386.038726807,284.573791504
1582711327130493762,331,1582711327112560337,,180.053512573,132.188369751,-1.50667011738,386.569396973,284.030822754
1582711327161674237,332,1582711327146997103,,183.851821899,138.520706177,-1.55206727982,386.976470947,283.257995605
1582711327193844945,333,1582711327179054549,,182.590393066,139.611953735,-1.5583370924,387.362091064,284.437438965
1582711327229147913,334,1582711327211047355,,182.460754395,140.35295105,-1.55864405632,387.696624756,285.284454346
1582711327262668332,335,1582711327247011585,,182.614685059,139.826599121,-1.54817891121,387.431335449,284.674133301
1582711327294741729,336,1582711327279092832,,190.158599854,139.150604248,-1.49524962902,388.716278076,281.441986084
1582711327326107343,337,1582711327311004325,,187.120986938,138.995635986,-1.50085246563,388.643981934,281.557800293
1582711327362565601,338,1582711327346974269,,181.270614624,142.299560547,-1.53313112259,389.344116211,283.525756836
1582711327393907718,339,1582711327379150612,,183.919433594,142.205871582,-1.56609547138,386.854827881,282.749694824
1582711327431474071,340,1582711327416614054,,184.816772461,138.151199341,-1.54755306244,388.069122314,284.369232178
1582711327462056432,341,1582711327447276009,,177.113845825,159.741104126,1.45343399048,391.992553711,283.678863525
1582711327493161603,342,1582711327479020961,,194.243347168,159.372009277,1.38329827785,391.811401367,277.618774414
1582711327533075166,343,1582711327515168130,,138.884414673,118.670150757,-1.22373259068,384.036132812,303.171691895
1582711327565262238,344,1582711327548127777,,82.1195678711,68.7734146118,-0.966001749039,378.098724365,329.22277832
1582711327598951844,345,1582711327580380475,,0.0,0.0,0.0,0.0,0.0
1582711327639678242,346,1582711327622033122,,0.0,0.0,0.0,0.0,0.0
1582711327668436561,347,1582711327653470736,,0.0,0.0,0.0,0.0,0.0
1582711327694180992,348,1582711327679389509,,0.0,0.0,0.0,0.0,0.0
1582711327730357155,349,1582711327715101858,,0.0,0.0,0.0,0.0,0.0
1582711327766603673,350,1582711327749466453,,0.0,0.0,0.0,0.0,0.0
1582711327793739955,351,1582711327779365600,,0.0,0.0,0.0,0.0,0.0
1582711327829561802,352,1582711327815054599,,0.0,0.0,0.0,0.0,0.0
1582711327864710218,353,1582711327849735173,,0.0,0.0,0.0,0.0,0.0
1582711327894623771,354,1582711327879472820,,0.0,0.0,0.0,0.0,0.0
1582711327931987358,355,1582711327915996470,,0.0,0.0,0.0,0.0,0.0
1582711327968366939,356,1582711327952988206,,0.0,0.0,0.0,0.0,0.0
1582711327994281961,357,1582711327979214780,,0.0,0.0,0.0,0.0,0.0
1582711328034400675,358,1582711328017682114,,0.0,0.0,0.0,0.0,0.0
1582711328062102354,359,1582711328047059479,,0.0,0.0,0.0,0.0,0.0
1582711328094118529,360,1582711328079130597,,0.0,0.0,0.0,0.0,0.0
1582711328129346434,361,1582711328114974414,,0.0,0.0,0.0,0.0,0.0
1582711328163632096,362,1582711328148409228,,0.0,0.0,0.0,0.0,0.0
1582711328194624310,363,1582711328179046061,,0.0,0.0,0.0,0.0,0.0
1582711328231918428,364,1582711328215017917,,0.0,0.0,0.0,0.0,0.0
1582711328265476358,365,1582711328249436249,,0.0,0.0,0.0,0.0,0.0
1582711328302374112,366,1582711328285037285,,0.0,0.0,0.0,0.0,0.0
1582711328336187055,367,1582711328321099525,,0.0,0.0,0.0,0.0,0.0
1582711328368579883,368,1582711328353013213,,73.0332260132,48.680809021,0.550911903381,390.255859375,257.945465088
1582711328393536378,369,1582711328379149196,,165.353988647,149.639343262,-0.411448270082,380.50881958,249.285797119
1582711328433232540,370,1582711328415944435,,161.551834106,141.406616211,-0.262904196978,381.318145752,253.002914429
1582711328463956272,371,1582711328449067135,,148.438400269,141.226333618,0.700229227543,383.861480713,250.978012085
1582711328497271056,372,1582711328480949678,,154.992736816,136.56036377,1.20805037022,387.223968506,246.960601807
1582711328532499602,373,1582711328516029575,,162.784667969,138.270751953,1.35545551777,388.695556641,244.199020386
1582711328569657705,374,1582711328553789431,,151.210784912,140.827285767,-1.37771511078,393.164794922,240.924453735
1582711328601103993,375,1582711328585913938,,145.843215942,136.877258301,-0.957833528519,392.282745361,239.087295532
1582711328629833970,376,1582711328615701770,,150.463409424,134.50138855,-1.0636690855,391.734619141,236.411071777
1582711328661376691,377,1582711328646917887,,168.015457153,141.339172363,-1.33047676086,390.217895508,227.944549561
1582711328699148800,378,1582711328681381179,,176.508560181,147.055053711,-1.50659894943,391.906555176,233.265472412
1582711328733626422,379,1582711328717510126,,176.141448975,149.258468628,-1.57022321224,393.237304688,233.735992432
1582711328763032587,380,1582711328747032676,,164.287567139,146.613616943,-1.41311645508,391.461883545,229.816619873
