%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1582712315789234646,333,1582712315773146075,,168.972061157,127.405357361,-1.31317102909,391.034729004,228.932846069
1582712315821951725,334,1582712315805501668,,182.54737854,128.126556396,-1.32730197906,389.857299805,233.898162842
1582712315846611770,335,1582712315831592246,,193.311889648,135.113586426,-1.31564199924,388.661407471,240.625045776
1582712315889291559,336,1582712315869810856,,184.492202759,127.940673828,-1.26159703732,390.714874268,236.365219116
1582712315924859412,337,1582712315906375476,,170.134475708,127.899787903,-1.15043091774,391.585571289,231.132766724
1582712315954032676,338,1582712315939355828,,166.366729736,126.505210876,-1.23263180256,390.80065918,229.490447998
1582712315990651993,339,1582712315974334335,,165.65020752,129.023162842,-1.22454845905,390.855773926,229.075881958
1582712316023406517,340,1582712316006256117,,166.875213623,128.738998413,-1.23130309582,390.842773438,228.350448608
1582712316048419226,341,1582712316033279156,,166.787689209,129.100280762,-1.19716179371,390.376190186,228.290893555
1582712316090660542,342,1582712316067819740,,168.717605591,128.822845459,-1.1580965519,389.567687988,228.740478516
1582712316131862794,343,1582712316106634384,,164.372070312,127.725227356,-1.20504951477,388.712402344,226.952941895
1582712316159141717,344,1582712316137422637,,164.933853149,132.397323608,-1.17825734615,393.207733154,229.314407349
1582712316191123462,345,1582712316167134526,,167.024627686,133.370834351,-1.06519150734,396.982269287,231.28074646
1582712316223932340,346,1582712316205194321,,171.571365356,138.061843872,-0.808086276054,406.61605835,237.516906738
1582712316252704335,347,1582712316237340846,,198.63343811,139.164962769,-0.274288535118,406.224517822,244.249450684
1582712316293755993,348,1582712316272995236,,179.522109985,137.972061157,-0.174645975232,413.446380615,246.222015381
1582712316322431831,349,1582712316306085200,,208.938964844,134.92338562,-0.0183015093207,409.212402344,250.632904053
1582712316355112324,350,1582712316337833609,,178.546707153,152.798553467,0.181430906057,417.333374023,257.963226318
1582712316384888477,351,1582712316367606991,,179.709075928,149.241241455,0.165785774589,417.653564453,259.594055176
1582712316416987130,352,1582712316400403305,,182.361633301,165.89151001,1.09507238865,414.319946289,268.875
1582712316451440210,353,1582712316435737832,,179.535003662,142.871002197,0.232083573937,415.579956055,260.997955322
1582712316484454950,354,1582712316468993612,,178.147994995,164.462921143,1.27379798889,414.041168213,270.229888916
1582712316516649029,355,1582712316501576553,,179.26008606,161.815704346,1.27723681927,413.228149414,270.941162109
1582712316556329838,356,1582712316541114646,,180.100402832,163.343887329,1.22892212868,412.008178711,271.630554199
1582712316590582728,357,1582712316568968521,,177.165298462,160.110794067,1.29061603546,414.120605469,271.663574219
1582712316623902769,358,1582712316601592184,,181.020217896,162.692840576,1.05154299736,410.577209473,271.429962158
1582712316658533115,359,1582712316642160205,,178.556747437,160.709457397,1.30511617661,413.281555176,271.445983887
1582712316689990114,360,1582712316673466581,,179.21182251,160.004898071,1.26085817814,413.2137146,271.207458496
1582712316722034959,361,1582712316705430961,,179.383987427,160.368835449,1.25681948662,413.699432373,271.38269043
1582712316760549439,362,1582712316742557764,,182.449417114,159.136611938,1.17675185204,412.438934326,270.354553223
1582712316791614914,363,1582712316774257890,,187.551315308,170.934295654,0.949859261513,406.184020996,270.557281494
1582712316824774593,364,1582712316806183598,,179.585632324,166.500335693,1.51356339455,409.738128662,273.618804932
1582712316860834448,365,1582712316842487082,,179.785995483,145.924087524,0.306992560625,411.560546875,263.235961914
1582712316890381213,366,1582712316874180698,,178.491333008,162.815719604,1.2190952301,411.861877441,271.385650635
1582712316917443783,367,1582712316899360202,,177.412200928,142.328964233,0.338399231434,413.597991943,264.091918945
1582712316951349436,368,1582712316935305062,,177.629226685,159.970306396,1.25584161282,413.570587158,272.423461914
1582712316985531089,369,1582712316967222477,,179.538284302,156.748718262,1.09054505825,414.802246094,271.443695068
1582712317013812850,370,1582712316999080207,,185.801315308,162.123260498,1.19664275646,410.658752441,269.963531494
1582712317054661954,371,1582712317035967240,,182.65802002,161.301712036,1.18850946426,411.446136475,270.077331543
