%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1582713089712528823,401,1582713089691553176,,184.873138428,126.499710083,1.48290240765,383.4090271,279.87286377
1582713089745681238,402,1582713089727588695,,192.119842529,133.792221069,1.37387025356,383.957733154,279.090606689
1582713089777061661,403,1582713089759508500,,184.715637207,134.22857666,1.47784936428,381.953857422,277.761444092
1582713089810678384,404,1582713089791530401,,177.700744629,130.70552063,1.52699244022,383.014709473,280.156768799
1582713089843872604,405,1582713089827552130,,178.109893799,128.223632812,1.49958312511,382.417755127,281.69128418
1582713089888677006,406,1582713089865510271,,182.270599365,132.199157715,1.52714920044,384.995910645,279.883575439
1582713089913949850,407,1582713089897858677,,186.43421936,132.474975586,1.56113064289,385.581604004,277.525115967
1582713089952479057,408,1582713089933521120,,201.686233521,143.197357178,1.50915718079,389.489746094,272.63192749
1582713089985118219,409,1582713089965471507,,186.080917358,137.462631226,1.4878718853,382.043579102,273.106140137
1582713090015747710,410,1582713089996138419,,182.564315796,145.337875366,1.40521371365,381.02355957,273.777587891
1582713090048570985,411,1582713090027608239,,188.976791382,154.11555481,1.31355392933,379.059356689,269.385223389
1582713090084563109,412,1582713090065606864,,177.703140259,134.025650024,1.47647225857,383.235778809,277.310913086
1582713090114213155,413,1582713090098117768,,175.322143555,133.87260437,1.17317950726,379.511260986,267.700500488
1582713090148728915,414,1582713090130046787,,221.419677734,151.329711914,1.02167701721,381.737365723,263.75668335
1582713090180317238,415,1582713090161996588,,160.684005737,141.222991943,0.615483283997,374.739776611,261.031097412
1582713090212241941,416,1582713090193774273,,164.942764282,135.102706909,0.904852151871,378.012969971,262.386352539
1582713090245157523,417,1582713090228298947,,156.6512146,134.367385864,1.38231265545,382.470550537,269.395629883
1582713090278975903,418,1582713090260038782,,178.806610107,130.129135132,1.48889029026,382.244049072,276.762481689
1582713090309367668,419,1582713090292411609,,184.889526367,128.107162476,1.48299002647,381.855621338,277.367431641
1582713090347001324,420,1582713090328167920,,196.761688232,138.766799927,1.43796980381,385.268737793,274.326080322
1582713090376908650,421,1582713090359858373,,168.612228394,141.931091309,1.50057947636,381.631744385,267.677581787
1582713090410015250,422,1582713090391948670,,168.547149658,136.409286499,-1.5239944458,383.712402344,271.528930664
1582713090443031722,423,1582713090427580401,,189.490814209,135.761062622,1.53820240498,383.082122803,270.865814209
1582713090478608066,424,1582713090459565378,,189.648345947,159.872970581,1.17238748074,380.738433838,257.56930542
1582713090509279832,425,1582713090492274806,,178.620742798,145.489959717,0.837849676609,374.867614746,260.779724121
1582713090543880712,426,1582713090528180731,,172.268112183,147.263153076,0.720307290554,373.73147583,255.793716431
1582713090583090200,427,1582713090565639715,,148.985580444,140.812591553,0.322266072035,378.753051758,267.113739014
1582713090607840699,428,1582713090591731065,,148.463623047,143.66317749,-0.456304371357,381.698577881,269.706359863
1582713090642469225,429,1582713090627754562,,170.148681641,140.991958618,1.55345404148,383.466552734,280.035766602
1582713090678587342,430,1582713090659460578,,175.316055298,133.045822144,1.473706007,385.05368042,279.458618164
1582713090709102659,431,1582713090691647132,,182.591323853,131.693893433,1.49190175533,385.270202637,278.961425781
1582713090744678378,432,1582713090727663698,,192.81072998,141.026824951,-1.49867022038,389.424468994,272.71295166
1582713090780887928,433,1582713090766235636,,191.789611816,142.624557495,-1.35519838333,392.107879639,270.621398926
1582713090815216884,434,1582713090798270166,,173.316696167,136.371643066,-1.48446238041,388.446228027,272.67880249
1582713090845720596,435,1582713090827601383,,174.90284729,127.470939636,1.55939590931,385.363006592,277.727722168
1582713090882435619,436,1582713090859460395,,180.178543091,127.414115906,1.50517785549,384.433563232,278.028869629
1582713090909364583,437,1582713090891554016,,185.709854126,130.663253784,1.5009200573,385.180480957,277.553771973
1582713090948058986,438,1582713090933455622,,196.598693848,134.12008667,1.41777300835,385.575256348,276.083526611
