%time,field.header.seq,field.header.stamp,field.header.frame_id,time,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1.58253869371066E+018,318,1.58253869368144E+018,,0,200.951095581,169.797409058,0.929320991039,361.186523438,236.518829346
1.58253869375496E+018,319,1.58253869371709E+018,,0.035642624,198.941192627,173.341400146,0.728769779205,359.159393311,238.759231567
1.58253869378753E+018,320,1.58253869375224E+018,,0.070793472,198.950775146,192.367996216,-0.795985043049,353.097747803,248.671035767
1.58253869384462E+018,321,1.58253869378228E+018,,0.100833792,198.376113892,189.671096802,-0.535281002522,351.314300537,252.97366333
1.58253869385831E+018,322,1.58253869381295E+018,,0.131503872,196.869720459,189.824630737,-0.355357289314,350.849273682,254.979446411
1.58253869388649E+018,323,1.58253869384291E+018,,0.161464832,200.459609985,185.832168579,-0.337234079838,352.081634521,256.729217529
1.58253869391379E+018,324,1.58253869387605E+018,,0.194608384,252.86277771,235.936080933,-0.180683761835,386.795349121,261.507415771
1.58253869394509E+018,325,1.58253869390913E+018,,0.227690752,204.188613892,176.78137207,-0.381218194962,351.451324463,256.364105225
1.58253869397135E+018,326,1.5825386939452E+018,,0.263751424,254.087783813,227.096099854,-0.310258537531,387.773742676,263.01776123
1.58253869400571E+018,327,1.58253869397893E+018,,0.297488896,253.223480225,229.204376221,-0.329357922077,387.856445312,263.35369873
1.5825386940841E+018,328,1.58253869401665E+018,,0.335207168,252.845489502,232.409622192,-0.333160638809,387.617828369,261.842041016
1.58253869411597E+018,329,1.58253869405618E+018,,0.374738176,254.058914185,227.908050537,-0.389379709959,387.96005249,263.481170654
1.58253869416549E+018,330,1.58253869408571E+018,,0.404262144,251.09588623,225.883758545,-0.514770746231,387.099761963,263.461395264
1.58253869419374E+018,331,1.58253869410572E+018,,0.424278784,251.660614014,231.631347656,-0.469645857811,388.392333984,263.271759033
1.58253869421789E+018,332,1.58253869414235E+018,,0.460906752,251.393371582,229.011947632,-0.38850659132,388.813781738,264.332214355
1.58253869424272E+018,333,1.58253869417342E+018,,0.491980032,200.31022644,192.836380005,-1.25142323971,357.884338379,271.250701904
1.58253869426418E+018,334,1.58253869420505E+018,,0.523603456,252.390335083,224.26373291,-0.378267556429,389.072906494,266.043334961
1.5825386942962E+018,335,1.5825386942534E+018,,0.571954944,253.129318237,230.805908203,-0.464677214622,389.493743896,264.304718018
1.58253869433563E+018,336,1.58253869427671E+018,,0.595261696,250.851791382,231.833465576,-0.460393846035,388.749359131,264.494812012
1.5825386943727E+018,337,1.58253869431138E+018,,0.629933312,251.711853027,230.264770508,-0.441190987825,388.645843506,263.838012695
1.58253869440665E+018,338,1.58253869434215E+018,,0.660705536,252.398330688,230.089538574,-0.49300250411,389.407012939,263.869781494
1.58253869448654E+018,339,1.58253869437511E+018,,0.693669632,253.954376221,230.555984497,-0.495807230473,390.093780518,263.45880127
1.58253869456323E+018,340,1.58253869442096E+018,,0.739519232,252.226425171,229.362472534,-0.440574854612,389.492675781,263.965087891
1.58253869458361E+018,341,1.58253869445147E+018,,0.770026496,250.084732056,227.890014648,-0.487825721502,388.585876465,264.774627686
1.58253869462484E+018,342,1.58253869447719E+018,,0.795750144,252.911178589,221.325622559,-0.421013265848,389.602813721,266.246795654
1.58253869465496E+018,343,1.58253869451125E+018,,0.829804288,254.769561768,218.84487915,-0.402190446854,390.27734375,267.221923828
1.58253869467884E+018,344,1.58253869454193E+018,,0.860485376,252.747940063,224.22328186,-0.366685062647,390.326812744,266.681884766
1.58253869471041E+018,345,1.58253869457542E+018,,0.8939776,252.42791748,228.43812561,-0.437569499016,389.996032715,264.845550537
1.58253869473569E+018,346,1.5825386946099E+018,,0.928455424,252.296798706,229.729522705,-0.413603037596,389.912780762,264.723114014
1.58253869476005E+018,347,1.5825386946421E+018,,0.960655104,251.041854858,230.520477295,-0.448191225529,389.547027588,263.815765381
1.58253869479169E+018,348,1.58253869467331E+018,,0.991869952,206.424591064,192.053588867,-0.803597807884,359.765045166,269.609039307
1.58253869481465E+018,349,1.58253869471009E+018,,1.02864256,203.043899536,190.391799927,-0.926861703396,358.693450928,270.289276123
1.58253869483535E+018,350,1.58253869474614E+018,,1.064691968,203.441390991,184.157501221,-1.04430091381,358.132476807,270.619873047
1.58253869486484E+018,351,1.58253869477459E+018,,1.093142016,222.925186157,192.870956421,0.771520137787,365.690429688,278.135742188
1.58253869490186E+018,352,1.58253869481412E+018,,1.132677632,253.043746948,226.253936768,-0.448704838753,389.979858398,264.98916626
1.58253869494492E+018,353,1.58253869484332E+018,,1.1618752,251.879272461,225.694641113,-0.442117512226,389.941345215,264.498962402
1.58253869498131E+018,354,1.58253869487332E+018,,1.191880448,204.71774292,163.478881836,-0.215980097651,359.191864014,263.147094727
1.58253869500687E+018,355,1.58253869490948E+018,,1.228041216,201.259628296,163.551177979,-0.234583482146,358.733459473,263.836669922
1.58253869503883E+018,356,1.58253869494022E+018,,1.258777856,200.150115967,170.19329834,-0.510039687157,356.601348877,266.639953613
1.58253869505913E+018,357,1.58253869497377E+018,,1.29232896,208.985305786,161.743713379,-0.245426803827,356.465423584,262.090148926
1.58253869510274E+018,358,1.58253869500762E+018,,1.326171904,208.23085022,158.920211792,-0.252331316471,356.551544189,261.17767334
1.58253869513205E+018,359,1.58253869504108E+018,,1.3596352,253.198699951,218.595306396,-0.418414026499,390.584899902,266.869750977
1.58253869515604E+018,360,1.5825386950747E+018,,1.39325184,202.080612183,189.670547485,-1.00641405582,358.138000488,270.810577393
1.5825386951742E+018,361,1.58253869510996E+018,,1.428514048,217.881195068,189.740432739,0.834349453449,365.433654785,278.403198242
1.58253869520589E+018,362,1.58253869514622E+018,,1.464777472,254.381698608,218.716522217,-0.457189053297,390.210418701,264.699707031
1.5825386952214E+018,363,1.58253869517987E+018,,1.498429696,198.331756592,187.763168335,-1.1978687048,359.352630615,272.222869873
1.58253869524028E+018,364,1.58253869521677E+018,,1.535324928,253.953598022,217.375396729,-0.436902374029,389.504577637,266.418518066
1.58253869528354E+018,365,1.58253869525102E+018,,1.569575936,201.337966919,173.583938599,-0.476446181536,355.364929199,267.938659668
1.58253869532411E+018,366,1.58253869528242E+018,,1.60097408,253.181442261,219.220489502,-0.334494620562,390.193939209,267.868469238
1.58253869535638E+018,367,1.58253869531454E+018,,1.633099776,205.491394043,178.24546814,-0.247944951057,360.040588379,267.378265381
1.58253869540939E+018,368,1.58253869534392E+018,,1.662477056,210.705734253,160.927871704,0.0248530190438,369.679016113,263.725097656
1.58253869544373E+018,369,1.58253869539659E+018,,1.715147776,207.502853394,159.986495972,-0.0879076197743,368.688110352,270.106170654
1.58253869547293E+018,370,1.58253869543372E+018,,1.752275456,202.10887146,150.063339233,-0.0892189592123,368.022033691,271.957183838
1.58253869548663E+018,371,1.5825386954638E+018,,1.78235136,171.447280884,150.871612549,-0.127104818821,374.768432617,270.320007324
1.58253869551158E+018,372,1.5825386954809E+018,,1.799453696,183.142501831,155.842254639,-0.145089149475,374.387329102,267.26260376
1.58253869555828E+018,373,1.58253869551465E+018,,1.833201408,186.238494873,156.696105957,-0.147114351392,372.920318604,266.706115723
1.58253869559643E+018,374,1.58253869554811E+018,,1.866669824,193.156051636,155.666519165,-0.227316111326,369.596588135,266.137298584
1.58253869563256E+018,375,1.58253869558148E+018,,1.900034304,198.953491211,159.295303345,-0.126495361328,365.758850098,264.63269043
1.58253869566588E+018,376,1.58253869561359E+018,,1.932148992,195.954956055,158.76109314,-0.163460433483,367.87097168,263.960205078
1.58253869569738E+018,377,1.58253869565186E+018,,1.97041536,203.394775391,154.708511353,-0.142298430204,365.043243408,262.6875
1.58253869574074E+018,378,1.58253869568455E+018,,2.003107072,204.315414429,158.145996094,-0.276182979345,361.549530029,263.8125
1.58253869576005E+018,379,1.58253869572602E+018,,2.044576256,197.810913086,148.987258911,-0.335499584675,364.266967773,262.984466553
1.58253869578151E+018,380,1.58253869574315E+018,,2.06171136,203.17666626,152.647583008,-0.364525228739,360.72644043,263.207702637
1.58253869579629E+018,381,1.58253869577423E+018,,2.09278208,203.313491821,182.855270386,-1.02193236351,360.998931885,273.190002441
1.58253869583015E+018,382,1.58253869581345E+018,,2.13200896,252.573074341,224.614898682,-0.516705036163,390.354248047,265.179748535
