%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1582537962313280792,373,1582537962255888431,,206.309051514,148.683776855,-1.17279422283,390.450805664,235.329208374
1582537962341444865,374,1582537962291185547,,209.238769531,148.161117554,-1.2071980238,389.824554443,236.266036987
1582537962367096437,375,1582537962323323943,,214.033554077,164.513137817,-1.11580836773,392.719329834,238.506317139
1582537962389715351,376,1582537962353209798,,203.939712524,148.584884644,-1.15803527832,392.59979248,244.087280273
1582537962415363966,377,1582537962391612301,,196.350646973,143.471130371,-1.02225506306,395.615020752,243.269241333
1582537962452783946,378,1582537962424301282,,184.027069092,145.719100952,-0.973732411861,395.199462891,237.300979614
1582537962475808100,379,1582537962456227359,,188.875869751,151.791641235,-1.18106663227,393.548828125,231.678146362
1582537962515333509,380,1582537962491894005,,191.364196777,151.147277832,-1.2301210165,393.150756836,230.596359253
1582537962545877851,381,1582537962525919784,,197.389770508,149.495056152,-1.22342002392,392.144073486,230.853225708
1582537962591266242,382,1582537962558844931,,198.53465271,149.639221191,-1.12245571613,391.720581055,233.153030396
1582537962633958080,383,1582537962596234691,,199.193313599,149.976593018,-1.1574960947,391.587768555,233.106933594
1582537962657221218,384,1582537962631442890,,197.547821045,152.269012451,-1.09532618523,390.092681885,233.412994385
1582537962717924378,385,1582537962677101753,,194.264556885,152.80859375,-1.0628721714,390.206451416,233.217956543
1582537962744245980,386,1582537962702294249,,197.151000977,156.489944458,-1.06303584576,389.633880615,232.537826538
1582537962763798527,387,1582537962720146393,,195.912445068,158.511672974,-1.08279550076,390.426147461,232.181304932
1582537962805305585,388,1582537962755913566,,193.388046265,155.093917847,-1.1354534626,391.036437988,231.828292847
1582537962823225617,389,1582537962791270280,,192.991760254,154.075134277,-1.1989068985,391.06072998,230.669158936
1582537962856833165,390,1582537962828809292,,192.610458374,151.100860596,-1.19634056091,391.529510498,230.862869263
1582537962884635217,391,1582537962854939960,,201.109298706,151.521560669,-1.12554442883,391.832580566,230.504714966
1582537962918097063,392,1582537962895945331,,199.044219971,151.983764648,-1.1268209219,392.726898193,229.140289307
1582537962950451930,393,1582537962921161233,,194.821746826,147.752655029,-1.21739661694,391.771118164,230.57723999
1582537962996011711,394,1582537962956540684,,197.163406372,148.706176758,-1.19633746147,390.573638916,232.252822876
1582537963045929690,395,1582537962990405592,,198.136413574,150.63420105,-1.17713367939,389.923156738,232.43006897
1582537963077317379,396,1582537963024633949,,208.151382446,150.534332275,-1.23023962975,388.777709961,235.987091064
1582537963122681965,397,1582537963060585683,,207.982284546,151.872451782,-1.20927655697,388.25289917,235.635559082
1582537963141491207,398,1582537963096317919,,222.461547852,149.822799683,-1.11593794823,387.279022217,237.529907227
1582537963178618452,399,1582537963124903064,,227.752944946,151.115112305,-0.963017880917,383.414916992,238.862197876
1582537963206453710,400,1582537963154810954,,208.533615112,153.223190308,-0.905351877213,382.383483887,239.309814453
1582537963226352249,401,1582537963192852802,,210.607452393,153.495300293,-0.940171122551,382.73651123,237.712753296
1582537963255627073,402,1582537963222143754,,206.808685303,154.660018921,-0.877507328987,382.320526123,236.781204224
1582537963317116344,403,1582537963256420175,,201.696350098,150.884490967,-1.11457419395,388.953094482,234.71206665
1582537963339269668,404,1582537963307586181,,199.611358643,148.824295044,-1.06564104557,389.000396729,235.636611938
1582537963359610988,405,1582537963342196265,,192.087051392,147.910171509,-0.972742974758,392.23260498,234.794616699
1582537963390498873,406,1582537963363270061,,193.12272644,150.786697388,-1.13926184177,389.90814209,232.363601685
1582537963429360964,407,1582537963393432764,,193.79914856,152.604705811,-1.14132106304,389.59777832,232.238616943
1582537963465514183,408,1582537963426431466,,198.203186035,154.985946655,-1.14899909496,388.757965088,231.490997314
1582537963503407939,409,1582537963460461549,,198.912445068,157.36289978,-1.13954162598,387.820037842,231.916717529
1582537963525198435,410,1582537963492083353,,199.390426636,157.424224854,-1.09135448933,388.021148682,232.206161499
1582537963577309316,411,1582537963524597967,,197.831985474,156.927001953,-1.05918931961,388.934143066,231.975219727
1582537963600811490,412,1582537963561557687,,195.611679077,156.25177002,-1.06740748882,389.481445312,232.770797729
1582537963618617922,413,1582537963595469681,,194.747436523,156.383987427,-1.08969986439,390.064819336,232.289825439
1582537963672559386,414,1582537963635800091,,200.806045532,151.976852417,-1.02439546585,391.031494141,231.079284668
1582537963720708858,415,1582537963659791114,,193.468002319,155.834625244,-1.05743277073,390.31552124,231.799133301
1582537963743154533,416,1582537963696365163,,193.012268066,158.552017212,-1.04023945332,390.860321045,232.0131073
1582537963760854299,417,1582537963721326368,,195.576400757,157.687393188,-0.816004931927,396.007873535,235.877288818
1582537963786513488,418,1582537963762935234,,196.279342651,162.464050293,-0.571325361729,400.70513916,239.291595459
1582537963819684321,419,1582537963801566408,,194.548126221,164.22833252,-0.522896051407,402.430023193,240.172424316
1582537963848405700,420,1582537963823425648,,197.583618164,164.669296265,-0.388120442629,402.280090332,242.646026611
1582537963886053759,421,1582537963859546799,,195.770263672,164.017669678,-0.211028084159,404.43927002,246.067459106
1582537963930047617,422,1582537963889378246,,195.343093872,164.446838379,-0.133190006018,404.714416504,247.677902222
1582537963958027209,423,1582537963920937155,,194.919769287,167.194747925,-0.0210943669081,405.354888916,250.154800415
1582537963992765737,424,1582537963962238940,,194.243713379,160.436187744,0.0844825282693,404.854095459,254.371520996
1582537964016827845,425,1582537963996084457,,189.61151123,159.985214233,0.11141667515,405.492950439,254.4737854
1582537964052074658,426,1582537964024073582,,193.361740112,160.695327759,0.133388146758,403.839263916,254.14465332
1582537964088240942,427,1582537964056865637,,198.272293091,158.415847778,0.564848184586,399.923034668,254.133300781
1582537964121670064,428,1582537964088470591,,201.458236694,157.700119019,0.504129707813,399.401153564,252.397109985
1582537964154053821,429,1582537964119894647,,193.750411987,159.856369019,0.617300391197,397.04989624,252.678817749
1582537964202492555,430,1582537964172665769,,173.555999756,158.674835205,0.494404286146,403.388275146,253.736541748
1582537964234384246,431,1582537964191104728,,159.455566406,116.485916138,0.737710535526,387.839294434,261.545440674
1582537964263608409,432,1582537964224426110,,190.289505005,149.853317261,0.399990022182,400.672485352,256.627075195
1582537964295589397,433,1582537964260865529,,184.672683716,156.249923706,0.300078719854,402.524017334,258.200531006
1582537964323374210,434,1582537964290187000,,192.0574646,157.225616455,0.218459367752,402.172637939,257.753112793
1582537964354740750,435,1582537964322002308,,192.674331665,154.882919312,0.300380855799,401.804412842,257.695770264
1582537964373981798,436,1582537964357219517,,190.192153931,157.79296875,0.233004763722,402.747894287,257.443572998
1582537964408265936,437,1582537964390811006,,191.825653076,156.59197998,0.262857735157,401.457550049,257.076873779
1582537964454842927,438,1582537964436518768,,187.628601074,158.645355225,0.240184634924,403.185821533,258.7137146
1582537964493462956,439,1582537964471971471,,188.39163208,156.610626221,0.199626967311,402.394195557,257.750183105
1582537964538508223,440,1582537964508254508,,189.868438721,158.676834106,0.266947686672,401.575744629,257.131561279
1582537964567164578,441,1582537964530308591,,215.799606323,153.055053711,0.185522586107,394.08605957,256.351623535
1582537964585991834,442,1582537964567598792,,235.319885254,148.672714233,0.306704133749,384.603485107,251.089630127
1582537964629614382,443,1582537964603593978,,238.436660767,149.767929077,0.232378780842,385.783111572,253.756561279
1582537964654658916,444,1582537964626965725,,194.328430176,146.184494019,0.0900349542499,387.069519043,261.637786865
1582537964696664751,445,1582537964667968987,,183.071746826,148.645309448,0.00773448543623,389.63848877,262.143768311
1582537964728630705,446,1582537964700861064,,183.062591553,149.366027832,0.184835895896,394.50390625,261.400787354
1582537964760255289,447,1582537964733507287,,187.784500122,148.622589111,0.251947551966,400.302947998,261.414398193
1582537964784719484,448,1582537964757185857,,188.324829102,150.16545105,0.343285858631,399.169311523,259.593505859
1582537964822955596,449,1582537964788661195,,189.326980591,154.059509277,0.305715590715,400.969085693,258.699707031
1582537964845818219,450,1582537964822062974,,192.881896973,156.758453369,0.312152296305,400.724304199,257.970489502
1582537964883573443,451,1582537964862735014,,195.064331055,154.987335205,0.356956541538,402.096710205,259.268829346
1582537964912156456,452,1582537964889082691,,191.859481812,155.989532471,0.308764219284,401.763671875,258.891204834
1582537964955709151,453,1582537964932749138,,190.795898438,155.040405273,0.236334502697,401.881011963,259.331939697
1582537964995315018,454,1582537964959463256,,197.783905029,154.824676514,0.290748625994,399.371948242,258.026916504
1582537965010525874,455,1582537964988664861,,188.410430908,155.098480225,0.259157657623,402.103424072,259.718078613
1582537965055496550,456,1582537965025136299,,194.750427246,154.867034912,0.253602325916,400.422485352,259.117736816
1582537965094534207,457,1582537965058177707,,201.958145142,155.475799561,0.146854028106,396.124969482,259.447814941
1582537965121129428,458,1582537965092300377,,191.979644775,155.165649414,0.285165041685,401.500732422,259.814208984
1582537965147360204,459,1582537965126937600,,196.173538208,151.197341919,0.291749954224,399.866485596,259.001922607
1582537965192726015,460,1582537965154740423,,190.01461792,157.241516113,0.222117096186,403.109344482,258.966644287
1582537965229725785,461,1582537965191836723,,187.940109253,155.923568726,0.251786977053,402.333648682,259.451812744
1582537965258040293,462,1582537965224542767,,189.995391846,154.966461182,0.288546055555,401.822296143,259.595825195
1582537965303203168,463,1582537965258398319,,191.804092407,155.773132324,0.301776230335,401.688964844,258.897277832
1582537965336783749,464,1582537965288288196,,191.935974121,156.434906006,0.326755344868,401.608673096,258.410766602
1582537965357544933,465,1582537965330238818,,188.255020142,153.522277832,0.370200157166,401.079986572,260.082550049
1582537965375260345,466,1582537965359127490,,188.810150146,155.787750244,0.312316894531,402.021820068,259.194610596
1582537965412303028,467,1582537965393161247,,189.537521362,156.268386841,0.31028264761,401.030792236,258.881866455
1582537965444003038,468,1582537965423480509,,191.790618896,157.983520508,0.258968174458,401.791870117,259.041900635
1582537965487952569,469,1582537965461145506,,187.120300293,157.167053223,0.446540206671,400.707855225,259.046691895
1582537965522716794,470,1582537965492925527,,188.064224243,158.765090942,0.368715584278,401.544952393,258.567657471
1582537965563536096,471,1582537965527771561,,189.97543335,156.793304443,0.404429763556,400.408874512,257.450897217
1582537965599793122,472,1582537965570721732,,190.659240723,156.036712646,0.331413090229,401.851348877,258.724121094
1582537965623806055,473,1582537965591972956,,188.868103027,154.436660767,0.289301067591,401.664031982,259.368743896
1582537965668299101,474,1582537965626862225,,190.92098999,156.801300049,0.293206304312,401.301574707,258.703125
1582537965704693997,475,1582537965660570013,,192.960906982,155.048080444,0.347244113684,402.734466553,259.295166016
1582537965746216230,476,1582537965697019077,,193.913497925,156.05581665,0.332716435194,400.818450928,258.012115479
1582537965800295779,477,1582537965730229660,,192.100799561,155.834976196,0.277126938105,401.883972168,259.997467041
1582537965813891481,478,1582537965757874884,,195.533706665,157.653518677,0.273912370205,400.85269165,258.696655273
1582537965837012156,479,1582537965789968074,,191.605361938,153.095458984,0.23191472888,402.4324646,259.269866943
1582537965860828157,480,1582537965826061655,,194.119903564,153.463790894,0.186327531934,403.159545898,259.923034668
1582537965898180022,481,1582537965861781530,,184.467758179,152.180404663,0.265444844961,403.054290771,261.37210083
1582537965938868131,482,1582537965893913823,,189.857025146,154.464248657,0.303384125233,402.514556885,259.667266846
1582537965987131172,483,1582537965930583840,,192.312454224,154.318252563,0.324302315712,401.422912598,258.934875488
1582537966000776178,484,1582537965973674489,,192.12739563,157.987945557,0.344415575266,401.687957764,259.100952148
1582537966041837717,485,1582537966012657184,,195.512771606,161.409301758,0.393949449062,400.302276611,257.507080078
1582537966068790178,486,1582537966030122655,,192.808425903,155.868240356,0.252102017403,402.226531982,259.364105225
1582537966100207994,487,1582537966057807845,,191.04737854,155.618637085,0.321700274944,401.239196777,258.130493164
1582537966118598261,488,1582537966095265310,,187.519073486,154.389602661,0.345644891262,400.650787354,259.303466797
1582537966162618895,489,1582537966130637294,,189.792236328,154.22442627,0.297334343195,401.112609863,258.970458984
1582537966184443459,490,1582537966161462889,,191.798919678,159.998077393,0.416867792606,400.860168457,257.121765137
1582537966216454988,491,1582537966187617838,,201.854766846,159.723907471,0.36674618721,397.306091309,255.730331421
1582537966261772394,492,1582537966224768354,,214.318618774,159.262451172,0.425873160362,396.082702637,254.179718018
1582537966293144813,493,1582537966262030964,,240.432357788,155.811569214,0.7172960639,398.52230835,261.528381348
1582537966317490020,494,1582537966295029082,,242.223373413,177.734558105,0.911340653896,395.180236816,268.253234863
1582537966368217008,495,1582537966325564929,,209.806350708,152.662582397,0.619502544403,387.991119385,247.444335938
1582537966432087027,496,1582537966362373332,,188.531707764,150.866516113,0.742188632488,387.709686279,246.701477051
1582537966457286447,497,1582537966400004706,,187.608398438,148.815002441,0.887672066689,389.96005249,247.459243774
1582537966498649775,498,1582537966440319445,,186.632720947,156.177154541,0.897063195705,391.513519287,247.686447144
1582537966533589502,499,1582537966456194623,,187.516662598,186.029907227,0.13887372613,397.600372314,245.259277344
1582537966557047018,500,1582537966497948659,,179.495681763,147.629318237,0.00913637317717,386.552429199,259.534423828
1582537966589683036,501,1582537966524654524,,193.230789185,149.422714233,-0.0191258899868,388.20690918,259.192718506
1582537966633834244,502,1582537966561090060,,204.257354736,149.817977905,-0.0795535519719,390.871490479,261.443572998
1582537966652492113,503,1582537966596412694,,203.841247559,149.70916748,0.0378822684288,393.064819336,263.758422852
1582537966687360145,504,1582537966632224250,,205.468856812,148.109375,0.0153113119304,393.646881104,262.787200928
1582537966708041772,505,1582537966674131375,,207.168304443,155.514251709,-0.0415659509599,391.85635376,263.517944336
1582537966739239256,506,1582537966709153069,,208.571456909,156.381698608,0.0904619917274,387.380249023,261.874511719
1582537966777310302,507,1582537966733563329,,211.208618164,150.417922974,0.141973778605,384.088745117,259.259613037
