%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1569829998751888214,1453,1569829998717254330,,163.093826294,142.960693359,0.2928827703,322.038848877,233.170608521
1569829998808697899,1454,1569829998766117464,,157.473831177,132.230773926,0.460532903671,325.403533936,228.362380981
1569829998842303597,1455,1569829998801547775,,142.845428467,122.393600464,0.768593728542,325.745819092,224.445892334
1569829998873391274,1456,1569829998833028664,,145.198410034,125.368736267,0.739656686783,325.944091797,225.126434326
1569829998895148926,1457,1569829998864672341,,144.499389648,124.161346436,0.756317615509,326.368560791,225.044464111
1569829998917583695,1458,1569829998891603802,,144.891098022,124.522911072,0.728261470795,326.168029785,225.029647827
1569829998950186557,1459,1569829998919765488,,162.037918091,142.43598938,0.356354355812,322.650878906,232.919189453
1569829999008489446,1460,1569829998967827027,,138.530105591,120.509506226,-0.617096543312,325.01776123,223.851211548
1569829999045740528,1461,1569829999002192809,,3.02371573448,2.79941678047,0.0,326.0,238.714279175
1569829999071677603,1462,1569829999032034041,,0.0,0.0,0.0,0.0,0.0
1569829999093407741,1463,1569829999060143965,,0.0,0.0,0.0,0.0,0.0
1569829999120184850,1464,1569829999085428282,,0.0,0.0,0.0,0.0,0.0
1569829999145658301,1465,1569829999121741758,,0.0,0.0,0.0,0.0,0.0
1569829999210922920,1466,1569829999175111850,,0.0,0.0,0.0,0.0,0.0
1569829999244319759,1467,1569829999201683838,,0.0,0.0,0.0,0.0,0.0
1569829999271502444,1468,1569829999242888600,,0.0,0.0,0.0,0.0,0.0
1569829999290724805,1469,1569829999260475206,,0.0,0.0,0.0,0.0,0.0
1569829999320303926,1470,1569829999287532501,,0.0,0.0,0.0,0.0,0.0
1569829999348635538,1471,1569829999326983343,,0.0,0.0,0.0,0.0,0.0
1569829999385276066,1472,1569829999354792225,,0.0,0.0,0.0,0.0,0.0
1569829999413071012,1473,1569829999391908545,,0.0,0.0,0.0,0.0,0.0
1569829999446375556,1474,1569829999415967631,,0.0,0.0,0.0,0.0,0.0
1569829999503321620,1475,1569829999469688761,,0.0,0.0,0.0,0.0,0.0
1569829999539287400,1476,1569829999501517187,,0.0,0.0,0.0,0.0,0.0
1569829999578689578,1477,1569829999533591894,,0.0,0.0,0.0,0.0,0.0
1569829999605849605,1478,1569829999567542440,,182.323501587,125.28931427,-0.257125645876,315.0,210.5
1569829999625285627,1479,1569829999590253819,,185.763366699,162.969223022,-0.187442108989,324.0,237.25
1569829999644301526,1480,1569829999617497289,,167.651611328,106.761001587,-0.480198681355,342.138885498,237.944442749
1569829999699975876,1481,1569829999665590509,,180.112869263,115.818397522,-0.331242263317,332.869567871,238.173919678
1569829999738445543,1482,1569829999703423571,,156.703094482,145.442657471,-0.0208388660103,339.046508789,231.744186401
1569829999770799542,1483,1569829999733682619,,160.701065063,160.674560547,0.0,319.997741699,240.0
1569829999795244206,1484,1569829999769523683,,163.340118408,144.854980469,0.257794976234,321.587493896,233.944152832
1569829999814765509,1485,1569829999789434481,,153.985305786,131.881530762,0.493189364672,325.263885498,227.547698975
1569829999847140136,1486,1569829999816539624,,144.746810913,126.527145386,-0.624301552773,325.490264893,226.199157715
1569829999899084772,1487,1569829999861541891,,136.053771973,110.83631134,-0.595535337925,323.590393066,223.557815552
