%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1591685238687355245,1557,1591685238666170372,,96.9192047119,87.4400863647,-1.04241371155,386.247894287,269.389190674,73.5774917603
1591685238710998193,1558,1591685238697920978,,95.1691513062,88.9091262817,-1.05704367161,387.956268311,268.827941895,74.6951217651
1591685238752649451,1559,1591685238733165446,,95.3443603516,89.9886856079,-1.38734793663,389.039215088,269.793395996,74.6951217651
1591685238779622221,1560,1591685238765021931,,94.9672851562,88.4622268677,1.41413164139,390.873840332,270.1902771,75.7630233765
1591685238818437775,1561,1591685238803753941,,92.1900253296,89.2936553955,-1.21663284302,390.14831543,269.619873047,75.7630233765
1591685238847047833,1562,1591685238832976758,,98.8617172241,87.7574768066,1.03415024281,393.994659424,270.767974854,77.1913146973
1591685238882473422,1563,1591685238867657897,,96.4323806763,86.6271209717,1.0865547657,394.247375488,270.099060059,77.1913146973
1591685238918086328,1564,1591685238899347181,,105.692321777,83.6552124023,0.733325660229,398.048400879,270.479797363,78.0328140259
1591685238957321027,1565,1591685238938681797,,100.763641357,84.1004943848,0.823556184769,396.629486084,269.521942139,78.0328140259
1591685238987924466,1566,1591685238970608921,,101.798957825,86.5863647461,1.0542447567,395.676513672,271.392303467,79.0260925293
1591685239017299544,1567,1591685239002615747,,110.471893311,84.3952560425,0.911865830421,399.032287598,272.823181152,79.0260925293
1591685239053553964,1568,1591685239038688541,,118.057495117,82.2024307251,0.585495829582,405.461395264,270.539703369,79.8715057373
1591685239087701596,1569,1591685239070554534,,116.452774048,79.4279403687,0.477696657181,405.854187012,267.877716064,79.8715057373
1591685239116964540,1570,1591685239101827715,,113.962059021,78.5162734985,0.604023814201,403.85458374,268.097717285,80.332901001
1591685239148371898,1571,1591685239133279064,,118.084602356,81.2164611816,0.580393195152,406.412322998,268.219390869,80.332901001
1591685239182632294,1572,1591685239165050439,,119.17339325,78.4877700806,0.58311098814,407.119232178,266.822143555,80.5207290649
1591685239223564524,1573,1591685239202207200,,123.593765259,82.5072937012,0.527729988098,409.391265869,268.28604126,80.5207290649
1591685239249541014,1574,1591685239235381300,,120.762535095,78.9469985962,0.583821773529,407.773071289,267.353515625,80.9612045288
1591685239288243515,1575,1591685239267129071,,126.062026978,82.7161865234,0.427335500717,411.481414795,266.519256592,80.9612045288
1591685239317912781,1576,1591685239303047314,,123.824501038,82.0241470337,0.5102673769,410.775177002,267.054443359,81.4919281006
1591685239349705117,1577,1591685239333789079,,122.011070251,82.3679428101,0.398349374533,411.162109375,263.877990723,81.4919281006
1591685239379055179,1578,1591685239365018638,,126.524597168,79.847114563,0.257572412491,410.765106201,262.154846191,81.8476257324
1591685239417679741,1579,1591685239401250250,,125.099967957,78.596824646,0.289669513702,411.849884033,261.215362549,81.8476257324
1591685239453059263,1580,1591685239438562054,,119.872680664,76.2905654907,0.411839753389,410.285003662,261.942871094,81.9019470215
