%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1591687434321216972,2962,1591687434303088066,,72.0939407349,67.5949859619,0.605866611004,394.662139893,254.8253479,0.0
1591687434350778674,2963,1591687434335591816,,71.3854904175,67.7864532471,0.757068514824,393.648254395,254.116333008,0.0
1591687434384949717,2964,1591687434368009444,,74.0985107422,69.5917510986,0.334960818291,396.06918335,253.74848938,0.0
1591687434418939474,2965,1591687434403799226,,74.3825683594,70.1126098633,0.172374293208,395.827453613,254.297409058,0.0
1591687434449599761,2966,1591687434435357924,,76.0642929077,63.6792831421,0.292498975992,394.940948486,255.530670166,0.0
1591687434493004311,2967,1591687434467149511,,72.8123474121,64.6107025146,0.658089876175,393.693725586,253.096221924,0.0
1591687434527192078,2968,1591687434502919506,,78.7920150757,68.1807403564,0.0492562279105,395.617584229,252.112884521,0.0
1591687434549448968,2969,1591687434535033253,,78.9863891602,67.2433319092,0.0643355771899,394.658477783,251.894897461,0.0
1591687434589713198,2970,1591687434567260127,,78.0223770142,65.8695297241,0.205473527312,394.208251953,252.21913147,0.0
1591687434618343057,2971,1591687434603251499,,73.4385528564,62.927646637,0.0885279998183,393.117034912,253.852233887,0.0
1591687434652673641,2972,1591687434635038789,,78.5877685547,70.9338760376,-0.522336065769,395.639221191,249.436859131,0.0
1591687434686955383,2973,1591687434661556573,,74.4256668091,69.8980331421,0.151263162494,394.085754395,250.694946289,63.7185897827
1591687434712716624,2974,1591687434697230728,,73.7266311646,71.8154678345,-0.235772311687,392.994812012,250.006454468,63.7185897827
1591687434744544979,2975,1591687434729276685,,83.121421814,69.3595962524,-0.838891625404,395.032562256,247.394638062,64.7833328247
1591687434775658125,2976,1591687434761232666,,74.0911102295,66.9943389893,-0.11251296103,392.542053223,251.188644409,64.7833328247
1591687434818165399,2977,1591687434803091198,,70.9772262573,65.3543624878,-0.0321440882981,392.117706299,252.15586853,65.3963851929
1591687434850325251,2978,1591687434834813319,,68.7833480835,62.8867530823,0.397388368845,391.852508545,253.486907959,65.3963851929
1591687434881582683,2979,1591687434866947289,,74.6836166382,69.5801391602,-0.130351886153,391.859100342,250.202774048,65.97706604
1591687434925303059,2980,1591687434902791832,,65.8449478149,65.0552444458,-0.0232323519886,392.140319824,253.656402588,65.97706604
1591687434951661988,2981,1591687434934863288,,72.5693588257,58.2367019653,0.760775923729,391.152374268,251.858642578,66.6775817871
1591687434989242843,2982,1591687434970873283,,72.5376586914,70.8145980835,-0.0459658950567,390.515045166,249.850967407,66.6775817871
1591687435016839353,2983,1591687435002875888,,72.459236145,60.1887664795,0.682619333267,390.846923828,251.540603638,66.8168182373
1591687435054709784,2984,1591687435034976378,,72.0254440308,61.2755584717,0.470463126898,389.980255127,251.949859619,66.8168182373
1591687435085607980,2985,1591687435070952874,,71.0040435791,58.2507972717,0.864713788033,390.705505371,251.390808105,66.6245422363
1591687435118301035,2986,1591687435102999787,,76.0061264038,61.9465484619,0.321999996901,388.723266602,252.528457642,66.6245422363
1591687435152989576,2987,1591687435135133723,,73.8896789551,59.1762237549,0.640423774719,388.87701416,252.288482666,66.5690917969
1591687435190752680,2988,1591687435170953717,,75.0065917969,56.958896637,0.725725531578,389.891448975,251.533981323,66.5690917969
1591687435218433011,2989,1591687435203417759,,78.3556747437,61.5736427307,0.366653621197,388.863830566,250.843658447,66.2152328491
1591687435249235871,2990,1591687435234901020,,71.8719024658,59.338470459,0.5208517313,391.370635986,252.723007202,66.2152328491
