%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1591675094362002999,3860,1591675094347617239,,65.4923248291,60.7147827148,0.419801682234,390.387786865,253.402816772,0.0
1591675094391663917,3861,1591675094377527388,,67.467300415,65.0166549683,-1.19463980198,391.089050293,253.528366089,0.0
1591675094423727030,3862,1591675094409176143,,71.6751785278,65.4246368408,0.643159925938,392.787994385,254.240997314,0.0
1591675094462636768,3863,1591675094447650890,,79.0540008545,66.2097625732,0.125166445971,395.410430908,252.882629395,59.5372047424
1591675094499253663,3864,1591675094483811041,,78.4413452148,69.5109176636,0.189199745655,394.312927246,251.475738525,59.5372047424
1591675094530439943,3865,1591675094515659577,,75.6259155273,61.422164917,0.0801053568721,393.184051514,253.492828369,60.4351005554
1591675094563628278,3866,1591675094547870162,,75.6409912109,68.2820281982,0.250765502453,392.909606934,251.050872803,60.4351005554
1591675094599107800,3867,1591675094583768390,,77.2427978516,68.501449585,-0.230695262551,394.182922363,251.125320435,61.2003898621
1591675094634810886,3868,1591675094615865312,,74.7559432983,65.0121536255,0.121610455215,393.248352051,253.411087036,61.2003898621
1591675094663633110,3869,1591675094647275538,,73.4116516113,63.039150238,0.325432419777,392.446624756,252.618286133,61.9275588989
1591675094691964018,3870,1591675094677601669,,74.0649642944,65.8152084351,0.141394942999,391.299102783,251.911224365,61.9275588989
1591675094735073888,3871,1591675094715745360,,71.901763916,66.4413223267,-0.0340529084206,392.92755127,252.033294678,62.69972229
1591675094771656647,3872,1591675094748032407,,65.5845031738,61.6955528259,0.553260266781,392.448242188,253.994750977,62.69972229
1591675094796691156,3873,1591675094781275929,,70.1927719116,63.5571250916,0.82466250658,392.562713623,251.808456421,63.280582428
1591675094826142086,3874,1591675094809394466,,71.195930481,57.0010032654,0.955245018005,391.5909729,251.965942383,63.280582428
1591675094861712568,3875,1591675094846201872,,71.6269607544,60.3707962036,0.180093199015,391.01071167,253.823974609,63.4899520874
1591675094897933682,3876,1591675094884025082,,70.0043411255,60.4944496155,0.301483422518,390.311889648,253.652633667,63.4899520874
1591675094924858986,3877,1591675094909283586,,70.4095153809,64.0316009521,0.952630579472,390.642181396,251.455932617,63.7887878418
1591675094961778766,3878,1591675094945750023,,70.3794631958,60.0258216858,0.819852828979,390.695007324,252.355895996,63.7887878418
1591675094999802432,3879,1591675094984805457,,70.4781494141,57.3123893738,0.732133865356,389.906097412,252.719696045,63.9696960449
