%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1591686694435135242,2406,1591686694420230952,,106.399864197,91.5035934448,-0.00744273606688,374.5753479,257.309936523,73.2428359985
1591686694471055226,2407,1591686694456301933,,109.829475403,88.2169952393,-0.0409940369427,374.904144287,257.396118164,73.8326873779
1591686694505292126,2408,1591686694488097761,,112.599723816,89.9054946899,-0.147148311138,371.985534668,257.057983398,73.8326873779
1591686694535231937,2409,1591686694520299973,,113.064865112,87.0498809814,-0.182468473911,372.711120605,256.665618896,74.4336090088
1591686694564332637,2410,1591686694550276272,,107.689483643,93.2233963013,-0.27848008275,374.48538208,257.949066162,74.4336090088
1591686694597323961,2411,1591686694581886441,,112.082847595,88.9669952393,-0.601817727089,374.083526611,259.562988281,74.8487319946
1591686694637363182,2412,1591686694620236012,,118.104698181,83.2125854492,-0.43656668067,371.581481934,259.336975098,74.8487319946
1591686694675060823,2413,1591686694656292130,,107.337837219,92.3296737671,-0.375506103039,374.757995605,260.483734131,75.01222229
1591686694708783723,2414,1591686694688227519,,113.635047913,87.9476547241,-0.516931056976,372.874755859,260.340454102,75.01222229
1591686694735026664,2415,1591686694720173829,,116.230461121,67.5582580566,-0.236334115267,373.315124512,253.873703003,75.8932189941
1591686694773394329,2416,1591686694756288210,,112.116210938,66.7289886475,-0.410912960768,375.958618164,255.473388672,75.8932189941
1591686694802665767,2417,1591686694787529044,,114.310974121,66.4775009155,-0.50076597929,375.725738525,256.813568115,74.9645309448
1591686694837842957,2418,1591686694819458917,,111.36138916,68.9043884277,-0.561199784279,376.195281982,258.754333496,74.9645309448
1591686694869866908,2419,1591686694849468430,,109.487037659,68.9921722412,-0.675059974194,377.659881592,259.207305908,75.0205688477
1591686694903452839,2420,1591686694881394739,,107.12512207,71.6818618774,-0.810196340084,379.264007568,260.400634766,75.0205688477
1591686694929747379,2421,1591686694913535742,,107.111053467,69.3199768066,-0.861908972263,380.146148682,260.591796875,75.2196502686
1591686694970278719,2422,1591686694955404417,,109.480285645,70.0169906616,-1.01348078251,380.196380615,262.704193115,75.2196502686
1591686695005656622,2423,1591686694987697542,,107.123817444,69.9208297729,-0.974309802055,380.373809814,261.540313721,75.2610702515
1591686695035813243,2424,1591686695019632764,,107.673362732,68.3787918091,-1.0785959959,379.918670654,262.968109131,75.2610702515
1591686695067699645,2425,1591686695052070730,,112.895393372,67.5593414307,-1.1043074131,379.526824951,264.584838867,75.0493240356
1591686695097189557,2426,1591686695081545317,,110.396827698,66.5990982056,-1.12732517719,380.265991211,263.79083252,75.0493240356
1591686695137541975,2427,1591686695113818740,,107.934921265,66.4840316772,-1.20607590675,382.327606201,263.303375244,74.8586807251
1591686695172237553,2428,1591686695156082883,,104.796867371,67.5987930298,-1.28769946098,383.395782471,263.951477051,74.8586807251
1591686695204889027,2429,1591686695188345244,,103.098129272,68.8162307739,-1.29869568348,383.235473633,263.685638428,74.7702941895
1591686695235287910,2430,1591686695220106545,,105.778503418,68.4957504272,-1.41047561169,384.299926758,265.381622314,74.7702941895
