%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1591686694437027134,2405,1591686694420230952,,2.20000004768
1591686694473393922,2406,1591686694456301933,,2.20000004768
1591686694506845712,2407,1591686694488097761,,2.20000004768
1591686694536764600,2408,1591686694520299973,,2.20000004768
1591686694565466465,2409,1591686694550276272,,2.20000004768
1591686694599027755,2410,1591686694581886441,,2.20000004768
1591686694639724490,2411,1591686694620236012,,2.20000004768
1591686694676882514,2412,1591686694656292130,,2.20000004768
1591686694710604822,2413,1591686694688227519,,2.20000004768
1591686694736752867,2414,1591686694720173829,,2.20000004768
1591686694774636764,2415,1591686694756288210,,2.20000004768
1591686694804207023,2416,1591686694787529044,,2.20000004768
1591686694839535934,2417,1591686694819458917,,2.20000004768
1591686694871797650,2418,1591686694849468430,,2.20000004768
1591686694904686415,2419,1591686694881394739,,2.20000004768
1591686694931641205,2420,1591686694913535742,,2.20000004768
1591686694971998847,2421,1591686694955404417,,2.20000004768
1591686695007363341,2422,1591686694987697542,,2.20000004768
1591686695036685857,2423,1591686695019632764,,2.20000004768
1591686695070096981,2424,1591686695052070730,,2.20000004768
1591686695098288539,2425,1591686695081545317,,2.20000004768
1591686695139056735,2426,1591686695113818740,,2.20000004768
1591686695173569129,2427,1591686695156082883,,2.20000004768
1591686695204908240,2428,1591686695188345244,,2.20000004768
1591686695236557215,2429,1591686695220106545,,2.20000004768
1591686695272038945,2430,1591686695249670005,,2.20000004768
1591686695300346560,2431,1591686695281510480,,2.20000004768
1591686695332578047,2432,1591686695313464813,,2.20000004768
1591686695370585286,2433,1591686695349520623,,2.20000004768
1591686695405898389,2434,1591686695381644238,,2.20000004768
1591686695431372060,2435,1591686695413668542,,2.20000004768
1591686695470368942,2436,1591686695451890861,,2.20000004768
1591686695498172147,2437,1591686695481457196,,2.20000004768
1591686695530529735,2438,1591686695513657928,,2.20000004768
1591686695572507418,2439,1591686695551957029,,2.20000004768
1591686695601529635,2440,1591686695581786255,,2.20000004768
1591686695633249593,2441,1591686695616387328,,2.20000004768
1591686695665267743,2442,1591686695649386162,,2.20000004768
1591686695698307036,2443,1591686695681581151,,2.20000004768
1591686695735650066,2444,1591686695717556422,,2.20000004768
1591686695766710793,2445,1591686695749384659,,2.20000004768
1591686695799082952,2446,1591686695781423775,,2.20000004768
1591686695840439370,2447,1591686695823591210,,2.20000004768
1591686695872444837,2448,1591686695855616637,,2.20000004768
1591686695904557644,2449,1591686695887520755,,2.20000004768
1591686695939994273,2450,1591686695923610486,,2.20000004768
1591686695975565284,2451,1591686695955860705,,2.20000004768
1591686696011478546,2452,1591686695988117274,,2.20000004768
1591686696040746720,2453,1591686696023881165,,2.20000004768
1591686696072192898,2454,1591686696055510627,,2.20000004768
1591686696108025274,2455,1591686696087777218,,2.20000004768
1591686696140829964,2456,1591686696123557930,,2.20000004768
1591686696173075963,2457,1591686696155513398,,2.20000004768
1591686696198317081,2458,1591686696181567903,,2.20000004768
1591686696244731286,2459,1591686696217424478,,2.20000004768
1591686696271988658,2460,1591686696249564841,,2.20000004768
1591686696306149399,2461,1591686696288419985,,2.20000004768
1591686696340307803,2462,1591686696317929992,,2.20000004768
1591686696370848717,2463,1591686696349765119,,2.20000004768
1591686696404344523,2464,1591686696382382295,,2.20000004768
1591686696434626958,2465,1591686696417931903,,2.20000004768
1591686696465634141,2466,1591686696450002142,,2.20000004768
1591686696499783772,2467,1591686696482290263,,2.20000004768
1591686696538908367,2468,1591686696517939062,,2.20000004768
1591686696570367158,2469,1591686696551788664,,2.20000004768
1591686696608010092,2470,1591686696582611914,,2.20000004768
1591686696635111860,2471,1591686696617804274,,2.20000004768
1591686696669856018,2472,1591686696652464930,,2.20000004768
1591686696697425044,2473,1591686696681314878,,2.20000004768
1591686696738943362,2474,1591686696723516124,,2.20000004768
1591686696772657748,2475,1591686696755809241,,2.20000004768
1591686696804264198,2476,1591686696787621425,,2.20000004768
1591686696842368275,2477,1591686696824309386,,2.20000004768
1591686696866633711,2478,1591686696849696589,,2.20000004768
1591686696900673269,2479,1591686696884125474,,2.20000004768
1591686696935263332,2480,1591686696917672595,,2.20000004768
1591686696966308194,2481,1591686696949474968,,2.20000004768
1591686696998335800,2482,1591686696981500243,,2.20000004768
1591686697040796653,2483,1591686697023650596,,2.20000004768
1591686697072380777,2484,1591686697055761056,,2.20000004768
1591686697105814281,2485,1591686697087623156,,2.20000004768
1591686697141614073,2486,1591686697123669429,,2.20000004768
1591686697166867121,2487,1591686697149609678,,2.20000004768
1591686697201899515,2488,1591686697185436186,,2.20000004768
1591686697244456627,2489,1591686697224283586,,2.20000004768
1591686697276450732,2490,1591686697256672837,,2.20000004768
1591686697308663963,2491,1591686697292400479,,2.20000004768
1591686697342138931,2492,1591686697324402425,,2.20000004768
1591686697373813528,2493,1591686697356448299,,2.20000004768
1591686697410242034,2494,1591686697393632576,,2.20000004768
1591686697440745485,2495,1591686697424647028,,2.20000004768
1591686697472218640,2496,1591686697456264636,,2.20000004768
1591686697509424612,2497,1591686697492247683,,2.20000004768
1591686697541078070,2498,1591686697524430255,,2.20000004768
1591686697572123567,2499,1591686697555522505,,2.20000004768
1591686697608814641,2500,1591686697592105199,,2.20000004768
1591686697640749960,2501,1591686697623642554,,2.20000004768
1591686697675714024,2502,1591686697655733777,,2.20000004768
1591686697715201905,2503,1591686697691796822,,2.20000004768
1591686697743582279,2504,1591686697723428474,,2.20000004768
1591686697767136971,2505,1591686697750102346,,2.20000004768
