%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1591695541498761511,3020,1591695541485445767,,64.2940444946,47.4317245483,-0.764780044556,381.997528076,272.855377197,0.0
1591695541533800182,3021,1591695541519660802,,74.8149642944,46.5168075562,-0.767072141171,388.00390625,269.912414551,0.0
1591695541568344605,3022,1591695541553937304,,63.2598571777,48.8313064575,-0.989840507507,383.916046143,276.042022705,0.0
1591695541601339354,3023,1591695541585751127,,81.1406097412,54.3881835938,-0.211294665933,382.497314453,272.867889404,0.0
1591695541637206679,3024,1591695541620414926,,64.8570861816,49.6291732788,-1.25540614128,387.384277344,271.694732666,0.0
1591695541671853954,3025,1591695541656421625,,84.1067123413,57.2495117188,-0.435002982616,386.973236084,270.676055908,0.0
1591695541702063982,3026,1591695541685427386,,74.6903686523,52.3988723755,-0.0854314118624,382.589996338,274.407745361,0.0
1591695541739496635,3027,1591695541717445901,,63.2874145508,45.8149032593,-1.49320304394,389.559997559,274.038452148,0.0
1591695541781790580,3028,1591695541753736698,,59.6903343201,50.7811279297,1.36093652248,388.601196289,274.137237549,0.0
1591695541800919242,3029,1591695541786135483,,58.7272911072,54.2139434814,1.15155375004,388.558044434,271.818969727,0.0
1591695541835111883,3030,1591695541817482052,,57.5487747192,52.2868728638,1.54085600376,387.200042725,270.647155762,0.0
1591695541872406056,3031,1591695541854121036,,55.4797401428,52.3615913391,-1.34139060974,388.758087158,271.302154541,0.0
1591695541905285188,3032,1591695541886365306,,56.8067970276,47.8634605408,1.02198970318,389.329650879,273.26965332,0.0
1591695541935867431,3033,1591695541917605664,,84.8224563599,66.1454849243,0.26605924964,394.69317627,260.660308838,0.0
1591695541976383538,3034,1591695541960527454,,85.2608261108,61.0678138733,0.141092941165,392.946166992,258.168212891,0.0
1591695542008535836,3035,1591695541992817048,,94.7032394409,69.5478134155,0.0991630703211,395.360839844,257.368438721,0.0
1591695542041221658,3036,1591695542025143135,,82.8708343506,69.9684906006,-0.0678976923227,391.425415039,256.981140137,0.0
1591695542076932095,3037,1591695542061104477,,83.0413360596,71.9471511841,-0.25691395998,392.566680908,256.403900146,0.0
1591695542107235816,3038,1591695542093170034,,84.8847427368,69.5547714233,-0.196354866028,393.19833374,256.440490723,0.0
1591695542141917555,3039,1591695542124979955,,85.8237075806,74.6721801758,-0.190264225006,395.350585938,256.560241699,0.0
1591695542174024922,3040,1591695542160440059,,80.6680297852,74.0827255249,-0.457734078169,392.700897217,256.023864746,0.0
1591695542200866506,3041,1591695542186201299,,81.0100021362,73.0768280029,0.0741681009531,392.418945312,257.142944336,59.356300354
1591695542232792282,3042,1591695542217850610,,87.8466720581,74.0063323975,-0.23710988462,395.246765137,256.199768066,59.356300354
1591695542271758273,3043,1591695542256791679,,87.8645553589,74.5735549927,-0.15533965826,395.175689697,256.920379639,60.4346504211
1591695542301279440,3044,1591695542286172910,,80.6489181519,73.4902648926,-0.230707779527,392.26260376,257.356842041,60.4346504211
1591695542333263193,3045,1591695542319464145,,81.4149703979,68.0440444946,-0.0521959587932,391.920349121,258.019958496,61.5877914429
1591695542372554304,3046,1591695542354492545,,82.9017105103,74.5605773926,-0.540848255157,392.444885254,254.526107788,61.5877914429
1591695542401682863,3047,1591695542387368908,,79.1609039307,73.483001709,-0.186899840832,391.061035156,255.375839233,62.7936630249
1591695542438882082,3048,1591695542423156125,,84.1843643188,74.6401138306,-0.823375701904,391.937011719,253.075363159,62.7936630249
1591695542477464110,3049,1591695542455810652,,80.3384170532,73.8086929321,-0.393640369177,391.325500488,254.4972229,63.9139251709
1591695542500331267,3050,1591695542485727292,,78.8531188965,74.1097793579,-0.840261995792,391.129760742,253.854949951,63.9139251709
1591695542541602242,3051,1591695542521463089,,79.0324935913,71.676940918,-0.146402880549,390.3699646,255.113983154,65.073677063
1591695542567080941,3052,1591695542553767199,,79.7427368164,74.0088119507,-0.852655589581,390.916381836,253.951324463,65.073677063
1591695542599308242,3053,1591695542585400271,,77.6032333374,73.3869400024,-0.10420230031,389.185150146,254.247009277,66.0547103882
1591695542637595252,3054,1591695542621550428,,75.7409591675,69.4498519897,-0.0558733865619,389.298248291,256.330413818,66.0547103882
1591695542667922427,3055,1591695542653443667,,77.3228149414,72.5311431885,-0.437481880188,389.605529785,254.452453613,66.6647262573
1591695542701404080,3056,1591695542685523254,,77.6613769531,73.9608154297,0.287978798151,388.054443359,253.812698364,66.6647262573
1591695542743359542,3057,1591695542728686338,,77.6353607178,74.1370391846,-0.976088762283,389.07333374,252.896987915,67.7428283691
1591695542774608826,3058,1591695542760429851,,74.4657897949,73.9911117554,-0.799345493317,388.366271973,254.263626099,67.7428283691
1591695542806239856,3059,1591695542792398982,,75.4897003174,73.2391738892,1.51007008553,389.063690186,253.12802124,68.9033279419
1591695542849787351,3060,1591695542827327179,,73.3426055908,69.6871566772,0.0479251816869,388.580444336,255.381652832,68.9033279419
1591695542869599231,3061,1591695542854309696,,71.0830001831,69.0765991211,-0.231446012855,388.778289795,255.618087769,69.6769866943
1591695542903591350,3062,1591695542885821578,,76.6150436401,71.9057388306,0.459835231304,387.4637146,254.324859619,69.6769866943
1591695542948648646,3063,1591695542921792036,,77.4686279297,70.7770767212,0.577319681644,386.957519531,254.098693848,70.6579284668
1591695542972134946,3064,1591695542955524888,,75.8857116699,67.8991622925,0.610042214394,386.829437256,255.668960571,70.6579284668
1591695543000571736,3065,1591695542985824734,,71.8515396118,65.5515670776,0.261327475309,388.57232666,256.325256348,71.4348068237
1591695543036822271,3066,1591695543021652051,,70.9487304688,58.6550674438,-0.131319269538,386.951477051,257.974456787,71.4348068237
1591695543082312752,3067,1591695543053536405,,73.7632217407,67.945274353,0.305206120014,385.543029785,254.701599121,71.0602874756
1591695543105993134,3068,1591695543088986168,,75.8411331177,53.4085769653,0.127130925655,384.406402588,253.818450928,71.0602874756
1591695543141534068,3069,1591695543124774068,,84.1489639282,50.143951416,0.0877225324512,381.896484375,253.561676025,70.6773223877
1591695543179453807,3070,1591695543160014143,,76.8199462891,48.0620346069,0.0198032651097,380.688934326,258.712493896,70.6773223877
1591695543218684040,3071,1591695543192239952,,75.6097106934,50.838306427,0.0436923541129,381.6953125,257.066009521,70.6773223877
1591695543250304796,3072,1591695543223110546,,85.2012557983,45.6354370117,-0.0453845262527,379.154144287,257.6328125,69.7418518066
1591695543278598964,3073,1591695543254317446,,70.920211792,47.9589080811,-0.08120097965,378.036132812,258.066040039,69.7418518066
1591695543311270764,3074,1591695543285704047,,79.5654907227,51.1636047363,-0.0314364843071,376.679016113,258.294708252,69.7418518066
1591695543361465148,3075,1591695543322277434,,83.5741195679,48.6119155884,-0.231788232923,376.231781006,261.680084229,68.8016052246
1591695543375206998,3076,1591695543359730175,,78.1678390503,47.1001815796,-0.081663839519,375.605834961,262.277740479,68.8016052246
1591695543406622216,3077,1591695543385891334,,84.1347122192,49.6011390686,-0.0290375109762,373.158447266,258.925567627,68.8016052246
1591695543437500181,3078,1591695543422151927,,93.1518554688,51.4878807068,-0.296862691641,377.567169189,257.039093018,68.8016052246
1591695543470827225,3079,1591695543456306301,,81.9810180664,49.0238113403,-0.24849370122,374.119384766,263.576629639,67.7786407471
1591695543502945292,3080,1591695543487004969,,77.3199005127,55.1849403381,-0.154686510563,376.655395508,261.105743408,67.7786407471
1591695543537348632,3081,1591695543522125314,,83.298034668,53.4716567993,0.0515848994255,375.021820068,258.366699219,67.0601501465
1591695543571128066,3082,1591695543556916944,,83.0607223511,65.3248901367,-0.270814448595,379.181945801,257.886169434,67.0601501465
1591695543603548370,3083,1591695543588978270,,87.4446029663,60.3005371094,-0.203763514757,378.156066895,260.496459961,66.5927886963
1591695543642553349,3084,1591695543627701179,,78.3296356201,53.918926239,-0.169559597969,375.801818848,261.4793396,66.5927886963
1591695543677477731,3085,1591695543660161519,,75.9791870117,55.8950157166,0.169735506177,378.022033691,253.183700562,65.5845947266
1591695543706772800,3086,1591695543691872522,,76.5458831787,51.2442474365,0.0474924184382,380.40725708,257.799560547,65.5845947266
1591695543747048951,3087,1591695543727246604,,66.0989074707,53.5929794312,0.245708569884,382.442443848,256.740997314,64.4464874268
1591695543776569135,3088,1591695543759666859,,75.0648651123,53.0605278015,0.131010621786,379.028625488,260.22467041,64.4464874268
1591695543815068088,3089,1591695543795417255,,78.1913146973,51.9019165039,0.0740123093128,376.805236816,260.413421631,63.4250030518
1591695543836510588,3090,1591695543822058572,,71.4780883789,51.5186920166,0.213930800557,380.920654297,259.513244629,63.4250030518
1591695543870637421,3091,1591695543853646665,,73.4095916748,50.3490562439,0.208102867007,379.171386719,261.060974121,62.2729110718
1591695543913601453,3092,1591695543889855599,,79.4073562622,52.9685554504,0.106169313192,381.485595703,257.981262207,62.2729110718
1591695543939201024,3093,1591695543921555676,,77.8498840332,50.2831230164,0.202159494162,378.135223389,261.953033447,61.1893310547
1591695543973008189,3094,1591695543954687725,,72.4989852905,47.1854438782,0.0782472714782,376.559020996,257.787384033,61.1893310547
