%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1591695127325465545,2891,1591695127307793090,,66.2450180054,50.0463981628,-0.551365077496,386.608306885,270.374816895,0.0
1591695127360757644,2892,1591695127340440855,,81.3549118042,50.9185256958,-0.176279291511,380.660949707,272.659454346,0.0
1591695127409515797,2893,1591695127377018586,,70.7794113159,51.1073493958,-0.459498167038,387.801452637,270.951873779,0.0
1591695127428833533,2894,1591695127405494992,,82.786567688,52.4574966431,-0.154131919146,382.849273682,271.39163208,0.0
1591695127452963838,2895,1591695127434976754,,59.7537117004,52.5478134155,-0.934965729713,388.398193359,271.78692627,0.0
1591695127491489192,2896,1591695127476234909,,62.6777000427,52.6759147644,-0.9075756073,388.825927734,270.906921387,0.0
1591695127520980541,2897,1591695127506202286,,65.8737792969,51.6087417603,-1.10062766075,389.850585938,270.469665527,0.0
1591695127553977564,2898,1591695127538226857,,61.5188560486,53.2497520447,-1.52883648872,390.105682373,270.657501221,0.0
1591695127591359310,2899,1591695127576212094,,57.8000183105,45.2879562378,-1.46818208694,388.200592041,274.06161499,0.0
1591695127623611470,2900,1591695127608656868,,65.4293823242,48.2380828857,-1.30913257599,391.092803955,270.747741699,0.0
1591695127658877635,2901,1591695127643861579,,57.176235199,47.0719032288,-1.49252581596,387.949615479,274.551727295,0.0
1591695127716335541,2902,1591695127676147143,,55.7197380066,53.033908844,1.16845846176,390.103973389,271.29385376,0.0
1591695127729784635,2903,1591695127708044622,,55.4192314148,51.72681427,1.34148132801,389.028442383,272.334350586,0.0
1591695127764488919,2904,1591695127744221231,,80.4440155029,53.155040741,0.0647592917085,383.545288086,271.363433838,0.0
1591695127800012195,2905,1591695127776094884,,55.2275466919,52.0972328186,0.925660729408,389.151916504,269.600006104,0.0
1591695127828921116,2906,1591695127808322300,,58.2886962891,48.4958953857,1.13561666012,392.450836182,270.489318848,0.0
1591695127861525225,2907,1591695127838335167,,86.4562759399,57.3741950989,0.251849412918,392.827331543,260.434387207,0.0
1591695127889519123,2908,1591695127870778464,,92.1700057983,71.2848968506,0.19791534543,396.184539795,259.431060791,51.891204834
1591695127921871328,2909,1591695127902681399,,90.6402587891,69.5312347412,0.0525019578636,394.952697754,257.761749268,51.891204834
1591695127961165145,2910,1591695127938432850,,92.9407806396,70.4541091919,-0.021373199299,396.318756104,256.765075684,52.8651733398
