%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1591696355337912887,1390,1591696355319458581,,81.3360366821,48.3950843811,-0.155266016722,374.819946289,262.466705322,0.0
1591696355384800908,1391,1591696355355226149,,77.08618927,52.7028961182,-0.0231893416494,378.625579834,260.085357666,0.0
1591696355401587124,1392,1591696355387261771,,82.4208679199,50.4961624146,-0.20436193049,379.491577148,261.074005127,0.0
1591696355434014515,1393,1591696355419434291,,73.4694824219,53.818271637,-0.209565609694,377.715118408,263.390319824,63.2417373657
1591696355470030162,1394,1591696355455299139,,77.7507400513,54.164150238,-0.00524789188057,377.272003174,262.104919434,63.2417373657
1591696355507440797,1395,1591696355486914730,,78.072769165,54.2094612122,-0.0946590006351,376.6875,263.577423096,63.3221740723
1591696355547365991,1396,1591696355519046075,,71.0342102051,53.601890564,0.000450074236142,379.01361084,256.427886963,63.3221740723
1591696355581312624,1397,1591696355555287661,,84.0346755981,67.9279708862,-0.176055461168,378.024658203,258.719238281,63.243347168
1591696355606979731,1398,1591696355586674257,,83.1389846802,52.069568634,-0.102147273719,377.99420166,260.846038818,63.243347168
1591696355632458191,1399,1591696355616333561,,81.3672561646,54.1959037781,0.186511293054,378.84564209,256.838500977,63.0597991943
1591696355672885825,1400,1591696355650425593,,74.1571884155,53.998588562,-0.000707069295458,381.263549805,260.265319824,63.0597991943
1591696355698179152,1401,1591696355684424141,,71.3248901367,53.1611175537,-0.0811933875084,380.042510986,263.27545166,62.7211914062
1591696355731390555,1402,1591696355716533051,,68.8487930298,50.2270965576,0.410188049078,378.17477417,254.00994873,62.7211914062
1591696355773801787,1403,1591696355752371050,,59.4798355103,54.7012710571,0.884980142117,384.498535156,262.250518799,62.3617477417
1591696355798797711,1404,1591696355784392967,,56.7219543457,51.34740448,0.817554235458,380.127441406,260.453887939,62.3617477417
1591696355832928605,1405,1591696355816361539,,70.4515533447,45.1493263245,0.169242024422,375.315216064,255.453811646,62.0306663513
1591696355868864339,1406,1591696355852624120,,72.561920166,50.6512527466,0.0480398312211,376.435668945,261.432922363,62.0306663513
1591696355899354082,1407,1591696355884474052,,87.6020584106,48.4185829163,0.0130632044747,378.007659912,259.665130615,61.5450820923
1591696355933572933,1408,1591696355916052002,,84.8116226196,47.8951835632,-0.00290537555702,376.318725586,262.044433594,61.5450820923
1591696355973172159,1409,1591696355952246821,,84.2659683228,46.4880180359,0.156339943409,378.023681641,257.447265625,61.5450820923
1591696356005605367,1410,1591696355988066189,,68.7490081787,47.2681770325,0.151187255979,379.694793701,258.11618042,61.5450820923
1591696356030017401,1411,1591696356013986578,,80.6675491333,47.1416130066,0.0613013096154,382.580627441,259.831085205,61.5450820923
1591696356086414841,1412,1591696356054886272,,93.3551101685,56.6749610901,0.0643809884787,384.649993896,258.843780518,61.5450820923
1591696356107965846,1413,1591696356084431624,,92.7526779175,47.9744987488,0.0600524172187,381.052398682,261.386260986,61.3516235352
1591696356146783218,1414,1591696356120015106,,91.3555221558,58.7307319641,-0.0233484655619,382.352050781,258.088562012,61.3516235352
1591696356173964130,1415,1591696356151208108,,77.4633560181,60.128780365,-0.19585698843,386.474365234,258.381591797,61.2091255188
1591696356198857655,1416,1591696356183936497,,97.7814025879,54.6949653625,-0.0778670981526,382.351623535,262.505126953,61.2091255188
1591696356237300679,1417,1591696356220513169,,89.4191513062,62.58644104,-0.0533231422305,382.692138672,258.016723633,60.9425544739
1591696356272343006,1418,1591696356254918318,,91.1503219604,63.0789299011,-0.170088112354,382.882202148,259.450012207,60.9425544739
1591696356303389011,1419,1591696356282773857,,78.767250061,67.8819656372,-0.223349869251,385.463043213,259.477233887,60.7443733215
1591696356340678880,1420,1591696356320427979,,78.0813369751,70.8014984131,-0.258429437876,386.174255371,259.663482666,60.7443733215
1591696356378860409,1421,1591696356355275068,,76.4580459595,70.7286682129,0.0754247158766,386.315734863,259.767730713,60.8448257446
1591696356401652033,1422,1591696356387315546,,81.4092330933,69.1351089478,-0.349167585373,385.499298096,260.080444336,60.8448257446
1591696356446751657,1423,1591696356423593710,,81.0786361694,67.9030838013,-0.346177130938,385.334228516,259.062988281,60.8711853027
1591696356474788792,1424,1591696356455832277,,79.462677002,69.3018112183,-0.271993845701,386.675445557,260.165466309,60.8711853027
1591696356496496359,1425,1591696356482035347,,90.8467407227,69.7803192139,-0.0205936916173,385.066711426,260.401977539,60.9057579041
1591696356533686495,1426,1591696356517429449,,80.1076583862,70.5886230469,-0.179991334677,386.133056641,260.508026123,60.9057579041
1591696356568514242,1427,1591696356549793254,,91.6906433105,90.7446365356,-0.660461306572,387.028656006,269.69354248,61.0055618286
1591696356602392748,1428,1591696356581441826,,91.8324508667,88.5648880005,0.935758650303,388.046203613,269.036071777,61.0055618286
1591696356652317592,1429,1591696356617410310,,90.5535736084,85.0897369385,0.734616756439,389.898651123,267.746429443,61.4852409363
1591696356669556325,1430,1591696356655332485,,87.9349822998,81.5302124023,0.50688970089,390.962432861,265.787811279,61.4852409363
1591696356704125836,1431,1591696356686755492,,89.2845840454,75.646987915,0.0421523824334,389.800811768,262.675689697,61.7069816589
1591696356740810396,1432,1591696356722748568,,84.9110717773,82.6892242432,0.176863193512,388.916290283,265.635253906,61.7069816589
1591696356770497929,1433,1591696356754981745,,90.5219802856,74.4743881226,0.198837995529,390.901397705,263.012969971,62.0067825317
1591696356801737600,1434,1591696356786943313,,89.2044219971,78.638999939,0.615765333176,392.892547607,264.721710205,62.0067825317
1591696356837371290,1435,1591696356822987148,,84.020866394,73.9066162109,-0.289781481028,387.780181885,260.996643066,62.0816917419
1591696356875397347,1436,1591696356849773433,,81.4078063965,76.2574768066,-0.328992009163,389.289764404,262.102478027,62.0816917419
1591696356903117874,1437,1591696356886961749,,84.2318344116,76.6472396851,0.658842504025,390.885040283,262.498046875,62.2279815674
1591696356937551927,1438,1591696356923068194,,88.1609039307,76.065284729,0.338800549507,393.798675537,262.126281738,62.2279815674
1591696356970501749,1439,1591696356955330381,,87.8677902222,72.307258606,0.203621029854,394.062072754,260.680969238,62.3737106323
1591696357003050154,1440,1591696356986955155,,89.1324768066,73.723739624,0.212949559093,395.958190918,260.521942139,62.3737106323
1591696357036882324,1441,1591696357023040776,,89.8433151245,75.1982421875,0.323015213013,397.431884766,260.847106934,62.5202331543
1591696357075032346,1442,1591696357055455357,,89.4803161621,72.9998703003,0.225882396102,397.256774902,259.328826904,62.5202331543
1591696357112353622,1443,1591696357087362246,,92.3861999512,72.6324081421,0.171008229256,398.567932129,258.945861816,62.6529464722
1591696357152340747,1444,1591696357123577293,,91.7407226562,74.1217193604,0.0831529423594,398.414215088,258.268280029,62.6529464722
1591696357169216530,1445,1591696357153891903,,89.8390426636,74.2598800659,0.0210899729282,397.328582764,257.765533447,62.8283424377
1591696357201089590,1446,1591696357187054792,,88.6077041626,74.4387664795,-0.03085751459,397.005706787,257.257385254,62.8283424377
1591696357240384569,1447,1591696357223002450,,88.6647720337,74.3411712646,-0.0275988709182,396.923522949,257.258178711,62.976398468
1591696357267013842,1448,1591696357252458632,,89.6222381592,74.3871765137,-0.0699463263154,397.499969482,256.984283447,62.976398468
1591696357303748568,1449,1591696357284405879,,88.3527145386,74.9133377075,-0.0929825380445,396.734527588,256.163513184,63.0804634094
1591696357345821347,1450,1591696357320362326,,93.5924987793,74.5218887329,-0.367341250181,398.069213867,255.041641235,63.0804634094
1591696357372855746,1451,1591696357352356656,,89.8898010254,74.1750717163,-0.399034738541,396.409881592,255.496704102,63.2518730164
1591696357403208587,1452,1591696357387121409,,89.1294021606,74.7490615845,-0.537870526314,396.058929443,254.121551514,63.2518730164
1591696357439928238,1453,1591696357423083051,,90.1474380493,73.8862991333,-0.653988361359,395.776947021,252.763580322,63.3294868469
1591696357468963857,1454,1591696357452396729,,88.9517440796,73.4141921997,-0.747651934624,393.920898438,252.394195557,63.3294868469
1591696357499474559,1455,1591696357484542174,,90.6479644775,73.7894439697,-0.783048033714,394.488189697,251.476837158,63.5596809387
1591696357535452121,1456,1591696357520454241,,89.1666259766,74.4735717773,-0.85043913126,393.524139404,251.654129028,63.5596809387
1591696357574518520,1457,1591696357552392403,,88.5589599609,73.2725830078,-0.995406389236,393.707611084,250.720443726,63.8319282532
1591696357602049209,1458,1591696357587180993,,91.5698394775,73.7993240356,-1.0454313755,393.5675354,249.93762207,63.8319282532
1591696357643096690,1459,1591696357622965966,,94.3502807617,72.5230712891,-1.22644865513,393.228790283,249.004074097,64.3338623047
1591696357671884148,1460,1591696357655051518,,92.9739685059,72.5431671143,-1.19912016392,392.8543396,248.499160767,64.3338623047
1591696357704338010,1461,1591696357687234619,,89.4480743408,72.6049804688,-1.20659124851,392.198364258,249.592834473,64.751739502
1591696357742023602,1462,1591696357720439221,,95.4631195068,71.3134613037,-1.38791620731,391.345397949,247.519592285,64.751739502
1591696357777304127,1463,1591696357755471332,,84.7696914673,71.2445373535,-1.23712027073,390.706359863,250.332626343,65.2212142944
1591696357802798714,1464,1591696357787485886,,82.7037734985,71.4681549072,-1.24081063271,390.699371338,250.707519531,65.2212142944
1591696357860866636,1465,1591696357823525532,,88.8028411865,70.7354812622,-1.35755991936,390.355194092,248.769195557,65.6162567139
1591696357894600260,1466,1591696357855668630,,83.2632369995,71.4721679688,-1.4106310606,389.404846191,250.230056763,65.6162567139
1591696357909217805,1467,1591696357891499196,,85.6196212769,71.3290481567,-1.38031899929,389.344177246,249.342544556,66.1270599365
