%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1591696355339985481,1390,1591696355319458581,,2.20000004768
1591696355387227713,1391,1591696355355226149,,2.20000004768
1591696355403400345,1392,1591696355387261771,,2.20000004768
1591696355435973001,1393,1591696355419434291,,2.20000004768
1591696355471220534,1394,1591696355455299139,,2.20000004768
1591696355509965787,1395,1591696355486914730,,2.20000004768
1591696355548740232,1396,1591696355519046075,,2.20000004768
1591696355582784247,1397,1591696355555287661,,2.20000004768
1591696355608085018,1398,1591696355586674257,,2.20000004768
1591696355633505601,1399,1591696355616333561,,2.20000004768
1591696355674520377,1400,1591696355650425593,,2.20000004768
1591696355699896206,1401,1591696355684424141,,2.20000004768
1591696355732284090,1402,1591696355716533051,,2.20000004768
1591696355774889481,1403,1591696355752371050,,2.20000004768
1591696355800031315,1404,1591696355784392967,,2.20000004768
1591696355833711120,1405,1591696355816361539,,2.20000004768
1591696355868846551,1406,1591696355852624120,,2.20000004768
1591696355901258631,1407,1591696355884474052,,2.20000004768
1591696355935834884,1408,1591696355916052002,,2.20000004768
1591696355974797599,1409,1591696355952246821,,2.20000004768
1591696356006859247,1410,1591696355988066189,,2.20000004768
1591696356030562238,1411,1591696356013986578,,2.20000004768
1591696356086928338,1412,1591696356054886272,,2.20000004768
1591696356109172365,1413,1591696356084431624,,2.20000004768
1591696356148965039,1414,1591696356120015106,,2.20000004768
1591696356175170074,1415,1591696356151208108,,2.20000004768
1591696356200044530,1416,1591696356183936497,,2.20000004768
1591696356237175517,1417,1591696356220513169,,2.20000004768
1591696356271898937,1418,1591696356254918318,,2.20000004768
1591696356303127160,1419,1591696356282773857,,2.20000004768
1591696356342282989,1420,1591696356320427979,,2.20000004768
1591696356378947951,1421,1591696356355275068,,2.20000004768
1591696356402920046,1422,1591696356387315546,,2.20000004768
1591696356447807345,1423,1591696356423593710,,2.20000004768
1591696356474413334,1424,1591696356455832277,,2.20000004768
1591696356497827033,1425,1591696356482035347,,2.20000004768
1591696356535000379,1426,1591696356517429449,,2.20000004768
1591696356568651383,1427,1591696356549793254,,2.20000004768
1591696356604054549,1428,1591696356581441826,,2.20000004768
1591696356646344560,1429,1591696356617410310,,2.20000004768
1591696356670828977,1430,1591696356655332485,,2.20000004768
1591696356702983005,1431,1591696356686755492,,2.20000004768
1591696356740106501,1432,1591696356722748568,,2.20000004768
1591696356770487557,1433,1591696356754981745,,2.20000004768
1591696356802018243,1434,1591696356786943313,,2.20000004768
1591696356840443904,1435,1591696356822987148,,2.20000004768
1591696356876721413,1436,1591696356849773433,,2.20000004768
1591696356904955345,1437,1591696356886961749,,2.20000004768
1591696356940164770,1438,1591696356923068194,,2.20000004768
1591696356972783914,1439,1591696356955330381,,2.20000004768
1591696357004522769,1440,1591696356986955155,,2.20000004768
1591696357039286622,1441,1591696357023040776,,2.20000004768
1591696357076799376,1442,1591696357055455357,,2.20000004768
1591696357112367526,1443,1591696357087362246,,2.20000004768
1591696357147875398,1444,1591696357123577293,,2.20000004768
1591696357170840523,1445,1591696357153891903,,2.20000004768
1591696357203110056,1446,1591696357187054792,,2.20000004768
1591696357240951988,1447,1591696357223002450,,2.20000004768
1591696357268539797,1448,1591696357252458632,,2.20000004768
1591696357304825429,1449,1591696357284405879,,2.20000004768
1591696357347724344,1450,1591696357320362326,,2.20000004768
1591696357371435687,1451,1591696357352356656,,2.20000004768
1591696357405189602,1452,1591696357387121409,,2.20000004768
1591696357441531693,1453,1591696357423083051,,2.20000004768
1591696357469736155,1454,1591696357452396729,,2.20000004768
1591696357501552164,1455,1591696357484542174,,2.20000004768
1591696357537531506,1456,1591696357520454241,,2.20000004768
1591696357575839423,1457,1591696357552392403,,2.20000004768
1591696357603253477,1458,1591696357587180993,,2.20000004768
1591696357644612287,1459,1591696357622965966,,2.20000004768
1591696357671884407,1460,1591696357655051518,,2.20000004768
1591696357703989553,1461,1591696357687234619,,2.20000004768
1591696357743867119,1462,1591696357720439221,,2.20000004768
1591696357772067980,1463,1591696357755471332,,2.20000004768
1591696357805462442,1464,1591696357787485886,,2.20000004768
1591696357858172231,1465,1591696357823525532,,2.20000004768
1591696357895830679,1466,1591696357855668630,,2.20000004768
1591696357910249098,1467,1591696357891499196,,2.20000004768
1591696357946737847,1468,1591696357923473184,,2.20000004768
1591696357971672815,1469,1591696357955423718,,2.20000004768
1591696358020130228,1470,1591696357991592718,,2.20000004768
1591696358059549151,1471,1591696358023685087,,2.20000004768
1591696358080651919,1472,1591696358054160923,,2.20000004768
1591696358118087804,1473,1591696358091640276,,2.20000004768
1591696358153564397,1474,1591696358122550809,,2.20000004768
1591696358179613685,1475,1591696358155687035,,2.20000004768
1591696358234644640,1476,1591696358191663820,,2.20000004768
1591696358268824190,1477,1591696358224071119,,2.20000004768
1591696358284368956,1478,1591696358255737159,,2.20000004768
1591696358324531789,1479,1591696358291661579,,2.20000004768
1591696358344284958,1480,1591696358323664234,,2.20000004768
1591696358375159211,1481,1591696358355866861,,2.20000004768
1591696358418027661,1482,1591696358391649444,,2.20000004768
1591696358452484222,1483,1591696358425924211,,2.20000004768
1591696358469389328,1484,1591696358452681329,,2.20000004768
1591696358517962481,1485,1591696358493719716,,2.20000004768
1591696358544594231,1486,1591696358523640151,,2.20000004768
1591696358572966338,1487,1591696358555904570,,2.20000004768
1591696358612732950,1488,1591696358591613423,,2.20000004768
1591696358654483535,1489,1591696358623849953,,2.20000004768
1591696358676796189,1490,1591696358656278728,,2.20000004768
1591696358722577217,1491,1591696358691593664,,2.20000004768
1591696358745027497,1492,1591696358723803274,,2.20000004768
1591696358796980414,1493,1591696358755456213,,2.20000004768
1591696358821697835,1494,1591696358791673221,,2.20000004768
1591696358848560023,1495,1591696358823691917,,2.20000004768
1591696358882499850,1496,1591696358855819663,,2.20000004768
1591696358931765456,1497,1591696358892004378,,2.20000004768
1591696358963719058,1498,1591696358923528134,,2.20000004768
1591696358976244878,1499,1591696358955496045,,2.20000004768
1591696359009127262,1500,1591696358991216217,,2.20000004768
1591696359053839189,1501,1591696359023749239,,2.20000004768
1591696359078121367,1502,1591696359054927139,,2.20000004768
1591696359123512177,1503,1591696359088538139,,2.20000004768
1591696359157446005,1504,1591696359120373659,,2.20000004768
1591696359179674292,1505,1591696359152779924,,2.20000004768
1591696359210794945,1506,1591696359188340183,,2.20000004768
1591696359244460933,1507,1591696359224043969,,2.20000004768
1591696359271800975,1508,1591696359252507966,,2.20000004768
1591696359324700689,1509,1591696359291507682,,2.20000004768
1591696359367610263,1510,1591696359323733316,,2.20000004768
1591696359395320058,1511,1591696359360047694,,2.20000004768
1591696359418880891,1512,1591696359391781686,,2.20000004768
1591696359443117681,1513,1591696359423794234,,2.20000004768
1591696359485212716,1514,1591696359459529737,,2.20000004768
