%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1591761315249135320,1160,1591761315234377194,,42.8134002686,37.4035797119,-1.17254662514,397.809997559,232.273025513,0.0
1591761315282355056,1161,1591761315266441729,,47.4870872498,39.8829689026,-1.33933269978,396.084594727,232.37739563,0.0
1591761315323034507,1162,1591761315298378278,,68.2630767822,56.816444397,1.31905007362,395.983520508,242.949859619,0.0
1591761315348759002,1163,1591761315334547920,,62.5023841858,41.5916824341,-0.0959385111928,397.880828857,232.943023682,0.0
1591761315381579663,1164,1591761315366568262,,26.8168544769,23.6881599426,-1.02198815346,400.401763916,233.8568573,0.0
1591761315421332915,1165,1591761315398248865,,0.0,0.0,0.0,0.0,0.0,0.0
1591761315449017146,1166,1591761315434625579,,0.0,0.0,0.0,0.0,0.0,0.0
1591761315480876725,1167,1591761315466617939,,0.0,0.0,0.0,0.0,0.0,0.0
1591761315513451915,1168,1591761315498087668,,0.0,0.0,0.0,0.0,0.0,0.0
1591761315549102225,1169,1591761315534377432,,32.4634132385,23.1851634979,0.439032077789,389.773895264,249.412460327,0.0
1591761315574247532,1170,1591761315559795414,,36.778011322,32.9016265869,-0.628919780254,390.94039917,249.453933716,0.0
1591761315618383687,1171,1591761315591182104,,41.150970459,36.8817825317,-0.673723697662,390.559509277,251.483276367,0.0
1591761315642649968,1172,1591761315627234033,,45.7511062622,40.3612594604,1.09605062008,394.420715332,254.978424072,0.0
1591761315682993643,1173,1591761315659138572,,75.2593154907,55.9038047791,1.24794232845,390.303131104,248.230606079,0.0
1591761315715972996,1174,1591761315697027600,,72.5733718872,53.7440986633,1.35740447044,393.291564941,251.608322144,0.0
1591761315750275874,1175,1591761315732996774,,71.5628738403,43.3701934814,1.56528699398,392.581695557,248.837905884,0.0
1591761315785559498,1176,1591761315765039485,,54.9718551636,37.8688163757,0.0575377270579,394.705657959,262.592376709,0.0
1591761315813783591,1177,1591761315791401557,,67.7137756348,44.8423614502,0.263158679008,390.710876465,257.960876465,0.0
1591761315848172066,1178,1591761315827214202,,52.0713653564,37.6264915466,0.811900317669,398.836212158,263.977325439,0.0
1591761315873178853,1179,1591761315859106822,,75.134727478,59.4152069092,0.888001263142,395.686523438,257.199157715,0.0
1591761315911239585,1180,1591761315891099128,,74.651473999,57.650302887,1.5585218668,398.507965088,256.244873047,0.0
1591761315951185496,1181,1591761315933801620,,76.2997589111,47.7449531555,0.208464667201,396.73260498,262.954559326,0.0
1591761315983493206,1182,1591761315965441775,,81.4189147949,67.1372680664,1.13704967499,395.146911621,255.34437561,0.0
1591761316014347728,1183,1591761315997480051,,76.0761032104,50.647190094,0.412307530642,394.932983398,262.653137207,0.0
1591761316050703430,1184,1591761316033839424,,61.8240394592,46.2640151978,0.17202103138,397.437866211,268.770233154,0.0
1591761316082345995,1185,1591761316066637183,,81.297668457,68.3197555542,0.85472369194,393.986236572,254.668823242,0.0
1591761316115451689,1186,1591761316098368618,,75.3414916992,43.6620483398,0.0149961272255,400.827484131,265.596984863,0.0
1591761316147839877,1187,1591761316132435743,,74.0804977417,68.1376190186,1.12444257736,396.509552002,255.272583008,0.0
1591761316180437017,1188,1591761316165536227,,71.0498657227,52.6117515564,0.174388840795,397.800506592,263.088531494,0.0
1591761316212567382,1189,1591761316197176329,,78.8875579834,69.8662490845,0.85407525301,395.511810303,255.313140869,0.0
1591761316248312337,1190,1591761316232774402,,79.221496582,63.6210975647,1.14602351189,396.376983643,253.807876587,0.0
1591761316291856880,1191,1591761316265102371,,77.6176376343,67.3311462402,0.878565132618,397.589660645,255.44744873,0.0
1591761316312586610,1192,1591761316297428148,,78.1028747559,67.5240631104,0.652561962605,396.62802124,255.005996704,0.0
1591761316349563088,1193,1591761316333469755,,72.6538391113,67.5083465576,1.08765208721,395.817169189,254.851425171,0.0
