%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1591767007161870677,189,1591767007143741703,,80.8738098145,53.4559822083,-1.50563025475,398.420654297,250.325363159,64.4850006104
1591767007189316836,190,1591767007175580308,,80.3901519775,58.409450531,-0.961936354637,388.001190186,253.100036621,64.4850006104
1591767007221776469,191,1591767007207540264,,82.7354354858,40.0206413269,-1.48920512199,396.782470703,246.143600464,63.9592247009
1591767007260960669,192,1591767007243581864,,52.4138526917,34.7201957703,-1.56323325634,398.520324707,233.489562988,63.9592247009
1591767007293404447,193,1591767007275566877,,74.052520752,52.6253013611,-1.09172928333,396.977874756,251.681503296,63.9592247009
1591767007322227500,194,1591767007307514749,,44.4044876099,34.5055999756,1.23139822483,396.853637695,235.289382935,63.3909606934
1591767007358356496,195,1591767007343682414,,71.8316345215,46.1814041138,-1.52911198139,394.20614624,249.086090088,63.3909606934
1591767007392302956,196,1591767007375529203,,41.3839607239,31.8252277374,-1.55675423145,396.264678955,232.844100952,63.3909606934
1591767007421733552,197,1591767007407572872,,50.8130111694,34.9731826782,-1.07747983932,397.300872803,235.913330078,63.3909606934
1591767007456746566,198,1591767007443823214,,28.7217292786,21.4861087799,-1.15101230145,397.151580811,234.900497437,63.3909606934
1591767007489106426,199,1591767007475667316,,0.0,0.0,0.0,0.0,0.0,63.3909606934
1591767007520768206,200,1591767007507549164,,0.0,0.0,0.0,0.0,0.0,63.3909606934
1591767007557097358,201,1591767007543513924,,0.0,0.0,0.0,0.0,0.0,63.3909606934
1591767007589832470,202,1591767007575525857,,48.858165741,43.4423370361,-0.974978268147,395.251556396,254.903717041,63.3909606934
1591767007621521618,203,1591767007607820802,,33.7925720215,30.4659347534,-0.901593625546,390.149383545,252.522827148,63.3909606934
1591767007658693078,204,1591767007643818998,,39.9187202454,35.6640281677,-0.49577447772,389.236724854,251.921920776,63.3909606934
1591767007683986630,205,1591767007670647915,,48.7053947449,44.7202453613,-0.511312067509,392.27557373,255.905502319,63.3909606934
1591767007721962175,206,1591767007707500444,,83.4873733521,51.0222320557,1.31099426746,393.344970703,247.196060181,63.3909606934
1591767007757090323,207,1591767007743516818,,83.2879486084,56.0148391724,1.2366784811,392.293212891,249.203659058,62.3790473938
