%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration
1591869751152980247,1052,1591869751101164102,,0.0
1591869751204311187,1053,1591869751152770042,,0.0
1591869751256544972,1054,1591869751204282999,,0.0
1591869751308356861,1055,1591869751256292104,,0.0
1591869751360290930,1056,1591869751308384895,,0.0
1591869751411197385,1057,1591869751359937906,,0.0
1591869751462799515,1058,1591869751411222934,,0.0
1591869751564229721,1059,1591869751462609052,,0.0
1591869751616309581,1060,1591869751563941001,,0.0
1591869751668266416,1061,1591869751616081953,,0.0
1591869751719398403,1062,1591869751668000936,,0.0
1591869751821828024,1063,1591869751719414949,,0.0
1591869751874977468,1064,1591869751821547985,,0.0
1591869751926907119,1065,1591869751875017881,,0.0
1591869751978291462,1066,1591869751926722049,,0.0
1591869752030983316,1067,1591869751978368043,,0.0
1591869752082775933,1068,1591869752030694961,,0.0
1591869752135138122,1069,1591869752082762956,,0.0
1591869752186997553,1070,1591869752134803056,,0.0
1591869752239300107,1071,1591869752187043905,,0.0
1591869752290662312,1072,1591869752239023923,,0.0
1591869752342211549,1073,1591869752290755987,,0.0
1591869752393594551,1074,1591869752342070102,,0.0
1591869752445692659,1075,1591869752393332958,,0.0
1591869752497954372,1076,1591869752445390939,,0.0
1591869752549729583,1077,1591869752497431039,,0.0
1591869752601570829,1078,1591869752549494981,,0.0
1591869752653515028,1079,1591869752601417064,,0.0
1591869752707301251,1080,1591869752653588056,,0.0
1591869752758874157,1081,1591869752707349061,,0.0
1591869752810636668,1082,1591869752758661985,,0.0
1591869752913145820,1083,1591869752810843944,,0.0
1591869752964826328,1084,1591869752912872076,,0.0
1591869753016828309,1085,1591869752964881896,,0.0
1591869753068905626,1086,1591869753016942977,,0.0
1591869753120949193,1087,1591869753068948984,,0.0
1591869753173431956,1088,1591869753120985031,,0.0
1591869753225348600,1089,1591869753173079013,,0.000169999999343
1591869753278401568,1090,1591869753225107908,,0.0
1591869753380648336,1091,1591869753278780937,,0.0
1591869753433291450,1092,1591869753380760908,,0.0
1591869753487744340,1093,1591869753433451890,,0.0
1591869753540182438,1094,1591869753487961053,,0.0
1591869753592709675,1095,1591869753539901971,,0.0
1591869753644737176,1096,1591869753592493057,,0.0
1591869753696448212,1097,1591869753644493103,,0.0
1591869753748632428,1098,1591869753696499109,,0.0
1591869753799981767,1099,1591869753748434066,,-0.000169999999343
1591869753852205468,1100,1591869753800019025,,0.0
1591869753904224171,1101,1591869753851985931,,0.0
1591869753955959872,1102,1591869753903964996,,0.0
1591869754008824625,1103,1591869753956012964,,0.0
1591869754060906154,1104,1591869754009005069,,0.0
1591869754113281683,1105,1591869754060976982,,0.0
1591869754165161611,1106,1591869754112967014,,0.0
1591869754216876409,1107,1591869754164915084,,0.0
1591869754268953269,1108,1591869754216923952,,0.0
1591869754322048806,1109,1591869754269001960,,0.0
1591869754373335728,1110,1591869754321037054,,0.0
1591869754425101318,1111,1591869754373040914,,0.0
1591869754476765460,1112,1591869754425183057,,0.0
1591869754528787913,1113,1591869754476492881,,0.0
1591869754582803456,1114,1591869754528444051,,0.0
1591869754635110885,1115,1591869754582572937,,0.0
1591869754687899437,1116,1591869754634857892,,0.0
1591869754740035579,1117,1591869754687958002,,0.000190000006114
1591869754792455363,1118,1591869754739907026,,0.0
1591869754845463286,1119,1591869754792144060,,0.0
1591869754897822376,1120,1591869754845685005,,0.0
1591869754950276772,1121,1591869754897954940,,0.0
