%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1591869751152746964,129,1591869751101164102,,0.0,-9.99999974738e-06,-0.0,0.0
1591869751204302394,130,1591869751152770042,,0.0,-1.99999994948e-05,9.99999974738e-06,1.99999994948e-05
1591869751255993813,131,1591869751204282999,,0.0,-9.99999974738e-06,1.99999994948e-05,0.0
1591869751308156364,132,1591869751256292104,,0.0,2.99999992421e-05,-9.99999974738e-06,-2.99999992421e-05
1591869751360286998,133,1591869751308384895,,0.0,0.0,9.99999974738e-06,-0.0
1591869751411072575,134,1591869751359937906,,0.0,-1.99999994948e-05,1.99999994948e-05,1.99999994948e-05
1591869751462537074,135,1591869751411222934,,0.0,0.0,0.0,-0.0
1591869751563843960,136,1591869751462609052,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1591869751616030732,137,1591869751563941001,,0.0,2.99999992421e-05,-0.0,-2.99999992421e-05
1591869751667902606,138,1591869751616081953,,0.0,-0.0,0.0,0.0
1591869751719284618,139,1591869751668000936,,0.0,-0.0,1.99999994948e-05,-0.0
1591869751821328099,140,1591869751719414949,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1591869751874787962,141,1591869751821547985,,0.0,0.0,-9.99999974738e-06,9.99999974738e-06
1591869751926461993,142,1591869751875017881,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1591869751978280247,143,1591869751926722049,,0.0,-1.99999994948e-05,9.99999974738e-06,9.99999974738e-06
1591869752030952519,144,1591869751978368043,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1591869752082712784,145,1591869752030694961,,0.0,9.99999974738e-06,-1.99999994948e-05,-0.0
1591869752134731640,146,1591869752082762956,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1591869752186870219,147,1591869752134803056,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1591869752238785970,148,1591869752187043905,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1591869752290363323,149,1591869752239023923,,0.0,-2.99999992421e-05,-0.0,2.99999992421e-05
1591869752341862979,150,1591869752290755987,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1591869752393245845,151,1591869752342070102,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1591869752445122396,152,1591869752393332958,,0.0,-9.99999974738e-06,2.99999992421e-05,0.0
1591869752497325562,153,1591869752445390939,,0.0,9.99999974738e-06,-1.99999994948e-05,0.0
1591869752549227938,154,1591869752497431039,,0.0,-0.0,9.99999974738e-06,0.0
1591869752601200053,155,1591869752549494981,,0.0,-1.99999994948e-05,1.99999994948e-05,1.99999994948e-05
1591869752653329454,156,1591869752601417064,,0.0,-2.99999992421e-05,2.99999992421e-05,1.99999994948e-05
1591869752707220144,157,1591869752653588056,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1591869752758899980,158,1591869752707349061,,0.0,-1.99999994948e-05,-0.0,1.99999994948e-05
1591869752810468145,159,1591869752758661985,,0.0,1.99999994948e-05,9.99999974738e-06,-1.99999994948e-05
1591869752913158736,160,1591869752810843944,,0.0,-2.99999992421e-05,3.99999989895e-05,9.99999974738e-06
1591869752964637828,161,1591869752912872076,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1591869753016620850,162,1591869752964881896,,0.0,-1.99999994948e-05,0.0,1.99999994948e-05
1591869753068721379,163,1591869753016942977,,0.0,0.0,9.99999974738e-06,-9.99999974738e-06
1591869753120726901,164,1591869753068948984,,0.0,1.99999994948e-05,-2.99999992421e-05,-9.99999974738e-06
1591869753172898959,165,1591869753120985031,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1591869753224872608,166,1591869753173079013,,9.99999974738e-05,1.99999994948e-05,-4.99999987369e-05,-0.0
1591869753277127710,167,1591869753225107908,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1591869753380476961,168,1591869753278780937,,0.0,-9.99999974738e-06,2.99999992421e-05,-0.0
1591869753432570614,169,1591869753380760908,,0.0,1.99999994948e-05,-1.99999994948e-05,-9.99999974738e-06
1591869753487126167,170,1591869753433451890,,0.0,9.99999974738e-06,-9.99999974738e-06,0.0
1591869753539683392,171,1591869753487961053,,0.0,0.0,0.0,0.0
1591869753592263573,172,1591869753539901971,,0.0,9.99999974738e-06,9.99999974738e-06,-1.99999994948e-05
1591869753644219710,173,1591869753592493057,,0.0,-0.0,-1.99999994948e-05,9.99999974738e-06
1591869753696327218,174,1591869753644493103,,0.0,-9.99999974738e-06,3.99999989895e-05,0.0
1591869753748612506,175,1591869753696499109,,0.0,0.0,1.99999994948e-05,-9.99999974738e-06
1591869753799718991,176,1591869753748434066,,0.0,9.99999974738e-06,2.99999992421e-05,-1.99999994948e-05
1591869753851820150,177,1591869753800019025,,0.0,0.0,-1.99999994948e-05,9.99999974738e-06
1591869753903717790,178,1591869753851985931,,0.0,1.99999994948e-05,-3.99999989895e-05,-9.99999974738e-06
1591869753955870852,179,1591869753903964996,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1591869754007841043,180,1591869753956012964,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1591869754060703783,181,1591869754009005069,,0.0,9.99999974738e-06,0.0,-1.99999994948e-05
1591869754112824625,182,1591869754060976982,,0.0,9.99999974738e-06,-3.99999989895e-05,0.0
1591869754164757994,183,1591869754112967014,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1591869754216637366,184,1591869754164915084,,0.0,0.0,0.0,-0.0
1591869754268822868,185,1591869754216923952,,0.0,9.99999974738e-06,-1.99999994948e-05,9.99999974738e-06
1591869754320887123,186,1591869754269001960,,0.0,-2.99999992421e-05,9.99999974738e-06,2.99999992421e-05
1591869754373314710,187,1591869754321037054,,0.0,-1.99999994948e-05,2.99999992421e-05,9.99999974738e-06
1591869754424863724,188,1591869754373040914,,0.0,-9.99999974738e-06,0.0,0.0
1591869754476420836,189,1591869754425183057,,0.0,-0.0,-1.99999994948e-05,9.99999974738e-06
1591869754528784730,190,1591869754476492881,,0.0,-1.99999994948e-05,9.99999974738e-06,1.99999994948e-05
1591869754582786461,191,1591869754528444051,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
