%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1591623548822390716,1126,1591623548772949650,,90.6888961792,61.957408905,-0.0926407203078,397.777526855,252.684295654
1591623548839080590,1127,1591623548808392318,,81.669593811,70.0693206787,-0.235740616918,396.000213623,253.808944702
1591623548867935121,1128,1591623548842100438,,85.1706619263,70.9341964722,-0.108892664313,397.369110107,255.268356323
1591623548921913506,1129,1591623548868979845,,84.4154281616,71.2225341797,-0.124668560922,396.476989746,254.495513916
1591623548953527684,1130,1591623548900926291,,84.6791992188,59.4286727905,-0.343921422958,394.768859863,253.188690186
1591623548978739020,1131,1591623548937532979,,78.2414016724,68.5006866455,-0.438415557146,394.023406982,254.557846069
1591623549004144130,1132,1591623548971705442,,85.4031600952,62.2502784729,-0.294602334499,395.767425537,253.199676514
1591623549048852877,1133,1591623549000867143,,85.5310592651,59.3908157349,-0.31715092063,394.527709961,252.195281982
1591623549072253796,1134,1591623549037317517,,85.5747146606,66.4724349976,0.060522865504,398.437530518,252.826370239
1591623549127979480,1135,1591623549076667176,,85.3674163818,67.9361419678,-0.206905648112,399.77923584,252.766464233
1591623549142009212,1136,1591623549107939796,,92.5224914551,69.1906814575,-0.244271531701,399.891052246,252.294342041
1591623549189409265,1137,1591623549139029040,,84.4393920898,64.8464660645,0.175968900323,394.955841064,250.205795288
1591623549227542639,1138,1591623549175631020,,83.365196228,52.6055679321,0.139578804374,386.939788818,250.276748657
1591623549261144672,1139,1591623549201739785,,77.1809234619,55.6316490173,0.215093538165,387.16607666,249.576690674
1591623549277001329,1140,1591623549237903485,,69.0258636475,59.700252533,-0.0621066465974,389.448547363,250.250396729
1591623549312220109,1141,1591623549269417326,,66.0739517212,52.4706611633,-0.0238492731005,384.098083496,249.644165039
1591623549344103382,1142,1591623549305345555,,70.2154159546,50.4122467041,0.12649255991,380.61227417,250.221984863
1591623549368530158,1143,1591623549338764096,,74.3761367798,60.6700592041,0.449121743441,384.729553223,244.029968262
1591623549414814969,1144,1591623549368605878,,77.4226226807,55.4761238098,0.240350291133,381.007019043,245.819366455
1591623549450617953,1145,1591623549403241238,,97.3659744263,57.837890625,0.534179508686,385.92880249,246.928253174
1591623549487320004,1146,1591623549438292946,,81.4647827148,59.840461731,1.11938679218,390.987640381,255.038879395
1591623549514536932,1147,1591623549475008829,,74.9309158325,48.6649856567,1.03169155121,393.576721191,255.004272461
1591623549539460960,1148,1591623549509189288,,69.5865325928,50.4857444763,0.924535810947,390.735168457,251.237197876
1591623549602627260,1149,1591623549544740059,,77.4789505005,53.019329071,0.205425590277,386.636322021,254.017227173
1591623549628157321,1150,1591623549572915320,,79.8731307983,65.2822418213,-0.538303136826,389.18258667,256.162200928
1591623549659411722,1151,1591623549609227722,,69.4113998413,49.5884056091,0.203068956733,386.708007812,252.15322876
1591623549675330512,1152,1591623549642975837,,70.2481765747,52.5598983765,0.770275115967,387.572235107,251.415008545
