%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1591622663688078621,4472,1591622663579533201,,2.0
1591622663712054690,4473,1591622663611948160,,2.0
1591622663748992617,4474,1591622663641675213,,2.0
1591622663769004529,4475,1591622663686994394,,2.0
1591622663789125116,4476,1591622663719850628,,2.0
1591622663817744733,4477,1591622663750935118,,2.0
1591622663836895338,4478,1591622663785711870,,2.0
1591622663858382493,4479,1591622663807553085,,2.0
1591622663879216304,4480,1591622663840729104,,2.0
1591622663907900933,4481,1591622663873460677,,2.0
1591622663930566552,4482,1591622663908809702,,2.0
1591622663969329994,4483,1591622663944449812,,2.0
1591622664020085094,4484,1591622663976025869,,2.0
1591622664043826737,4485,1591622664008936393,,2.0
1591622664082386437,4486,1591622664044797953,,2.0
1591622664118496191,4487,1591622664071699182,,2.0
1591622664144872737,4488,1591622664110289090,,2.0
1591622664177981927,4489,1591622664147447082,,2.0
1591622664212032224,4490,1591622664184649587,,2.0
1591622664253196701,4491,1591622664218320641,,2.0
1591622664280830999,4492,1591622664247120257,,2.0
1591622664307013229,4493,1591622664276305588,,2.0
1591622664352333198,4494,1591622664317662098,,2.0
1591622664382947274,4495,1591622664356440689,,2.0
1591622664410937379,4496,1591622664388255594,,2.0
1591622664451257637,4497,1591622664414878314,,2.0
1591622664478806678,4498,1591622664446445706,,2.0
1591622664510896154,4499,1591622664482359427,,2.0
1591622664545168686,4500,1591622664512848260,,2.0
1591622664606963174,4501,1591622664547283093,,2.0
1591622664632383348,4502,1591622664592011030,,2.0
1591622664676141488,4503,1591622664620826529,,2.0
1591622664709491994,4504,1591622664646330623,,2.0
1591622664733689488,4505,1591622664682234401,,2.0
1591622664750865187,4506,1591622664704998436,,2.0
1591622664783062662,4507,1591622664758377848,,2.0
1591622664804404797,4508,1591622664778353706,,2.0
1591622664834918719,4509,1591622664816288701,,2.0
1591622664866139212,4510,1591622664844552241,,2.0
1591622664901944732,4511,1591622664875319523,,2.0
1591622664941235250,4512,1591622664913589058,,2.0
1591622664968375234,4513,1591622664941766811,,2.0
1591622665014815545,4514,1591622664978088698,,2.0
1591622665042847900,4515,1591622665009471941,,2.0
1591622665078003706,4516,1591622665040574440,,2.0
1591622665140138011,4517,1591622665073147817,,2.0
1591622665158737012,4518,1591622665107605100,,2.0
1591622665197467052,4519,1591622665147352449,,2.0
1591622665230044861,4520,1591622665174564480,,2.0
1591622665256683224,4521,1591622665204308459,,2.0
1591622665278515424,4522,1591622665237335451,,2.0
1591622665309029012,4523,1591622665277879836,,2.0
1591622665335623216,4524,1591622665308458029,,2.0
1591622665383155927,4525,1591622665343389448,,2.0
1591622665416809118,4526,1591622665382982640,,2.0
1591622665450186661,4527,1591622665414209512,,2.0
1591622665462829279,4528,1591622665444385037,,2.0
1591622665522540868,4529,1591622665485575853,,2.0
1591622665553466385,4530,1591622665517041761,,2.0
1591622665594025918,4531,1591622665556457191,,2.0
1591622665625851615,4532,1591622665585418655,,2.0
