%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1591954887215474465,4320,1591954887163229942,,8.64999961853
1591954887317230820,4321,1591954887215574979,,8.64999961853
1591954887369475933,4322,1591954887317177057,,8.64999961853
1591954887421547205,4323,1591954887368884086,,8.64999961853
1591954887474215973,4324,1591954887421344995,,8.64999961853
1591954887527487736,4325,1591954887474617958,,8.64999961853
1591954887630645904,4326,1591954887527249097,,8.64999961853
1591954887682104547,4327,1591954887630220890,,8.64999961853
1591954887733723701,4328,1591954887681862115,,8.64999961853
1591954887785955814,4329,1591954887733484983,,8.64999961853
1591954887888844483,4330,1591954887785907983,,8.64999961853
1591954887941095041,4331,1591954887888283967,,8.64999961853
1591954887993805023,4332,1591954887940782070,,8.64999961853
1591954888047088542,4333,1591954887993706941,,8.64999961853
1591954888098951526,4334,1591954888046344995,,8.64999961853
1591954888154897730,4335,1591954888098823070,,8.64999961853
1591954888207290550,4336,1591954888154375076,,8.64999961853
1591954888258444085,4337,1591954888206455945,,8.64999961853
1591954888309837081,4338,1591954888258101940,,8.64999961853
1591954888361714055,4339,1591954888309564113,,8.64999961853
1591954888413641810,4340,1591954888361521959,,8.64999961853
1591954888467001151,4341,1591954888413923978,,8.64999961853
1591954888520623398,4342,1591954888467407941,,8.64999961853
1591954888573631740,4343,1591954888520409107,,8.64999961853
1591954888627459136,4344,1591954888572926044,,8.64999961853
1591954888679845145,4345,1591954888626939058,,8.64999961853
1591954888732362767,4346,1591954888679619073,,8.64999961853
1591954888785213132,4347,1591954888732177972,,8.64999961853
1591954888838029956,4348,1591954888784898996,,8.64999961853
1591954888889745268,4349,1591954888837457895,,8.64999961853
1591954888941894546,4350,1591954888889863014,,8.64999961853
1591954888994402221,4351,1591954888941636085,,8.64999961853
1591954889097112294,4352,1591954888994688034,,8.64999961853
1591954889148681543,4353,1591954889096515893,,8.64999961853
1591954889201643703,4354,1591954889148648977,,8.64999961853
1591954889253855957,4355,1591954889201397895,,8.64999961853
1591954889305191515,4356,1591954889253371953,,8.64999961853
1591954889357759808,4357,1591954889305016040,,8.64999961853
1591954889410274041,4358,1591954889357543945,,8.64999961853
1591954889462538429,4359,1591954889409487009,,8.64999961853
1591954889515337180,4360,1591954889462537050,,8.64999961853
1591954889567044309,4361,1591954889515206098,,8.64999961853
1591954889619472465,4362,1591954889566759109,,8.64999961853
1591954889672098321,4363,1591954889619333982,,8.64999961853
1591954889723851195,4364,1591954889671983003,,8.64999961853
1591954889776334233,4365,1591954889723540067,,8.64999961853
1591954889827921790,4366,1591954889775998115,,8.64999961853
1591954889879203373,4367,1591954889827614068,,8.64999961853
1591954889930703593,4368,1591954889878932952,,8.64999961853
1591954889981964460,4369,1591954889930156946,,8.64999961853
1591954890034462532,4370,1591954889981664896,,8.64999961853
1591954890086955596,4371,1591954890034277915,,8.64999961853
1591954890139406559,4372,1591954890086894989,,8.64999961853
1591954890191132470,4373,1591954890139169931,,8.64999961853
1591954890243476076,4374,1591954890190656900,,8.64999961853
1591954890295471782,4375,1591954890243213891,,8.64999961853
1591954890347976449,4376,1591954890295473098,,8.64999961853
1591954890400353676,4377,1591954890347799062,,8.64999961853
1591954890452367734,4378,1591954890399714946,,8.64999961853
1591954890504739641,4379,1591954890452128887,,8.64999961853
1591954890557160869,4380,1591954890504574060,,8.64999961853
1591954890610032890,4381,1591954890556901931,,8.64999961853
1591954890662026547,4382,1591954890609417915,,8.64999961853
1591954890763871913,4383,1591954890661840915,,8.64999961853
1591954890816320850,4384,1591954890763617992,,8.64907932281
1591954890869288394,4385,1591954890816070079,,8.64999961853
1591954890970387753,4386,1591954890868505001,,8.64999961853
1591954891021930344,4387,1591954890970135927,,8.64999961853
1591954891074849072,4388,1591954891021759033,,8.64999961853
1591954891428022589,4389,1591954891075053930,,8.64999961853
1591954891479923554,4390,1591954891427750110,,8.64999961853
1591954891531498771,4391,1591954891479795932,,8.64999961853
1591954891584205807,4392,1591954891531399011,,8.64999961853
1591954891635858623,4393,1591954891584086894,,8.64999961853
1591954891688064109,4394,1591954891635652065,,8.64999961853
1591954891739996111,4395,1591954891687588930,,8.64999961853
1591954891791712934,4396,1591954891739917039,,8.64999961853
1591954891843198268,4397,1591954891791496038,,8.64999961853
1591954891894631301,4398,1591954891842885971,,8.64999961853
1591954891946784577,4399,1591954891894407033,,8.64999961853
1591954891999290490,4400,1591954891946103096,,8.64999961853
1591954892053613874,4401,1591954891999411106,,8.64999961853
1591954892105011767,4402,1591954892052484035,,8.64999961853
1591954892156627772,4403,1591954892104788064,,8.64999961853
1591954892208965180,4404,1591954892156339883,,8.64999961853
1591954892260979950,4405,1591954892208704948,,8.64999961853
1591954892313683935,4406,1591954892260749101,,8.64999961853
1591954892366210465,4407,1591954892313402891,,8.64999961853
1591954892420591098,4408,1591954892366378068,,8.64999961853
1591954892472654155,4409,1591954892419922113,,8.64999961853
1591954892524626442,4410,1591954892472472906,,8.64999961853
1591954892576813364,4411,1591954892524298906,,8.64999961853
1591954892680408075,4412,1591954892576740980,,8.64999961853
1591954892733216276,4413,1591954892679740905,,8.64999961853
1591954892793546274,4414,1591954892732358932,,8.64999961853
1591954892845724578,4415,1591954892793654918,,8.64999961853
1591954892896985532,4416,1591954892845217943,,8.64999961853
1591954892950977119,4417,1591954892896800041,,8.64999961853
1591954893002104570,4418,1591954892949496030,,8.64999961853
1591954893053838986,4419,1591954893001902103,,8.64999961853
1591954893107288434,4420,1591954893053675889,,8.64999961853
1591954893159007730,4421,1591954893106683015,,8.64999961853
1591954893260901320,4422,1591954893159225940,,8.64999961853
1591954893313482748,4423,1591954893260732889,,8.64999961853
1591954893365840952,4424,1591954893313143014,,8.64718341827
1591954893468847526,4425,1591954893365746974,,8.64431285858
1591954893520962952,4426,1591954893468156099,,8.64480018616
1591954893573427674,4427,1591954893520673990,,8.64913368225
1591954893626988664,4428,1591954893573288917,,8.64739990234
1591954893680669905,4429,1591954893627382993,,8.64999961853
1591954893783350531,4430,1591954893681157112,,8.64913368225
1591954893835500127,4431,1591954893783627986,,8.6483745575
1591954893888453274,4432,1591954893835150003,,8.64999961853
1591954893940127631,4433,1591954893887850046,,8.64138793945
1591954893992851410,4434,1591954893939847946,,8.62925434113
1591954894044192032,4435,1591954893992197990,,8.61284160614
1591954894095856409,4436,1591954894043745040,,8.59258365631
1591954894148460805,4437,1591954894095556974,,8.58028793335
1591954894201281453,4438,1591954894148581981,,8.56620407104
1591954894255984204,4439,1591954894201009035,,8.55087471008
1591954894308885153,4440,1591954894255883932,,8.52557945251
1591954894361972265,4441,1591954894308784008,,8.52828788757
1591954894413971287,4442,1591954894361314058,,8.5439414978
1591954894516587669,4443,1591954894413865089,,8.57069969177
1591954894569172802,4444,1591954894516417980,,8.59924602509
1591954894622452158,4445,1591954894569166898,,8.62465000153
1591954894676487429,4446,1591954894622620105,,8.64999961853
1591954894728774347,4447,1591954894676011085,,8.64999961853
1591954894781021040,4448,1591954894728485107,,8.64999961853
1591954894833493428,4449,1591954894780931949,,8.64999961853
1591954894887872677,4450,1591954894833417892,,8.64999961853
1591954894941724622,4451,1591954894888932943,,8.64999961853
1591954894993362856,4452,1591954894941488981,,8.64999961853
1591954895096605846,4453,1591954894993113040,,8.64999961853
1591954895149548824,4454,1591954895096335887,,8.64999961853
1591954895203100972,4455,1591954895150094032,,8.64999961853
1591954895256199817,4456,1591954895203504085,,8.64999961853
1591954895357568165,4457,1591954895256011962,,8.64999961853
1591954895410589224,4458,1591954895357585906,,8.64999961853
1591954895463327095,4459,1591954895410988092,,8.64999961853
1591954895515087542,4460,1591954895463217020,,8.64572048187
1591954895617230505,4461,1591954895514750957,,8.64999961853
1591954895669974682,4462,1591954895617516040,,8.64999961853
1591954895722495728,4463,1591954895669775962,,8.64761638641
1591954895775142516,4464,1591954895722311973,,8.64999961853
1591954895829711239,4465,1591954895774980068,,8.64999961853
1591954895932807187,4466,1591954895828687906,,8.64999961853
1591954895984947419,4467,1591954895932229995,,8.63959980011
1591954896037459797,4468,1591954895984775066,,8.60076236725
1591954896091835710,4469,1591954896037225961,,8.55916213989
1591954896195264758,4470,1591954896091609954,,8.53792953491
1591954896246438308,4471,1591954896194328069,,8.53922939301
1591954896298208618,4472,1591954896245938062,,8.5327835083
1591954896349701294,4473,1591954896297785997,,8.54562091827
1591954896402137407,4474,1591954896349328041,,8.5532579422
1591954896453959444,4475,1591954896401396036,,8.55401706696
1591954896506419190,4476,1591954896453787088,,8.55379962921
1591954896559357105,4477,1591954896506335973,,8.58207511902
1591954896611198547,4478,1591954896558886051,,8.61322116852
1591954896714001197,4479,1591954896610776901,,8.64999961853
1591954896768043468,4480,1591954896713188886,,8.64999961853
1591954896820604965,4481,1591954896767756938,,8.64999961853
1591954896873069967,4482,1591954896820317029,,8.64999961853
1591954896925464516,4483,1591954896872711896,,8.6217250824
1591954896977402756,4484,1591954896925185918,,8.60579967499
1591954897030386129,4485,1591954896977320909,,8.62177944183
1591954897083152129,4486,1591954897030131101,,8.59453296661
1591954897135416901,4487,1591954897082539081,,8.510846138
1591954897188440598,4488,1591954897135363101,,8.42921638489
1591954897241627562,4489,1591954897188853025,,8.34921264648
1591954897295207496,4490,1591954897241867065,,8.28627109528
1591954897346354050,4491,1591954897294483900,,8.35484600067
1591954897398598975,4492,1591954897346059083,,8.43571662903
1591954897450897535,4493,1591954897398353099,,8.5139875412
1591954897503398836,4494,1591954897450743913,,8.57990837097
1591954897556547736,4495,1591954897503242969,,8.63662052155
1591954897608903051,4496,1591954897556902885,,8.64999961853
1591954897661285940,4497,1591954897608453989,,8.64999961853
1591954897713287147,4498,1591954897661490917,,8.64999961853
1591954897765098935,4499,1591954897712966918,,8.64999961853
1591954897817002060,4500,1591954897765242099,,8.64999961853
1591954897871064627,4501,1591954897816797018,,8.64999961853
1591954897973398309,4502,1591954897870755910,,8.64999961853
1591954898026499858,4503,1591954897973259925,,8.64339160919
1591954898078660360,4504,1591954898025763034,,8.52379131317
1591954898130833747,4505,1591954898078459024,,8.39010810852
1591954898183829156,4506,1591954898130789041,,8.26113796234
1591954898235849798,4507,1591954898183180093,,8.17311668396
1591954898288559976,4508,1591954898235584974,,8.18671226501
1591954898341113821,4509,1591954898288485050,,8.24905872345
1591954898393626713,4510,1591954898340883970,,8.33946228027
1591954898445984216,4511,1591954898393501043,,8.46122932434
1591954898548749716,4512,1591954898445933103,,8.60011291504
1591954898601751626,4513,1591954898548403024,,8.64999961853
1591954898654337503,4514,1591954898601632118,,8.64999961853
1591954898706910147,4515,1591954898654134988,,8.64999961853
1591954898759548354,4516,1591954898706759929,,8.64999961853
1591954898811828032,4517,1591954898759241104,,8.64999961853
1591954898865471385,4518,1591954898811635971,,8.64999961853
1591954898918765086,4519,1591954898865919113,,8.64999961853
1591954898973212289,4520,1591954898918525934,,8.64999961853
1591954899025754762,4521,1591954898972923994,,8.64999961853
1591954899078112584,4522,1591954899025398015,,8.64999961853
1591954899133210828,4523,1591954899077892065,,8.64999961853
1591954899186126155,4524,1591954899133481979,,8.64387893677
1591954899288353571,4525,1591954899186068058,,8.64999961853
1591954899341093198,4526,1591954899288408994,,8.64999961853
1591954899393702922,4527,1591954899340955018,,8.64999961853
1591954899446338711,4528,1591954899393554925,,8.64999961853
1591954899498885199,4529,1591954899446225881,,8.64999961853
1591954899551392141,4530,1591954899498778104,,8.64999961853
1591954899603708101,4531,1591954899551213979,,8.64999961853
1591954899655555621,4532,1591954899603529930,,8.64999961853
1591954899707947024,4533,1591954899655235052,,8.64999961853
1591954899759748572,4534,1591954899707721948,,8.64339160919
1591954899812258329,4535,1591954899759479045,,8.5328912735
1591954899864950313,4536,1591954899811961889,,8.33236694336
1591954899917861872,4537,1591954899865134954,,8.20670032501
1591954899971045971,4538,1591954899917625904,,8.1249628067
1591954900022773264,4539,1591954899970830917,,8.11310005188
1591954900075190944,4540,1591954900022567987,,8.11949157715
1591954900128953592,4541,1591954900075037002,,8.157787323
1591954900180823451,4542,1591954900128072023,,8.21011257172
1591954900233829785,4543,1591954900180531024,,8.28805828094
1591954900285718171,4544,1591954900233170986,,8.40365028381
1591954900338679930,4545,1591954900285551071,,8.53879547119
1591954900391191252,4546,1591954900338730096,,8.64176654816
1591954900442933184,4547,1591954900391242980,,8.64999961853
1591954900496872888,4548,1591954900442742109,,8.64999961853
1591954900549879634,4549,1591954900497272014,,8.64999961853
1591954900652184483,4550,1591954900549617052,,8.64999961853
1591954900704576505,4551,1591954900652152061,,8.64999961853
1591954900757992855,4552,1591954900704830884,,8.64999961853
1591954900810150102,4553,1591954900757285118,,8.64999961853
1591954900914856781,4554,1591954900809889078,,8.64999961853
1591954900967032397,4555,1591954900914576053,,8.64999961853
1591954901018620155,4556,1591954900966958999,,8.64999961853
1591954901121755873,4557,1591954901018420934,,8.64999961853
1591954901176451964,4558,1591954901120944976,,8.64999961853
1591954901228997498,4559,1591954901176352977,,8.64999961853
1591954901281108664,4560,1591954901228826045,,8.64999961853
1591954901337677599,4561,1591954901280829906,,8.64999961853
1591954901387012113,4562,1591954901334305047,,8.64999961853
1591954901439540640,4563,1591954901386710882,,8.64999961853
1591954901493154924,4564,1591954901439419031,,8.57774162292
1591954901546287926,4565,1591954901493560075,,8.33193302155
1591954901599168845,4566,1591954901546025991,,8.16168785095
1591954901651923514,4567,1591954901598561048,,8.11781215668
1591954901703763663,4568,1591954901651293992,,8.23535442352
1591954901756166759,4569,1591954901703664064,,8.37575435638
1591954901808688717,4570,1591954901756093978,,8.51030445099
1591954901861270563,4571,1591954901808485031,,8.63564586639
1591954901966157640,4572,1591954901861013889,,8.64999961853
1591954902018424610,4573,1591954901965784072,,8.64999961853
1591954902071349504,4574,1591954902018301963,,8.64999961853
1591954902174140900,4575,1591954902070631980,,8.64999961853
1591954902226015684,4576,1591954902173276901,,8.64999961853
1591954902278895549,4577,1591954902225840091,,8.64999961853
1591954902333082445,4578,1591954902279174089,,8.64999961853
1591954902386937865,4579,1591954902332801103,,8.64999961853
1591954902439017847,4580,1591954902386389970,,8.59843349457
1591954902492907618,4581,1591954902438792943,,8.48072910309
1591954902545033313,4582,1591954902492242097,,8.43804550171
1591954902597751615,4583,1591954902544734954,,8.51810455322
1591954902651223097,4584,1591954902598145961,,8.5892791748
1591954902704244566,4585,1591954902650736093,,8.6313123703
1591954902808535046,4586,1591954902706724882,,8.64999961853
1591954902860036055,4587,1591954902808249950,,8.64999961853
1591954902913180431,4588,1591954902859904050,,8.64999961853
1591954902965817943,4589,1591954902912846088,,8.64999961853
1591954903018369899,4590,1591954902965477943,,8.64999961853
1591954903071226664,4591,1591954903018127918,,8.64999961853
1591954903123228796,4592,1591954903071042060,,8.64999961853
1591954903176000381,4593,1591954903122966051,,8.64999961853
1591954903228983942,4594,1591954903175973892,,8.63125801086
1591954903281133653,4595,1591954903228256940,,8.61625385284
1591954903332083241,4596,1591954903280419111,,8.59144592285
1591954903384295113,4597,1591954903332165002,,8.60347080231
1591954903437032536,4598,1591954903384067058,,8.64999961853
1591954903540406957,4599,1591954903436403989,,8.64999961853
1591954903592206751,4600,1591954903539678096,,8.64999961853
1591954903644688153,4601,1591954903591933012,,8.64999961853
1591954903696033854,4602,1591954903643908977,,8.64999961853
1591954903747956683,4603,1591954903695404052,,8.64999961853
1591954903800201146,4604,1591954903747670888,,8.64999961853
1591954903851997604,4605,1591954903799737930,,8.62156295776
1591954903904758356,4606,1591954903852279901,,8.53348731995
1591954903957645028,4607,1591954903904912948,,8.40884971619
1591954904010699058,4608,1591954903957588911,,8.22782516479
1591954904062926109,4609,1591954904010061979,,8.05416679382
1591954904115132410,4610,1591954904062650918,,8.0
1591954904167570896,4611,1591954904114914894,,8.08032894135
1591954904220178767,4612,1591954904167514085,,8.24656677246
1591954904272747328,4613,1591954904220086097,,8.39812469482
1591954904325268901,4614,1591954904272593021,,8.53543758392
1591954904377747510,4615,1591954904325067043,,8.63867950439
1591954904430379989,4616,1591954904377564907,,8.64999961853
1591954904532977838,4617,1591954904430588006,,8.64999961853
1591954904584955313,4618,1591954904532370090,,8.64999961853
1591954904636731578,4619,1591954904584878921,,8.64999961853
1591954904689030333,4620,1591954904636616945,,8.64999961853
1591954904742765956,4621,1591954904688431024,,8.64999961853
1591954904844378242,4622,1591954904742420911,,8.46816253662
1591954904897192315,4623,1591954904844156980,,8.26287078857
1591954904949430550,4624,1591954904896863937,,8.16233730316
1591954905002327394,4625,1591954904949285984,,8.14321708679
1591954905105466335,4626,1591954905002626895,,8.14565372467
1591954905157772790,4627,1591954905105165958,,8.24207115173
1591954905209273584,4628,1591954905157476902,,8.3657875061
1591954905260923892,4629,1591954905208995103,,8.52243709564
1591954905313264058,4630,1591954905260936021,,8.64999961853
1591954905365610121,4631,1591954905312880992,,8.64999961853
1591954905417117970,4632,1591954905365333080,,8.64999961853
1591954905469068788,4633,1591954905416862964,,8.64999961853
1591954905571392260,4634,1591954905468827009,,8.64999961853
1591954905624959096,4635,1591954905571232080,,8.64999961853
1591954905676243226,4636,1591954905624438047,,8.64999961853
1591954905729265144,4637,1591954905675987005,,8.64999961853
1591954905780366455,4638,1591954905728415966,,8.64999961853
1591954905832075677,4639,1591954905780323982,,8.64999961853
1591954905934152175,4640,1591954905831835031,,8.64999961853
1591954905985678777,4641,1591954905934107065,,8.45467472076
1591954906037381566,4642,1591954905985640048,,8.33561706543
1591954906090064976,4643,1591954906037086963,,8.25523376465
1591954906143216928,4644,1591954906089945077,,8.21135807037
1591954906194549182,4645,1591954906142635107,,8.18172931671
1591954906247435551,4646,1591954906194348096,,8.24223327637
1591954906299610132,4647,1591954906246704101,,8.33870410919
1591954906351675557,4648,1591954906298681974,,8.45337486267
1591954906453596289,4649,1591954906351577043,,8.54664993286
1591954906506335268,4650,1591954906453633069,,8.64999961853
1591954906559801603,4651,1591954906507113933,,8.64999961853
1591954906612857337,4652,1591954906559804916,,8.64999961853
1591954906664396636,4653,1591954906612145900,,8.64999961853
1591954906715702672,4654,1591954906663866996,,8.64999961853
1591954906767508574,4655,1591954906715637922,,8.64999961853
1591954906820064957,4656,1591954906767425060,,8.61598300934
1591954906872985907,4657,1591954906819940090,,8.4373960495
1591954906925232493,4658,1591954906872332096,,8.29872894287
1591954906977285711,4659,1591954906925256013,,8.29688739777
1591954907029062690,4660,1591954906977238893,,8.39449596405
1591954907080725580,4661,1591954907028817892,,8.47661209106
1591954907132390751,4662,1591954907080406904,,8.59799957275
1591954907187907823,4663,1591954907131977081,,8.64999961853
1591954907239783654,4664,1591954907187191009,,8.64999961853
1591954907291421323,4665,1591954907239641904,,8.64999961853
1591954907343829815,4666,1591954907291148900,,8.64999961853
1591954907395597940,4667,1591954907343592882,,8.64999961853
1591954907449388844,4668,1591954907395885944,,8.64999961853
1591954907502566237,4669,1591954907449738979,,8.56739616394
1591954907556103695,4670,1591954907502782106,,8.510846138
1591954907607889326,4671,1591954907555247068,,8.56149196625
1591954907659191020,4672,1591954907607304096,,8.61917877197
1591954907762047414,4673,1591954907658966064,,8.64999961853
1591954907813937172,4674,1591954907761373996,,8.6282787323
1591954907866170719,4675,1591954907813555955,,8.64999961853
1591954907918857268,4676,1591954907865979909,,8.64999961853
1591954907970997257,4677,1591954907918626070,,8.64999961853
1591954908022094009,4678,1591954907970444917,,8.64999961853
1591954908073584867,4679,1591954908021917104,,8.64999961853
1591954908125872211,4680,1591954908073450088,,8.64999961853
1591954908178365393,4681,1591954908125282049,,8.52552509308
1591954908233895965,4682,1591954908178220033,,8.46686267853
1591954908290567020,4683,1591954908233431100,,8.45294189453
1591954908342176692,4684,1591954908290271997,,8.57319164276
1591954908393599838,4685,1591954908341916084,,8.64485454559
1591954908446028892,4686,1591954908393362998,,8.64999961853
1591954908498827498,4687,1591954908445723056,,8.64999961853
1591954908550842943,4688,1591954908498270988,,8.64999961853
1591954908602290008,4689,1591954908550616025,,8.64999961853
1591954908654423612,4690,1591954908602171897,,8.64999961853
1591954908706363813,4691,1591954908654232978,,8.64999961853
1591954908758476744,4692,1591954908706042051,,8.64999961853
1591954908860632298,4693,1591954908758769035,,8.64999961853
1591954908912638371,4694,1591954908860606908,,8.5702123642
1591954908965100820,4695,1591954908912400960,,8.45348358154
1591954909017818526,4696,1591954908964957952,,8.33539962769
1591954909119388257,4697,1591954909017520904,,8.19527053833
1591954909171927851,4698,1591954909119159936,,8.10389137268
1591954909223615517,4699,1591954909171782016,,8.03434181213
1591954909275927757,4700,1591954909223398923,,8.02220821381
1591954909328465571,4701,1591954909275727033,,8.07215023041
1591954909379862319,4702,1591954909328155040,,8.12669563293
1591954909432020068,4703,1591954909379614114,,8.19283294678
1591954909484088434,4704,1591954909431535959,,8.26574134827
1591954909536759550,4705,1591954909483506917,,8.33323287964
1591954909589479739,4706,1591954909535907983,,8.40050792694
1591954909640386578,4707,1591954909588455915,,8.47162914276
1591954909691889720,4708,1591954909640077114,,8.53977108002
1591954909744320135,4709,1591954909691513061,,8.6062335968
1591954909796689377,4710,1591954909744003057,,8.64582920074
1591954909849244583,4711,1591954909796538114,,8.64897060394
1591954909951569145,4712,1591954909849019050,,8.64999961853
1591954910004327880,4713,1591954909951771974,,8.64999961853
1591954910056994591,4714,1591954910004568099,,8.64907932281
1591954910109211971,4715,1591954910056896924,,8.64907932281
1591954910211406476,4716,1591954910108931064,,8.64907932281
1591954910263020118,4717,1591954910210977077,,8.64913368225
1591954910315569060,4718,1591954910262912034,,8.64913368225
1591954910368122926,4719,1591954910315349102,,8.64999961853
1591954910420791055,4720,1591954910367872953,,8.64913368225
1591954910473565075,4721,1591954910420537948,,8.64999961853
1591954910525424448,4722,1591954910472868919,,8.64913368225
1591954910577919012,4723,1591954910525239944,,8.64907932281
1591954910630364990,4724,1591954910577688932,,8.64999961853
1591954910682118920,4725,1591954910630182027,,8.64999961853
1591954910734167141,4726,1591954910681963920,,8.64999961853
1591954910836011197,4727,1591954910733603000,,8.64999961853
1591954910887899030,4728,1591954910835648059,,8.64999961853
1591954910940050655,4729,1591954910887336015,,8.64999961853
1591954910992922299,4730,1591954910939814090,,8.64999961853
1591954911046083403,4731,1591954910992685079,,8.64999961853
1591954911098580856,4732,1591954911046000003,,8.64999961853
1591954911151426792,4733,1591954911098371028,,8.64999961853
1591954911204413762,4734,1591954911151285886,,8.64999961853
1591954911256617971,4735,1591954911203743934,,8.64999961853
1591954911309384172,4736,1591954911256300926,,8.64999961853
1591954911361207806,4737,1591954911308619976,,8.64999961853
1591954911414477352,4738,1591954911361452102,,8.64999961853
1591954911467293503,4739,1591954911413872003,,8.64999961853
1591954911570350106,4740,1591954911466506958,,8.64999961853
1591954911624426633,4741,1591954911570921897,,8.64999961853
1591954911675893156,4742,1591954911623572111,,8.64999961853
1591954911778379501,4743,1591954911675431013,,8.64999961853
1591954911830364195,4744,1591954911777451038,,8.64999961853
1591954911881791926,4745,1591954911829744100,,8.64999961853
1591954911934824550,4746,1591954911881768941,,8.64999961853
1591954911987198176,4747,1591954911934478044,,8.64999961853
1591954912040428711,4748,1591954911987024068,,8.64999961853
1591954912092896628,4749,1591954912040344953,,8.64999961853
1591954912145596531,4750,1591954912092802047,,8.64913368225
1591954912198183994,4751,1591954912145400047,,8.64999961853
1591954912250645719,4752,1591954912197909116,,8.64999961853
1591954912305178213,4753,1591954912250488996,,8.64999961853
1591954912357465539,4754,1591954912304755926,,8.64999961853
1591954912410250265,4755,1591954912357160091,,8.64999961853
1591954912464828346,4756,1591954912410146951,,8.64999961853
1591954912516310218,4757,1591954912464380025,,8.64999961853
1591954912568853094,4758,1591954912515996932,,8.64999961853
1591954912620927834,4759,1591954912567958116,,8.64999961853
1591954912723486827,4760,1591954912620654106,,8.64999961853
1591954912775968734,4761,1591954912723201036,,8.64999961853
1591954912829466634,4762,1591954912775680065,,8.64999961853
