%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z
1592031194618174423,1,1592031194566430091,,-1.27157223225,-0.574675917625,-0.86651712656
1592031194720744989,2,1592031194618524074,,-1.27157497406,-0.574669420719,-0.866514980793
1592031194773592889,3,1592031194720809936,,-1.27157235146,-0.574665725231,-0.866513252258
1592031194824569486,4,1592031194773283958,,-1.2715690136,-0.574687302113,-0.86652046442
1592031194877747494,5,1592031194824974060,,-1.27157211304,-0.574677050114,-0.866515874863
1592031194928756637,6,1592031194877454042,,-1.27157282829,-0.574662923813,-0.866517066956
1592031194981833536,7,1592031194929119110,,-1.27158081532,-0.57467263937,-0.866509318352
1592031195033922898,8,1592031194981952905,,-1.2715690136,-0.574668943882,-0.866520822048
1592031195085900554,9,1592031195034096956,,-1.27157557011,-0.574686944485,-0.866511940956
1592031195138020816,10,1592031195086008071,,-1.27157473564,-0.574683845043,-0.866515040398
1592031195190010977,11,1592031195138412952,,-1.27157342434,-0.574669241905,-0.866516411304
1592031195242610601,12,1592031195191090106,,-1.27157580853,-0.574668586254,-0.866515636444
1592031195294783159,13,1592031195243307113,,-1.27158105373,-0.574667572975,-0.866509497166
1592031195346449042,14,1592031195295066118,,-1.27157759666,-0.574681401253,-0.866512775421
1592031195397862335,15,1592031195346590042,,-1.27157664299,-0.574672460556,-0.866512238979
1592031195499632723,16,1592031195398385047,,-1.27157473564,-0.574674487114,-0.866512835026
1592031195551951566,17,1592031195499979972,,-1.27157366276,-0.57466840744,-0.8665189147
1592031195605167056,18,1592031195552737951,,-1.27157020569,-0.57467854023,-0.866516172886
1592031195658887175,19,1592031195605673074,,-1.27157962322,-0.574662864208,-0.866512835026
1592031195711682577,20,1592031195660363912,,-1.27156567574,-0.574676215649,-0.866521179676
1592031195763354274,21,1592031195711827993,,-1.27157771587,-0.574672818184,-0.866513669491
1592031195815226082,22,1592031195763995885,,-1.27156734467,-0.574673593044,-0.866520106792
1592031195867770648,23,1592031195815448045,,-1.27159535885,-0.574666798115,-0.866500198841
1592031195919603788,24,1592031195867458105,,-1.2715793848,-0.574672758579,-0.866511762142
1592031196023529571,25,1592031195920799970,,-1.27157485485,-0.574671983719,-0.86651545763
1592031196078985373,26,1592031196023757934,,-1.2715754509,-0.574677526951,-0.866514861584
1592031196128527957,27,1592031196076617002,,-1.27157223225,-0.574677288532,-0.866517424583
1592031196185619163,28,1592031196129092931,,-1.27159059048,-0.57466596365,-0.866503238678
1592031196237977727,29,1592031196185939073,,-1.27157354355,-0.57467520237,-0.866516649723
1592031196290326866,30,1592031196238431930,,-1.27157318592,-0.574671804905,-0.866517961025
1592031196342810760,31,1592031196290899038,,-1.27156758308,-0.574678838253,-0.866520524025
1592031196395336744,32,1592031196343396902,,-1.27157986164,-0.574676096439,-0.866512954235
1592031196449535314,33,1592031196396584033,,-1.2715729475,-0.57468110323,-0.866513133049
1592031196551495293,34,1592031196449229955,,-1.27158129215,-0.574671626091,-0.866509974003
1592031196603481079,35,1592031196551726102,,-1.27158439159,-0.574672818184,-0.866509735584
1592031196654904892,36,1592031196603655099,,-1.27157270908,-0.574670672417,-0.866516649723
1592031196706645875,37,1592031196655149936,,-1.27157223225,-0.574681997299,-0.866518199444
1592031196758155303,38,1592031196706995964,,-1.27157723904,-0.574674427509,-0.866511642933
1592031196859753641,39,1592031196758459091,,-1.2715780735,-0.574659943581,-0.86651211977
1592031196915123193,40,1592031196859993934,,-1.27156627178,-0.574676990509,-0.866522908211
1592031196963522699,41,1592031196911561012,,-1.27157258987,-0.574677348137,-0.866514921188
1592031197015972276,42,1592031196964040040,,-1.27157175541,-0.574674367905,-0.866514503956
1592031197068963690,43,1592031197016695976,,-1.27157604694,-0.574672400951,-0.866514861584
1592031197121747479,44,1592031197069499015,,-1.27157270908,-0.574669897556,-0.866516172886
1592031197173671366,45,1592031197121942043,,-1.27157270908,-0.574662923813,-0.866517782211
1592031197225127142,46,1592031197173791885,,-1.27158522606,-0.574676573277,-0.86650788784
1592031197281037065,47,1592031197225429058,,-1.27156352997,-0.574673175812,-0.866526663303
1592031197332627467,48,1592031197280670881,,-1.27157282829,-0.57468354702,-0.866517901421
1592031197386019684,49,1592031197333215951,,-1.27156233788,-0.574680805206,-0.866525411606
1592031197438253340,50,1592031197386615037,,-1.2715690136,-0.574680268764,-0.866517007351
1592031197489610853,51,1592031197438343048,,-1.27156805992,-0.574682891369,-0.866515159607
1592031197542332383,52,1592031197489882946,,-1.27157711983,-0.574667274952,-0.8665137887
1592031197596118522,53,1592031197544315099,,-1.27157485485,-0.574671387672,-0.866512954235
1592031197648256392,54,1592031197596684932,,-1.2715780735,-0.57467186451,-0.86651134491
1592031197700220435,55,1592031197649080038,,-1.27158439159,-0.57467019558,-0.866508364677
1592031197801835076,56,1592031197700582981,,-1.27157175541,-0.57467520237,-0.866517901421
1592031197853441166,57,1592031197802242040,,-1.27157211304,-0.574674248695,-0.866517186165
1592031197905204771,58,1592031197853925943,,-1.27157080173,-0.574677765369,-0.866516053677
1592031197957725077,59,1592031197905628919,,-1.27156555653,-0.57467675209,-0.866525650024
1592031198010627980,60,1592031197958173990,,-1.27157437801,-0.574678421021,-0.866513669491
1592031198062557014,61,1592031198011147975,,-1.27157688141,-0.574674129486,-0.866514861584
1592031198115011643,62,1592031198062726974,,-1.27157473564,-0.574689149857,-0.866512715816
1592031198166762739,63,1592031198114694118,,-1.27156853676,-0.574668586254,-0.866519629955
1592031198219090512,64,1592031198167331933,,-1.27159273624,-0.574671447277,-0.866501569748
1592031198270801935,65,1592031198219130992,,-1.27157580853,-0.574668586254,-0.86651724577
1592031198323921915,66,1592031198271167039,,-1.27157735825,-0.574673891068,-0.866511106491
1592031198376093678,67,1592031198323611974,,-1.27157604694,-0.574676394463,-0.866515398026
1592031198428835944,68,1592031198376657009,,-1.27156352997,-0.574680447578,-0.866523504257
1592031198481327148,69,1592031198429372072,,-1.27157080173,-0.574679136276,-0.866519212723
1592031198534774900,70,1592031198482870101,,-1.27157747746,-0.574669659138,-0.866511285305
1592031198637353949,71,1592031198535391092,,-1.27157628536,-0.57467341423,-0.866514921188
1592031198690155943,72,1592031198637850999,,-1.27156698704,-0.574679613113,-0.866520881653
1592031198742598131,73,1592031198690465927,,-1.27158212662,-0.574671924114,-0.866510093212
1592031198795231555,74,1592031198743066072,,-1.27157795429,-0.574670314789,-0.866512656212
1592031198847559412,75,1592031198795618057,,-1.27157402039,-0.574682235718,-0.866512537003
1592031198900294514,76,1592031198848387956,,-1.27157652378,-0.574672818184,-0.8665163517
1592031198955594069,77,1592031198900937080,,-1.27157914639,-0.574677228928,-0.866508841515
1592031199007243741,78,1592031198955353975,,-1.27157998085,-0.57467597723,-0.866510629654
1592031199059100328,79,1592031199007698059,,-1.27157115936,-0.57467508316,-0.866516590118
1592031199161117263,80,1592031199059243917,,-1.27158129215,-0.574679136276,-0.866508603096
1592031199215490830,81,1592031199162106037,,-1.27157986164,-0.574677526951,-0.866510391235
1592031199270082911,82,1592031199217050075,,-1.27156591415,-0.574673593044,-0.866523325443
1592031199321380583,83,1592031199269870042,,-1.27157449722,-0.574668169022,-0.866517663002
1592031199374550007,84,1592031199322335004,,-1.27156758308,-0.574682533741,-0.866520166397
1592031199428723559,85,1592031199376312971,,-1.2715754509,-0.574670553207,-0.866514503956
1592031199481226679,86,1592031199429223060,,-1.27156531811,-0.57467764616,-0.866521835327
1592031199534828948,87,1592031199483545064,,-1.27157700062,-0.574668884277,-0.866514027119
1592031199586852130,88,1592031199535012006,,-1.27158176899,-0.574667096138,-0.866510987282
1592031199639359691,89,1592031199587348937,,-1.27157795429,-0.574678003788,-0.866511642933
1592031199691723818,90,1592031199639671087,,-1.27158427238,-0.57467019558,-0.86650711298
1592031199745756677,91,1592031199693655014,,-1.27157366276,-0.574667155743,-0.866517007351
1592031199797427550,92,1592031199746064901,,-1.27156972885,-0.574679374695,-0.866517007351
1592031199899112581,93,1592031199797816991,,-1.27156794071,-0.574680089951,-0.866521716118
1592031199951935920,94,1592031199899350881,,-1.27157700062,-0.574674427509,-0.866513192654
1592031200054642358,95,1592031199952311992,,-1.27157557011,-0.574674487114,-0.866512596607
1592031200106876639,96,1592031200055094003,,-1.2715742588,-0.574676036835,-0.866513967514
1592031200158958196,97,1592031200106987953,,-1.27157092094,-0.57467597723,-0.866520822048
1592031200211446717,98,1592031200159478902,,-1.27157437801,-0.574674427509,-0.866513133049
1592031200263878439,99,1592031200211906909,,-1.27158176899,-0.574672341347,-0.86650878191
1592031200316906836,100,1592031200264444112,,-1.27157902718,-0.574670791626,-0.866514742374
1592031200370453643,101,1592031200318576097,,-1.27157950401,-0.574677765369,-0.866511404514
1592031200422922683,102,1592031200371015071,,-1.27157688141,-0.574668109417,-0.866513073444
1592031200475606227,103,1592031200423494100,,-1.27156817913,-0.574677884579,-0.866521418095
1592031200527134306,104,1592031200475286960,,-1.27156591415,-0.574673235416,-0.866523385048
1592031200578666378,105,1592031200526798963,,-1.27157306671,-0.574675500393,-0.866517722607
1592031200632388960,106,1592031200579278945,,-1.27156436443,-0.574678242207,-0.866518378258
