%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1592031194618174462,1,1592031194566430091,,0.0,0.0,-9.99999974738e-06,-0.0
1592031194721171171,2,1592031194618524074,,0.0,-0.0,1.99999994948e-05,-0.0
1592031194773697622,3,1592031194720809936,,0.0,9.99999974738e-06,1.99999994948e-05,-9.99999974738e-06
1592031194824819050,4,1592031194773283958,,0.0,1.99999994948e-05,-9.99999974738e-06,-1.99999994948e-05
1592031194877846492,5,1592031194824974060,,0.0,0.0,-0.0,-0.0
1592031194929274519,6,1592031194877454042,,0.0,9.99999974738e-06,1.99999994948e-05,-9.99999974738e-06
1592031194981869037,7,1592031194929119110,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1592031195033751469,8,1592031194981952905,,0.0,1.99999994948e-05,9.99999974738e-06,-1.99999994948e-05
1592031195085882355,9,1592031195034096956,,0.0,9.99999974738e-06,-2.99999992421e-05,-0.0
1592031195138033212,10,1592031195086008071,,0.0,0.0,-0.0,-0.0
1592031195190893035,11,1592031195138412952,,0.0,-0.0,9.99999974738e-06,0.0
1592031195242896263,12,1592031195191090106,,0.0,-0.0,0.0,-0.0
1592031195294785203,13,1592031195243307113,,0.0,-1.99999994948e-05,-0.0,9.99999974738e-06
1592031195346312848,14,1592031195295066118,,0.0,-1.99999994948e-05,9.99999974738e-06,9.99999974738e-06
1592031195398034384,15,1592031195346590042,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1592031195499734346,16,1592031195398385047,,0.0,-0.0,-1.99999994948e-05,9.99999974738e-06
1592031195553040243,17,1592031195499979972,,0.0,9.99999974738e-06,9.99999974738e-06,-1.99999994948e-05
1592031195605404331,18,1592031195552737951,,0.0,-0.0,-1.99999994948e-05,9.99999974738e-06
1592031195659225790,19,1592031195605673074,,0.0,-9.99999974738e-06,3.99999989895e-05,-0.0
1592031195711655828,20,1592031195660363912,,0.0,1.99999994948e-05,9.99999974738e-06,-9.99999974738e-06
1592031195763650783,21,1592031195711827993,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1592031195815227932,22,1592031195763995885,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1592031195867781728,23,1592031195815448045,,0.0,-2.99999992421e-05,0.0,1.99999994948e-05
1592031195919915745,24,1592031195867458105,,0.0,-0.0,1.99999994948e-05,0.0
1592031196023107850,25,1592031195920799970,,0.0,0.0,0.0,-9.99999974738e-06
1592031196076855212,26,1592031196023757934,,0.0,-0.0,-0.0,-0.0
1592031196128779239,27,1592031196076617002,,0.0,0.0,-1.99999994948e-05,0.0
1592031196186057370,28,1592031196129092931,,0.0,-3.99999989895e-05,1.99999994948e-05,1.99999994948e-05
1592031196238191935,29,1592031196185939073,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1592031196290556170,30,1592031196238431930,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1592031196343061850,31,1592031196290899038,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1592031196395546311,32,1592031196343396902,,0.0,-1.99999994948e-05,-0.0,9.99999974738e-06
1592031196448875878,33,1592031196396584033,,9.99999974738e-05,3.99999989895e-05,-1.99999994948e-05,-1.99999994948e-05
1592031196551482600,34,1592031196449229955,,0.0,-0.0,0.0,0.0
1592031196603347972,35,1592031196551726102,,0.0,-1.99999994948e-05,-0.0,9.99999974738e-06
1592031196654923158,36,1592031196603655099,,0.0,0.0,9.99999974738e-06,-0.0
1592031196706742013,37,1592031196655149936,,0.0,0.0,-9.99999974738e-06,-0.0
1592031196758281394,38,1592031196706995964,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1592031196859915904,39,1592031196758459091,,0.0,-9.99999974738e-06,2.99999992421e-05,9.99999974738e-06
1592031196912142758,40,1592031196859993934,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1592031196963918499,41,1592031196911561012,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1592031197016172073,42,1592031196964040040,,0.0,9.99999974738e-06,0.0,-0.0
1592031197069036165,43,1592031197016695976,,0.0,-9.99999974738e-06,9.99999974738e-06,-0.0
1592031197121727827,44,1592031197069499015,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1592031197173651351,45,1592031197121942043,,0.0,1.99999994948e-05,1.99999994948e-05,-9.99999974738e-06
1592031197225161075,46,1592031197173791885,,0.0,-1.99999994948e-05,-9.99999974738e-06,1.99999994948e-05
1592031197280493006,47,1592031197225429058,,0.0,1.99999994948e-05,1.99999994948e-05,-9.99999974738e-06
1592031197333083442,48,1592031197280670881,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1592031197386238376,49,1592031197333215951,,9.99999974738e-05,2.99999992421e-05,-3.99999989895e-05,-1.99999994948e-05
1592031197438935691,50,1592031197386615037,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1592031197489693344,51,1592031197438343048,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1592031197545006181,52,1592031197489882946,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1592031197596471814,53,1592031197544315099,,0.0,0.0,0.0,0.0
1592031197648614849,54,1592031197596684932,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1592031197700393718,55,1592031197649080038,,0.0,-1.99999994948e-05,-9.99999974738e-06,1.99999994948e-05
1592031197802001429,56,1592031197700582981,,0.0,2.99999992421e-05,0.0,-1.99999994948e-05
1592031197853640555,57,1592031197802242040,,0.0,-9.99999974738e-06,-0.0,1.99999994948e-05
1592031197905385097,58,1592031197853925943,,0.0,0.0,9.99999974738e-06,0.0
1592031197958506361,59,1592031197905628919,,0.0,-9.99999974738e-06,9.99999974738e-06,-0.0
1592031198010844115,60,1592031197958173990,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1592031198062616773,61,1592031198011147975,,0.0,-1.99999994948e-05,1.99999994948e-05,0.0
1592031198115028138,62,1592031198062726974,,0.0,0.0,-3.99999989895e-05,0.0
1592031198167477701,63,1592031198114694118,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1592031198219220019,64,1592031198167331933,,0.0,-2.99999992421e-05,0.0,1.99999994948e-05
1592031198270864522,65,1592031198219130992,,0.0,1.99999994948e-05,0.0,-1.99999994948e-05
1592031198323937702,66,1592031198271167039,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1592031198376365450,67,1592031198323611974,,0.0,-9.99999974738e-06,-0.0,0.0
1592031198428823798,68,1592031198376657009,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1592031198481769665,69,1592031198429372072,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1592031198535138193,70,1592031198482870101,,0.0,-9.99999974738e-06,1.99999994948e-05,0.0
1592031198637676938,71,1592031198535391092,,0.0,0.0,0.0,-0.0
1592031198690173954,72,1592031198637850999,,0.0,9.99999974738e-06,1.99999994948e-05,-9.99999974738e-06
1592031198742849877,73,1592031198690465927,,0.0,-1.99999994948e-05,-9.99999974738e-06,1.99999994948e-05
1592031198795249720,74,1592031198743066072,,0.0,2.99999992421e-05,0.0,-1.99999994948e-05
1592031198847852227,75,1592031198795618057,,0.0,0.0,-1.99999994948e-05,9.99999974738e-06
1592031198900901158,76,1592031198848387956,,0.0,0.0,0.0,-9.99999974738e-06
1592031198955606969,77,1592031198900937080,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
