%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration
1592033511388508060,1010,1592033511335748910,,0.0
1592033511444979264,1011,1592033511388602972,,0.0
1592033511497064674,1012,1592033511444264888,,0.0
1592033511549758754,1013,1592033511497190952,,0.0
1592033511603855721,1014,1592033511549776077,,0.0
1592033511656779108,1015,1592033511603565931,,0.0
1592033511709194829,1016,1592033511656817913,,0.0
1592033511762142736,1017,1592033511709240913,,0.0
1592033511813308916,1018,1592033511761734008,,0.0
1592033511865041941,1019,1592033511813375949,,0.0
1592033511916513601,1020,1592033511864759922,,0.0
1592033511969119043,1021,1592033511916332960,,0.0
1592033512022285691,1022,1592033511969259023,,0.0
1592033512075286383,1023,1592033512021908998,,0.0
1592033512177701643,1024,1592033512075011014,,0.0
1592033512229851576,1025,1592033512177449941,,0.0
1592033512282813161,1026,1592033512229835987,,0.0
1592033512335474315,1027,1592033512282473087,,0.0
1592033512387975037,1028,1592033512335119009,,0.0
1592033512440785098,1029,1592033512387635946,,0.0
1592033512493702480,1030,1592033512440865993,,0.0
1592033512546093746,1031,1592033512493940114,,0.0
1592033512597855792,1032,1592033512545819997,,0.0
1592033512650111232,1033,1592033512597662925,,0.0
1592033512703106253,1034,1592033512650168895,,0.0
1592033512755449691,1035,1592033512702610015,,0.0
1592033512808381378,1036,1592033512755484104,,0.0
1592033512860987869,1037,1592033512808047056,,0.0
1592033512912368868,1038,1592033512860579013,,0.0
1592033512963698554,1039,1592033512912149906,,0.0
1592033513017034997,1040,1592033512963751077,,0.0
1592033513069783334,1041,1592033513016351938,,0.0
1592033513121082176,1042,1592033513069323062,,0.0
1592033513223502987,1043,1592033513121078014,,0.0
1592033513276454116,1044,1592033513223583936,,0.0
1592033513329091196,1045,1592033513276134014,,0.0
1592033513381866693,1046,1592033513329189062,,0.0
1592033513435270380,1047,1592033513381896018,,0.0
1592033513487721125,1048,1592033513435280084,,0.0
1592033513540646176,1049,1592033513487837076,,0.0
1592033513593522468,1050,1592033513540488958,,0.0
1592033513647283480,1051,1592033513593583106,,0.0
1592033513749789439,1052,1592033513646527051,,0.0
1592033513800950828,1053,1592033513749277114,,0.0
1592033513902961568,1054,1592033513801026105,,0.0
1592033513955745551,1055,1592033513903003931,,0.0
1592033514008045826,1056,1592033513955405950,,0.0
1592033514061186892,1057,1592033514007708072,,0.0
1592033514112603076,1058,1592033514060717105,,0.0
1592033514165834048,1059,1592033514112308025,,0.0
1592033514218600134,1060,1592033514165899038,,0.0
1592033514271111329,1061,1592033514218553066,,0.0
1592033514324161442,1062,1592033514271204948,,0.0
1592033514426073499,1063,1592033514324362993,,0.0
1592033514478236286,1064,1592033514426198959,,0.0
1592033514529889396,1065,1592033514478364944,,0.0
1592033514584980567,1066,1592033514529938936,,0.0
1592033514636284619,1067,1592033514583460092,,0.0
1592033514689716422,1068,1592033514636368036,,0.0
1592033514742764808,1069,1592033514689909934,,0.0
1592033514795774817,1070,1592033514742954015,,0.0
1592033514848588017,1071,1592033514795907020,,0.0
1592033514952413958,1072,1592033514848676919,,0.0
1592033515005072541,1073,1592033514952050924,,0.0
1592033515056493254,1074,1592033515004729986,,0.0
1592033515108393219,1075,1592033515056581020,,0.0
1592033515160091179,1076,1592033515108129978,,0.0
1592033515213156801,1077,1592033515160126924,,0.0
1592033515315166340,1078,1592033515212779998,,0.0
1592033515369232681,1079,1592033515314831018,,0.0
1592033515422323207,1080,1592033515369426965,,0.0
1592033515475211102,1081,1592033515422260999,,0.0
1592033515527817971,1082,1592033515474809885,,0.0
1592033515584991554,1083,1592033515528031110,,0.0
1592033515636043679,1084,1592033515581154108,,0.0
1592033515687313925,1085,1592033515635763883,,0.0
1592033515740251363,1086,1592033515687462091,,0.0
1592033515791760798,1087,1592033515740072011,,0.0
1592033515842986034,1088,1592033515791558027,,0.0
1592033515896104341,1089,1592033515843081951,,0.0
1592033515952290277,1090,1592033515896276950,,0.0
1592033516005048854,1091,1592033515951869010,,0.0
1592033516057786092,1092,1592033516005233049,,0.0
1592033516109117430,1093,1592033516057508945,,0.0
1592033516161324068,1094,1592033516108886003,,0.0
1592033516214186945,1095,1592033516160823106,,0.000190000006114
1592033516317504250,1096,1592033516214346885,,0.0
1592033516369392406,1097,1592033516317007064,,0.0
1592033516421779762,1098,1592033516369088888,,0.0
1592033516775232315,1099,1592033516421478033,,0.0
1592033516827684719,1100,1592033516774880886,,0.0
1592033516879336201,1101,1592033516827377080,,0.000460000010207
1592033516931232826,1102,1592033516879406929,,0.00297000003047
1592033516982567976,1103,1592033516930936098,,0.00743999984115
1592033517039131349,1104,1592033516982342958,,0.0130500001833
1592033517090313556,1105,1592033517038851976,,0.018559999764
1592033517144105122,1106,1592033517090420007,,0.0244299992919
1592033517197049314,1107,1592033517144295930,,0.0334799997509
1592033517249181434,1108,1592033517196645021,,0.0396299995482
1592033517302780844,1109,1592033517249409914,,0.0456600002944
1592033517355543529,1110,1592033517302537918,,0.128110006452
1592033517407054489,1111,1592033517355191946,,0.140579998493
1592033517459631026,1112,1592033517407164096,,0.145140007138
1592033517512826624,1113,1592033517459681034,,0.139200001955
1592033517616513167,1114,1592033517513035058,,0.129830002785
1592033517669129855,1115,1592033517616638898,,0.110079996288
1592033517721645835,1116,1592033517669132947,,0.10108999908
1592033517774687641,1117,1592033517721671104,,0.0895399972796
1592033517827132162,1118,1592033517774269104,,0.0747900009155
1592033517880398306,1119,1592033517827343940,,0.0550200007856
1592033517933130871,1120,1592033517880109071,,-0.011429999955
1592033517985361197,1121,1592033517932708978,,-0.0425999984145
1592033518042562321,1122,1592033517985434055,,-0.071939997375
1592033518094950771,1123,1592033518042237997,,-0.0883999988437
1592033518147367883,1124,1592033518095020055,,-0.0950200036168
1592033518198965545,1125,1592033518147382974,,-0.0942099988461
1592033518250434794,1126,1592033518198972940,,-0.077380001545
1592033518303381255,1127,1592033518250442981,,-0.0582499988377
1592033518355884286,1128,1592033518302803039,,-0.0386000014842
1592033518408279865,1129,1592033518355927944,,-0.016459999606
1592033518460395529,1130,1592033518408406019,,0.00870999973267
1592033518511809664,1131,1592033518460171937,,0.0297699999064
1592033518563634755,1132,1592033518511877059,,0.050909999758
1592033518615138046,1133,1592033518563347101,,0.0675500035286
1592033518666634974,1134,1592033518615247964,,0.0790000036359
1592033518718590930,1135,1592033518666738986,,0.0781700015068
1592033518770754415,1136,1592033518718372106,,0.0712400004268
1592033518873076599,1137,1592033518770813941,,0.0590000003576
1592033518925882498,1138,1592033518873121976,,0.0427800007164
1592033518978450259,1139,1592033518925615072,,0.0338799990714
1592033519030730856,1140,1592033518978111028,,0.0251000002027
1592033519083384532,1141,1592033519030796051,,0.0254100002348
1592033519187404701,1142,1592033519083353042,,0.0264199990779
1592033519239627296,1143,1592033519187129020,,0.0256500001997
