%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1592033511388227285,1,1592033511335748910,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1592033511443962521,2,1592033511388602972,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1592033511496433743,3,1592033511444264888,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1592033511549355020,4,1592033511497190952,,0.0,3.99999989895e-05,-2.99999992421e-05,-1.99999994948e-05
1592033511602619134,5,1592033511549776077,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1592033511656338675,6,1592033511603565931,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1592033511709102029,7,1592033511656817913,,0.0,1.99999994948e-05,9.99999974738e-06,-1.99999994948e-05
1592033511761442787,8,1592033511709240913,,0.0,-0.0,1.99999994948e-05,0.0
1592033511813300003,9,1592033511761734008,,0.0,-9.99999974738e-06,-0.0,0.0
1592033511864614513,10,1592033511813375949,,0.0,9.99999974738e-06,-0.0,-9.99999974738e-06
1592033511916079418,11,1592033511864759922,,0.0,-1.99999994948e-05,1.99999994948e-05,1.99999994948e-05
1592033511967735611,12,1592033511916332960,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1592033512021698619,13,1592033511969259023,,0.0,0.0,-1.99999994948e-05,-0.0
1592033512075274594,14,1592033512021908998,,0.0,-9.99999974738e-06,1.99999994948e-05,-0.0
1592033512177163264,15,1592033512075011014,,0.0,2.99999992421e-05,-9.99999974738e-06,-2.99999992421e-05
1592033512229523055,16,1592033512177449941,,0.0,-0.0,0.0,-0.0
1592033512282208608,17,1592033512229835987,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1592033512334988808,18,1592033512282473087,,0.0,-0.0,-9.99999974738e-06,0.0
1592033512387414569,19,1592033512335119009,,0.0,9.99999974738e-06,-0.0,0.0
1592033512440071721,20,1592033512387635946,,0.0,9.99999974738e-06,-1.99999994948e-05,-0.0
1592033512493557877,21,1592033512440865993,,0.0,9.99999974738e-06,9.99999974738e-06,-1.99999994948e-05
1592033512545693411,22,1592033512493940114,,0.0,-1.99999994948e-05,9.99999974738e-06,9.99999974738e-06
1592033512597271649,23,1592033512545819997,,0.0,-9.99999974738e-06,1.99999994948e-05,0.0
