%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration
1592037432017953582,266,1592037431966389894,,0.0
1592037432069729889,267,1592037432017967939,,0.0
1592037432123025394,268,1592037432069785118,,0.0
1592037432174728631,269,1592037432122514009,,0.0
1592037432226528621,270,1592037432174431085,,0.0
1592037432278508969,271,1592037432226591110,,0.0
1592037432331775781,272,1592037432278203964,,0.0
1592037432384807263,273,1592037432331999063,,0.0
1592037432436956433,274,1592037432384407043,,0.0
1592037432491330924,275,1592037432437056064,,0.0
1592037432543717027,276,1592037432491390943,,0.0
1592037432595155409,277,1592037432543382883,,0.0
1592037432647436645,278,1592037432594896078,,0.0
1592037432699834971,279,1592037432647418022,,0.0
1592037432751510873,280,1592037432699620008,,0.0
1592037432803955413,281,1592037432751581907,,0.0
1592037432857308425,282,1592037432804034948,,0.0
1592037432909294373,283,1592037432856589078,,0.0
1592037432961765604,284,1592037432908967018,,0.0
1592037433013964026,285,1592037432961472034,,0.0
1592037433066405830,286,1592037433014048099,,0.0
1592037433118524194,287,1592037433066555023,,0.0
1592037433170786003,288,1592037433118216991,,0.0
1592037433272137522,289,1592037433170496940,,0.0
1592037433324725143,290,1592037433271802902,,0.0
1592037433377875520,291,1592037433324398994,,0.0
1592037433429803925,292,1592037433377264022,,0.0
1592037433531133207,293,1592037433429677963,,0.0
1592037433586933665,294,1592037433531124114,,0.0
1592037433638091133,295,1592037433586594104,,0.0
1592037433741111027,296,1592037433638180971,,0.0
1592037433793910457,297,1592037433740751981,,0.0
1592037433895864898,298,1592037433793620109,,0.0
1592037433947568789,299,1592037433895515918,,0.0
1592037434000200352,300,1592037433947310924,,0.0
1592037434052425025,301,1592037433999830961,,0.0
1592037434104605183,302,1592037434052192926,,0.0
1592037434156318921,303,1592037434104650974,,0.0
1592037434208824090,304,1592037434156366109,,0.0
1592037434261272297,305,1592037434208906888,,0.0
1592037434314358906,306,1592037434261378049,,0.0
1592037434366373065,307,1592037434313940048,,0.0
1592037434468043920,308,1592037434366441965,,0.0
1592037434520270559,309,1592037434468096971,,0.0
1592037434572503600,310,1592037434519977092,,0.0
1592037434625458480,311,1592037434572635889,,0.0
1592037434677776463,312,1592037434625579118,,0.0
1592037434729555090,313,1592037434677134037,,0.0
1592037434783366992,314,1592037434729655027,,0.0
1592037434836063181,315,1592037434783061981,,0.0
1592037434888318836,316,1592037434835658073,,0.0
1592037434990466036,317,1592037434888109922,,0.0
1592037435042347630,318,1592037434990559101,,0.0
1592037435094869536,319,1592037435042165040,,0.0
1592037435147582059,320,1592037435094520092,,0.0
1592037435199096809,321,1592037435147171020,,0.0
1592037435250718299,322,1592037435198851108,,0.0
1592037435303621543,323,1592037435250880002,,0.0
1592037435356094565,324,1592037435303316116,,0.0
1592037435408750375,325,1592037435356044054,,0.0
1592037435461884396,326,1592037435408638000,,0.0
1592037435562950111,327,1592037435461061000,,0.0
1592037435615659091,328,1592037435562995910,,0.0
1592037435668136604,329,1592037435615377902,,0.0
1592037435720539419,330,1592037435667833089,,0.0
1592037435771914161,331,1592037435720204114,,0.0
1592037435873344550,332,1592037435771680116,,0.0
1592037435924890756,333,1592037435873358011,,0.0
1592037435977743649,334,1592037435924959897,,0.0
1592037436030107425,335,1592037435977284908,,0.0
1592037436132536948,336,1592037436030284881,,0.0
1592037436185493386,337,1592037436132599115,,0.0
1592037436239325110,338,1592037436185631990,,0.0
1592037436345045873,339,1592037436238977909,,0.0
1592037436745193840,340,1592037436342567920,,0.0
1592037436797520372,341,1592037436745003938,,0.0
1592037436850230105,342,1592037436797600030,,0.0
1592037436903157558,343,1592037436849903106,,0.0
1592037436954418904,344,1592037436902618885,,0.000820000015665
1592037437006349718,345,1592037436954147100,,0.00389000005089
1592037437058534810,346,1592037437006130933,,0.00820000004023
1592037437111884991,347,1592037437058543920,,0.0139300003648
1592037437165006743,348,1592037437112097978,,0.0184599999338
1592037437218794249,349,1592037437164750099,,0.0227899998426
1592037437270925731,350,1592037437218835115,,0.0305799990892
1592037437323994835,351,1592037437270900964,,0.0977400019765
1592037437376662892,352,1592037437323435068,,0.10706999898
1592037437431156995,353,1592037437375972986,,0.115950003266
1592037437483889447,354,1592037437431210041,,0.122210003436
1592037437536424005,355,1592037437483741044,,0.115939997137
1592037437588855335,356,1592037437536212921,,0.106020003557
1592037437642350318,357,1592037437588628053,,0.096400000155
1592037437695178601,358,1592037437642539978,,0.0925600007176
1592037437747990987,359,1592037437695255994,,0.0933099985123
1592037437801301556,360,1592037437747684955,,0.093410000205
1592037437853715728,361,1592037437801060914,,0.0537599995732
1592037437905714108,362,1592037437853347063,,0.0450999997556
1592037437958511742,363,1592037437905776977,,0.0366199985147
1592037438010651487,364,1592037437958065986,,0.0280900001526
1592037438062507065,365,1592037438010529041,,0.0278999991715
1592037438164720615,366,1592037438062252998,,0.0296599995345
1592037438217927108,367,1592037438164788961,,0.0275999996811
1592037438271078398,368,1592037438217652082,,0.0231299996376
1592037438324560410,369,1592037438271375894,,0.0157999992371
1592037438378865875,370,1592037438324747085,,0.00607000011951
1592037438432613675,371,1592037438379075050,,-0.000520000001416
1592037438485119589,372,1592037438432293891,,-0.00155000004452
1592037438537519611,373,1592037438484699964,,-0.00121000001673
1592037438590175004,374,1592037438538305997,,-0.0010300000431
1592037438692293274,375,1592037438590219974,,0.00034999998752
1592037438743536069,376,1592037438691939115,,-0.000319999991916
1592037438797406722,377,1592037438743684053,,-0.000690000015311
1592037438898034736,378,1592037438796402931,,0.000859999970999
1592037438949876673,379,1592037438898181915,,0.0
1592037439001458024,380,1592037438949687957,,0.0
1592037439054365468,381,1592037439001514911,,-0.00112000002991
1592037439106568723,382,1592037439054119110,,-0.00257000001147
1592037439159394671,383,1592037439106606960,,-0.00675000017509
1592037439211347286,384,1592037439159075975,,-0.00934000033885
1592037439263020479,385,1592037439211061954,,-0.0125599997118
1592037439315393401,386,1592037439263092994,,-0.0150600001216
1592037439368655141,387,1592037439315515995,,-0.0167900007218
1592037439421512860,388,1592037439368797063,,-0.0221900008619
1592037439473886462,389,1592037439421189069,,-0.0225600004196
1592037439526821376,390,1592037439473999977,,-0.0204099994153
1592037439579543518,391,1592037439526508092,,-0.0161899998784
1592037439632106817,392,1592037439579679012,,-0.012369999662
1592037439684714369,393,1592037439632127046,,-0.00627999985591
1592037439736182307,394,1592037439684590101,,-0.000190000006114
1592037439787995539,395,1592037439736210107,,0.00646999990568
1592037439840193176,396,1592037439787919998,,0.0127699999139
1592037439891538575,397,1592037439839946031,,0.0171600002795
1592037439946947827,398,1592037439891571998,,0.0231500007212
1592037439998223617,399,1592037439946430921,,0.0226600002497
1592037440050615679,400,1592037439998239040,,0.0206000003964
1592037440102802403,401,1592037440050292015,,0.0179500002414
1592037440154319251,402,1592037440102855920,,0.016249999404
1592037440206682601,403,1592037440154450893,,0.0143600003794
1592037440308372901,404,1592037440206703901,,0.0113000003621
1592037440360752617,405,1592037440308140993,,0.00628999993205
1592037440413357859,406,1592037440360732078,,0.00331999990158
1592037440515539436,407,1592037440413429975,,0.00138999999035
1592037440569522031,408,1592037440515104055,,0.000639999983832
1592037440623230272,409,1592037440569914102,,-0.000319999991916
1592037440675656937,410,1592037440622862100,,-0.000319999991916
1592037440726959879,411,1592037440675411939,,-0.000319999991916
1592037440778806048,412,1592037440726991891,,0.000159999995958
1592037440831316215,413,1592037440778529882,,-0.000479999987874
1592037440883674973,414,1592037440831036090,,0.000639999983832
1592037440935284342,415,1592037440883363008,,0.00104000000283
1592037440987597799,416,1592037440934986114,,0.000699999975041
1592037441039948544,417,1592037440987375020,,-0.000169999999343
1592037441092507366,418,1592037441039721965,,-0.000380000012228
1592037441196705791,419,1592037441092189073,,-0.00784999970347
1592037441249024647,420,1592037441196222066,,-0.024070000276
1592037441301074899,421,1592037441248641967,,-0.0272100009024
1592037441353729620,422,1592037441300744056,,-0.0278900004923
1592037441407102303,423,1592037441353425979,,-0.0243500005454
1592037441460394454,424,1592037441406771898,,-0.0238000005484
1592037441511657514,425,1592037441459923982,,-0.0208100005984
1592037441563981206,426,1592037441511447906,,-0.0182099994272
1592037441616848850,427,1592037441564081907,,-0.017689999193
1592037441669357135,428,1592037441616525888,,-0.0171600002795
1592037441721478970,429,1592037441669008016,,-0.0104000000283
1592037441773602991,430,1592037441721127986,,0.00456999987364
1592037441826488023,431,1592037441773682117,,0.00494999997318
1592037441878752793,432,1592037441826184034,,0.00456999987364
1592037441932500504,433,1592037441878830909,,0.0
1592037441985216931,434,1592037441932734012,,0.00113999994937
1592037442037706173,435,1592037441985291957,,-0.000950000016019
1592037442090802011,436,1592037442037787914,,-0.00531999999657
1592037442192526311,437,1592037442090523004,,-0.00190000003204
1592037442243931110,438,1592037442192186117,,-0.0135500002652
1592037442296034453,439,1592037442243957996,,-0.0264400001615
1592037442348851699,440,1592037442296108961,,-0.0419100001454
1592037442399887135,441,1592037442348489999,,-0.0527100004256
1592037442452618727,442,1592037442399919033,,-0.0585599988699
1592037442505090518,443,1592037442452511072,,-0.052990000695
1592037442557685267,444,1592037442505080938,,-0.0422799997032
1592037442610415494,445,1592037442557336091,,-0.0302399992943
1592037442663683826,446,1592037442610537052,,-0.0188599992543
1592037442716856173,447,1592037442663887977,,-0.0122100003064
1592037442769123515,448,1592037442716626882,,0.0238300003111
1592037442821777660,449,1592037442768950939,,0.0481900013983
1592037442873745068,450,1592037442821434020,,0.0690999999642
1592037442975588980,451,1592037442873831987,,0.0829899981618
1592037443027323544,452,1592037442975373983,,0.0651699975133
1592037443080319714,453,1592037443027390003,,0.0488799996674
1592037443133032966,454,1592037443079945087,,0.0233100000769
1592037443185525120,455,1592037443132708072,,-0.000520000001416
1592037443237021571,456,1592037443185030937,,-0.0231500007212
1592037443289715533,457,1592037443237025022,,-0.0441399998963
1592037443342015645,458,1592037443289498090,,-0.074359998107
1592037443394932041,459,1592037443341934919,,-0.0809800028801
1592037443447027672,460,1592037443394587039,,-0.0725800022483
1592037443502919435,461,1592037443447092056,,-0.0594800002873
1592037443555565455,462,1592037443502995967,,-0.024639999494
1592037443608500993,463,1592037443555643081,,0.000950000016019
