%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z
1592041872200978901,1,1592041872148013114,,-1.20033931732,-0.579549133778,-0.86679238081
1592041872252102311,2,1592041872199903964,,-1.20033490658,-0.579551458359,-0.86679404974
1592041872304442316,3,1592041872251627922,,-1.2003455162,-0.579541862011,-0.866789758205
1592041872358210366,4,1592041872303576946,,-1.20034956932,-0.579539000988,-0.866787016392
1592041872409440440,5,1592041872357930898,,-1.2003364563,-0.579554975033,-0.866793751717
1592041872461182617,6,1592041872409965991,,-1.2003415823,-0.579548954964,-0.866790413857
1592041872513083275,7,1592041872461774110,,-1.2003467083,-0.579545855522,-0.866790175438
1592041872614491468,8,1592041872513370990,,-1.20034062862,-0.579543173313,-0.866790950298
1592041872666684115,9,1592041872614866971,,-1.20033526421,-0.579542994499,-0.866795539856
1592041872719445524,10,1592041872667311906,,-1.20034456253,-0.579546034336,-0.866788208485
1592041872771706546,11,1592041872719847917,,-1.20034015179,-0.57954788208,-0.866791129112
1592041872824209732,12,1592041872772227048,,-1.20035076141,-0.579544603825,-0.866787493229
1592041872880375309,13,1592041872824798107,,-1.20034074783,-0.579541563988,-0.866792917252
1592041872936244517,14,1592041872884310960,,-1.20033288002,-0.579551041126,-0.866796195507
1592041872988673696,15,1592041872936748981,,-1.20034122467,-0.579543828964,-0.866793096066
1592041873041242689,16,1592041872989381074,,-1.20033872128,-0.579554796219,-0.866793632507
1592041873093939364,17,1592041873041702985,,-1.2003428936,-0.57954454422,-0.866792201996
1592041873146008112,18,1592041873094099044,,-1.20034301281,-0.579540371895,-0.866792798042
1592041873249487892,19,1592041873146982908,,-1.20034325123,-0.579543709755,-0.8667922616
1592041873350938950,20,1592041873249504089,,-1.20033943653,-0.579547345638,-0.866793274879
1592041873403119556,21,1592041873351217985,,-1.20034766197,-0.579537451267,-0.866789579391
1592041873455511148,22,1592041873403456926,,-1.20033764839,-0.579550385475,-0.866794884205
1592041873558454380,23,1592041873455995082,,-1.20034110546,-0.579549312592,-0.866790652275
1592041873610711516,24,1592041873558645009,,-1.20033705235,-0.579543888569,-0.866796076298
1592041873662678426,25,1592041873611406087,,-1.20034432411,-0.579546511173,-0.866791963577
1592041873715096445,26,1592041873663218975,,-1.20033657551,-0.579552948475,-0.866795897484
1592041873768672831,27,1592041873716500997,,-1.20034372807,-0.579551279545,-0.866789877415
1592041873821411093,28,1592041873769221067,,-1.20034360886,-0.579550623894,-0.866791963577
1592041873874001227,29,1592041873821973085,,-1.20034170151,-0.579550504684,-0.866790413857
1592041873926181431,30,1592041873874562978,,-1.20034480095,-0.579544723034,-0.866787910461
1592041873978215891,31,1592041873926619052,,-1.2003442049,-0.579551398754,-0.866787612438
1592041874029667792,32,1592041873978432893,,-1.2003326416,-0.579553902149,-0.866798758507
1592041874081942143,33,1592041874029959917,,-1.20034301281,-0.579544961452,-0.866791725159
1592041874135173952,34,1592041874082432031,,-1.20034611225,-0.579542815685,-0.866791546345
1592041874186939196,35,1592041874135787963,,-1.20034384727,-0.579550147057,-0.866790533066
1592041874239387112,36,1592041874187452077,,-1.20034396648,-0.579534947872,-0.866793274879
1592041874292261091,37,1592041874239929914,,-1.20034658909,-0.579545259476,-0.866790652275
1592041874344147801,38,1592041874292443037,,-1.20034110546,-0.57954376936,-0.866792857647
1592041874448500632,39,1592041874344718933,,-1.20034098625,-0.579540848732,-0.866792082787
1592041874500918480,40,1592041874449444055,,-1.2003364563,-0.579555332661,-0.866792976856
1592041874553684507,41,1592041874501461982,,-1.20034658909,-0.579543530941,-0.866787970066
1592041874605373651,42,1592041874553935050,,-1.20034205914,-0.579545021057,-0.866791844368
1592041874656907880,43,1592041874605628013,,-1.20034432411,-0.579545021057,-0.866791665554
1592041874708908297,44,1592041874657083988,,-1.20034277439,-0.579549431801,-0.86679059267
1592041874761492216,45,1592041874709414958,,-1.20033621788,-0.579548418522,-0.866796016693
1592041874813634164,46,1592041874761743068,,-1.20034492016,-0.579543411732,-0.866789162159
1592041874866074937,47,1592041874814124107,,-1.20033943653,-0.579551756382,-0.866790890694
1592041874918530811,48,1592041874866550922,,-1.20034170151,-0.579552769661,-0.866792738438
1592041874975644222,49,1592041874919897079,,-1.20034718513,-0.579551517963,-0.866789221764
1592041875030610349,50,1592041874978292942,,-1.20033562183,-0.579551994801,-0.866793096066
1592041875083609475,51,1592041875031352996,,-1.20035004616,-0.579545259476,-0.86678814888
1592041875135944111,52,1592041875083884000,,-1.20034277439,-0.579546272755,-0.866792440414
1592041875187822454,53,1592041875136281967,,-1.20033848286,-0.57953774929,-0.866796195507
1592041875290030954,54,1592041875188175916,,-1.20033955574,-0.579553484917,-0.866792976856
1592041875342463413,55,1592041875290282964,,-1.20033836365,-0.579547345638,-0.866793692112
1592041875394896059,56,1592041875342701911,,-1.20034742355,-0.579540967941,-0.866787195206
1592041875446995480,57,1592041875395066976,,-1.200345397,-0.579550385475,-0.866792321205
1592041875500314597,58,1592041875448129892,,-1.20033943653,-0.579546570778,-0.866797089577
1592041875552989818,59,1592041875501678943,,-1.20034432411,-0.579555153847,-0.866793036461
1592041875604615412,60,1592041875553162097,,-1.20034122467,-0.579549014568,-0.866792678833
1592041875657442736,61,1592041875605298042,,-1.20034205914,-0.57954287529,-0.866792857647
1592041875710629983,62,1592041875657934904,,-1.20034253597,-0.579547286034,-0.866792917252
1592041875762166831,63,1592041875710059881,,-1.2003480196,-0.579545795918,-0.866788804531
1592041875816616176,64,1592041875764636039,,-1.20034623146,-0.579535484314,-0.866789877415
1592041875868306387,65,1592041875817219972,,-1.20033621788,-0.579551398754,-0.86679315567
1592041875921020934,66,1592041875868999958,,-1.20034527779,-0.579548835754,-0.86678904295
1592041875973582779,67,1592041875921531915,,-1.20033824444,-0.579550087452,-0.86679494381
1592041876026374415,68,1592041875974081993,,-1.20034658909,-0.579540908337,-0.866789519787
1592041876079035916,69,1592041876026952028,,-1.200345397,-0.57954120636,-0.866789877415
1592041876132439438,70,1592041876080425024,,-1.20034682751,-0.579553902149,-0.866788744926
1592041876185177418,71,1592041876133003950,,-1.20034015179,-0.57954955101,-0.866792321205
1592041876238996621,72,1592041876186933040,,-1.20033895969,-0.579546272755,-0.866793453693
1592041876291799084,73,1592041876239511013,,-1.20034730434,-0.579550027847,-0.866788864136
1592041876394875254,74,1592041876292398929,,-1.20033621788,-0.579542815685,-0.866794526577
1592041876447925575,75,1592041876395160913,,-1.20034563541,-0.579539239407,-0.866787612438
1592041876500262670,76,1592041876447666883,,-1.20034456253,-0.579541087151,-0.866790473461
1592041876552038924,77,1592041876500437021,,-1.2003442049,-0.579537451267,-0.866788506508
1592041876604735322,78,1592041876552292108,,-1.2003480196,-0.579543054104,-0.866791546345
1592041876656786025,79,1592041876605149030,,-1.20034337044,-0.579553246498,-0.86678981781
1592041876711568600,80,1592041876656995058,,-1.20034122467,-0.579550564289,-0.866792559624
1592041876761417122,81,1592041876709041118,,-1.20034134388,-0.579548537731,-0.8667948246
1592041876817478742,82,1592041876761039018,,-1.20034134388,-0.579551160336,-0.866790533066
1592041876868561650,83,1592041876817126035,,-1.20033633709,-0.579547226429,-0.866795778275
1592041876922222910,84,1592041876869313001,,-1.2003415823,-0.579553127289,-0.866792321205
1592041876974658246,85,1592041876922645092,,-1.20034623146,-0.579535961151,-0.866790175438
1592041877027265211,86,1592041876975207090,,-1.20033979416,-0.579542756081,-0.866793096066
1592041877079749905,87,1592041877027842998,,-1.20035099983,-0.579545259476,-0.866786122322
