%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1592041872199956580,1,1592041872148013114,,0.0,9.99999974738e-06,-1.99999994948e-05,-0.0
1592041872252065530,2,1592041872199903964,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1592041872304456052,3,1592041872251627922,,0.0,0.0,0.0,-0.0
1592041872358193841,4,1592041872303576946,,0.0,-0.0,1.99999994948e-05,0.0
1592041872410205278,5,1592041872357930898,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1592041872461384425,6,1592041872409965991,,0.0,0.0,-9.99999974738e-06,0.0
1592041872513262008,7,1592041872461774110,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1592041872614675513,8,1592041872513370990,,0.0,0.0,1.99999994948e-05,0.0
1592041872667274495,9,1592041872614866971,,0.0,0.0,-0.0,-0.0
1592041872719467860,10,1592041872667311906,,0.0,-1.99999994948e-05,-0.0,9.99999974738e-06
1592041872771916753,11,1592041872719847917,,0.0,-0.0,0.0,0.0
1592041872824760670,12,1592041872772227048,,0.0,-2.99999992421e-05,9.99999974738e-06,9.99999974738e-06
1592041872881574417,13,1592041872824798107,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1592041872936794626,14,1592041872884310960,,0.0,2.99999992421e-05,-1.99999994948e-05,-1.99999994948e-05
1592041872989039491,15,1592041872936748981,,0.0,-9.99999974738e-06,1.99999994948e-05,0.0
1592041873041453885,16,1592041872989381074,,0.0,0.0,-9.99999974738e-06,-9.99999974738e-06
1592041873093965320,17,1592041873041702985,,0.0,9.99999974738e-06,0.0,-0.0
1592041873146547187,18,1592041873094099044,,0.0,-0.0,0.0,-0.0
1592041873249228841,19,1592041873146982908,,0.0,-1.99999994948e-05,-0.0,9.99999974738e-06
1592041873350921729,20,1592041873249504089,,0.0,9.99999974738e-06,-0.0,-9.99999974738e-06
1592041873403103238,21,1592041873351217985,,0.0,-9.99999974738e-06,1.99999994948e-05,0.0
1592041873455696982,22,1592041873403456926,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1592041873558471523,23,1592041873455995082,,0.0,-0.0,-9.99999974738e-06,0.0
1592041873611123716,24,1592041873558645009,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1592041873662807806,25,1592041873611406087,,0.0,-0.0,-0.0,0.0
1592041873715505923,26,1592041873663218975,,0.0,0.0,0.0,-0.0
1592041873768901276,27,1592041873716500997,,0.0,-0.0,-9.99999974738e-06,0.0
1592041873821751336,28,1592041873769221067,,0.0,-0.0,-1.99999994948e-05,0.0
1592041873874267993,29,1592041873821973085,,0.0,0.0,-9.99999974738e-06,0.0
1592041873926165389,30,1592041873874562978,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1592041873978198743,31,1592041873926619052,,0.0,9.99999974738e-06,-1.99999994948e-05,0.0
1592041874029651531,32,1592041873978432893,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1592041874082133964,33,1592041874029959917,,0.0,-0.0,9.99999974738e-06,-0.0
1592041874135479664,34,1592041874082432031,,0.0,-1.99999994948e-05,0.0,9.99999974738e-06
1592041874187097250,35,1592041874135787963,,0.0,0.0,-9.99999974738e-06,0.0
1592041874239625759,36,1592041874187452077,,0.0,-9.99999974738e-06,2.99999992421e-05,0.0
1592041874292041491,37,1592041874239929914,,0.0,-9.99999974738e-06,9.99999974738e-06,-0.0
1592041874344374582,38,1592041874292443037,,0.0,0.0,9.99999974738e-06,-0.0
1592041874448820898,39,1592041874344718933,,0.0,0.0,1.99999994948e-05,-0.0
1592041874501193733,40,1592041874449444055,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1592041874553700226,41,1592041874501461982,,0.0,-0.0,9.99999974738e-06,-0.0
1592041874605244263,42,1592041874553935050,,0.0,-1.99999994948e-05,1.99999994948e-05,9.99999974738e-06
1592041874656877895,43,1592041874605628013,,0.0,-0.0,-0.0,0.0
1592041874709201695,44,1592041874657083988,,0.0,9.99999974738e-06,-9.99999974738e-06,0.0
1592041874761478297,45,1592041874709414958,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1592041874814503867,46,1592041874761743068,,0.0,-0.0,-9.99999974738e-06,9.99999974738e-06
1592041874866383396,47,1592041874814124107,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1592041874919063968,48,1592041874866550922,,0.0,-0.0,-1.99999994948e-05,0.0
1592041874976317802,49,1592041874919897079,,0.0,-9.99999974738e-06,-1.99999994948e-05,0.0
1592041875030621526,50,1592041874978292942,,0.0,0.0,9.99999974738e-06,-0.0
1592041875083562806,51,1592041875031352996,,0.0,-9.99999974738e-06,-0.0,-0.0
1592041875136081245,52,1592041875083884000,,0.0,-0.0,-0.0,-0.0
1592041875188224611,53,1592041875136281967,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1592041875290140760,54,1592041875188175916,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1592041875342564604,55,1592041875290282964,,0.0,-0.0,0.0,0.0
1592041875394803106,56,1592041875342701911,,0.0,-0.0,0.0,0.0
1592041875447191016,57,1592041875395066976,,0.0,-9.99999974738e-06,0.0,-0.0
1592041875500760472,58,1592041875448129892,,0.0,0.0,9.99999974738e-06,-9.99999974738e-06
1592041875552977660,59,1592041875501678943,,0.0,0.0,-9.99999974738e-06,-9.99999974738e-06
1592041875604865952,60,1592041875553162097,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1592041875657660789,61,1592041875605298042,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1592041875710601134,62,1592041875657934904,,0.0,0.0,-0.0,-0.0
1592041875763576781,63,1592041875710059881,,0.0,-1.99999994948e-05,-9.99999974738e-06,9.99999974738e-06
1592041875816910468,64,1592041875764636039,,0.0,-9.99999974738e-06,2.99999992421e-05,9.99999974738e-06
1592041875868653773,65,1592041875817219972,,0.0,0.0,-9.99999974738e-06,0.0
1592041875921240628,66,1592041875868999958,,0.0,0.0,-9.99999974738e-06,-0.0
1592041875974047030,67,1592041875921531915,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1592041876026766331,68,1592041875974081993,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1592041876079478018,69,1592041876026952028,,0.0,-0.0,2.99999992421e-05,9.99999974738e-06
1592041876132647527,70,1592041876080425024,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1592041876185470122,71,1592041876133003950,,0.0,0.0,-9.99999974738e-06,0.0
1592041876239214745,72,1592041876186933040,,0.0,9.99999974738e-06,0.0,-0.0
1592041876292707236,73,1592041876239511013,,0.0,0.0,-9.99999974738e-06,-0.0
