%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration
1592043165402833526,1093,1592043165350843906,,0.0
1592043165454890492,1094,1592043165402873039,,0.0
1592043165556864753,1095,1592043165454941034,,0.0
1592043165609647143,1096,1592043165556921958,,0.0
1592043165661823539,1097,1592043165609399080,,0.0
1592043165764299410,1098,1592043165661557912,,0.0
1592043165815892969,1099,1592043165764035940,,0.0
1592043165867370828,1100,1592043165815984010,,0.0
1592043165918380280,1101,1592043165867177963,,0.0
1592043165970516590,1102,1592043165918498992,,0.0
1592043166021934993,1103,1592043165970560073,,0.0
1592043166073608402,1104,1592043166021995067,,0.0
1592043166125320052,1105,1592043166073357105,,0.0
1592043166177677073,1106,1592043166125365018,,0.0
1592043166280454731,1107,1592043166177411079,,0.0
1592043166331338926,1108,1592043166279989004,,0.0
1592043166383715022,1109,1592043166331506967,,0.0
1592043166435417794,1110,1592043166383454084,,0.0
1592043166486404870,1111,1592043166435117006,,0.0
1592043166538854445,1112,1592043166486483097,,0.0
1592043166590753817,1113,1592043166538573980,,0.0
1592043166643394954,1114,1592043166590491056,,0.0
1592043166694913509,1115,1592043166643174886,,0.0
1592043166747192384,1116,1592043166694673061,,0.0
1592043166799276560,1117,1592043166746973037,,0.0
1592043166851789492,1118,1592043166798991918,,0.0
1592043166906034983,1119,1592043166851835012,,0.0
1592043166957957066,1120,1592043166905857086,,0.000190000006114
1592043167009159914,1121,1592043166957843065,,0.0
1592043167061152846,1122,1592043167008975028,,0.0
1592043167113195504,1123,1592043167060877084,,0.0
1592043167164314311,1124,1592043167112915039,,0.0
1592043167215556015,1125,1592043167164130926,,0.0
1592043167316516309,1126,1592043167215399026,,0.0
1592043167368773513,1127,1592043167316540002,,0.0
1592043167421398012,1128,1592043167368607997,,0.0
1592043167472989836,1129,1592043167421133995,,0.0
1592043167525342766,1130,1592043167473088026,,-0.000180000002729
1592043167626971045,1131,1592043167525068044,,0.0
1592043167678946430,1132,1592043167626996994,,0.0
1592043167730546388,1133,1592043167679052114,,0.0
1592043167782255578,1134,1592043167730304956,,0.0
1592043167835321052,1135,1592043167782354116,,0.0
1592043167938005998,1136,1592043167835107088,,0.0
1592043167989839191,1137,1592043167937743902,,0.0
1592043168041912992,1138,1592043167989896059,,0.0
1592043168094030395,1139,1592043168041944026,,0.0
1592043168145940776,1140,1592043168094007968,,0.0
1592043168198338835,1141,1592043168146003961,,0.0
1592043168250369797,1142,1592043168198414087,,0.0
1592043168352532840,1143,1592043168250457048,,0.0
1592043168404568653,1144,1592043168352303028,,0.0
1592043168456608689,1145,1592043168404320955,,0.0
1592043168508318251,1146,1592043168456264019,,0.0
1592043168610360905,1147,1592043168508358001,,0.0
1592043168662347447,1148,1592043168610124111,,0.0
1592043168714420832,1149,1592043168662472009,,0.0
1592043168767249655,1150,1592043168714546918,,0.0
1592043168819549048,1151,1592043168767405033,,0.0
1592043168871357518,1152,1592043168819339036,,0.0
1592043168923503350,1153,1592043168871053934,,0.0
1592043168975624439,1154,1592043168923270940,,0.0
1592043169026983819,1155,1592043168975338935,,0.0
1592043169129667503,1156,1592043169026757001,,0.0
1592043169181401214,1157,1592043169129806995,,0.0
1592043169232633769,1158,1592043169181212902,,0.0
1592043169284244068,1159,1592043169232455968,,0.0
1592043169335914627,1160,1592043169284198999,,0.0
1592043169387876068,1161,1592043169335987091,,0.0
1592043169440695577,1162,1592043169387919902,,0.0
1592043169493198708,1163,1592043169440840959,,0.0
1592043169544686058,1164,1592043169492995023,,0.0
1592043169596028742,1165,1592043169544482946,,0.0
1592043169647449453,1166,1592043169596127033,,0.0
1592043169699973312,1167,1592043169647283077,,0.0
1592043169752917764,1168,1592043169700138092,,0.0
1592043169805802885,1169,1592043169753072977,,0.0
1592043169909463261,1170,1592043169805949926,,0.0
1592043169961259064,1171,1592043169909526109,,0.0
1592043170012477022,1172,1592043169961071968,,0.0
1592043170064301648,1173,1592043170012291908,,0.0
1592043170117162791,1174,1592043170064342021,,0.0
1592043170171063455,1175,1592043170117310047,,0.0
1592043170223039952,1176,1592043170170768022,,0.0
1592043170278598191,1177,1592043170222774028,,0.0
1592043170330535881,1178,1592043170278275966,,0.0
1592043170382428695,1179,1592043170330518007,,0.0
1592043170434878969,1180,1592043170382493972,,0.0
1592043170487424667,1181,1592043170434919118,,0.0
1592043170539529604,1182,1592043170487184047,,0.0
1592043170590712704,1183,1592043170539283990,,0.0
1592043170642663481,1184,1592043170590523004,,0.0
1592043170694642716,1185,1592043170642703056,,0.0
1592043170746611874,1186,1592043170694685935,,0.0
1592043170799597589,1187,1592043170746639966,,0.0
1592043170850964784,1188,1592043170799743890,,0.0
1592043170903012141,1189,1592043170851003885,,0.0
1592043170955067871,1190,1592043170902728080,,0.0
1592043171006802560,1191,1592043170954790115,,0.0
1592043171108876411,1192,1592043171006902933,,0.0
1592043171160710193,1193,1592043171108639955,,0.0
1592043171212944187,1194,1592043171160324096,,0.0
1592043171265078299,1195,1592043171213032960,,0.0
1592043171367237180,1196,1592043171264873027,,0.0
1592043171419471581,1197,1592043171366826057,,0.0
1592043171521947982,1198,1592043171419610977,,0.0
1592043171573675257,1199,1592043171521589994,,0.0
1592043171625916940,1200,1592043171573723077,,0.0
1592043171677711170,1201,1592043171625648975,,0.0
1592043171734859597,1202,1592043171677891016,,0.0
1592043171783418269,1203,1592043171731862068,,0.0
1592043171835571618,1204,1592043171783279895,,0.0
1592043171887298264,1205,1592043171835364103,,0.0
1592043171939385065,1206,1592043171887017965,,0.0
1592043171991378569,1207,1592043171939099073,,0.0
1592043172042945275,1208,1592043171991087913,,0.0
1592043172095139022,1209,1592043172043014049,,0.0
1592043172147306201,1210,1592043172094940900,,0.0
1592043172199241852,1211,1592043172147020101,,0.0
1592043172250512537,1212,1592043172199013948,,0.000190000006114
1592043172302556404,1213,1592043172250324964,,0.0
1592043172354376093,1214,1592043172302139043,,0.0
1592043172406325585,1215,1592043172354120969,,0.0
1592043172458960021,1216,1592043172406316995,,0.0
1592043172561799064,1217,1592043172459058046,,0.0
1592043172614935235,1218,1592043172561845064,,0.0
1592043172667035418,1219,1592043172615031957,,0.0
1592043172718528098,1220,1592043172666845083,,0.0
1592043172769832612,1221,1592043172718313932,,0.0
1592043172822355870,1222,1592043172769550085,,-0.000180000002729
1592043172874205108,1223,1592043172821661949,,0.0
1592043172974939596,1224,1592043172873699903,,0.0
1592043173026875129,1225,1592043172975063085,,0.0
1592043173078156465,1226,1592043173026750087,,0.0
1592043173130303603,1227,1592043173078219890,,0.0
1592043173232665227,1228,1592043173130513906,,0.0
1592043173284316659,1229,1592043173232393980,,0.0
1592043173336426638,1230,1592043173284454107,,0.0
1592043173388640949,1231,1592043173336487054,,0.0
1592043173440854432,1232,1592043173388689994,,0.0
1592043173492643762,1233,1592043173440608978,,0.0
1592043173544704085,1234,1592043173492438077,,0.0
1592043173595905995,1235,1592043173544413089,,0.0
1592043173647842888,1236,1592043173595643997,,0.0
1592043173749486381,1237,1592043173647563934,,0.0
1592043173801261439,1238,1592043173749234914,,0.0
1592043173852887792,1239,1592043173801359891,,0.0
1592043173903948987,1240,1592043173852710962,,0.0
1592043173956305728,1241,1592043173903965950,,0.000180000002729
1592043174008134296,1242,1592043173956015110,,0.0
1592043174060114149,1243,1592043174007891893,,0.0
1592043174113147369,1244,1592043174059856891,,0.0
1592043174165056892,1245,1592043174112852096,,0.0
1592043174216065516,1246,1592043174164743900,,0.0
1592043174317816555,1247,1592043174215879917,,0.0
1592043174369231285,1248,1592043174317462921,,0.0
1592043174421153479,1249,1592043174368973970,,0.0
1592043174473462677,1250,1592043174421257019,,0.0
1592043174524904453,1251,1592043174473572969,,-0.000180000002729
1592043174576627820,1252,1592043174524930953,,0.0
1592043174628391923,1253,1592043174576406002,,0.0
1592043174679938095,1254,1592043174627875089,,0.0
1592043174732058031,1255,1592043174680041074,,0.0
1592043174784346913,1256,1592043174732105970,,0.0
1592043174835491660,1257,1592043174784095048,,0.0
1592043174887254535,1258,1592043174835859060,,0.0
1592043174938444878,1259,1592043174887084960,,0.0
1592043174989636342,1260,1592043174938246965,,0.0
1592043175090831678,1261,1592043174989429950,,0.0
1592043175143349213,1262,1592043175090652942,,0.0
1592043175495207467,1263,1592043175143090009,,0.0
1592043175547211387,1264,1592043175494977951,,0.000119999996969
1592043175599598734,1265,1592043175546916961,,0.000119999996969
1592043175652714641,1266,1592043175599700927,,0.00104000000283
1592043175704758522,1267,1592043175652584075,,0.00484000006691
1592043175756384061,1268,1592043175704550981,,0.00989999994636
1592043175809047425,1269,1592043175756445884,,0.0156399998814
1592043175859894081,1270,1592043175808346033,,0.0212600007653
1592043175912013416,1271,1592043175859674930,,0.0266600009054
1592043175963710455,1272,1592043175911746025,,0.0359300002456
1592043176015044028,1273,1592043175963721036,,0.0424100011587
1592043176069285674,1274,1592043176015079975,,0.120360001922
1592043176118014475,1275,1592043176066696882,,0.136020004749
1592043176221080706,1276,1592043176118083000,,0.147569999099
1592043176272640077,1277,1592043176220810890,,0.133220002055
1592043176324037149,1278,1592043176272401094,,0.126790001988
1592043176375375142,1279,1592043176323868989,,0.117200002074
1592043176427055463,1280,1592043176375157117,,0.108329996467
1592043176478155585,1281,1592043176426808118,,0.100149996579
1592043176529272445,1282,1592043176477956056,,0.0886600017548
1592043176581606735,1283,1592043176529115915,,0.0718099996448
1592043176633211425,1284,1592043176581710100,,0.0104099996388
1592043176684365860,1285,1592043176632991075,,-0.0192499998957
1592043176735406822,1286,1592043176684185028,,-0.0508700013161
1592043176836798517,1287,1592043176735415935,,-0.0921100005507
1592043176888431479,1288,1592043176836616039,,-0.0994300022721
1592043176946254119,1289,1592043176888223886,,-0.0926700010896
1592043176998619422,1290,1592043176946196079,,-0.0784500017762
1592043177050937581,1291,1592043176998294115,,-0.0656199976802
1592043177102723380,1292,1592043177050685882,,-0.0527300015092
1592043177154768511,1293,1592043177102768898,,-0.0339899994433
1592043177206289738,1294,1592043177154819011,,-0.0129100000486
1592043177258476036,1295,1592043177206132888,,0.00960000045598
1592043177360176149,1296,1592043177258229017,,0.0299600008875
1592043177412165922,1297,1592043177360225915,,0.0520199984312
1592043177463963669,1298,1592043177411933898,,0.0735199972987
1592043177516322867,1299,1592043177464026927,,0.0750299990177
1592043177567990316,1300,1592043177516050100,,0.0728299990296
1592043177620094613,1301,1592043177568217992,,0.0652699992061
1592043177672099338,1302,1592043177620161056,,0.053559999913
1592043177724215283,1303,1592043177672135114,,0.0426799990237
1592043177776319578,1304,1592043177724069118,,0.0324999988079
1592043177828382984,1305,1592043177776062011,,0.0254399999976
1592043177880132383,1306,1592043177828155040,,0.0242100004107
1592043177932581234,1307,1592043177880196094,,0.0282700005919
1592043177983699798,1308,1592043177932265043,,0.0245999991894
1592043178035628084,1309,1592043177983525037,,0.0167500004172
1592043178087270136,1310,1592043178035227060,,0.00559000018984
1592043178139020480,1311,1592043178086944103,,-0.000190000006114
1592043178190468554,1312,1592043178139070987,,-0.000769999984186
1592043178241858602,1313,1592043178190269947,,-0.000959999975748
1592043178293519648,1314,1592043178241580963,,0.0
1592043178346188833,1315,1592043178293214082,,-0.000579999992624
1592043178398540768,1316,1592043178344938039,,0.0
1592043178448874420,1317,1592043178396599054,,0.0
1592043178500963209,1318,1592043178448606967,,0.000579999992624
1592043178552562201,1319,1592043178500610113,,0.000190000006114
1592043178605421049,1320,1592043178552611112,,0.00135000003502
1592043178658037149,1321,1592043178605667114,,0.000579999992624
1592043178710211197,1322,1592043178657849073,,0.000769999984186
1592043178812200365,1323,1592043178709930896,,-0.000769999984186
1592043178863376918,1324,1592043178811925888,,-0.00526000000536
1592043178919147858,1325,1592043178863420963,,-0.00911999959499
1592043179020890197,1326,1592043178918905973,,-0.0113199995831
1592043179076843786,1327,1592043179020941972,,-0.0152200004086
1592043179129612692,1328,1592043179076637983,,-0.0195899996907
1592043179180888283,1329,1592043179129662036,,-0.0232100002468
1592043179232641321,1330,1592043179180932044,,-0.0259399991482
1592043179283656404,1331,1592043179232453107,,-0.0242500007153
1592043179335973250,1332,1592043179283756971,,-0.0218899995089
1592043179387812954,1333,1592043179335824012,,-0.0166200008243
1592043179440596502,1334,1592043179387868881,,-0.0086799999699
1592043179492605330,1335,1592043179440287113,,-0.00260000000708
1592043179594355527,1336,1592043179492310047,,0.00365999992937
1592043179646614217,1337,1592043179594567060,,0.0142999999225
1592043179698488423,1338,1592043179646663904,,0.020530000329
1592043179799824239,1339,1592043179698126077,,0.0258600004017
1592043179851484610,1340,1592043179799654006,,0.0260199997574
1592043179903482769,1341,1592043179851263999,,0.0239199995995
1592043179956325220,1342,1592043179903234004,,0.0214699991047
1592043180008693502,1343,1592043179956043958,,0.0170900002122
1592043180060138946,1344,1592043180008846044,,0.0128800002858
1592043180163483117,1345,1592043180060220003,,0.0109700001776
1592043180215545254,1346,1592043180163635969,,0.00626000016928
1592043180267963252,1347,1592043180215627908,,0.00161000003573
1592043180320462743,1348,1592043180267823934,,0.000639999983832
1592043180372142944,1349,1592043180320614099,,-0.00079999997979
