%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.circle_diameter,field.orientation,field.x,field.y,field.minor_axis_average
1592988120987876521,444,1592988120974002375,,73.5637207031,70.7176361084,0.0,0.0985464155674,392.067504883,254.014465332,65.6272125244
1592988121021174744,445,1592988121006238609,,72.1254882812,70.2255706787,0.0,1.46715831757,391.703979492,252.908615112,66.2247695923
1592988121050772959,446,1592988121036819707,,76.4310836792,70.8503494263,0.0,-0.172761529684,391.855102539,254.463775635,66.7071609497
1592988121085884533,447,1592988121070797302,,72.6733627319,67.6569824219,0.0,0.878514230251,392.789672852,253.441345215,66.6222991943
1592988121115347129,448,1592988121100762571,,75.5691223145,69.2097091675,0.0,1.10249888897,392.029937744,253.007400513,66.8991699219
1592988121151662075,449,1592988121136610769,,73.7205581665,71.1622390747,0.0,-0.761129319668,393.787567139,253.542068481,67.2880783081
1592988121182424125,450,1592988121168314280,,79.7777252197,66.6658325195,0.0,0.8604798913,394.096740723,249.747497559,67.4569473267
1592988121217675586,451,1592988121204584248,,74.6951217651,67.7333984375,0.0,0.482694357634,396.89453125,250.40057373,67.7922592163
1592988121249950960,452,1592988121236540122,,88.2480392456,63.4645233154,0.0,0.366584271193,393.319580078,250.80619812,67.8239059448
1592988121295225807,453,1592988121275388184,,74.806350708,68.2905578613,0.0,0.203543677926,397.150939941,249.490493774,68.1455383301
1592988121324140715,454,1592988121310084816,,82.1494064331,74.590637207,0.0,-0.342105686665,396.096008301,248.563964844,68.5031967163
1592988121350495118,455,1592988121336581751,,75.303314209,67.9863891602,0.0,0.378092318773,395.269989014,249.339096069,68.5724411011
1592988121383559538,456,1592988121368485024,,75.9785842896,68.8294067383,0.0,-0.00217407150194,395.183776855,248.685317993,68.8101348877
1592988121426311510,457,1592988121410185550,,76.9752120972,63.3229560852,0.0,0.0810455828905,395.73348999,247.640426636,68.4923477173
1592988121461738403,458,1592988121442181663,,74.8087615967,68.6075210571,0.0,0.168757721782,395.723571777,247.11730957,68.6629486084
1592988121487442454,459,1592988121470786980,,80.3731994629,67.0983810425,0.0,0.0319679193199,393.51776123,246.82434082,68.7169418335
1592988121529106597,460,1592988121507380943,,92.8088378906,78.9114227295,0.0,-0.021061077714,395.086791992,246.704956055,69.2544021606
1592988121562463506,461,1592988121542187483,,93.1836395264,81.3682174683,0.0,-0.0803218707442,394.546508789,246.876647949,70.1189346313
1592988121589912124,462,1592988121574196880,,94.187828064,85.945854187,0.0,0.211412116885,393.871185303,246.274902344,70.6330413818
1592988121617397065,463,1592988121604481756,,91.7607574463,85.9626693726,0.0,-0.184727102518,394.956481934,246.026885986,71.430015564
1592988121656940428,464,1592988121642199012,,93.5079116821,82.3924331665,0.0,-0.224275186658,394.130859375,246.567886353,72.0137557983
1592988121689150168,465,1592988121674075698,,90.8020095825,84.5970687866,0.0,-0.27510586381,394.501800537,245.583816528,72.7323303223
1592988121724765618,466,1592988121710430077,,101.645324707,83.2002410889,0.0,-0.362472057343,396.662078857,244.664489746,73.349822998
1592988121756618502,467,1592988121742359327,,91.8004684448,84.4542388916,0.0,-0.545476853848,394.613464355,244.824447632,74.1896820068
1592988121790402708,468,1592988121774115548,,88.7961425781,87.7041168213,0.0,0.964031815529,393.837585449,245.73588562,75.114402771
1592988121824519672,469,1592988121810558174,,92.0600891113,83.4158477783,0.0,-0.66345500946,394.716796875,244.205032349,75.7270889282
1592988121854561264,470,1592988121839743974,,92.5125350952,81.0784606934,0.0,-0.819047272205,394.410491943,243.65222168,76.4477157593
1592988121886584761,471,1592988121871804813,,95.383026123,84.5352096558,0.0,-0.889281153679,393.423980713,244.013031006,77.2878112793
1592988121924783556,472,1592988121909870438,,93.0065765381,87.1657714844,0.0,-0.813694953918,394.842102051,242.622772217,78.472869873
1592988121957056917,473,1592988121941927857,,94.8327484131,85.085647583,0.0,-0.978703439236,394.088989258,242.415435791,79.3126220703
1592988121988912314,474,1592988121974114603,,95.1938095093,84.8137664795,0.0,-1.04582369328,393.671661377,241.765625,79.8237838745
1592988122024487221,475,1592988122010138107,,92.5763549805,85.4614257812,0.0,-1.34567248821,392.96987915,242.830749512,80.6975326538
1592988122060168124,476,1592988122042233006,,93.3653793335,86.3628082275,0.0,-1.09876692295,392.306762695,241.280593872,81.5742034912
1592988122090559961,477,1592988122074247531,,93.4687576294,84.5254058838,0.0,-1.39488875866,392.343078613,240.280929565,82.6343231201
1592988122118835386,478,1592988122104699799,,94.3263015747,87.0991516113,0.0,-1.26620423794,392.856750488,241.464660645,83.5589065552
1592988122155855725,479,1592988122142161199,,95.2164611816,84.208770752,0.0,-1.40756869316,390.73034668,240.248413086,84.4144287109
1592988122190000029,480,1592988122174152688,,93.8333053589,85.2163391113,0.0,-1.46128046513,390.978973389,239.678604126,84.729675293
1592988122228148892,481,1592988122210155603,,95.8784103394,85.3921661377,0.0,-1.22047948837,390.616607666,239.357345581,84.9308700562
1592988122256718230,482,1592988122241887966,,93.4833145142,81.6927642822,0.0,1.54741108418,390.256317139,240.686187744,84.7182159424
1592988122292873143,483,1592988122274167626,,92.2055358887,83.0177078247,0.0,1.4860470295,390.339172363,239.961517334,84.5709686279
1592988122324445043,484,1592988122310246188,,95.9246749878,85.0159835815,0.0,1.55652868748,389.805145264,237.984207153,84.7021484375
1592988122360210103,485,1592988122341807743,,95.593460083,81.0417327881,0.0,-1.53470182419,389.461425781,238.524124146,84.5243759155
1592988122389554374,486,1592988122374225033,,94.141242981,84.6977996826,0.0,-1.50943231583,387.626464844,241.515197754,84.5992584229
1592988122422350322,487,1592988122404780410,,91.1032104492,83.1544265747,0.0,1.16273057461,387.911773682,240.053009033,84.5342636108
