%time,field.setpoint
1592988183846245523,112.710403442
1592988189847579451,113.197692871
1592988195858392073,112.950019836
1592988201867717206,113.736831665
1592988207869508592,114.113311768
1592988213875676144,113.935913086
1592988219882064312,114.145385742
1592988225880702033,114.636459351
1592988231887312112,114.896385193
1592988237897107214,114.563796997
1592988243901180998,114.711151123
1592988249907978091,114.783096313
1592988255910210488,113.985015869
1592988261916050011,115.584594727
1592988267928743708,116.439147949
1592988273959028826,115.869628906
1592988279967189157,116.945785522
1592988285974844805,116.985740662
1592988291988171445,117.980567932
1592988297986137685,118.195655823
1592988303990581083,118.596359253
1592988309998022540,118.950752258
1592988316001805201,118.671417236
1592988322010276072,118.094078064
1592988328016173000,119.165611267
1592988334019195569,118.64276123
1592988340026279402,119.512954712
1592988346057076017,119.012863159
1592988352067932977,119.749534607
1592988358067511326,119.663955688
1592988364078715353,119.989089966
1592988370085988198,120.323448181
1592988376089860003,120.599441528
1592988382093815159,121.426742554
1592988388102148296,121.438423157
1592988394141491861,120.923568726
1592988400150806886,120.426521301
1592988406150077004,120.720504761
1592988412157483380,121.02734375
1592988418191926841,120.50466156
1592988424197487049,121.082389832
1592988430206340471,121.860877991
1592988436222685762,122.23249054
1592988442246938166,122.026397705
