%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.circle_diameter,field.orientation,field.x,field.y,field.minor_axis_average
1592978669467707665,729,1592978669452693281,,73.6135482788,50.2337341309,0.0,0.203090533614,379.990844727,236.161361694,62.8756561279
1592978669498485541,730,1592978669484570668,,77.7015838623,76.1597900391,0.0,0.678309261799,378.221557617,239.044326782,64.9400177002
1592978669527320813,731,1592978669513485952,,78.8478927612,63.3093719482,0.0,0.246904194355,374.716644287,234.472412109,65.9834594727
1592978669572327026,732,1592978669555222082,,87.1467514038,63.8455047607,0.0,0.367189317942,368.642791748,233.708679199,67.0707931519
1592978669601103710,733,1592978669587104462,,73.4978790283,56.5516166687,0.0,0.382234990597,376.374755859,238.640304565,67.0067062378
1592978669632887824,734,1592978669619156048,,72.0874404907,55.2806968689,0.0,0.224440962076,373.67364502,237.922393799,67.5120162964
1592978669663369700,735,1592978669649550538,,73.9523162842,53.0640335083,0.0,0.562948167324,369.274078369,235.858886719,67.773223877
1592978669696463127,736,1592978669681314891,,76.7201080322,48.8660812378,0.0,0.37253588438,367.633483887,240.951751709,67.773223877
1592978669730804445,737,1592978669715379217,,73.6040802002,57.5668296814,0.0,0.283567011356,368.751525879,241.04850769,68.4691314697
1592978669767082601,738,1592978669751318224,,82.4890899658,67.8098220825,0.0,-0.0891122967005,373.229003906,245.566482544,70.0133132935
1592978669801827711,739,1592978669786723193,,70.8890304565,48.8941802979,0.0,0.29926687479,363.479278564,241.872787476,70.0133132935
1592978669832686976,740,1592978669816584875,,74.9325027466,52.8642807007,0.0,0.0649301335216,363.875671387,241.386764526,70.2373123169
1592978669866564963,741,1592978669852514982,,71.1294403076,41.6810722351,0.0,0.0973366722465,365.794921875,245.59564209,70.2373123169
1592978669901798599,742,1592978669887056354,,70.8286972046,49.815574646,0.0,0.077849522233,366.797058105,245.488891602,70.2373123169
1592978669926996287,743,1592978669913431493,,69.0197219849,43.4885635376,0.0,0.202825278044,366.072235107,245.260910034,70.2373123169
1592978669968087204,744,1592978669954920278,,72.3958358765,57.3302497864,0.0,-0.117999471724,368.644042969,244.77494812,70.8517303467
1592978670004986601,745,1592978669986430296,,72.8877487183,54.0813369751,0.0,-0.148196920753,371.809783936,248.315505981,70.8097229004
1592978670034970181,746,1592978670016768675,,72.2144927979,49.8586654663,0.0,0.123175859451,369.81552124,252.951385498,70.8097229004
1592978670074712717,747,1592978670054696589,,70.0204696655,48.0333099365,0.0,0.0417150892317,364.870666504,254.969818115,70.8097229004
1592978670100914575,748,1592978670086829698,,73.6481399536,52.1676368713,0.0,-0.188491225243,369.249145508,255.700698853,71.0031204224
1592978670139212461,749,1592978670118829804,,65.4439163208,50.4028091431,0.0,-0.0607308596373,370.600128174,253.910018921,68.4274215698
1592978670181273864,750,1592978670154859707,,74.9573135376,49.9077796936,0.0,-0.290512263775,370.727172852,257.452087402,68.4274215698
1592978670201376761,751,1592978670186826133,,78.0266342163,56.5326042175,0.0,-0.589525222778,376.796478271,258.105377197,67.7497406006
1592978670233727957,752,1592978670218869501,,73.8799972534,62.4852104187,0.0,-0.612008094788,377.754150391,256.628997803,67.6137161255
1592978670269446765,753,1592978670254877601,,79.6534957886,61.945640564,0.0,-0.303515017033,377.752227783,256.947601318,68.1531143188
1592978670306252206,754,1592978670286564633,,84.386177063,52.7071990967,0.0,-0.246908724308,377.235595703,259.533782959,67.8957672119
1592978670333133659,755,1592978670318572642,,75.2896347046,53.6918716431,0.0,-0.373892903328,374.764984131,261.765228271,67.9585494995
1592978670371115803,756,1592978670354580703,,74.380065918,62.650352478,0.0,-0.609702646732,382.571289062,262.7159729,68.4669036865
1592978670400395533,757,1592978670386530439,,68.7751998901,57.2206802368,0.0,-0.413004487753,382.725860596,260.760131836,67.407989502
1592978670434513849,758,1592978670418704052,,72.9091567993,57.3252983093,0.0,-0.709835112095,386.528442383,260.041290283,67.8540878296
1592978670468979437,759,1592978670454803853,,72.4041671753,61.9382591248,0.0,-0.59558403492,389.121856689,259.760742188,68.3148880005
1592978670499243372,760,1592978670485095002,,66.8794021606,62.7855377197,0.0,0.48636007309,391.520263672,261.364532471,69.1853103638
1592978670533048532,761,1592978670518533675,,80.9698410034,68.3761367798,0.0,1.55871617794,395.849639893,260.558654785,70.8061599731
1592978670569388119,762,1592978670554765694,,68.0163040161,62.2225608826,0.0,-1.32510328293,393.090332031,260.537017822,71.9881362915
1592978670601644053,763,1592978670586564426,,68.5325927734,65.7393188477,0.0,1.29561507702,395.242523193,258.730163574,72.9088058472
1592978670633254973,764,1592978670618479207,,68.6559143066,62.4450874329,0.0,-0.084390245378,397.890838623,262.141876221,72.9047927856
1592978670671752424,765,1592978670654518811,,67.2279281616,63.7107505798,0.0,1.5340641737,397.783935547,260.168121338,73.0813064575
1592978670701272190,766,1592978670686568942,,66.1077880859,58.3386497498,0.0,0.996857702732,399.417816162,260.301147461,73.6444473267
1592978670734340313,767,1592978670719107346,,62.2033805847,59.4884796143,0.0,0.832070887089,399.194122314,259.728790283,74.2241134644
1592978670768645406,768,1592978670754580313,,66.0525970459,58.7770195007,0.0,0.28922316432,397.725585938,257.706665039,73.8367767334
1592978670799920560,769,1592978670784850732,,67.2088470459,56.0370254517,0.0,0.102817595005,402.902008057,260.967590332,73.7184143066
1592978670832670087,770,1592978670817174251,,86.481300354,53.9573135376,0.0,0.389119803905,400.982757568,260.229187012,73.3816146851
1592978670870618185,771,1592978670852860811,,72.2239151001,62.9823951721,0.0,0.165521979332,406.606903076,252.81086731,73.4860305786
1592978670903714579,772,1592978670886463140,,82.5087432861,60.8942222595,0.0,0.499498099089,404.249908447,251.872299194,73.2968978882
1592978670938572939,773,1592978670922670601,,70.7734832764,60.8478088379,0.0,0.104187257588,407.049194336,253.569732666,72.5440597534
1592978670971793321,774,1592978670954616930,,67.2714080811,49.3039169312,0.0,0.0842047631741,409.965820312,253.763046265,72.5440597534
1592978671001129711,775,1592978670986428767,,68.8229751587,48.3036994934,0.0,-0.0018355838256,408.043731689,253.05897522,72.5440597534
1592978671043329602,776,1592978671022767424,,65.9958572388,54.0523681641,0.0,-0.168228954077,408.092224121,253.599380493,71.7270431519
1592978671068820859,777,1592978671054977784,,68.5872879028,54.5971107483,0.0,-0.0632599294186,406.807800293,250.927764893,70.6128234863
1592978671103612265,778,1592978671086720191,,67.7104187012,50.5031204224,0.0,0.0130369728431,410.437957764,251.489151001,69.4186248779
1592978671136859605,779,1592978671122902462,,64.7917480469,44.9655532837,0.0,-0.119564346969,411.162261963,250.741165161,69.4186248779
1592978671171770079,780,1592978671152966371,,69.24634552,55.8621482849,0.0,-0.255388230085,409.685424805,247.977401733,68.6337661743
