%time,field.header.seq,field.header.stamp,field.header.frame_id,field.linear_x,field.linear_y,field.linear_z
1572943300936741279,1,1572943300832106113,,4.67707504868e-05,2.32913334912e-05,4.39841387561e-05
1572943300990189031,2,1572943300937021017,,-5.70091069676e-05,1.19305996122e-05,-3.93945265387e-05
1572943301042786613,3,1572943300990950107,,2.73952355201e-05,4.7208792239e-05,0.000161455813213
1572943301096380677,4,1572943301042977094,,-5.4287022067e-05,-3.47155837517e-05,-6.84981860104e-05
1572943301149525947,5,1572943301097071886,,-0.000105084043753,-5.74486239202e-06,-9.91953347693e-05
1572943301202263989,6,1572943301149755954,,4.99745947309e-05,4.1143000999e-05,3.74402661691e-05
1572943301255087831,7,1572943301201765060,,5.30058096047e-05,4.72883630209e-06,5.99407794653e-05
1572943301309890294,8,1572943301255353927,,8.78829087014e-05,-7.11035027052e-05,-5.60036351089e-05
1572943301362707375,9,1572943301308798074,,-9.71325789578e-05,-3.45500666299e-05,-0.000135505630169
1572943301466566257,10,1572943301363317012,,5.68632458453e-05,3.66405911336e-05,8.01090573077e-05
1572943301519651118,11,1572943301467320919,,-4.49445287813e-05,-3.30209695676e-05,-6.95983762853e-05
1572943301573467275,12,1572943301520232915,,-2.11176775338e-05,-3.65646992577e-05,-4.79488626297e-05
1572943301676664765,13,1572943301573648929,,5.40984510735e-05,6.59877405269e-05,0.000117431234685
1572943301730534686,14,1572943301677156925,,-4.47646998509e-05,-2.96127873298e-05,-7.63132484281e-05
1572943301784467401,15,1572943301731082916,,8.64047979121e-05,1.89554484678e-05,3.37888341164e-05
1572943301839740672,16,1572943301785016059,,6.28617199254e-05,-2.06056593015e-05,3.13316668326e-05
1572943301892445201,17,1572943301839143991,,-8.4736791905e-05,1.18995367302e-05,7.29132370907e-05
1572943301945763966,18,1572943301892015933,,1.45460926433e-05,8.02842114354e-05,4.33548921137e-05
1572943302000354806,19,1572943301946738004,,7.94485968072e-05,-1.03158126876e-05,-8.88316208147e-05
1572943302054211321,20,1572943302000786066,,-0.000114644426503,-8.9165972895e-05,-0.000111292516522
1572943302107125255,21,1572943302054568052,,-3.34835094691e-05,-1.23853087644e-05,3.43735264323e-05
1572943302160404403,22,1572943302107214927,,4.01982724725e-05,4.84235242766e-05,9.94413567241e-05
1572943302263147411,23,1572943302160702943,,-2.47523757935e-06,-2.84947182081e-05,-3.70906527678e-05
1572943302316653712,24,1572943302263226032,,3.93102054659e-05,2.23508268391e-05,-2.90883817797e-05
1572943302370561551,25,1572943302317107915,,-8.14042359707e-05,-6.30229260423e-05,-8.19813503767e-05
1572943302424355365,26,1572943302370965003,,-1.48353674376e-05,-2.44171824306e-05,2.68300991593e-05
1572943302478472644,27,1572943302424726963,,0.000439579191152,5.0291288062e-05,-9.12184168556e-06
1572943302532071538,28,1572943302478905916,,3.44158411281e-06,-5.96829750066e-06,1.51058466145e-05
1572943302586153392,29,1572943302532601118,,8.58724251884e-06,-1.31029892145e-05,-0.000125372462207
1572943302639993219,30,1572943302586652994,,-3.53991599695e-05,-3.11967633024e-05,-4.21666336479e-05
1572943302743113650,31,1572943302640696048,,6.54723553453e-05,4.46734629804e-05,5.78901854169e-05
1572943302798062257,32,1572943302743591070,,3.67008251487e-05,-1.93038176803e-05,-9.28239896894e-05
1572943302851056028,33,1572943302797632932,,0.000149715255247,3.35998847731e-05,4.61761192128e-05
1572943302904715493,34,1572943302851500034,,-0.000118960299005,-2.55544200627e-05,-2.49039294431e-05
1572943302958606185,35,1572943302905066967,,-6.66202322464e-05,-2.00718795895e-06,-3.21028928738e-05
1572943303011500496,36,1572943302958993911,,7.42001720937e-05,1.59270621225e-05,8.11887657619e-05
1572943303064473874,37,1572943303011745929,,8.88663198566e-05,9.3545022537e-06,8.58461353346e-05
1572943303118092212,38,1572943303064585924,,-1.66498412e-05,2.57831288764e-05,4.87734214403e-05
1572943303171697677,39,1572943303118391990,,1.60474701261e-05,7.38927110433e-06,-4.98973386129e-05
1572943303274630270,40,1572943303171670913,,-2.46283093475e-06,6.62295351503e-05,7.80615227995e-05
1572943303327894939,41,1572943303274959087,,7.21744436305e-05,-2.0988371034e-05,3.30542643496e-05
1572943303381477246,42,1572943303327984094,,5.73011820961e-05,6.45207692287e-05,8.33680605865e-05
1572943303435371439,43,1572943303381827116,,-1.23085883388e-05,-2.55291488429e-05,3.38587342412e-05
1572943303489039417,44,1572943303436003923,,0.000363067665603,2.35376719502e-05,-2.91462165478e-05
1572943303591804917,45,1572943303489365100,,4.33108434663e-05,-1.71087849594e-05,-1.81336436071e-05
1572943303645220175,46,1572943303592087984,,0.000384985061828,2.88722503683e-06,5.15752035426e-05
1572943303698906499,47,1572943303646132946,,0.000328625377733,4.17915871367e-05,-7.619378448e-05
1572943303752783628,48,1572943303699238061,,1.38982695717e-05,6.47246997687e-05,6.02251247983e-06
1572943303806594451,49,1572943303753207921,,0.00011230281234,-2.1890287826e-05,5.4216132412e-05
1572943303860396705,50,1572943303807096004,,1.06048591988e-05,-1.69944669324e-05,3.03089291265e-05
1572943303914580476,51,1572943303860969066,,-7.17872353562e-06,-1.53201096964e-06,-1.32648465296e-05
1572943303968598228,52,1572943303915056943,,7.50406252337e-05,4.06935032515e-05,4.6249801926e-06
1572943304071543766,53,1572943303969259977,,2.12756890505e-06,-4.53714164905e-06,-5.08382872795e-05
1572943304124863689,54,1572943304071975946,,-5.57267703698e-05,-7.37015798222e-05,2.90943535219e-06
1572943304178796349,55,1572943304125348091,,2.01374332391e-05,-1.32780223794e-05,-1.65799065144e-05
1572943304234002499,56,1572943304179191112,,-1.96917653739e-07,1.70750081452e-05,2.37635322264e-05
1572943304288841128,57,1572943304235008001,,2.28058567586e-07,1.17047575259e-05,2.8724069125e-05
1572943304341214973,58,1572943304289251089,,-8.07637989055e-05,1.39049716381e-05,-4.15605354647e-05
1572943304394593491,59,1572943304341280937,,3.10444556817e-05,1.01042542155e-06,6.19262863211e-08
1572943304448524800,60,1572943304395121097,,3.35122877004e-06,-2.25733292609e-05,-4.39616960648e-05
1572943304502639684,61,1572943304449073076,,1.79742146429e-05,-5.2458159189e-05,4.04398524552e-05
1572943304606964861,62,1572943304503401041,,0.000140577278216,1.26047789308e-05,-4.51988744317e-05
1572943304660575489,63,1572943304607460975,,-0.00024973571999,-3.94602539018e-05,-0.000103854123154
1572943304714403857,64,1572943304660912036,,-6.29659625702e-05,-5.33325110155e-05,-9.19129452086e-05
1572943304768581959,65,1572943304714740037,,0.000102597812656,4.56185807707e-05,6.32804949419e-05
1572943304822324830,66,1572943304769071102,,-5.30233046447e-05,2.89075505862e-05,3.30101938744e-05
1572943304878001239,67,1572943304824661016,,-5.35049584869e-05,3.78420986635e-06,-2.95066183753e-05
1572943304931986476,68,1572943304878632068,,-3.73785624106e-05,6.60939040245e-05,3.9306920371e-05
1572943304985580372,69,1572943304932512044,,1.99063451873e-05,1.03175025288e-05,6.54148777812e-07
1572943305089790088,70,1572943304985999107,,2.8158798159e-05,-4.29736610386e-05,-5.54188918613e-05
1572943305144228237,71,1572943305090210914,,3.46816123056e-05,-3.48358735209e-05,-1.96422183762e-06
