%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1572943343216832329,3856,1572943343162606000,,0.0,-1.99999994948e-05,0.0,9.99999974738e-06
1572943343271095104,3857,1572943343216043949,,0.0,-1.99999994948e-05,1.99999994948e-05,1.99999994948e-05
1572943343324408304,3858,1572943343270447969,,0.0,0.0,-2.99999992421e-05,-0.0
1572943343378618516,3859,1572943343324208021,,0.0,-0.0,-1.99999994948e-05,-0.0
1572943343480740005,3860,1572943343377885103,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1572943343535556201,3861,1572943343481046915,,0.0,0.0,9.99999974738e-06,-0.0
1572943343589686681,3862,1572943343535406112,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1572943343643046647,3863,1572943343589442968,,0.0,0.0,-9.99999974738e-06,-0.0
1572943343697282393,3864,1572943343642592906,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1572943343749889595,3865,1572943343696899890,,0.0,-1.99999994948e-05,1.99999994948e-05,1.99999994948e-05
1572943343803987215,3866,1572943343749999046,,0.0,1.99999994948e-05,0.0,-0.0
1572943343858085109,3867,1572943343804014921,,0.0,0.0,0.0,-9.99999974738e-06
1572943343961497433,3868,1572943343858128070,,0.0,-0.0,2.99999992421e-05,0.0
1572943344017488652,3869,1572943343961604118,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1572943344068024990,3870,1572943344016669988,,0.0,0.0,-9.99999974738e-06,-0.0
1572943344121701683,3871,1572943344067806959,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1572943344176999515,3872,1572943344121725082,,0.0,9.99999974738e-06,-2.99999992421e-05,-1.99999994948e-05
1572943344230825838,3873,1572943344176287889,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1572943344284255998,3874,1572943344230706930,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1572943344339306811,3875,1572943344284619092,,0.0,2.99999992421e-05,-1.99999994948e-05,-1.99999994948e-05
1572943344390919438,3876,1572943344338363885,,0.0,-9.99999974738e-06,-9.99999974738e-06,-0.0
1572943344495767357,3877,1572943344390513896,,0.0,-9.99999974738e-06,0.0,0.0
1572943344549934177,3878,1572943344496012926,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1572943344603736601,3879,1572943344550070047,,0.0,0.0,-9.99999974738e-06,0.0
1572943344657415293,3880,1572943344603946924,,0.0,-1.99999994948e-05,-9.99999974738e-06,1.99999994948e-05
1572943344710556657,3881,1572943344656889915,,0.0,-1.99999994948e-05,-0.0,9.99999974738e-06
1572943344764448856,3882,1572943344710593938,,0.0,-2.99999992421e-05,2.99999992421e-05,1.99999994948e-05
1572943344818388702,3883,1572943344764199972,,0.0,-9.99999974738e-06,0.0,0.0
1572943344872762213,3884,1572943344818622112,,0.0,0.0,9.99999974738e-06,-9.99999974738e-06
1572943344977469364,3885,1572943344872908115,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1572943345030751089,3886,1572943344976609945,,0.0,0.0,-0.0,-0.0
1572943345084698426,3887,1572943345030601024,,0.0,9.99999974738e-06,-0.0,-0.0
1572943345139298936,3888,1572943345084692955,,0.0,-1.99999994948e-05,0.0,9.99999974738e-06
1572943345191557424,3889,1572943345138641119,,0.0,-0.0,0.0,0.0
1572943345247582245,3890,1572943345191468000,,0.0,1.99999994948e-05,1.99999994948e-05,-9.99999974738e-06
1572943345301175921,3891,1572943345246859073,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1572943345353834017,3892,1572943345300472974,,0.0,2.99999992421e-05,-1.99999994948e-05,-1.99999994948e-05
1572943345407797060,3893,1572943345353905916,,0.0,1.99999994948e-05,0.0,-9.99999974738e-06
1572943345513783490,3894,1572943345407785892,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1572943345567748552,3895,1572943345513119935,,0.0,-2.99999992421e-05,9.99999974738e-06,1.99999994948e-05
1572943345621061824,3896,1572943345567094087,,0.0,0.0,9.99999974738e-06,-0.0
1572943345673651231,3897,1572943345621084928,,0.0,-0.0,-9.99999974738e-06,0.0
1572943345726197886,3898,1572943345673374891,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1572943345779944785,3899,1572943345726313114,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1572943345833906069,3900,1572943345780179977,,0.0,-0.0,-9.99999974738e-06,0.0
1572943345888093372,3901,1572943345834049940,,0.0,-1.99999994948e-05,9.99999974738e-06,9.99999974738e-06
1572943345942616271,3902,1572943345888092994,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1572943346046757781,3903,1572943345942131042,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1572943346099923973,3904,1572943346045994043,,0.0,-0.0,9.99999974738e-06,9.99999974738e-06
1572943346154021532,3905,1572943346099901914,,0.0,9.99999974738e-06,-0.0,-0.0
1572943346208819402,3906,1572943346153763055,,0.0,0.0,-0.0,0.0
1572943346261375239,3907,1572943346208095073,,0.0,-1.99999994948e-05,9.99999974738e-06,9.99999974738e-06
1572943346315076607,3908,1572943346261059999,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1572943346368570840,3909,1572943346315073013,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1572943346422536177,3910,1572943346368649005,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1572943346776561301,3911,1572943346422421932,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1572943346830509874,3912,1572943346776060104,,0.0,-0.0,0.0,9.99999974738e-06
1572943346884866002,3913,1572943346830354928,,9.99999974738e-05,7.00000018696e-05,-1.99999994948e-05,-1.99999994948e-05
1572943346937148898,3914,1572943346884114980,,0.000600000028498,0.000140000003739,0.000119999996969,0.000579999992624
1572943346992915940,3915,1572943346937278985,,0.00190000003204,5.99999984843e-05,9.99999974738e-05,0.00188999995589
1572943347046754959,3916,1572943346992214918,,0.00319999991916,3.99999989895e-05,4.99999987369e-05,0.00320999999531
1572943347100131459,3917,1572943347046086072,,0.00449999980628,7.9999997979e-05,1.99999994948e-05,0.0044900001958
1572943347153897925,3918,1572943347099616050,,0.00579999992624,5.99999984843e-05,2.99999992421e-05,0.00576000008732
1572943347206410879,3919,1572943347153302907,,0.00700000021607,9.00000013644e-05,9.99999974738e-06,0.0070199999027
1572943347259989870,3920,1572943347205995082,,0.00829999987036,0.000119999996969,-9.99999974738e-06,0.0082499999553
1572943347314849753,3921,1572943347260164022,,0.00949999969453,0.000150000007125,-9.99999974738e-06,0.00953999999911
1572943347367741625,3922,1572943347314225912,,0.016799999401,0.000180000002729,-4.99999987369e-05,0.0168500002474
1572943347421114370,3923,1572943347368093013,,0.0188999995589,0.000159999995958,-7.00000018696e-05,0.018880000338
1572943347475141762,3924,1572943347420558929,,0.0197999998927,7.00000018696e-05,-0.000260000000708,0.0197999998927
1572943347528600400,3925,1572943347474606990,,0.0197999998927,0.000190000006114,-0.000209999998333,0.0198500007391
1572943347633690527,3926,1572943347528697013,,0.0197999998927,0.000230000005104,-0.000140000003739,0.0197999998927
1572943347689451525,3927,1572943347634032964,,0.0197000000626,0.000130000000354,-5.99999984843e-05,0.0197000000626
1572943347743317759,3928,1572943347689419031,,0.0190999992192,0.000209999998333,-4.99999987369e-05,0.0190500002354
1572943347797762298,3929,1572943347743405103,,0.018200000748,0.000140000003739,-1.99999994948e-05,0.0181699991226
1572943347851412093,3930,1572943347797101020,,0.0173000004143,0.000140000003739,-9.99999974738e-06,0.0173400007188
1572943347904742057,3931,1572943347850752115,,0.0164000000805,9.00000013644e-05,9.99999974738e-06,0.0164000000805
1572943347957619567,3932,1572943347904937028,,0.0154999997467,0.000130000000354,0.0,0.0154999997467
1572943348011339637,3933,1572943347957592964,,0.0146000003442,7.00000018696e-05,2.99999992421e-05,0.0146000003442
1572943348064646925,3934,1572943348010822057,,0.0137999998406,4.99999987369e-05,-1.99999994948e-05,0.0138100003824
1572943348165976569,3935,1572943348064228057,,0.0127999996766,7.00000018696e-05,0.0,0.0128399999812
1572943348218148200,3936,1572943348165999889,,0.0118000004441,1.99999994948e-05,-9.99999974738e-06,0.0118000004441
1572943348270631592,3937,1572943348217830896,,0.0102000003681,9.00000013644e-05,-1.99999994948e-05,0.010219999589
1572943348324075416,3938,1572943348270222902,,0.00989999994636,7.9999997979e-05,-7.00000018696e-05,0.00989999994636
1572943348427220365,3939,1572943348323719024,,0.00989999994636,9.00000013644e-05,-5.99999984843e-05,0.00994000025094
1572943348481675630,3940,1572943348427521944,,0.00989999994636,1.99999994948e-05,-3.99999989895e-05,0.00989999994636
1572943348535382166,3941,1572943348481334924,,0.00999999977648,-9.99999974738e-06,-1.99999994948e-05,0.00999999977648
1572943348589856666,3942,1572943348535305976,,0.00999999977648,4.99999987369e-05,-1.99999994948e-05,0.00996000040323
1572943348643603426,3943,1572943348589288949,,0.00999999977648,4.99999987369e-05,1.99999994948e-05,0.00994999986142
1572943348696709388,3944,1572943348642879962,,0.00999999977648,2.99999992421e-05,1.99999994948e-05,0.00997999962419
1572943348751846013,3945,1572943348696126937,,0.00989999994636,4.99999987369e-05,-9.99999974738e-06,0.00992999970913
1572943348804421585,3946,1572943348750910043,,0.00989999994636,0.000140000003739,9.99999974738e-06,0.00989000033587
1572943348858109527,3947,1572943348803601980,,0.00989999994636,7.9999997979e-05,9.99999974738e-06,0.00992000009865
1572943348911120879,3948,1572943348857367038,,0.00999999977648,-1.99999994948e-05,4.99999987369e-05,0.0100299995393
1572943348965347827,3949,1572943348911335945,,0.00999999977648,-1.99999994948e-05,2.99999992421e-05,0.00999999977648
1572943349018608097,3950,1572943348965142011,,0.00999999977648,4.99999987369e-05,1.99999994948e-05,0.009990000166
1572943349073138204,3951,1572943349018789052,,0.00989999994636,0.000119999996969,-4.99999987369e-05,0.00990999955684
1572943349127203717,3952,1572943349072511911,,0.00989999994636,7.00000018696e-05,-1.99999994948e-05,0.00990999955684
1572943349180759771,3953,1572943349126418113,,0.00989999994636,4.99999987369e-05,-2.99999992421e-05,0.00994000025094
1572943349234321600,3954,1572943349180754899,,0.00989999994636,9.00000013644e-05,-3.99999989895e-05,0.00992999970913
1572943349288023509,3955,1572943349234389066,,0.00989999994636,4.99999987369e-05,-0.0,0.00994000025094
