%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1572943300937651117,3162,1572943300832106113,,0.0,-0.0,1.99999994948e-05,-0.0
1572943300990938804,3163,1572943300937021017,,0.0,0.0,-0.0,-0.0
1572943301043226734,3164,1572943300990950107,,0.0,-0.0,-9.99999974738e-06,-0.0
1572943301097465264,3165,1572943301042977094,,0.0,0.0,0.0,-0.0
1572943301150445267,3166,1572943301097071886,,0.0,9.99999974738e-06,0.0,-0.0
1572943301201780828,3167,1572943301149755954,,0.0,-1.99999994948e-05,0.0,9.99999974738e-06
1572943301256060737,3168,1572943301201765060,,0.0,2.99999992421e-05,-1.99999994948e-05,-2.99999992421e-05
1572943301309110476,3169,1572943301255353927,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1572943301363697270,3170,1572943301308798074,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1572943301467893370,3171,1572943301363317012,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1572943301520697159,3172,1572943301467320919,,0.0,-0.0,-0.0,0.0
1572943301573887502,3173,1572943301520232915,,0.0,9.99999974738e-06,-9.99999974738e-06,-1.99999994948e-05
1572943301677125334,3174,1572943301573648929,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1572943301731405301,3175,1572943301677156925,,0.0,9.99999974738e-06,-0.0,-9.99999974738e-06
1572943301785347074,3176,1572943301731082916,,0.0,0.0,-9.99999974738e-06,-0.0
1572943301839737449,3177,1572943301785016059,,0.0,1.99999994948e-05,-2.99999992421e-05,-1.99999994948e-05
1572943301891983455,3178,1572943301839143991,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1572943301947332496,3179,1572943301892015933,,0.0,-0.0,1.99999994948e-05,0.0
1572943302001517845,3180,1572943301946738004,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1572943302055001248,3181,1572943302000786066,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1572943302107727129,3182,1572943302054568052,,0.0,-0.0,-0.0,-0.0
1572943302161088704,3183,1572943302107214927,,0.0,-9.99999974738e-06,2.99999992421e-05,9.99999974738e-06
1572943302263556350,3184,1572943302160702943,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1572943302317547346,3185,1572943302263226032,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1572943302370932999,3186,1572943302317107915,,0.0,-1.99999994948e-05,9.99999974738e-06,9.99999974738e-06
1572943302425108175,3187,1572943302370965003,,0.0,-0.0,1.99999994948e-05,0.0
1572943302479403758,3188,1572943302424726963,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1572943302532815277,3189,1572943302478905916,,0.0,0.0,-9.99999974738e-06,-0.0
1572943302586482044,3190,1572943302532601118,,0.0,0.0,9.99999974738e-06,-0.0
1572943302640401075,3191,1572943302586652994,,0.0,-9.99999974738e-06,-0.0,0.0
1572943302744047919,3192,1572943302640696048,,0.0,0.0,9.99999974738e-06,0.0
1572943302797823058,3193,1572943302743591070,,0.0,-1.99999994948e-05,-9.99999974738e-06,9.99999974738e-06
1572943302852151860,3194,1572943302797632932,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1572943302905772578,3195,1572943302851500034,,0.0,-0.0,0.0,0.0
1572943302959475204,3196,1572943302905066967,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1572943303012167894,3197,1572943302958993911,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1572943303065180786,3198,1572943303011745929,,0.0,-0.0,9.99999974738e-06,0.0
1572943303119187968,3199,1572943303064585924,,0.0,-0.0,-0.0,0.0
1572943303172572313,3200,1572943303118391990,,0.0,1.99999994948e-05,0.0,-9.99999974738e-06
1572943303275536440,3201,1572943303171670913,,0.0,0.0,9.99999974738e-06,-9.99999974738e-06
1572943303328695824,3202,1572943303274959087,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1572943303382186374,3203,1572943303327984094,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1572943303436479475,3204,1572943303381827116,,0.0,9.99999974738e-06,-0.0,-9.99999974738e-06
1572943303489336985,3205,1572943303436003923,,0.0,0.0,9.99999974738e-06,-0.0
1572943303592150782,3206,1572943303489365100,,0.0,-1.99999994948e-05,1.99999994948e-05,9.99999974738e-06
1572943303646329064,3207,1572943303592087984,,0.0,0.0,0.0,-0.0
1572943303698931596,3208,1572943303646132946,,0.0,-9.99999974738e-06,2.99999992421e-05,9.99999974738e-06
