%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1572930300027412481,6844,1572930299973663091,,9.99999974738e-05,-0.0,-5.99999984843e-05,-9.99999974738e-06
1572930300081998986,6845,1572930300027647972,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1572930300135429799,6846,1572930300081260919,,0.0,0.0,-1.99999994948e-05,-9.99999974738e-06
1572930300189053509,6847,1572930300134610891,,0.0,-0.0,0.0,0.0
1572930300241530172,6848,1572930300188312053,,0.0,-0.0,0.0,0.0
1572930300294668303,6849,1572930300241096973,,0.0,-0.0,-0.0,-0.0
1572930300398838691,6850,1572930300294661998,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1572930300451562628,6851,1572930300398458957,,0.0,0.0,-9.99999974738e-06,-9.99999974738e-06
1572930300504562205,6852,1572930300451040029,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1572930300557558385,6853,1572930300504151105,,0.0,-0.0,9.99999974738e-06,-0.0
1572930300610807813,6854,1572930300557871103,,0.0,0.0,9.99999974738e-06,0.0
1572930300664862560,6855,1572930300610344886,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1572930300717846000,6856,1572930300665955066,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1572930300769871868,6857,1572930300717611074,,0.0,9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1572930300823605649,6858,1572930300769920110,,0.0,-0.0,-2.99999992421e-05,-0.0
1572930300877723886,6859,1572930300823726892,,0.0,-0.0,-0.0,9.99999974738e-06
1572930300932274170,6860,1572930300877841949,,0.0,-9.99999974738e-06,-1.99999994948e-05,0.0
1572930300985647674,6861,1572930300931304931,,0.0,0.0,-1.99999994948e-05,-0.0
1572930301038967696,6862,1572930300984916925,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1572930301092600203,6863,1572930301038644075,,0.0,-0.0,-1.99999994948e-05,9.99999974738e-06
1572930301196494721,6864,1572930301092575073,,0.0,0.0,9.99999974738e-06,0.0
