%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1591684529267332596,1523,1591684529247231819,,67.1096801758,54.146736145,0.704335808754,389.869781494,254.965362549,61.2149925232
1591684529293285598,1524,1591684529278951194,,62.9140090942,37.6361694336,0.726354539394,387.727203369,247.441574097,61.1900787354
1591684529326301126,1525,1591684529305256698,,61.2322845459,38.5048751831,0.550846934319,389.147399902,250.676071167,61.1900787354
1591684529356688047,1526,1591684529341198984,,57.1325492859,40.9496154785,0.460097551346,385.027618408,248.127166748,61.1900787354
1591684529396153543,1527,1591684529379027823,,56.3696136475,39.0759773254,0.38770326972,384.905426025,248.950042725,61.1900787354
1591684529427635629,1528,1591684529410840451,,69.7874298096,48.3126983643,0.759536445141,387.857757568,250.124603271,61.1900787354
1591684529460942344,1529,1591684529446778563,,59.3349609375,42.8334579468,0.52206069231,385.125640869,246.597961426,61.1900787354
1591684529493900985,1530,1591684529479240841,,65.5328369141,41.856174469,0.520669281483,387.451019287,250.657104492,61.1900787354
1591684529527025530,1531,1591684529510982553,,68.2703475952,48.2547912598,0.576621353626,386.503417969,254.834442139,61.1900787354
1591684529567925273,1532,1591684529547133998,,63.934551239,39.8049964905,0.239583969116,379.592285156,248.359375,61.1900787354
1591684529594447075,1533,1591684529579239491,,70.5296020508,44.7524833679,0.400250732899,385.379882812,253.256835938,61.1900787354
1591684529626288094,1534,1591684529606443220,,68.8522720337,52.2177085876,0.216988906264,387.938049316,254.060592651,61.1900787354
1591684529655691153,1535,1591684529641264303,,65.409538269,42.3672294617,0.502739846706,387.602264404,251.001327515,60.8345184326
1591684529696693861,1536,1591684529678522727,,67.823890686,50.9412078857,0.305302262306,388.574676514,253.273742676,60.8345184326
1591684529726978437,1537,1591684529710262169,,73.1345291138,49.1342010498,0.398292392492,386.304504395,255.667831421,60.4790458679
1591684529766463185,1538,1591684529746589239,,67.3827362061,59.1477203369,0.000391484674765,388.772857666,254.840881348,60.4790458679
1591684529796525573,1539,1591684529778938381,,67.7187805176,54.725730896,0.173046350479,388.17364502,254.483032227,60.4302978516
1591684529826579057,1540,1591684529810952323,,70.4584503174,57.4158096313,0.163443788886,388.813903809,255.47354126,60.4302978516
1591684529864011682,1541,1591684529846979484,,68.0195465088,52.5243721008,0.16338865459,389.916442871,253.573257446,60.4286003113
1591684529895265090,1542,1591684529878833741,,66.6985168457,52.1796531677,0.473741203547,387.639770508,256.73614502,60.4286003113
1591684529927220617,1543,1591684529910614034,,74.7587432861,58.820476532,-0.222891271114,387.528533936,251.994842529,59.8918762207
1591684529970251752,1544,1591684529946855305,,66.0168609619,41.4042854309,-0.0863416790962,384.302734375,255.875137329,59.8918762207
1591684529990520292,1545,1591684529974601342,,54.0471343994,44.5891342163,0.238747596741,381.994628906,254.898147583,59.8918762207
1591684530024569223,1546,1591684530007518701,,68.326423645,46.4648399353,0.446025699377,387.678466797,254.207122803,59.8918762207
1591684530058469968,1547,1591684530041547564,,70.1689147949,47.9905853271,0.173430383205,385.08770752,255.397628784,59.8918762207
1591684530090856413,1548,1591684530073175254,,74.8182983398,45.1266517639,0.480018407106,382.639434814,251.881881714,59.8918762207
1591684530120870466,1549,1591684530105099760,,79.6633148193,49.8608894348,0.27647420764,389.4112854,256.75189209,59.8918762207
1591684530156167768,1550,1591684530141019326,,84.4322891235,65.8793869019,-0.109929427505,384.193908691,255.189819336,59.8918762207
1591684530195558489,1551,1591684530173141752,,74.2010726929,62.3857917786,0.142891779542,388.333770752,253.139572144,59.5726661682
1591684530230422559,1552,1591684530214763072,,67.9154510498,40.9670715332,0.254559844732,386.806182861,255.864776611,59.5726661682
1591684530268530581,1553,1591684530246818769,,77.157043457,64.9553222656,-0.0109707592055,387.466186523,254.128585815,59.5726661682
1591684530294090091,1554,1591684530279022074,,76.5843887329,58.132068634,-0.346989125013,386.972747803,255.550888062,59.7721099854
1591684530329681569,1555,1591684530314695276,,68.3627548218,59.6028785706,0.125316649675,390.0496521,255.500946045,59.7721099854
1591684530362737279,1556,1591684530346693859,,74.4822006226,52.2011070251,0.297761797905,385.714599609,256.276428223,59.6349563599
1591684530393891179,1557,1591684530379012815,,74.9013748169,59.3371047974,0.118257537484,387.893341064,253.378875732,59.6349563599
1591684530434784046,1558,1591684530415013641,,78.0886383057,60.2756080627,-0.174786061049,388.086608887,255.635650635,59.5295257568
1591684530462752185,1559,1591684530446991275,,70.8281478882,64.0360336304,-0.340887695551,390.067169189,255.322402954,59.5295257568
1591684530494397008,1560,1591684530479429951,,70.2249450684,65.4951629639,-0.429207146168,389.714324951,256.514831543,59.5986862183
1591684530529856836,1561,1591684530515280515,,72.1971893311,58.6318778992,-0.0907501429319,389.641937256,253.600830078,59.5986862183
1591684530561270875,1562,1591684530547091226,,73.6949005127,63.9887313843,-0.253497511148,388.677978516,256.271972656,59.5344619751
1591684530593199341,1563,1591684530578908169,,68.3806228638,66.96925354,0.176095798612,390.271759033,256.119415283,59.5344619751
1591684530630433912,1564,1591684530614858211,,71.0692901611,61.2681388855,-0.540162563324,390.940063477,255.985549927,59.5464859009
1591684530660705464,1565,1591684530646767056,,77.3740234375,70.8665237427,-0.373862147331,388.388793945,258.909057617,59.5464859009
1591684530694634497,1566,1591684530678631183,,77.6581497192,67.6016693115,0.113168232143,387.974060059,256.307006836,60.1416625977
