%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1591684529265117193,1523,1591684529247231819,,2.20000004768
1591684529295278488,1524,1591684529278951194,,2.20000004768
1591684529327252316,1525,1591684529305256698,,2.20000004768
1591684529357805119,1526,1591684529341198984,,2.20000004768
1591684529398144496,1527,1591684529379027823,,2.20000004768
1591684529429793868,1528,1591684529410840451,,2.20000004768
1591684529462216606,1529,1591684529446778563,,2.20000004768
1591684529495473762,1530,1591684529479240841,,2.20000004768
1591684529527098061,1531,1591684529510982553,,2.20000004768
1591684529570509803,1532,1591684529547133998,,2.20000004768
1591684529596106929,1533,1591684529579239491,,2.20000004768
1591684529627655903,1534,1591684529606443220,,2.20000004768
1591684529657209325,1535,1591684529641264303,,2.20000004768
1591684529698878132,1536,1591684529678522727,,2.20000004768
1591684529729009064,1537,1591684529710262169,,2.20000004768
1591684529767550167,1538,1591684529746589239,,2.20000004768
1591684529795077828,1539,1591684529778938381,,2.20000004768
1591684529829440227,1540,1591684529810952323,,2.20000004768
1591684529865160329,1541,1591684529846979484,,2.20000004768
1591684529895869641,1542,1591684529878833741,,2.20000004768
1591684529927634054,1543,1591684529910614034,,2.20000004768
1591684529972281964,1544,1591684529946855305,,2.20000004768
1591684529992103179,1545,1591684529974601342,,2.20000004768
1591684530025927184,1546,1591684530007518701,,2.20000004768
1591684530060245043,1547,1591684530041547564,,2.20000004768
1591684530092264083,1548,1591684530073175254,,2.20000004768
1591684530122576618,1549,1591684530105099760,,2.20000004768
1591684530157618321,1550,1591684530141019326,,2.20000004768
1591684530197793143,1551,1591684530173141752,,2.20000004768
1591684530232239161,1552,1591684530214763072,,2.20000004768
1591684530270086121,1553,1591684530246818769,,2.20000004768
1591684530295510127,1554,1591684530279022074,,2.20000004768
1591684530331834743,1555,1591684530314695276,,2.20000004768
1591684530364019320,1556,1591684530346693859,,2.20000004768
1591684530395227166,1557,1591684530379012815,,2.20000004768
1591684530436156777,1558,1591684530415013641,,2.20000004768
1591684530463425725,1559,1591684530446991275,,2.20000004768
1591684530495418151,1560,1591684530479429951,,2.20000004768
1591684530530855973,1561,1591684530515280515,,2.20000004768
1591684530563364758,1562,1591684530547091226,,2.20000004768
1591684530594587750,1563,1591684530578908169,,2.20000004768
1591684530631560425,1564,1591684530614858211,,2.20000004768
1591684530661889702,1565,1591684530646767056,,2.20000004768
1591684530694955073,1566,1591684530678631183,,2.20000004768
1591684530734948486,1567,1591684530709052238,,2.20000004768
