%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1591685238688632298,1557,1591685238666170372,,2.20000004768
1591685238711726648,1558,1591685238697920978,,2.20000004768
1591685238753888096,1559,1591685238733165446,,2.20000004768
1591685238781418655,1560,1591685238765021931,,2.20000004768
1591685238819804901,1561,1591685238803753941,,2.20000004768
1591685238848669242,1562,1591685238832976758,,2.20000004768
1591685238883988274,1563,1591685238867657897,,2.20000004768
1591685238915403861,1564,1591685238899347181,,2.20000004768
1591685238957336052,1565,1591685238938681797,,2.20000004768
1591685238989080767,1566,1591685238970608921,,2.20000004768
1591685239018540596,1567,1591685239002615747,,2.20000004768
1591685239054962249,1568,1591685239038688541,,2.20000004768
1591685239089113243,1569,1591685239070554534,,2.20000004768
1591685239119034661,1570,1591685239101827715,,2.20000004768
1591685239150104601,1571,1591685239133279064,,2.20000004768
1591685239184174291,1572,1591685239165050439,,2.20000004768
1591685239225106550,1573,1591685239202207200,,2.20000004768
1591685239251162775,1574,1591685239235381300,,2.20000004768
1591685239289363631,1575,1591685239267129071,,2.20000004768
1591685239318219370,1576,1591685239303047314,,2.20000004768
1591685239350467939,1577,1591685239333789079,,2.20000004768
1591685239380672537,1578,1591685239365018638,,2.20000004768
1591685239419529091,1579,1591685239401250250,,2.20000004768
1591685239453842278,1580,1591685239438562054,,2.20000004768
1591685239479866322,1581,1591685239465069341,,2.20000004768
1591685239528707880,1582,1591685239501684442,,2.20000004768
1591685239561704991,1583,1591685239533667139,,2.20000004768
1591685239593451117,1584,1591685239566013811,,2.20000004768
1591685239619321258,1585,1591685239603467813,,2.20000004768
1591685239652212727,1586,1591685239635345524,,2.20000004768
1591685239686263692,1587,1591685239671008589,,2.20000004768
1591685239724596382,1588,1591685239707194154,,2.20000004768
1591685239754944003,1589,1591685239739304809,,2.20000004768
1591685239786273586,1590,1591685239770751451,,2.20000004768
1591685239826676720,1591,1591685239802751140,,2.20000004768
1591685239850921873,1592,1591685239835471444,,2.20000004768
1591685239883444836,1593,1591685239867246961,,2.20000004768
1591685239924233971,1594,1591685239907707692,,2.20000004768
1591685239950811531,1595,1591685239933109217,,2.20000004768
1591685239985101252,1596,1591685239965176540,,2.20000004768
1591685240027241669,1597,1591685240001522006,,2.20000004768
1591685240059884695,1598,1591685240039751832,,2.20000004768
1591685240089719890,1599,1591685240072124328,,2.20000004768
1591685240116378455,1600,1591685240101046694,,2.20000004768
1591685240153454220,1601,1591685240133678917,,2.20000004768
1591685240180475920,1602,1591685240164960837,,2.20000004768
1591685240217027647,1603,1591685240201322830,,2.20000004768
1591685240255915430,1604,1591685240239813789,,2.20000004768
1591685240288341154,1605,1591685240272154593,,2.20000004768
1591685240324482137,1606,1591685240307661237,,2.20000004768
1591685240355333168,1607,1591685240338640535,,2.20000004768
1591685240387315594,1608,1591685240371095798,,2.20000004768
1591685240423661664,1609,1591685240407001830,,2.20000004768
1591685240454180877,1610,1591685240438992441,,2.20000004768
1591685240485423531,1611,1591685240470802613,,2.20000004768
1591685240523245566,1612,1591685240506690565,,2.20000004768
1591685240558272924,1613,1591685240538961254,,2.20000004768
1591685240587134255,1614,1591685240570846274,,2.20000004768
1591685240622127660,1615,1591685240606750261,,2.20000004768
1591685240655520996,1616,1591685240639230298,,2.20000004768
1591685240691612351,1617,1591685240674906137,,2.20000004768
1591685240720323223,1618,1591685240705859716,,2.20000004768
1591685240748668768,1619,1591685240733031717,,2.20000004768
1591685240790917201,1620,1591685240774576450,,2.20000004768
1591685240822652207,1621,1591685240806922833,,2.20000004768
1591685240854358367,1622,1591685240838759955,,2.20000004768
1591685240889648554,1623,1591685240874888583,,2.20000004768
1591685240922865203,1624,1591685240906814600,,2.20000004768
1591685240954604302,1625,1591685240939008598,,2.20000004768
1591685240993104616,1626,1591685240974719941,,2.20000004768
1591685241022705177,1627,1591685241006890069,,2.20000004768
