%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z
1591865204332478408,152,1591865204281136989,,-1.32978904247,-0.618117690086,-0.893971800804
1591865204384670724,153,1591865204332933902,,-1.32978487015,-0.618120789528,-0.893977046013
1591865204436841143,154,1591865204385164022,,-1.32978904247,-0.618111670017,-0.893971145153
1591865204539058383,155,1591865204437494039,,-1.32979118824,-0.61811798811,-0.893969416618
1591865204592378307,156,1591865204539443016,,-1.32978785038,-0.61811876297,-0.893971502781
1591865204643679027,157,1591865204592061042,,-1.32978010178,-0.618124246597,-0.893976509571
1591865204695796192,158,1591865204644242048,,-1.32978689671,-0.618116378784,-0.893971979618
1591865204748746314,159,1591865204696253061,,-1.32978010178,-0.61812710762,-0.893976509571
1591865204801469779,160,1591865204749066114,,-1.32978963852,-0.61811876297,-0.893971264362
1591865204853153457,161,1591865204801328897,,-1.3297842741,-0.618124186993,-0.893973946571
1591865204905460809,162,1591865204853688001,,-1.32978951931,-0.618118524551,-0.893973529339
1591865204957556256,163,1591865204905844926,,-1.32978487015,-0.618115603924,-0.893976390362
1591865205060230684,164,1591865204958233118,,-1.32978057861,-0.618122756481,-0.893976390362
1591865205112156829,165,1591865205060465097,,-1.32979226112,-0.618117570877,-0.893972396851
1591865205165338918,166,1591865205112728118,,-1.32978880405,-0.618120908737,-0.893971204758
1591865205266934207,167,1591865205165040969,,-1.32979154587,-0.618117153645,-0.893969595432
1591865205318683700,168,1591865205267606019,,-1.32978236675,-0.618124425411,-0.893975555897
1591865205370466234,169,1591865205319050073,,-1.32978153229,-0.618121743202,-0.893975138664
1591865205422388231,170,1591865205370779991,,-1.32979285717,-0.618121266365,-0.893969655037
1591865205474850890,171,1591865205422846078,,-1.3297867775,-0.618118703365,-0.893970668316
1591865205527972818,172,1591865205475331068,,-1.32978415489,-0.618123233318,-0.893975138664
1591865205629685799,173,1591865205527693033,,-1.32978665829,-0.618120551109,-0.893972158432
1591865205681662732,174,1591865205629858970,,-1.32978367805,-0.618125498295,-0.893974483013
