%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1591865204332839752,152,1591865204281136989,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1591865204385522543,153,1591865204332933902,,0.0,0.0,9.99999974738e-06,-9.99999974738e-06
1591865204437310306,154,1591865204385164022,,0.0,0.0,2.99999992421e-05,-0.0
1591865204539174571,155,1591865204437494039,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1591865204592424851,156,1591865204539443016,,0.0,0.0,9.99999974738e-06,0.0
1591865204643906595,157,1591865204592061042,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1591865204696013801,158,1591865204644242048,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1591865204749385107,159,1591865204696253061,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1591865204801371847,160,1591865204749066114,,0.0,-9.99999974738e-06,0.0,0.0
1591865204853398830,161,1591865204801328897,,0.0,9.99999974738e-06,-0.0,-0.0
1591865204905711757,162,1591865204853688001,,0.0,-0.0,-0.0,-0.0
1591865204957941029,163,1591865204905844926,,0.0,-0.0,9.99999974738e-06,0.0
1591865205060054286,164,1591865204958233118,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1591865205112395675,165,1591865205060465097,,0.0,-0.0,0.0,-0.0
1591865205165260988,166,1591865205112728118,,0.0,-0.0,-0.0,0.0
1591865205266804465,167,1591865205165040969,,0.0,-1.99999994948e-05,9.99999974738e-06,9.99999974738e-06
1591865205318985254,168,1591865205267606019,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1591865205370604959,169,1591865205319050073,,0.0,-0.0,9.99999974738e-06,0.0
1591865205422559524,170,1591865205370779991,,0.0,-9.99999974738e-06,-0.0,0.0
1591865205475052437,171,1591865205422846078,,0.0,-0.0,9.99999974738e-06,9.99999974738e-06
1591865205528008500,172,1591865205475331068,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1591865205629552957,173,1591865205527693033,,0.0,-0.0,-9.99999974738e-06,9.99999974738e-06
1591865205681707901,174,1591865205629858970,,0.0,-0.0,-0.0,0.0
1591865205734534871,175,1591865205682080030,,0.0,9.99999974738e-06,-9.99999974738e-06,0.0
1591865205786927025,176,1591865205734623908,,0.0,9.99999974738e-06,-1.99999994948e-05,-0.0
1591865205840147099,177,1591865205788314104,,0.0,9.99999974738e-06,-1.99999994948e-05,-0.0
1591865205892455601,178,1591865205840609073,,0.0,-0.0,9.99999974738e-06,-0.0
1591865205945072230,179,1591865205892756938,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1591865205997140892,180,1591865205945084095,,0.0,1.99999994948e-05,0.0,-9.99999974738e-06
1591865206048939878,181,1591865205996867895,,0.0,0.0,-9.99999974738e-06,-9.99999974738e-06
1591865206104521387,182,1591865206049448013,,0.0,0.0,0.0,-0.0
1591865206156805923,183,1591865206104749917,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1591865206208825337,184,1591865206156574010,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1591865206259585472,185,1591865206208414077,,0.0,0.0,-9.99999974738e-06,0.0
1591865206311665783,186,1591865206259893894,,0.0,-0.0,1.99999994948e-05,-9.99999974738e-06
1591865206364210092,187,1591865206312077045,,0.0,-0.0,9.99999974738e-06,-0.0
1591865206416785597,188,1591865206364471912,,0.0,-9.99999974738e-06,-1.99999994948e-05,9.99999974738e-06
1591865206468734850,189,1591865206416647911,,0.0,9.99999974738e-06,-2.99999992421e-05,-0.0
1591865206571551925,190,1591865206468858957,,0.0,-0.0,-9.99999974738e-06,0.0
1591865206623703776,191,1591865206571691036,,0.0,-0.0,0.0,0.0
1591865206676045545,192,1591865206624010086,,0.0,-0.0,0.0,0.0
1591865206727886557,193,1591865206676126003,,0.0,-1.99999994948e-05,0.0,9.99999974738e-06
1591865206780260456,194,1591865206728169918,,0.0,-0.0,9.99999974738e-06,0.0
1591865206832240205,195,1591865206780462980,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1591865206884405881,196,1591865206832551956,,0.0,-0.0,9.99999974738e-06,0.0
1591865206939945088,197,1591865206884924888,,0.0,0.0,2.99999992421e-05,-0.0
1591865206992657546,198,1591865206941487073,,0.0,0.0,9.99999974738e-06,-9.99999974738e-06
1591865207044789767,199,1591865206992786884,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1591865207098008961,200,1591865207046183109,,0.0,0.0,0.0,0.0
1591865207149557562,201,1591865207098175048,,0.0,0.0,-9.99999974738e-06,0.0
1591865207201194627,202,1591865207149791002,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1591865207253769398,203,1591865207201540946,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1591865207305796755,204,1591865207253835916,,0.0,-0.0,-0.0,0.0
1591865207357407051,205,1591865207306180000,,0.0,1.99999994948e-05,0.0,-9.99999974738e-06
1591865207408818496,206,1591865207357520103,,0.0,9.99999974738e-06,-1.99999994948e-05,-0.0
1591865207461822881,207,1591865207408950090,,0.0,-9.99999974738e-06,-1.99999994948e-05,9.99999974738e-06
1591865207513215702,208,1591865207461083889,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1591865207564450579,209,1591865207513299942,,0.0,0.0,-9.99999974738e-06,-9.99999974738e-06
1591865207615784670,210,1591865207564677000,,0.0,-0.0,9.99999974738e-06,0.0
1591865207667036254,211,1591865207615997076,,0.0,-9.99999974738e-06,1.99999994948e-05,0.0
1591865207719555386,212,1591865207667376041,,0.0,9.99999974738e-06,-1.99999994948e-05,-0.0
1591865207773540502,213,1591865207719685077,,0.0,-0.0,-9.99999974738e-06,0.0
1591865207825207301,214,1591865207773180007,,0.0,-0.0,1.99999994948e-05,-0.0
1591865207877266411,215,1591865207825464963,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1591865207929662596,216,1591865207877737998,,0.0,0.0,-9.99999974738e-06,0.0
1591865207982764752,217,1591865207930371999,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1591865208034583374,218,1591865207983038902,,0.0,0.0,-9.99999974738e-06,-0.0
1591865208086293403,219,1591865208034774065,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1591865208138450592,220,1591865208086405038,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1591865208190142460,221,1591865208138761043,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1591865208292293151,222,1591865208190277099,,0.0,-9.99999974738e-06,1.99999994948e-05,0.0
1591865208344386267,223,1591865208292567014,,0.0,-0.0,-9.99999974738e-06,0.0
1591865208396833641,224,1591865208344655990,,0.0,9.99999974738e-06,-1.99999994948e-05,-0.0
1591865208448961278,225,1591865208397047996,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1591865208500359212,226,1591865208449141979,,0.0,-9.99999974738e-06,9.99999974738e-06,-0.0
1591865208552053176,227,1591865208500643014,,0.0,-0.0,-0.0,0.0
1591865208603824167,228,1591865208551857948,,0.0,0.0,-0.0,0.0
1591865208656301221,229,1591865208604114055,,0.0,0.0,-9.99999974738e-06,0.0
1591865208709338336,230,1591865208656889915,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1591865208764678874,231,1591865208710621118,,0.0,-0.0,9.99999974738e-06,-0.0
1591865208815852704,232,1591865208764029026,,0.0,0.0,-0.0,-9.99999974738e-06
1591865209168107655,233,1591865208816132068,,0.0,0.0,0.0,-0.0
1591865209220234749,234,1591865209168350934,,0.0,9.99999974738e-06,-4.99999987369e-05,-9.99999974738e-06
1591865209274285429,235,1591865209220671892,,0.00079999997979,0.000739999988582,0.000220000001718,-0.000209999998333
1591865209325920010,236,1591865209273902893,,0.0038999998942,0.00371000007726,0.0010300000431,-0.000119999996969
1591865209378665275,237,1591865209326056003,,0.00879999995232,0.00850000046194,0.00216999999247,1.99999994948e-05
1591865209430183039,238,1591865209378258943,,0.0137000000104,0.0132499998435,0.00329999998212,-9.99999974738e-06
1591865209482407443,239,1591865209430460929,,0.0187999997288,0.0182700008154,0.00451999995857,-2.99999992421e-05
1591865209534927458,240,1591865209483010053,,0.0240000002086,0.0232699997723,0.00572999985889,-5.99999984843e-05
1591865209587622387,241,1591865209535350084,,0.0292000006884,0.0283599998802,0.00694000022486,-7.9999997979e-05
1591865209639073007,242,1591865209587389945,,0.034200001508,0.0331999994814,0.00810000021011,-7.9999997979e-05
1591865209691284368,243,1591865209639328956,,0.0395000018179,0.0383299998939,0.00935999955982,-9.00000013644e-05
1591865209744164051,244,1591865209691565990,,0.0698999986053,0.0678799971938,0.0166800003499,-0.000130000000354
1591865209795913617,245,1591865209743763923,,0.076700001955,0.0745100006461,0.0181600004435,0.000159999995958
1591865209847822817,246,1591865209795986890,,0.0803000032902,0.0780500024557,0.0188699997962,-5.99999984843e-05
1591865209900167813,247,1591865209848109960,,0.0803000032902,0.0780899971724,0.0189100001007,-0.000250000011874
1591865210002959986,248,1591865209900443077,,0.0803999975324,0.078180000186,0.0189800001681,-0.000199999994948
1591865210055153100,249,1591865210003174066,,0.0800999999046,0.0777899995446,0.018880000338,-0.000150000007125
1591865210107581262,250,1591865210055419921,,0.0803000032902,0.0779900029302,0.0189999993891,-0.000150000007125
1591865210159664904,251,1591865210107822895,,0.0800999999046,0.0777800008655,0.0190099999309,-0.000110000000859
1591865210211878415,252,1591865210159890890,,0.0803000032902,0.0779900029302,0.0190600007772,-0.000150000007125
1591865210314153017,253,1591865210212230920,,0.0798000022769,0.0775199979544,0.0189299993217,-0.000159999995958
1591865210367235843,254,1591865210314374923,,0.0802000015974,0.0779099985957,0.0189699996263,-0.000169999999343
1591865210418973969,255,1591865210367012977,,0.0798000022769,0.0775799974799,0.0188999995589,-0.000159999995958
1591865210471540273,256,1591865210419265031,,0.0798000022769,0.077500000596,0.0189100001007,-9.00000013644e-05
1591865210573582465,257,1591865210471626996,,0.0800999999046,0.0778499990702,0.0190299991518,-0.000130000000354
1591865210625631571,258,1591865210573807001,,0.0800999999046,0.077840000391,0.0190600007772,-0.000119999996969
1591865210677996230,259,1591865210625879049,,0.0802000015974,0.0778900012374,0.0190399996936,-0.000140000003739
1591865210729964171,260,1591865210677654027,,0.0800999999046,0.0778499990702,0.0189999993891,-0.000159999995958
1591865210781864982,261,1591865210729702949,,0.0798999965191,0.0776700004935,0.0188999995589,-0.000150000007125
1591865210833686669,262,1591865210781884908,,0.0800999999046,0.0778599977493,0.0189900007099,-0.000119999996969
1591865210886440489,263,1591865210834036111,,0.0790000036359,0.076810002327,0.0186400003731,7.9999997979e-05
1591865210938326483,264,1591865210886210918,,0.0744000002742,0.0723000019789,0.0176199991256,-1.99999994948e-05
1591865210990281217,265,1591865210938483953,,0.0678000003099,0.0659099966288,0.0161199998111,-3.99999989895e-05
1591865211092397076,266,1591865210990552902,,0.0588999986649,0.0569499991834,0.0148799996823,0.000130000000354
1591865211144525510,267,1591865211092691898,,0.0423000007868,0.0373000018299,0.0199200008065,-3.99999989895e-05
1591865211196555959,268,1591865211144855022,,0.0335999988019,0.0228199996054,0.024620000273,-0.000110000000859
1591865211248280925,269,1591865211196304082,,0.0324999988079,0.0133600002155,0.0295899994671,-9.99999974738e-05
1591865211300155442,270,1591865211248186111,,0.0351999998093,0.00480999983847,0.0348699986935,-9.00000013644e-05
1591865211401427287,271,1591865211300297021,,0.0401000007987,-0.00328999990597,0.0399499982595,0.000110000000859
1591865211453277087,272,1591865211401629924,,0.0443000011146,-0.0195499993861,0.039730001241,5.99999984843e-05
1591865211505907411,273,1591865211453385114,,0.0498999990523,-0.0318999998271,0.0383899994195,-0.000159999995958
1591865211558500389,274,1591865211506046056,,0.0555999986827,-0.0410399995744,0.0375699996948,-2.99999992421e-05
1591865211610602514,275,1591865211558199882,,0.0610999986529,-0.048369999975,0.0373000018299,1.99999994948e-05
1591865211661518766,276,1591865211610336065,,0.0650999993086,-0.0538300015032,0.0366300009191,-0.000159999995958
1591865211713166398,277,1591865211661571979,,0.0644999966025,-0.0565499998629,0.0311200004071,2.99999992421e-05
1591865211765368892,278,1591865211713331937,,0.0649000033736,-0.0600400008261,0.0246300008148,9.99999974738e-05
1591865211817330901,279,1591865211765444040,,0.0668999999762,-0.0644700005651,0.0178599990904,5.99999984843e-05
1591865211869829041,280,1591865211817684888,,0.0715999975801,-0.0707900002599,0.0106199998409,0.000150000007125
1591865211972231357,281,1591865211869374990,,0.0766000002623,-0.0765400007367,0.00368000008166,-4.99999987369e-05
1591865212024049202,282,1591865211971707105,,0.0806000009179,-0.0805400013924,-0.00236999988556,7.00000018696e-05
1591865212075430434,283,1591865212023808002,,0.0800999999046,-0.0800499990582,-0.00310999993235,0.000110000000859
1591865212126864523,284,1591865212075535058,,0.0802000015974,-0.0801099985838,-0.00416000001132,0.000110000000859
1591865212178559205,285,1591865212127012968,,0.0799999982119,-0.0798000022769,-0.00542999990284,9.99999974738e-05
1591865212230948611,286,1591865212178380012,,0.0798000022769,-0.0794799998403,-0.0068100001663,9.00000013644e-05
1591865212283265214,287,1591865212231142044,,0.0795999988914,-0.0791800022125,-0.00813999958336,3.99999989895e-05
