%time,field.header.seq,field.header.stamp,field.header.frame_id,field.linear_x,field.linear_y,field.linear_z
1591865204332477032,152,1591865204281136989,,-4.9480710004e-05,5.4796688346e-05,-6.65954139549e-05
1591865204384590358,153,1591865204332933902,,1.35989876071e-05,-1.93569394469e-05,6.57386772218e-05
1591865204437063591,154,1591865204385164022,,-6.0726335505e-05,-2.91162541544e-05,6.37260882286e-07
1591865204538814723,155,1591865204437494039,,-3.49504589394e-05,-8.02950671641e-06,-2.23885217565e-05
1591865204592238366,156,1591865204539443016,,-1.08213635031e-05,-2.01329639822e-05,-2.94880355796e-05
1591865204643622340,157,1591865204592061042,,4.00905919378e-05,-4.90809252369e-05,-3.73244038201e-05
1591865204695741425,158,1591865204644242048,,-4.93760198879e-05,-4.64831573481e-05,1.67394791788e-05
1591865204748157802,159,1591865204696253061,,-9.67255800788e-06,4.64739714516e-05,2.61144614342e-05
1591865204801243083,160,1591865204749066114,,-5.45332659385e-05,3.23306121572e-05,-3.46215638274e-05
1591865204853309147,161,1591865204801328897,,-2.38873235503e-05,-5.57000785193e-05,6.79881031829e-06
1591865204905251606,162,1591865204853688001,,-2.19338944589e-05,3.69897134078e-05,-8.96362471394e-05
1591865204957461507,163,1591865204905844926,,-6.78038304613e-06,5.14518105774e-05,-4.16024522565e-05
1591865205059822396,164,1591865204958233118,,0.000119623633509,-5.69277617615e-05,5.98067126703e-05
1591865205112079164,165,1591865205060465097,,-4.04552629334e-05,-2.8158960049e-05,-1.19928199638e-05
1591865205165245658,166,1591865205112728118,,-4.74145017506e-05,-3.76355928893e-05,-1.97646004381e-05
1591865205266434844,167,1591865205165040969,,-2.70268938038e-05,9.10771777853e-05,-5.30532088305e-05
1591865205318599227,168,1591865205267606019,,6.37991761323e-05,-1.09185657493e-06,-2.71704502666e-05
1591865205370313816,169,1591865205319050073,,-4.62400057586e-05,5.57722887606e-05,-3.58911456715e-05
1591865205422494324,170,1591865205370779991,,-7.22097320249e-05,-4.13980706071e-05,-3.2306103094e-05
1591865205475023498,171,1591865205422846078,,-1.27158009491e-05,-1.15114817163e-05,-4.92948965984e-05
1591865205527921791,172,1591865205475331068,,-1.5973329937e-05,-1.39800738452e-06,-2.7615840736e-05
1591865205629273062,173,1591865205527693033,,-2.31052649724e-06,2.22659236897e-05,4.35761876361e-06
1591865205681610107,174,1591865205629858970,,-5.24708302692e-05,-1.93082796613e-05,-5.01820250065e-05
1591865205734501537,175,1591865205682080030,,5.26702308434e-07,-4.31285152445e-05,6.15742756054e-05
1591865205786205500,176,1591865205734623908,,0.000406361621572,-9.06878631213e-06,8.81133091752e-05
1591865205839865067,177,1591865205788314104,,-1.04967202788e-05,0.000114545044198,-4.01958786824e-05
1591865205892174327,178,1591865205840609073,,3.85168550565e-06,7.65752847656e-05,2.59422540694e-05
1591865205944397783,179,1591865205892756938,,-1.03522779682e-05,3.26214903907e-05,1.91283234585e-07
1591865205996478843,180,1591865205945084095,,-4.99538873555e-05,2.87636830762e-05,5.62539162274e-06
1591865206048426182,181,1591865205996867895,,-2.7281785151e-05,-9.8366272141e-06,-3.16987934639e-05
1591865206104308035,182,1591865206049448013,,4.18036834162e-05,1.4301272131e-06,3.48929643224e-05
1591865206156083034,183,1591865206104749917,,7.08428196958e-05,7.69839753048e-05,-2.27639575314e-05
1591865206207768681,184,1591865206156574010,,5.23295511812e-06,5.29076460225e-05,-7.0434587542e-05
1591865206259365530,185,1591865206208414077,,6.995118747e-05,-1.43825300256e-05,-1.15936918519e-05
1591865206311416385,186,1591865206259893894,,2.36592622969e-05,-2.11139340536e-05,4.41478914581e-06
1591865206363922558,187,1591865206312077045,,2.93065822916e-05,-5.45185175724e-05,4.74194848721e-06
1591865206416564958,188,1591865206364471912,,-0.00101279630326,-0.00029626453761,9.06164677872e-06
1591865206468230517,189,1591865206416647911,,9.95377122308e-05,6.76051495248e-05,-5.58342180739e-05
1591865206571177860,190,1591865206468858957,,-2.83350505015e-06,5.07000404468e-05,-2.42149526457e-05
1591865206623382024,191,1591865206571691036,,-9.47370936046e-05,-2.34635263041e-05,2.04415646294e-05
1591865206675618865,192,1591865206624010086,,1.91577655642e-05,-1.22597327845e-06,1.58542334248e-05
1591865206727648736,193,1591865206676126003,,4.62061652797e-05,4.94521627843e-05,3.73250550183e-05
1591865206779816681,194,1591865206728169918,,-1.83449064934e-05,-1.46556012623e-05,-5.01322901982e-05
1591865206832007627,195,1591865206780462980,,1.71823921846e-05,-4.05887658417e-05,3.6967190681e-05
1591865206884128583,196,1591865206832551956,,3.02454300254e-05,2.26112388191e-05,-3.16098376061e-05
1591865206939667444,197,1591865206884924888,,-7.26683792891e-05,-5.66380695091e-05,5.17913895237e-06
1591865206992445217,198,1591865206941487073,,-0.000246884068474,-0.000103693317214,1.46297643369e-05
1591865207044323661,199,1591865206992786884,,-4.93859770359e-05,-8.36849085317e-06,3.33949574269e-05
1591865207097720526,200,1591865207046183109,,-2.93506800517e-05,5.20796565979e-05,1.59105347848e-05
1591865207149291817,201,1591865207098175048,,2.43661215791e-05,8.42389708851e-05,4.00853714382e-05
1591865207200922953,202,1591865207149791002,,-0.000105737322883,3.52648203261e-05,-8.79850485944e-05
1591865207253189876,203,1591865207201540946,,6.9686752795e-06,3.14428616548e-05,4.68626785732e-06
1591865207305478988,204,1591865207253835916,,6.0826416302e-05,3.30710681737e-05,-4.81153547298e-05
1591865207357200584,205,1591865207306180000,,1.83105639735e-05,3.44821796716e-06,6.51819354971e-05
1591865207408518144,206,1591865207357520103,,-1.56959704327e-05,-2.54942005995e-05,-7.07013750798e-05
1591865207462506864,207,1591865207408950090,,0.000743348326068,0.000176610337803,-2.33147761719e-06
1591865207512666872,208,1591865207461083889,,-3.65643572877e-05,2.63928814093e-05,-2.76135815511e-05
1591865207564307193,209,1591865207513299942,,-1.99371825147e-05,1.67430061992e-05,-7.5989933066e-06
1591865207615588235,210,1591865207564677000,,-5.34865212103e-05,2.7400737963e-05,-8.75085170264e-05
1591865207666949474,211,1591865207615997076,,3.81986092179e-06,2.36141459027e-05,-0.000122638317407
1591865207719318051,212,1591865207667376041,,-7.82749964401e-07,-5.11637772433e-05,6.53532188153e-05
1591865207772577096,213,1591865207719685077,,-1.26351951621e-05,2.43087270064e-05,4.99653251609e-05
1591865207824766146,214,1591865207773180007,,-0.000444611330749,-5.86373826081e-05,-3.90730674553e-05
1591865207877023497,215,1591865207825464963,,6.76201598253e-05,-9.51025867835e-05,-4.73328800581e-05
1591865207929438210,216,1591865207877737998,,0.000111930836283,-7.11150642019e-05,5.88804505242e-05
1591865207981907300,217,1591865207930371999,,1.88377835002e-05,2.87227649096e-05,6.37828588879e-06
1591865208034949513,218,1591865207983038902,,-9.64394348557e-06,5.20468202012e-05,-1.99466867343e-05
1591865208086004802,219,1591865208034774065,,3.42442617693e-05,-7.62294148444e-05,7.93994331616e-05
1591865208138140350,220,1591865208086405038,,-9.52153350227e-05,5.27523516212e-05,-9.75503789959e-05
1591865208189754031,221,1591865208138761043,,-6.61216763547e-05,3.71260393877e-05,-0.000149917294038
1591865208291984211,222,1591865208190277099,,8.50991364132e-06,5.4514302974e-06,2.3354023142e-05
1591865208344087705,223,1591865208292567014,,-8.27605981613e-05,-5.45268703718e-05,4.47197417088e-05
1591865208396738376,224,1591865208344655990,,-3.13897771775e-06,8.04419833003e-05,2.49383028859e-05
1591865208448673211,225,1591865208397047996,,-1.18018997455e-05,0.000140375865158,-3.74532392016e-05
1591865208500145266,226,1591865208449141979,,-2.4271386792e-05,3.59359546565e-05,2.45138289756e-05
1591865208551635628,227,1591865208500643014,,1.08559618184e-07,-0.000113058034913,0.000103958467662
1591865208603506667,228,1591865208551857948,,5.31220539415e-05,-5.92347387283e-05,6.20499849902e-05
1591865208655683377,229,1591865208604114055,,2.09889221878e-05,-4.72943320347e-05,5.80521191296e-05
1591865208708745917,230,1591865208656889915,,3.09296156047e-05,-9.39574674703e-05,5.12504520884e-05
1591865208763027626,231,1591865208710621118,,-0.000100939927506,6.70479994369e-06,-3.21069092024e-05
1591865208815612777,232,1591865208764029026,,-2.33835344261e-05,1.98160614673e-05,-2.98173126794e-05
1591865209167744382,233,1591865208816132068,,-7.90571539255e-06,5.66946873732e-05,-0.000181213908945
1591865209219960177,234,1591865209168350934,,0.00126498984173,0.000404547259677,0.000443216151325
1591865209274182707,235,1591865209220671892,,0.0216148756444,0.00628972239792,0.000800512148999
1591865209325491778,236,1591865209273902893,,0.0529604777694,0.0151740331203,0.000159439980052
1591865209378483430,237,1591865209326056003,,0.0766638889909,0.0213712193072,-0.000504634925164
1591865209429871537,238,1591865209378258943,,0.0760875269771,0.0207365211099,-0.000580858788453
1591865209481786356,239,1591865209430460929,,0.07606690377,0.0205149333924,-0.000268519477686
1591865209534637768,240,1591865209483010053,,0.0780128017068,0.0208699610084,-0.000149749248521
1591865209586944659,241,1591865209535350084,,0.0781014040112,0.0207199398428,1.08683871076e-05
1591865209638780379,242,1591865209587389945,,0.0746790990233,0.0197543222457,0.000249796052231
1591865209690958922,243,1591865209639328956,,0.0777364000678,0.0205651503056,0.000176369590918
1591865209743990728,244,1591865209691565990,,0.0766492709517,0.0203858148307,0.000392214162275
