%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z
1591869751152771279,129,1591869751101164102,,-1.29456591606,-0.820407569408,-0.831207811832
1591869751203990814,130,1591869751152770042,,-1.29457306862,-0.820401012897,-0.831202626228
1591869751255842376,131,1591869751204282999,,-1.29456996918,-0.820397794247,-0.831208348274
1591869751307990232,132,1591869751256292104,,-1.29455339909,-0.820411741734,-0.831220448017
1591869751360273280,133,1591869751308384895,,-1.29456281662,-0.820396780968,-0.831214189529
1591869751411066680,134,1591869751359937906,,-1.2945728302,-0.820392131805,-0.831204652786
1591869751462253472,135,1591869751411222934,,-1.29457068443,-0.820399343967,-0.83120661974
1591869751563823808,136,1591869751462609052,,-1.29456532001,-0.820411980152,-0.831207752228
1591869751616741623,137,1591869751563941001,,-1.29456245899,-0.820407092571,-0.831212162971
1591869751668260517,138,1591869751616081953,,-1.2945677042,-0.820405423641,-0.831207573414
1591869751719055045,139,1591869751668000936,,-1.29456758499,-0.820399045944,-0.831208825111
1591869751820990947,140,1591869751719414949,,-1.29456841946,-0.820408046246,-0.831204652786
1591869751874612905,141,1591869751821547985,,-1.29456925392,-0.820406138897,-0.831204116344
1591869751926504225,142,1591869751875017881,,-1.2945574522,-0.820415258408,-0.831214129925
1591869751977959653,143,1591869751926722049,,-1.29457366467,-0.820392668247,-0.831205487251
1591869752029998597,144,1591869751978368043,,-1.29456889629,-0.820402503014,-0.831208050251
1591869752082610219,145,1591869752030694961,,-1.29456651211,-0.820410490036,-0.831207156181
1591869752134417480,146,1591869752082762956,,-1.2945599556,-0.820406973362,-0.831210851669
1591869752186547797,147,1591869752134803056,,-1.29456818104,-0.820404291153,-0.831208050251
1591869752238624867,148,1591869752187043905,,-1.29455959797,-0.820408701897,-0.831215083599
1591869752290183520,149,1591869752239023923,,-1.29458200932,-0.820400595665,-0.831194281578
1591869752341728848,150,1591869752290755987,,-1.29455935955,-0.820412278175,-0.831211268902
1591869752393077426,151,1591869752342070102,,-1.29456198215,-0.820415914059,-0.831208109856
1591869752444992760,152,1591869752393332958,,-1.29456138611,-0.820399463177,-0.831213653088
1591869752497340135,153,1591869752445390939,,-1.29457080364,-0.820401310921,-0.831202924252
1591869752549058849,154,1591869752497431039,,-1.29457068443,-0.82039731741,-0.831206917763
1591869752600994403,155,1591869752549494981,,-1.29457855225,-0.820400059223,-0.831198096275
1591869752653236838,156,1591869752601417064,,-1.29457616806,-0.820393323898,-0.831202447414
1591869752707207863,157,1591869752653588056,,-1.2945741415,-0.820402026176,-0.831202566624
1591869752758863588,158,1591869752707349061,,-1.2945702076,-0.820409834385,-0.831202507019
1591869752810259079,159,1591869752758661985,,-1.29457008839,-0.820397615433,-0.83120572567
1591869752912421210,160,1591869752810843944,,-1.29457342625,-0.820393383503,-0.831207275391
1591869752964481876,161,1591869752912872076,,-1.2945690155,-0.820406258106,-0.831203818321
1591869753016458881,162,1591869752964881896,,-1.29457449913,-0.820398211479,-0.831200122833
1591869753068514321,163,1591869753016942977,,-1.29456973076,-0.820396780968,-0.83120828867
1591869753120564817,164,1591869753068948984,,-1.29456138611,-0.820415496826,-0.831210255623
1591869753172637972,165,1591869753120985031,,-1.29457080364,-0.820409357548,-0.831202805042
1591869753224716829,166,1591869753173079013,,-1.2945663929,-0.820421934128,-0.831203937531
1591869753277335969,167,1591869753225107908,,-1.29456591606,-0.820407629013,-0.831208407879
1591869753380499344,168,1591869753278780937,,-1.29457616806,-0.820390045643,-0.831203818321
1591869753432763502,169,1591869753380760908,,-1.29455947876,-0.820407748222,-0.831214666367
1591869753487140485,170,1591869753433451890,,-1.29456949234,-0.8203997612,-0.831205308437
1591869753539527008,171,1591869753487961053,,-1.29456865788,-0.820406198502,-0.831203222275
1591869753592086757,172,1591869753539901971,,-1.29456722736,-0.820391535759,-0.83120983839
1591869753644023112,173,1591869753592493057,,-1.2945715189,-0.820410311222,-0.831201195717
1591869753696084715,174,1591869753644493103,,-1.29456865788,-0.820391356945,-0.831209540367
1591869753748608143,175,1591869753696499109,,-1.29456973076,-0.820396482944,-0.831210374832
1591869753799736708,176,1591869753748434066,,-1.29456043243,-0.820407509804,-0.831214785576
1591869753851834579,177,1591869753800019025,,-1.29456579685,-0.820416688919,-0.831205487251
1591869753903544809,178,1591869753851985931,,-1.29456400871,-0.820415377617,-0.831207036972
1591869753955586009,179,1591869753903964996,,-1.29456603527,-0.820401906967,-0.83120906353
1591869754008038976,180,1591869753956012964,,-1.29456019402,-0.820407092571,-0.831212878227
1591869754060692162,181,1591869754009005069,,-1.29456162453,-0.820404410362,-0.831212759018
1591869754112802121,182,1591869754060976982,,-1.2945638895,-0.820412755013,-0.831208348274
1591869754164500097,183,1591869754112967014,,-1.29457473755,-0.820400893688,-0.831198394299
1591869754216638097,184,1591869754164915084,,-1.29456818104,-0.820390939713,-0.831210076809
1591869754268541532,185,1591869754216923952,,-1.29456591606,-0.820406675339,-0.831207633018
1591869754320637636,186,1591869754269001960,,-1.29457449913,-0.82040309906,-0.831199645996
1591869754373300985,187,1591869754321037054,,-1.29457426071,-0.820399940014,-0.831201910973
1591869754424670155,188,1591869754373040914,,-1.2945677042,-0.820413887501,-0.831205666065
1591869754476254992,189,1591869754425183057,,-1.29456830025,-0.820412933826,-0.831201970577
1591869754528773070,190,1591869754476492881,,-1.29457032681,-0.820402741432,-0.83120405674
1591869754582799057,191,1591869754528444051,,-1.29456663132,-0.820407509804,-0.831207692623
1591869754635092750,192,1591869754582572937,,-1.29457581043,-0.820402026176,-0.831199705601
1591869754687826538,193,1591869754634857892,,-1.29456579685,-0.820398747921,-0.831209778786
1591869754739532517,194,1591869754687958002,,-1.29455852509,-0.820417940617,-0.831210672855
1591869754791759633,195,1591869754739907026,,-1.29456853867,-0.820391654968,-0.831209778786
1591869754844488370,196,1591869754792144060,,-1.29456782341,-0.820407390594,-0.831203877926
1591869754897510586,197,1591869754845685005,,-1.29456424713,-0.820405483246,-0.831208884716
1591869754949634811,198,1591869754897954940,,-1.2945702076,-0.820401191711,-0.831205427647
1591869755002245298,199,1591869754950015068,,-1.2945663929,-0.820407211781,-0.831207990646
1591869755053529072,200,1591869755001935958,,-1.29457032681,-0.820402681828,-0.831205844879
1591869755405244896,201,1591869755053981065,,-1.29456377029,-0.820401787758,-0.831202030182
1591869755457703637,202,1591869755405652999,,-1.29444003105,-0.820298492908,-0.831229388714
1591869755508495157,203,1591869755457428932,,-1.29447007179,-0.820288658142,-0.831222712994
1591869755560331530,204,1591869755508714914,,-1.29399216175,-0.819390416145,-0.831596493721
1591869755613885482,205,1591869755561500072,,-1.29295194149,-0.816133737564,-0.832400977612
1591869755665929323,206,1591869755614151954,,-1.29156577587,-0.812443137169,-0.833359658718
1591869755717297691,207,1591869755666038990,,-1.29004669189,-0.808551490307,-0.834396600723
1591869755769090440,208,1591869755717520952,,-1.28865599632,-0.804882705212,-0.83536028862
1591869755821575127,209,1591869755770021915,,-1.28710222244,-0.800981640816,-0.836429178715
1591869755873628833,210,1591869755822031974,,-1.285628438,-0.797253072262,-0.837451517582
1591869755925430647,211,1591869755874090909,,-1.28414142132,-0.793407201767,-0.83848798275
1591869756028007534,212,1591869755926350116,,-1.28269445896,-0.789672136307,-0.839504718781
1591869756080218465,213,1591869756028420925,,-1.27977859974,-0.78221398592,-0.841535568237
1591869756132694122,214,1591869756080427885,,-1.27834165096,-0.778522312641,-0.842537105083
1591869756183551248,215,1591869756132456064,,-1.27687239647,-0.774800479412,-0.843559443951
1591869756235534083,216,1591869756183828115,,-1.27540457249,-0.770962834358,-0.844579875469
1591869756337333945,217,1591869756235718965,,-1.27390801907,-0.767154812813,-0.845624506474
1591869756388943851,218,1591869756337658882,,-1.27112150192,-0.759875714779,-0.847581982613
1591869756441406727,219,1591869756389859914,,-1.26961731911,-0.755966961384,-0.848626792431
1591869756493875128,220,1591869756441838026,,-1.26818299294,-0.752276241779,-0.849631071091
1591869756547034709,221,1591869756493957996,,-1.26670455933,-0.748452067375,-0.850649833679
1591869756598605852,222,1591869756546765089,,-1.26524150372,-0.744745671749,-0.851669251919
1591869756649809730,223,1591869756598788976,,-1.26374018192,-0.740855634212,-0.852721095085
1591869756702399626,224,1591869756650053977,,-1.26234722137,-0.737219214439,-0.853694677353
1591869756755036294,225,1591869756703552961,,-1.26080179214,-0.733288347721,-0.854774951935
1591869756807248218,226,1591869756755454063,,-1.2594294548,-0.729692935944,-0.855732619762
1591869756859129892,227,1591869756807496070,,-1.25791823864,-0.725860774517,-0.856784164906
