%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1591623548779091210,1125,1591623548740559511,,2.20000004768
1591623548823567546,1126,1591623548772949650,,2.20000004768
1591623548841768194,1127,1591623548808392318,,2.20000004768
1591623548870250969,1128,1591623548842100438,,2.20000004768
1591623548926246643,1129,1591623548868979845,,2.20000004768
1591623548958350914,1130,1591623548900926291,,2.20000004768
1591623548980550401,1131,1591623548937532979,,2.20000004768
1591623549005110035,1132,1591623548971705442,,2.20000004768
1591623549049941285,1133,1591623549000867143,,2.20000004768
1591623549073460670,1134,1591623549037317517,,2.20000004768
1591623549124524706,1135,1591623549076667176,,2.20000004768
1591623549142734381,1136,1591623549107939796,,2.20000004768
1591623549184987306,1137,1591623549139029040,,2.20000004768
1591623549227418678,1138,1591623549175631020,,2.20000004768
1591623549280033198,1139,1591623549201739785,,2.20000004768
1591623549280833538,1140,1591623549237903485,,2.20000004768
1591623549312041512,1141,1591623549269417326,,2.20000004768
1591623549343805096,1142,1591623549305345555,,2.20000004768
1591623549372081839,1143,1591623549338764096,,2.20000004768
1591623549413985803,1144,1591623549368605878,,2.20000004768
1591623549453242860,1145,1591623549403241238,,2.20000004768
1591623549489007956,1146,1591623549438292946,,2.20000004768
1591623549514613207,1147,1591623549475008829,,2.20000004768
1591623549548034080,1148,1591623549509189288,,2.20000004768
1591623549594482335,1149,1591623549544740059,,2.20000004768
1591623549628184366,1150,1591623549572915320,,2.20000004768
1591623549656400380,1151,1591623549609227722,,2.20000004768
1591623549675060606,1152,1591623549642975837,,2.20000004768
1591623549705900193,1153,1591623549675688047,,2.20000004768
1591623549737927900,1154,1591623549710320982,,2.20000004768
1591623549771619618,1155,1591623549741831157,,2.20000004768
1591623549817584499,1156,1591623549777653022,,2.20000004768
1591623549837029598,1157,1591623549810822480,,2.20000004768
1591623549877002981,1158,1591623549850093919,,2.20000004768
1591623549918948717,1159,1591623549886638781,,2.20000004768
1591623549941888119,1160,1591623549914185676,,2.20000004768
1591623549968776934,1161,1591623549947624264,,2.20000004768
1591623550000897537,1162,1591623549975895957,,2.20000004768
1591623550041860013,1163,1591623550012623812,,2.20000004768
1591623550068588059,1164,1591623550051337954,,2.20000004768
1591623550119944463,1165,1591623550076229512,,2.20000004768
1591623550159727663,1166,1591623550107426314,,2.20000004768
1591623550180305976,1167,1591623550147097228,,2.20000004768
1591623550201539724,1168,1591623550180593296,,2.20000004768
1591623550238089176,1169,1591623550209706860,,2.20000004768
1591623550261152837,1170,1591623550241863508,,2.20000004768
1591623550301810146,1171,1591623550274010923,,2.20000004768
1591623550347123783,1172,1591623550315732181,,2.20000004768
1591623550368639951,1173,1591623550344050786,,2.20000004768
1591623550415296378,1174,1591623550387485242,,2.20000004768
1591623550453785781,1175,1591623550421387980,,2.20000004768
1591623550492420400,1176,1591623550448607246,,2.20000004768
1591623550518525088,1177,1591623550480393964,,2.20000004768
1591623550539938831,1178,1591623550508071048,,2.20000004768
1591623550585032641,1179,1591623550542072076,,2.20000004768
1591623550622488326,1180,1591623550577234729,,2.20000004768
1591623550687905138,1181,1591623550605300147,,2.20000004768
1591623550706618723,1182,1591623550637956966,,2.20000004768
1591623550721601346,1183,1591623550681154668,,2.20000004768
1591623550738756096,1184,1591623550711705786,,2.20000004768
1591623550789919128,1185,1591623550743860173,,2.20000004768
1591623550823001642,1186,1591623550781770333,,2.20000004768
1591623550850148868,1187,1591623550810230602,,2.20000004768
1591623550875094031,1188,1591623550840384453,,2.20000004768
1591623550898101180,1189,1591623550875383522,,2.20000004768
1591623550936645164,1190,1591623550910705973,,2.20000004768
1591623550986742368,1191,1591623550943762490,,2.20000004768
1591623551011765848,1192,1591623550975165507,,2.20000004768
1591623551051204086,1193,1591623551012443202,,2.20000004768
1591623551071879819,1194,1591623551043745188,,2.20000004768
1591623551100162070,1195,1591623551072710526,,2.20000004768
1591623551140990373,1196,1591623551115412517,,2.20000004768
1591623551172812344,1197,1591623551146608787,,2.20000004768
1591623551201944362,1198,1591623551175795093,,2.20000004768
1591623551247174418,1199,1591623551221540454,,2.20000004768
1591623551266313475,1200,1591623551243546481,,2.20000004768
1591623551306237334,1201,1591623551273838182,,2.20000004768
1591623551342010258,1202,1591623551318264279,,2.20000004768
1591623551366019063,1203,1591623551345488088,,2.20000004768
1591623551407178114,1204,1591623551387230181,,2.20000004768
1591623551453066294,1205,1591623551412782347,,2.20000004768
1591623551473631673,1206,1591623551445550705,,2.20000004768
1591623551488716234,1207,1591623551470083018,,2.20000004768
1591623551534619038,1208,1591623551510772103,,2.20000004768
1591623551557850701,1209,1591623551538275338,,2.20000004768
