%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1591614020951990881,342,1591614020911562253,,40.3303108215,39.5667457581,-0.508927464485,381.686126709,264.478912354
1591614020971463808,343,1591614020943862531,,44.9422798157,34.6296424866,1.20785403252,378.070526123,256.683380127
1591614020999110910,344,1591614020978356603,,56.1644325256,40.4621353149,0.454963117838,381.05291748,256.145385742
1591614021049605981,345,1591614021017158003,,45.4503822327,40.2672843933,1.43731784821,377.44934082,266.541870117
1591614021077235329,346,1591614021045755647,,45.2909622192,37.003993988,0.888333320618,378.736206055,259.877655029
1591614021105450350,347,1591614021076743328,,54.768409729,32.3773002625,0.987347006798,374.47467041,260.421264648
1591614021143924212,348,1591614021121184633,,53.3653297424,36.9233398438,0.593991041183,378.806762695,260.095367432
1591614021182826809,349,1591614021157303113,,53.2580337524,34.9629898071,0.400822520256,374.567169189,259.135803223
1591614021215531308,350,1591614021185194487,,48.6978111267,39.203754425,0.284591257572,378.606994629,264.909698486
1591614021257068314,351,1591614021218624153,,48.7002449036,40.4334526062,0.659709632397,377.699981689,265.364196777
1591614021288613907,352,1591614021259737998,,68.2891464233,38.4855613708,0.264951109886,373.58013916,263.53704834
1591614021305458685,353,1591614021287939215,,48.8972663879,39.4346923828,0.443917542696,376.16885376,261.396179199
1591614021341751752,354,1591614021324260091,,51.1543922424,39.4049873352,0.575275659561,378.099761963,265.38381958
1591614021369922172,355,1591614021351606604,,61.5087890625,42.9206314087,0.380988627672,380.213012695,263.094421387
1591614021402876435,356,1591614021383012492,,45.1003189087,36.7371788025,0.644287347794,377.296173096,262.747161865
1591614021437471101,357,1591614021413048031,,64.7862701416,40.5571937561,0.258438080549,374.667266846,261.144287109
1591614021463330845,358,1591614021444373626,,73.1734848022,41.1369590759,0.128725618124,374.678863525,264.896728516
1591614021501138494,359,1591614021481607705,,54.3744316101,38.9833183289,0.48652356863,381.163665771,264.168914795
1591614021543017953,360,1591614021515991044,,50.0761184692,40.3330459595,0.492618769407,381.214752197,260.161987305
1591614021572400789,361,1591614021548242335,,56.8851661682,43.2740478516,0.115224324167,381.818664551,260.101287842
1591614021619166716,362,1591614021581231994,,50.4943733215,43.2315788269,0.366935253143,378.30758667,263.83883667
1591614021649155990,363,1591614021615867092,,47.2481842041,40.6451950073,0.654463708401,379.036468506,262.129272461
1591614021669488130,364,1591614021649620469,,50.0719718933,39.4386405945,0.555352151394,376.976226807,261.027648926
1591614021722715420,365,1591614021681352955,,49.2723007202,41.3219108582,0.410902053118,374.434875488,266.898834229
1591614021753116245,366,1591614021713726331,,65.2219161987,41.9162635803,0.231972515583,374.122253418,264.781341553
1591614021786873334,367,1591614021746921723,,67.7713928223,39.6972732544,0.143073141575,374.375152588,262.364685059
1591614021854664257,368,1591614021781732858,,70.7482223511,42.5082397461,0.21408419311,374.368225098,261.262176514
1591614021899134118,369,1591614021812807860,,0.0,0.0,0.0,0.0,0.0
1591614021918859959,370,1591614021846407893,,0.0,0.0,0.0,0.0,0.0
1591614021954953423,371,1591614021881921400,,0.0,0.0,0.0,0.0,0.0
1591614021980712619,372,1591614021916493401,,0.0,0.0,0.0,0.0,0.0
1591614022003137581,373,1591614021948276122,,0.0,0.0,0.0,0.0,0.0
1591614022046436248,374,1591614021979465945,,73.6741943359,62.2686157227,-0.1000572294,382.223266602,265.860961914
1591614022076507394,375,1591614022011427375,,57.4157905579,46.7743377686,0.583817005157,381.144866943,260.843963623
1591614022093783268,376,1591614022053012616,,60.1946563721,55.8947715759,0.806623280048,381.967010498,256.683197021
1591614022121154571,377,1591614022092915399,,53.7957115173,51.5941390991,-0.736055910587,382.917175293,261.972106934
1591614022143758370,378,1591614022117141296,,55.1258506775,47.4611740112,-0.523732244968,385.772247314,257.215606689
1591614022166265793,379,1591614022151294916,,51.739944458,48.20728302,-0.13988506794,385.799560547,262.093231201
1591614022213773981,380,1591614022178347584,,72.9233932495,48.9024047852,-0.0663855522871,381.54989624,265.550598145
1591614022262026353,381,1591614022212201187,,67.6282501221,53.7845840454,-0.132156699896,382.885528564,269.409790039
1591614022276946922,382,1591614022243967930,,66.916885376,48.085395813,0.143035724759,386.789703369,264.700927734
1591614022317348952,383,1591614022281536195,,67.7139129639,45.0497550964,0.0650889873505,385.066345215,263.912109375
1591614022343685916,384,1591614022320424919,,71.0814285278,47.4930534363,-0.0557415597141,388.048553467,261.964324951
1591614022390847292,385,1591614022349134767,,68.4739303589,43.2135238647,0.109935291111,389.985412598,261.664245605
1591614022417897954,386,1591614022388133812,,65.3964767456,46.8964424133,-0.102580569685,391.046295166,260.904937744
1591614022449085705,387,1591614022417287668,,80.3804092407,48.4687957764,-0.260372459888,388.332305908,259.172271729
1591614022471275254,388,1591614022447491817,,74.8874969482,50.1336326599,-0.0650422498584,388.137359619,259.899688721
1591614022516560508,389,1591614022482242892,,73.3171386719,48.0323028564,0.109496131539,386.33215332,263.028686523
1591614022549634789,390,1591614022513066516,,69.436416626,48.446937561,0.111931197345,389.623382568,260.845214844
1591614022585055771,391,1591614022545034440,,70.4001464844,48.2859992981,-0.108147241175,387.32723999,259.487884521
1591614022616386865,392,1591614022581355541,,72.1612930298,48.4677772522,-0.145817920566,387.213317871,260.973602295
1591614022631116021,393,1591614022612825371,,69.5052566528,47.40574646,-0.0998062193394,388.03717041,259.979736328
1591614022667253638,394,1591614022647958061,,66.0847930908,48.6051292419,0.0669039338827,387.124542236,260.644836426
1591614022700163110,395,1591614022683041062,,74.4529571533,50.3523635864,0.170469880104,384.907684326,265.593322754
1591614022733882913,396,1591614022714369201,,67.6594314575,46.8874931335,0.113093130291,385.8699646,262.163513184
1591614022776047868,397,1591614022745884838,,68.1203994751,46.5242996216,0.0341394618154,387.319793701,262.067199707
1591614022807322377,398,1591614022788141863,,62.4447784424,46.6553993225,-0.0388138405979,390.040161133,258.904907227
1591614022840238921,399,1591614022820795551,,70.8233718872,48.0014915466,0.0480162613094,386.95123291,261.197784424
1591614022869010410,400,1591614022851875549,,66.9067001343,44.921257019,0.129865989089,386.390411377,260.865264893
1591614022905301829,401,1591614022880225653,,70.3530578613,51.7343826294,-0.0175132136792,385.493164062,260.28805542
1591614022938100255,402,1591614022913502577,,67.230430603,47.6630325317,0.0783870816231,384.661621094,263.710021973
1591614022981741869,403,1591614022943653781,,70.9107437134,47.4354438782,0.00262507796288,387.99420166,263.778320312
1591614023004572406,404,1591614022983890879,,73.7618713379,49.2283401489,-0.295957744122,386.363922119,260.385955811
1591614023043549271,405,1591614023013112536,,66.2102432251,45.7407913208,-0.0914538875222,391.100585938,259.019836426
1591614023068048811,406,1591614023044317501,,43.0621681213,27.6697349548,0.668281376362,392.032318115,253.911071777
1591614023107928866,407,1591614023080937941,,0.0,0.0,0.0,0.0,0.0
