%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1591622663686758095,4473,1591622663579533201,,61.9205131531,50.781085968,0.746225476265,393.473205566,241.078918457
1591622663712296358,4474,1591622663611948160,,78.5497894287,58.9132537842,0.111794441938,389.967834473,245.051528931
1591622663745369013,4475,1591622663641675213,,76.4648895264,55.3127250671,0.072891920805,392.892669678,244.993682861
1591622663771942485,4476,1591622663686994394,,78.4720916748,50.7240447998,0.186940059066,388.330841064,242.053421021
1591622663785337448,4477,1591622663719850628,,81.351852417,58.5430335999,0.149325579405,387.683776855,246.679962158
1591622663814186958,4478,1591622663750935118,,78.8372192383,59.5708084106,0.0693208873272,390.946929932,244.439147949
1591622663838830802,4479,1591622663785711870,,62.6989517212,48.620136261,0.865061581135,390.791687012,242.488723755
1591622663854433414,4480,1591622663807553085,,81.4201278687,55.6782989502,0.187454044819,389.118469238,244.040649414
1591622663875097799,4481,1591622663840729104,,63.8025627136,47.1414527893,0.606917917728,391.180389404,244.770736694
1591622663907540996,4482,1591622663873460677,,59.0861320496,48.2220230103,0.758234739304,389.985595703,244.238418579
1591622663928257440,4483,1591622663908809702,,65.315322876,46.7163467407,0.735063374043,389.168640137,243.130554199
1591622663964734958,4484,1591622663944449812,,77.8982849121,56.0146980286,0.122280240059,388.380493164,240.471557617
1591622664014388450,4485,1591622663976025869,,78.5621185303,60.3098602295,0.272773206234,388.490692139,243.738296509
1591622664042873899,4486,1591622664008936393,,81.6938705444,60.8288650513,0.236827731133,393.88381958,241.690124512
1591622664080039545,4487,1591622664044797953,,82.0751571655,52.2364959717,0.339524537325,381.967987061,241.000869751
1591622664114321636,4488,1591622664071699182,,81.6154022217,53.6302337646,0.161511003971,386.734954834,244.989578247
1591622664142780863,4489,1591622664110289090,,83.084815979,55.8043327332,0.250461518764,388.396697998,245.671844482
1591622664178625583,4490,1591622664147447082,,66.9871826172,48.5045471191,0.811323523521,391.882080078,244.539413452
1591622664211096303,4491,1591622664184649587,,78.9576797485,52.1081047058,0.205907359719,389.285766602,243.560317993
1591622664250821411,4492,1591622664218320641,,80.7512664795,52.3868560791,0.19608309865,392.359008789,241.676651001
1591622664278370554,4493,1591622664247120257,,78.9091262817,51.8646278381,0.310049593449,388.060760498,241.955413818
1591622664296046922,4494,1591622664276305588,,79.6287841797,58.1465454102,0.185262128711,390.085540771,245.115631104
1591622664349484659,4495,1591622664317662098,,80.4592895508,58.3618049622,0.0582341440022,390.093322754,247.018173218
1591622664379393576,4496,1591622664356440689,,80.2877807617,52.5481529236,0.210554435849,391.91229248,245.054458618
1591622664407924761,4497,1591622664388255594,,63.3224067688,47.0502281189,0.711241364479,390.829589844,241.379302979
1591622664444387485,4498,1591622664414878314,,77.6089172363,63.2153129578,0.263296872377,388.111816406,243.394561768
1591622664474840605,4499,1591622664446445706,,78.2483978271,60.6348457336,0.410981297493,391.811065674,244.36340332
1591622664506011416,4500,1591622664482359427,,83.5498809814,63.4167671204,0.299798697233,390.743408203,244.896606445
1591622664543113700,4501,1591622664512848260,,78.8450241089,63.5997962952,0.0981674492359,387.609985352,245.768386841
1591622664601324307,4502,1591622664547283093,,77.3076477051,62.4004821777,0.0802483707666,390.989715576,244.879318237
1591622664630172148,4503,1591622664592011030,,82.2525177002,61.9352912903,0.211967512965,389.349456787,243.669296265
