%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1591609537244859190,1769,1591609537206700386,,70.5617752075,67.791015625,0.0934368744493,384.502227783,265.923828125
1591609537273767296,1770,1591609537238496156,,77.4327392578,75.1168212891,0.810023903847,383.88848877,271.738861084
1591609537291339092,1771,1591609537273946117,,80.8784561157,76.6492156982,-4.11458386225e-05,382.792053223,273.386901855
1591609537352879057,1772,1591609537303513855,,80.8280258179,68.3712005615,-1.09674155712,383.544403076,273.706268311
1591609537391783265,1773,1591609537337394621,,77.3672485352,70.1398696899,-0.774242639542,382.922607422,271.900970459
1591609537419240872,1774,1591609537370964140,,69.5656051636,61.9799194336,-0.396588355303,383.928741455,267.325012207
1591609537451456955,1775,1591609537405602211,,73.3569869995,72.5019760132,-0.54382288456,384.055053711,271.408477783
1591609537478465195,1776,1591609537439880836,,72.2026901245,68.075302124,-0.537725448608,384.112243652,269.732116699
1591609537499271298,1777,1591609537472841702,,72.9860076904,67.2183074951,-1.12381184101,385.119171143,271.253295898
1591609537529421937,1778,1591609537510030232,,68.1492767334,60.554977417,-0.251850098372,387.381958008,270.25567627
1591609537562983805,1779,1591609537540153826,,75.3049087524,69.032913208,-0.67411762476,383.677154541,271.954559326
1591609537590454694,1780,1591609537570024005,,68.7585296631,65.9533462524,-0.660715103149,386.299835205,269.80456543
1591609537638334709,1781,1591609537602693037,,71.8634338379,62.5367050171,-0.131621941924,384.738616943,268.181121826
1591609537670884127,1782,1591609537636193903,,64.8979492188,64.2995605469,-1.5143507719,387.244262695,267.942962646
1591609537714696634,1783,1591609537668755908,,69.5952987671,54.409954071,-0.741451740265,385.714324951,267.027709961
1591609537743085288,1784,1591609537705181543,,58.7542419434,51.8719558716,-0.844959139824,385.042480469,266.223937988
1591609537803564320,1785,1591609537735955219,,64.455039978,50.3134765625,-0.751203000546,382.683776855,266.168945312
1591609537825665038,1786,1591609537769898865,,60.7719726562,49.2860717773,-1.08591938019,386.253417969,269.637084961
1591609537906718795,1787,1591609537806925808,,65.9531326294,61.876083374,1.21544837952,387.76461792,266.383056641
1591609537939934159,1788,1591609537843231457,,70.2713394165,58.2215118408,-0.587533891201,385.860748291,269.045318604
1591609537971710770,1789,1591609537868771234,,69.4614868164,64.3054122925,-1.25799226761,385.224182129,268.411376953
1591609538003777491,1790,1591609537902407784,,69.6634979248,59.1812591553,-0.589185297489,384.503234863,268.022796631
1591609538014199842,1791,1591609537935829298,,69.4815750122,59.0578460693,-0.475648969412,384.936523438,268.691131592
1591609538070672985,1792,1591609537970190527,,68.4205551147,61.9973754883,0.0508802235126,383.996429443,268.0340271
1591609538070798337,1793,1591609538001571587,,70.2537002563,46.9631004333,-0.00573005760089,387.223968506,272.911560059
1591609538099341227,1794,1591609538033995660,,73.9922943115,69.9194564819,-1.27716505527,384.30090332,271.063354492
1591609538125881937,1795,1591609538069265709,,78.5391235352,69.1442260742,0.479286700487,384.601715088,271.444396973
